Date,Vanguard Health Systems
2011-11-11,48
2011-11-12,45
2011-11-13,47
2011-11-14,50
2011-11-15,53
2011-11-16,56
2011-11-17,59
2011-11-18,62
2011-11-19,65
2011-11-20,64
2011-11-21,64
2011-11-22,64
2011-11-23,63
2011-11-24,63
2011-11-25,63
2011-11-26,63
2011-11-27,61
2011-11-28,61
2011-11-29,60
2011-11-30,59
2011-12-01,58
2011-12-02,57
2011-12-03,56
2011-12-04,54
2011-12-05,53
2011-12-06,52
2011-12-07,51
2011-12-08,50
2011-12-09,50
2011-12-10,50
2011-12-11,45
2011-12-12,44
2011-12-13,43
2011-12-14,43
2011-12-15,42
2011-12-16,41
2011-12-17,41
2011-12-18,41
2011-12-19,41
2011-12-20,41
2011-12-21,41
2011-12-22,41
2011-12-23,41
2011-12-24,41
2011-12-25,41
2012-01-01,41
2012-01-02,41
2012-01-03,41
2012-01-04,41
2012-01-05,41
2012-01-06,41
2012-01-07,41
2012-01-08,40
2012-01-09,39
2012-01-10,39
2012-01-11,38
2012-01-12,37
2012-01-13,36
2012-01-14,36
2012-01-15,36
2012-01-16,37
2012-01-17,38
2012-01-18,38
2012-01-19,39
2012-01-20,40
2012-01-21,41
2012-01-22,41
2012-01-23,41
2012-01-24,42
2012-01-25,42
2012-01-26,43
2012-01-27,43
2012-01-28,44
2012-01-29,44
2012-01-30,45
2012-01-31,45
2012-02-01,46
2012-02-02,46
2012-02-03,47
2012-02-04,47
2012-02-05,45
2012-02-06,43
2012-02-07,41
2012-02-08,39
2012-02-09,37
2012-02-10,35
2012-02-11,33
2012-02-12,33
2012-02-13,34
2012-02-14,35
2012-02-15,35
2012-02-16,36
2012-02-17,37
2012-02-18,38
2012-02-19,38
2012-02-20,38
2012-02-21,38
2012-02-22,38
2012-02-23,38
2012-02-24,38
2012-02-25,38
2012-02-26,37
2012-02-27,36
2012-02-28,35
2012-02-29,35
2012-03-01,34
2012-03-02,33
2012-03-03,33
2012-03-04,35
2012-03-05,37
2012-03-06,39
2012-03-07,41
2012-03-08,43
2012-03-09,45
2012-03-10,47
2012-03-11,46
2012-03-12,45
2012-03-13,44
2012-03-14,43
2012-03-15,42
2012-03-16,41
2012-03-17,40
2012-03-18,42
2012-03-19,46
2012-03-20,50
2012-03-21,53
2012-03-22,57
2012-03-23,61
2012-03-24,66
2012-03-25,55
2012-04-01,30
2012-04-02,33
2012-04-03,37
2012-04-04,40
2012-04-05,44
2012-04-06,47
2012-04-07,51
2012-04-08,49
2012-04-09,47
2012-04-10,45
2012-04-11,43
2012-04-12,41
2012-04-13,39
2012-04-14,37
2012-04-15,37
2012-04-16,38
2012-04-17,38
2012-04-18,38
2012-04-19,39
2012-04-20,39
2012-04-21,40
2012-04-22,39
2012-04-23,39
2012-04-24,38
2012-04-25,38
2012-04-26,37
2012-04-27,37
2012-04-28,37
2012-04-29,38
2012-04-30,39
2012-05-01,41
2012-05-02,42
2012-05-03,44
2012-05-04,45
2012-05-05,47
2012-05-06,45
2012-05-07,43
2012-05-08,41
2012-05-09,39
2012-05-10,37
2012-05-11,35
2012-05-12,34
2012-05-13,36
2012-05-14,39
2012-05-15,41
2012-05-16,44
2012-05-17,46
2012-05-18,48
2012-05-19,51
2012-05-20,48
2012-05-21,45
2012-05-22,42
2012-05-23,40
2012-05-24,37
2012-05-25,34
2012-05-26,32
2012-05-27,33
2012-05-28,35
2012-05-29,36
2012-05-30,38
2012-05-31,39
2012-06-01,41
2012-06-02,43
2012-06-03,44
2012-06-04,46
2012-06-05,47
2012-06-06,49
2012-06-07,50
2012-06-08,52
2012-06-09,53
2012-06-10,52
2012-06-11,50
2012-06-12,49
2012-06-13,48
2012-06-14,47
2012-06-15,46
2012-06-16,45
2012-06-17,44
2012-06-18,43
2012-06-19,42
2012-06-20,42
2012-06-21,41
2012-06-22,40
2012-06-23,40
2012-06-24,39
2012-07-01,33
2012-07-02,32
2012-07-03,32
2012-07-04,31
2012-07-05,31
2012-07-06,30
2012-07-07,30
2012-07-08,34
2012-07-09,39
2012-07-10,44
2012-07-11,48
2012-07-12,53
2012-07-13,58
2012-07-14,62
2012-07-15,59
2012-07-16,55
2012-07-17,52
2012-07-18,49
2012-07-19,46
2012-07-20,43
2012-07-21,40
2012-07-22,40
2012-07-23,42
2012-07-24,43
2012-07-25,43
2012-07-26,44
2012-07-27,45
2012-07-28,46
2012-07-29,46
2012-07-30,45
2012-07-31,44
2012-08-01,44
2012-08-02,43
2012-08-03,43
2012-08-04,43
2012-08-05,42
2012-08-06,41
2012-08-07,40
2012-08-08,40
2012-08-09,39
2012-08-10,38
2012-08-11,38
2012-08-12,40
2012-08-13,43
2012-08-14,45
2012-08-15,48
2012-08-16,50
2012-08-17,52
2012-08-18,55
2012-08-19,55
2012-08-20,54
2012-08-21,53
2012-08-22,53
2012-08-23,52
2012-08-24,52
2012-08-25,52
2012-08-26,51
2012-08-27,50
2012-08-28,50
2012-08-29,49
2012-08-30,48
2012-08-31,47
2012-09-01,47
2012-09-02,46
2012-09-03,44
2012-09-04,43
2012-09-05,42
2012-09-06,41
2012-09-07,40
2012-09-08,39
2012-09-09,37
2012-09-10,36
2012-09-11,35
2012-09-12,34
2012-09-13,33
2012-09-14,32
2012-09-15,31
2012-09-16,36
2012-09-17,41
2012-09-18,46
2012-09-19,51
2012-09-20,56
2012-09-21,62
2012-09-22,67
2012-09-23,65
2012-09-24,64
2012-09-25,63
2012-09-26,62
2012-09-27,61
2012-09-28,59
2012-09-29,58
2012-09-30,56
