Date,General Motors Company
2011-10-07,27
2011-10-08,27
2011-10-09,29
2011-10-10,31
2011-10-11,33
2011-10-12,35
2011-10-13,37
2011-10-14,39
2011-10-15,42
2011-10-16,41
2011-10-17,41
2011-10-18,41
2011-10-19,40
2011-10-20,40
2011-10-21,40
2011-10-22,40
2011-10-23,39
2011-10-24,38
2011-10-25,38
2011-10-26,37
2011-10-27,37
2011-10-28,36
2011-10-29,36
2011-10-30,37
2011-11-06,45
2011-11-07,45
2011-11-08,45
2011-11-09,44
2011-11-10,44
2011-11-11,44
2011-11-12,44
2011-11-13,43
2011-11-14,43
2011-11-15,42
2011-11-16,42
2011-11-17,42
2011-11-18,41
2011-11-19,41
2011-11-20,40
2011-11-21,39
2011-11-22,38
2011-11-23,37
2011-11-24,36
2011-11-25,35
2011-11-26,34
2011-11-27,35
2011-11-28,37
2011-11-29,38
2011-11-30,40
2011-12-01,41
2011-12-02,42
2011-12-03,44
2011-12-04,41
2011-12-05,38
2011-12-06,36
2011-12-07,33
2011-12-08,30
2011-12-09,28
2011-12-10,25
2011-12-11,26
2011-12-12,26
2011-12-13,27
2011-12-14,27
2011-12-15,28
2011-12-16,29
2011-12-17,30
2011-12-18,29
2011-12-19,29
2011-12-20,28
2011-12-21,28
2011-12-22,28
2011-12-23,27
2011-12-24,27
2011-12-25,26
2011-12-26,26
2011-12-27,26
2011-12-28,25
2011-12-29,25
2011-12-30,25
2011-12-31,25
2012-01-01,25
2012-01-02,25
2012-01-03,25
2012-01-04,25
2012-01-05,25
2012-01-06,25
2012-01-07,26
2012-01-08,28
2012-01-09,30
2012-01-10,32
2012-01-11,34
2012-01-12,36
2012-01-13,38
2012-01-14,40
2012-01-15,38
2012-01-16,36
2012-01-17,34
2012-01-18,33
2012-01-19,31
2012-01-20,29
2012-01-21,28
2012-01-22,29
2012-01-23,30
2012-01-24,31
2012-01-25,33
2012-01-26,34
2012-01-27,35
2012-01-28,37
2012-01-29,37
