Date,Edgen
2011-11-26,42
2011-11-27,42
2011-12-04,43
2011-12-05,43
2011-12-06,43
2011-12-07,42
2011-12-08,42
2011-12-09,41
2011-12-10,41
2011-12-11,42
2011-12-12,42
2011-12-13,43
2011-12-14,43
2011-12-15,44
2011-12-16,45
2011-12-17,46
2011-12-18,45
2011-12-19,45
2011-12-20,45
2011-12-21,44
2011-12-22,44
2011-12-23,43
2011-12-24,43
2011-12-25,43
2011-12-26,43
2011-12-27,43
2011-12-28,43
2011-12-29,43
2011-12-30,43
2011-12-31,43
2012-01-01,43
2012-01-02,43
2012-01-03,43
2012-01-04,43
2012-01-05,43
2012-01-06,44
2012-01-07,44
2012-01-08,43
2012-01-09,43
2012-01-10,43
2012-01-11,42
2012-01-12,42
2012-01-13,41
2012-01-14,41
2012-01-15,40
2012-01-16,38
2012-01-17,36
2012-01-18,35
2012-01-19,33
2012-01-20,32
2012-01-21,31
2012-01-22,32
2012-01-23,33
2012-01-24,35
2012-01-25,36
2012-01-26,38
2012-01-27,39
2012-01-28,41
2012-01-29,39
2012-01-30,39
2012-01-31,37
2012-02-01,36
2012-02-02,35
2012-02-03,34
2012-02-04,33
2012-02-05,33
2012-02-06,33
2012-02-07,34
2012-02-08,34
2012-02-09,35
2012-02-10,35
2012-02-11,36
2012-02-12,37
2012-02-13,38
2012-02-14,39
2012-02-15,40
2012-02-16,41
2012-02-17,42
2012-02-18,43
2012-02-19,40
2012-02-20,37
2012-02-21,34
2012-02-22,32
2012-02-23,29
2012-02-24,26
2012-02-25,24
2012-02-26,27
2012-03-04,48
2012-03-05,47
2012-03-06,45
2012-03-07,43
2012-03-08,41
2012-03-09,40
2012-03-10,38
2012-03-11,37
2012-03-12,35
2012-03-13,33
2012-03-14,32
2012-03-15,31
2012-03-16,29
2012-03-17,28
2012-03-18,28
2012-03-19,29
2012-03-20,29
2012-03-21,30
2012-03-22,30
2012-03-23,31
2012-03-24,32
2012-03-25,32
2012-03-26,33
2012-03-27,33
2012-03-28,34
2012-03-29,34
2012-03-30,35
2012-03-31,36
2012-04-01,36
2012-04-02,37
2012-04-03,37
2012-04-04,37
2012-04-05,38
2012-04-06,38
2012-04-07,39
2012-04-08,38
2012-04-09,37
2012-04-10,36
2012-04-11,35
2012-04-12,34
2012-04-13,33
2012-04-14,32
2012-04-15,35
2012-04-16,38
2012-04-17,41
2012-04-18,44
2012-04-19,47
2012-04-20,50
2012-04-21,54
2012-04-22,60
2012-04-23,68
2012-04-24,74
2012-04-25,81
2012-04-26,88
2012-04-27,95
2012-04-28,102
2012-04-29,94
2012-04-30,83
2012-05-01,74
2012-05-02,66
2012-05-03,57
2012-05-04,49
2012-05-05,41
2012-05-06,42
2012-05-07,44
2012-05-08,46
2012-05-09,47
2012-05-10,49
2012-05-11,51
2012-05-12,53
2012-05-13,53
2012-05-14,53
2012-05-15,54
2012-05-16,54
2012-05-17,54
2012-05-18,54
2012-05-19,54
2012-05-20,52
2012-05-21,48
2012-05-22,45
2012-05-23,43
2012-05-24,40
2012-05-25,37
2012-05-26,35
2012-05-27,35
2012-06-03,36
2012-06-04,35
2012-06-05,34
2012-06-06,33
2012-06-07,32
2012-06-08,31
2012-06-09,30
2012-06-10,32
2012-06-11,34
2012-06-12,36
2012-06-13,38
2012-06-14,40
2012-06-15,42
2012-06-16,44
2012-06-17,42
2012-06-18,40
2012-06-19,38
2012-06-20,36
2012-06-21,34
2012-06-22,32
2012-06-23,30
2012-06-24,31
2012-06-25,33
2012-06-26,35
2012-06-27,36
2012-06-28,38
2012-06-29,40
2012-06-30,42
2012-07-01,43
2012-07-02,45
2012-07-03,47
2012-07-04,49
2012-07-05,51
2012-07-06,53
2012-07-07,55
2012-07-08,52
2012-07-09,49
2012-07-10,47
2012-07-11,44
2012-07-12,42
2012-07-13,39
2012-07-14,37
2012-07-15,40
2012-07-16,43
2012-07-17,47
2012-07-18,50
2012-07-19,53
2012-07-20,57
2012-07-21,60
2012-07-22,58
2012-07-23,55
2012-07-24,53
2012-07-25,51
2012-07-26,49
2012-07-27,47
2012-07-28,45
2012-07-29,44
2012-07-30,43
2012-07-31,42
2012-08-01,41
2012-08-02,40
2012-08-03,39
2012-08-04,38
2012-08-05,39
2012-08-06,40
2012-08-07,41
2012-08-08,42
2012-08-09,43
2012-08-10,44
2012-08-11,45
2012-08-12,45
2012-08-13,45
2012-08-14,46
2012-08-15,46
2012-08-16,47
2012-08-17,47
2012-08-18,48
2012-08-19,48
2012-08-20,48
2012-08-21,48
2012-08-22,49
2012-08-23,49
2012-08-24,49
2012-08-25,50
2012-08-26,47
2012-09-02,32
2012-09-03,31
2012-09-04,30
2012-09-05,28
2012-09-06,27
2012-09-07,26
2012-09-08,25
2012-09-09,27
2012-09-10,29
2012-09-11,31
2012-09-12,33
2012-09-13,35
2012-09-14,37
2012-09-15,40
2012-09-16,40
2012-09-17,40
2012-09-18,40
2012-09-19,40
2012-09-20,40
2012-09-21,40
2012-09-22,40
2012-09-23,40
2012-09-24,40
2012-09-25,40
2012-09-26,40
2012-09-27,40
2012-09-28,40
2012-09-29,40
2012-09-30,40
2012-10-01,40
2012-10-02,40
2012-10-03,40
2012-10-04,40
2012-10-05,40
2012-10-06,40
2012-10-07,42
2012-10-08,44
2012-10-09,46
2012-10-10,48
2012-10-11,50
2012-10-12,52
2012-10-13,54
2012-10-14,52
2012-10-15,50
2012-10-16,48
2012-10-17,46
2012-10-18,44
2012-10-19,42
2012-10-20,40
2012-10-21,40
2012-10-22,41
2012-10-23,42
2012-10-24,43
2012-10-25,44
2012-10-26,44
2012-10-27,45
2012-10-28,45
2012-10-29,43
2012-10-30,42
2012-10-31,42
2012-11-01,41
2012-11-02,40
2012-11-03,40
2012-11-04,39
2012-11-05,38
2012-11-06,37
2012-11-07,36
2012-11-08,35
2012-11-09,35
2012-11-10,34
2012-11-11,33
2012-11-12,33
2012-11-13,33
2012-11-14,32
2012-11-15,32
2012-11-16,32
2012-11-17,32
2012-11-18,31
2012-11-19,31
2012-11-20,30
2012-11-21,30
2012-11-22,29
2012-11-23,29
2012-11-24,29
2012-11-25,28
2012-12-02,27
2012-12-03,27
2012-12-04,27
2012-12-05,27
2012-12-06,27
2012-12-07,27
2012-12-08,28
2012-12-09,30
2012-12-10,33
2012-12-11,36
2012-12-12,39
2012-12-13,42
2012-12-14,44
2012-12-15,47
2012-12-16,45
2012-12-17,42
2012-12-18,39
2012-12-19,37
2012-12-20,34
2012-12-21,31
2012-12-22,29
2012-12-23,29
2012-12-24,28
2012-12-25,28
2012-12-26,27
2012-12-27,27
2012-12-28,27
2012-12-29,27
2012-12-30,27
2012-12-31,27
2013-01-01,27
2013-01-02,27
2013-01-03,27
2013-01-04,27
2013-01-05,27
2013-01-06,27
2013-01-07,28
2013-01-08,29
2013-01-09,30
2013-01-10,31
2013-01-11,32
2013-01-12,33
2013-01-13,31
2013-01-14,30
2013-01-15,29
2013-01-16,28
2013-01-17,27
2013-01-18,26
2013-01-19,25
2013-01-20,28
2013-01-21,32
2013-01-22,36
2013-01-23,40
2013-01-24,44
2013-01-25,47
2013-01-26,51
2013-01-27,48
2013-01-28,43
2013-01-29,39
2013-01-30,36
2013-01-31,32
2013-02-01,28
2013-02-02,25
2013-02-03,25
2013-02-04,25
2013-02-05,25
2013-02-06,26
2013-02-07,26
2013-02-08,26
2013-02-09,27
2013-02-10,27
2013-02-11,28
2013-02-12,28
2013-02-13,29
2013-02-14,30
2013-02-15,30
2013-02-16,31
2013-02-17,31
2013-02-18,31
2013-02-19,31
2013-02-20,31
2013-02-21,31
2013-02-22,32
2013-02-23,33
2013-02-24,30
2013-03-03,29
2013-03-04,28
2013-03-05,27
2013-03-06,26
2013-03-07,25
2013-03-08,24
2013-03-09,23
2013-03-10,24
2013-03-11,25
2013-03-12,26
2013-03-13,28
2013-03-14,29
2013-03-15,30
2013-03-16,32
2013-03-17,31
2013-03-18,31
2013-03-19,31
2013-03-20,31
2013-03-21,30
2013-03-22,30
2013-03-23,30
2013-03-24,31
2013-03-25,32
2013-03-26,33
2013-03-27,35
2013-03-28,36
2013-03-29,37
2013-03-30,39
2013-03-31,38
2013-04-01,38
2013-04-02,37
2013-04-03,37
2013-04-04,36
2013-04-05,36
2013-04-06,36
2013-04-07,35
2013-04-08,35
2013-04-09,35
2013-04-10,35
2013-04-11,35
2013-04-12,35
2013-04-13,35
2013-04-14,34
2013-04-15,34
2013-04-16,33
2013-04-17,33
2013-04-18,33
2013-04-19,32
2013-04-20,32
2013-04-21,32
2013-04-22,33
2013-04-23,33
2013-04-24,34
2013-04-25,34
2013-04-26,35
2013-04-27,36
2013-04-28,35
2013-04-29,35
2013-04-30,35
2013-05-01,34
2013-05-02,34
2013-05-03,34
2013-05-04,34
2013-05-05,35
2013-05-06,37
2013-05-07,38
2013-05-08,40
2013-05-09,42
2013-05-10,43
2013-05-11,45
2013-05-12,43
2013-05-13,41
2013-05-14,40
2013-05-15,38
2013-05-16,37
2013-05-17,35
2013-05-18,34
2013-05-19,35
2013-05-20,36
2013-05-21,37
2013-05-22,38
2013-05-23,39
2013-05-24,40
2013-05-25,41
2013-05-26,39
