Date,HomeStreet
2011-12-01,59
2011-12-02,60
2011-12-03,62
2011-12-04,63
2011-12-05,65
2011-12-06,67
2011-12-07,68
2011-12-08,70
2011-12-09,72
2011-12-10,74
2011-12-11,73
2011-12-12,74
2011-12-13,74
2011-12-14,73
2011-12-15,73
2011-12-16,73
2011-12-17,73
2011-12-18,71
2011-12-19,69
2011-12-20,67
2011-12-21,65
2011-12-22,63
2011-12-23,61
2011-12-24,59
2011-12-25,59
2011-12-26,60
2011-12-27,60
2011-12-28,61
2011-12-29,61
2011-12-30,62
2011-12-31,63
2012-01-01,63
2012-01-02,64
2012-01-03,65
2012-01-04,65
2012-01-05,66
2012-01-06,67
2012-01-07,68
2012-01-08,66
2012-01-09,65
2012-01-10,63
2012-01-11,62
2012-01-12,60
2012-01-13,59
2012-01-14,58
2012-01-15,57
2012-01-16,57
2012-01-17,57
2012-01-18,56
2012-01-19,56
2012-01-20,56
2012-01-21,56
2012-01-22,58
2012-01-23,60
2012-01-24,62
2012-01-25,64
2012-01-26,66
2012-01-27,68
2012-01-28,71
2012-01-29,74
2012-02-01,83
2012-02-02,89
2012-02-03,89
2012-02-04,92
2012-02-05,90
2012-02-06,88
2012-02-07,86
2012-02-08,85
2012-02-09,87
2012-02-10,83
2012-02-11,80
2012-02-12,79
2012-02-13,79
2012-02-14,79
2012-02-15,81
2012-02-16,78
2012-02-17,78
2012-02-18,78
2012-02-19,77
2012-02-20,75
2012-02-21,73
2012-02-22,72
2012-02-23,74
2012-02-24,69
2012-02-25,68
2012-02-26,69
2012-02-27,70
2012-02-28,74
2012-02-29,73
2012-03-01,74
2012-03-02,75
2012-03-03,77
2012-03-04,76
2012-03-05,75
2012-03-06,74
2012-03-07,77
2012-03-08,72
2012-03-09,71
2012-03-10,70
2012-03-11,71
2012-03-12,71
2012-03-13,74
2012-03-14,73
2012-03-15,74
2012-03-16,76
2012-03-17,76
2012-03-18,75
2012-03-19,75
2012-03-20,74
2012-03-21,74
2012-03-22,73
2012-03-23,73
2012-03-24,73
2012-03-25,71
2012-03-26,70
2012-03-27,73
2012-03-28,67
2012-03-29,66
2012-03-30,65
2012-03-31,64
2012-04-01,64
2012-04-02,64
2012-04-03,67
2012-04-04,65
2012-04-05,66
2012-04-06,66
2012-04-07,70
2012-04-08,66
2012-04-09,65
2012-04-10,65
2012-04-11,64
2012-04-12,64
2012-04-13,63
2012-04-14,65
2012-04-15,66
2012-04-16,69
2012-04-17,72
2012-04-18,75
2012-04-19,78
2012-04-20,81
2012-04-21,84
2012-04-22,79
2012-04-23,74
2012-04-24,69
2012-04-25,66
2012-04-26,60
2012-04-27,55
2012-04-28,51
2012-04-29,53
2012-04-30,56
2012-05-01,59
2012-05-02,64
2012-05-03,66
2012-05-04,67
2012-05-05,70
2012-05-06,68
2012-05-07,66
2012-05-08,68
2012-05-09,63
2012-05-10,61
2012-05-11,59
2012-05-12,58
2012-05-13,58
2012-05-14,59
2012-05-15,60
2012-05-16,60
2012-05-17,60
2012-05-18,61
2012-05-19,62
2012-05-20,62
2012-05-21,63
2012-05-22,64
2012-05-23,68
2012-05-24,66
2012-05-25,67
2012-05-26,68
2012-05-27,65
2012-05-28,63
2012-05-29,61
2012-05-30,59
2012-05-31,57
2012-06-01,55
2012-06-02,55
2012-06-03,56
2012-06-04,59
2012-06-05,62
2012-06-06,65
2012-06-07,70
2012-06-08,71
2012-06-09,74
2012-06-10,74
2012-06-11,75
2012-06-12,76
2012-06-13,77
2012-06-14,77
2012-06-15,78
2012-06-16,86
2012-06-17,78
2012-06-18,78
2012-06-19,78
2012-06-20,84
2012-06-21,77
2012-06-22,77
2012-06-23,80
2012-06-24,76
2012-06-25,76
2012-06-26,76
2012-06-27,79
2012-06-28,76
2012-06-29,78
2012-06-30,76
2012-07-01,74
2012-07-02,72
2012-07-03,72
2012-07-04,71
2012-07-05,68
2012-07-06,66
2012-07-07,65
2012-07-08,64
2012-07-09,63
2012-07-10,62
2012-07-11,61
2012-07-12,60
2012-07-13,59
2012-07-14,59
2012-07-15,61
2012-07-16,64
2012-07-17,69
2012-07-18,69
2012-07-19,71
2012-07-20,74
2012-07-21,85
2012-07-22,77
2012-07-23,77
2012-07-24,77
2012-07-25,77
2012-07-26,77
2012-07-27,77
2012-07-28,78
2012-07-29,79
2012-07-30,80
2012-07-31,81
2012-08-01,83
2012-08-02,84
2012-08-03,85
2012-08-04,87
2012-08-05,84
2012-08-06,81
2012-08-07,78
2012-08-08,75
2012-08-09,73
2012-08-10,71
2012-08-11,67
2012-08-12,67
2012-08-13,68
2012-08-14,69
2012-08-15,70
2012-08-16,71
2012-08-17,72
2012-08-18,73
2012-08-19,73
2012-08-20,74
2012-08-21,75
2012-08-22,75
2012-08-23,76
2012-08-24,77
2012-08-25,78
2012-08-26,77
2012-08-27,76
2012-08-28,75
2012-08-29,74
2012-08-30,77
2012-08-31,72
2012-09-01,72
2012-09-02,71
2012-09-03,70
2012-09-04,69
2012-09-05,71
2012-09-06,67
2012-09-07,66
2012-09-08,67
2012-09-09,69
2012-09-10,72
2012-09-11,75
2012-09-12,79
2012-09-13,82
2012-09-14,87
2012-09-15,93
2012-09-16,86
2012-09-17,83
2012-09-18,80
2012-09-19,77
2012-09-20,74
2012-09-21,71
2012-09-22,68
2012-09-23,70
2012-09-24,72
2012-09-25,74
2012-09-26,76
2012-09-27,82
2012-09-28,80
2012-09-29,83
2012-09-30,83
2012-10-01,83
2012-10-02,83
2012-10-03,86
2012-10-04,85
2012-10-05,89
2012-10-06,85
2012-10-07,87
2012-10-08,89
2012-10-09,91
2012-10-10,96
2012-10-11,99
2012-10-12,97
2012-10-13,101
2012-10-14,96
2012-10-15,93
2012-10-16,93
2012-10-17,94
2012-10-18,84
2012-10-19,81
2012-10-20,78
2012-10-21,75
2012-10-22,72
2012-10-23,70
2012-10-24,67
2012-10-25,65
2012-10-26,62
2012-10-27,60
2012-10-28,63
2012-10-29,66
2012-10-30,72
2012-10-31,72
