Date,Bravo Brio Restaurant
2010-07-25,67
2010-07-26,65
2010-07-27,64
2010-07-28,63
2010-07-29,61
2010-07-30,60
2010-07-31,59
2010-08-01,58
2010-08-02,58
2010-08-03,59
2010-08-04,60
2010-08-05,60
2010-08-06,61
2010-08-07,62
2010-08-08,62
2010-08-09,63
2010-08-10,64
2010-08-11,64
2010-08-12,65
2010-08-13,66
2010-08-14,66
2010-08-15,67
2010-08-16,68
2010-08-17,68
2010-08-18,69
2010-08-19,70
2010-08-20,70
2010-08-21,71
2010-08-22,72
2010-08-23,72
2010-08-24,73
2010-08-25,74
2010-08-26,74
2010-08-27,75
2010-08-28,76
2010-08-29,76
2010-08-30,77
2010-08-31,78
2010-09-01,79
2010-09-02,79
2010-09-03,80
2010-09-04,81
2010-09-05,81
2010-09-06,82
2010-09-07,83
2010-09-08,83
2010-09-09,84
2010-09-10,85
2010-09-11,86
2010-09-12,86
2010-09-13,87
2010-09-14,88
2010-09-15,88
2010-09-16,89
2010-09-17,90
2010-09-18,90
2010-09-19,91
2010-09-20,92
2010-09-21,93
2010-09-22,93
2010-09-23,94
2010-09-24,95
2010-09-25,95
2010-09-26,96
2010-09-27,97
2010-09-28,97
2010-09-29,98
2010-09-30,99
2010-10-01,100
2010-10-02,98
2010-10-03,97
2010-10-04,95
2010-10-05,94
2010-10-06,92
2010-10-07,91
2010-10-08,90
2010-10-09,88
2010-10-10,87
2010-10-11,85
2010-10-12,84
2010-10-13,82
2010-10-14,81
2010-10-15,80
2010-10-16,78
2010-10-17,77
2010-10-18,75
2010-10-19,74
2010-10-20,73
2010-10-21,71
2010-10-22,70
2010-10-23,68
2010-10-24,67
2010-10-25,65
2010-10-26,64
2010-10-27,63
2010-10-28,61
2010-10-29,60
2010-10-30,58
2010-10-31,57
2010-11-01,56
2010-11-02,57
2010-11-03,58
2010-11-04,59
2010-11-05,60
2010-11-06,61
2010-11-07,62
2010-11-08,63
2010-11-09,64
2010-11-10,65
2010-11-11,66
2010-11-12,67
2010-11-13,68
2010-11-14,69
2010-11-15,70
2010-11-16,71
2010-11-17,72
2010-11-18,73
2010-11-19,74
2010-11-20,75
2010-11-21,76
2010-11-22,77
2010-11-23,78
2010-11-24,79
2010-11-25,80
2010-11-26,81
2010-11-27,82
2010-11-28,83
2010-11-29,84
2010-11-30,85
2010-12-01,87
2010-12-02,86
2010-12-03,86
2010-12-04,85
2010-12-05,85
2010-12-06,85
2010-12-07,84
2010-12-08,84
2010-12-09,84
2010-12-10,83
2010-12-11,83
2010-12-12,83
2010-12-13,82
2010-12-14,82
2010-12-15,82
2010-12-16,81
2010-12-17,81
2010-12-18,80
2010-12-19,80
2010-12-20,80
2010-12-21,79
2010-12-22,79
2010-12-23,79
2010-12-24,78
2010-12-25,78
2010-12-26,78
2010-12-27,77
2010-12-28,77
2010-12-29,77
2010-12-30,76
2010-12-31,76
2011-01-01,76
2011-01-02,76
2011-01-03,76
2011-01-04,76
2011-01-05,76
2011-01-06,76
2011-01-07,76
2011-01-08,76
2011-01-09,77
2011-01-10,77
2011-01-11,77
2011-01-12,77
2011-01-13,77
2011-01-14,77
2011-01-15,77
2011-01-16,77
2011-01-17,78
2011-01-18,78
2011-01-19,78
2011-01-20,78
2011-01-21,78
2011-01-22,78
2011-01-23,78
2011-01-24,78
2011-01-25,79
2011-01-26,79
2011-01-27,79
2011-01-28,79
2011-01-29,79
2011-01-30,79
2011-01-31,79
2011-02-01,80
2011-02-02,80
2011-02-03,80
2011-02-04,80
2011-02-05,80
2011-02-06,81
2011-02-07,81
2011-02-08,81
2011-02-09,81
2011-02-10,81
2011-02-11,82
2011-02-12,82
2011-02-13,82
2011-02-14,82
2011-02-15,83
2011-02-16,83
2011-02-17,83
2011-02-18,83
2011-02-19,83
2011-02-20,84
2011-02-21,84
2011-02-22,84
2011-02-23,84
2011-02-24,84
2011-02-25,85
2011-02-26,85
2011-02-27,85
2011-02-28,85
2011-03-01,86
2011-03-02,85
2011-03-03,85
2011-03-04,84
2011-03-05,84
2011-03-06,83
2011-03-07,83
2011-03-08,83
2011-03-09,82
2011-03-10,82
2011-03-11,81
2011-03-12,81
2011-03-13,80
2011-03-14,80
2011-03-15,80
2011-03-16,79
2011-03-17,79
2011-03-18,78
2011-03-19,78
2011-03-20,78
2011-03-21,77
2011-03-22,77
2011-03-23,76
2011-03-24,76
2011-03-25,75
2011-03-26,75
2011-03-27,75
2011-03-28,74
2011-03-29,74
2011-03-30,73
2011-03-31,73
2011-04-01,73
2011-04-02,73
2011-04-03,73
2011-04-04,74
2011-04-05,74
2011-04-06,75
2011-04-07,75
2011-04-08,76
2011-04-09,76
2011-04-10,77
2011-04-11,77
2011-04-12,78
2011-04-13,78
2011-04-14,79
2011-04-15,79
2011-04-16,80
2011-04-17,80
2011-04-18,80
2011-04-19,81
2011-04-20,81
2011-04-21,82
2011-04-22,82
2011-04-23,83
2011-04-24,83
2011-04-25,84
2011-04-26,84
2011-04-27,85
2011-04-28,85
2011-04-29,86
2011-04-30,86
2011-05-01,87
2011-05-02,85
2011-05-03,84
2011-05-04,83
2011-05-05,82
2011-05-06,81
2011-05-07,80
2011-05-08,79
2011-05-09,78
2011-05-10,77
2011-05-11,76
2011-05-12,75
2011-05-13,74
2011-05-14,73
2011-05-15,72
2011-05-16,71
2011-05-17,69
2011-05-18,68
2011-05-19,67
2011-05-20,66
2011-05-21,65
2011-05-22,64
2011-05-23,63
2011-05-24,62
2011-05-25,61
2011-05-26,60
2011-05-27,59
2011-05-28,58
2011-05-29,57
2011-05-30,56
2011-05-31,55
2011-06-01,54
2011-06-02,54
2011-06-03,55
2011-06-04,55
2011-06-05,56
2011-06-06,56
2011-06-07,57
2011-06-08,57
2011-06-09,58
2011-06-10,58
2011-06-11,59
2011-06-12,59
2011-06-13,60
2011-06-14,60
2011-06-15,61
2011-06-16,61
2011-06-17,62
2011-06-18,62
2011-06-19,63
2011-06-20,63
2011-06-21,64
2011-06-22,64
2011-06-23,65
2011-06-24,65
2011-06-25,66
2011-06-26,66
2011-06-27,67
2011-06-28,67
2011-06-29,68
2011-06-30,68
2011-07-01,69
2011-07-02,69
2011-07-03,69
2011-07-04,69
2011-07-05,69
2011-07-06,69
2011-07-07,69
2011-07-08,69
2011-07-09,69
2011-07-10,69
2011-07-11,69
2011-07-12,69
2011-07-13,69
2011-07-14,69
2011-07-15,69
2011-07-16,69
2011-07-17,69
2011-07-18,69
2011-07-19,69
2011-07-20,69
2011-07-21,69
2011-07-22,69
2011-07-23,69
2011-07-24,69
2011-07-25,69
2011-07-26,69
2011-07-27,69
2011-07-28,69
2011-07-29,69
2011-07-30,69
2011-07-31,69
2011-08-01,69
2011-08-02,69
2011-08-03,69
2011-08-04,69
2011-08-05,69
2011-08-06,69
2011-08-07,69
2011-08-08,69
2011-08-09,69
2011-08-10,69
2011-08-11,69
2011-08-12,69
2011-08-13,69
2011-08-14,69
2011-08-15,69
2011-08-16,69
2011-08-17,69
2011-08-18,69
2011-08-19,69
2011-08-20,69
2011-08-21,69
2011-08-22,69
2011-08-23,69
2011-08-24,69
2011-08-25,69
2011-08-26,69
2011-08-27,69
2011-08-28,69
2011-08-29,69
2011-08-30,69
2011-08-31,69
2011-09-01,70
2011-09-02,69
2011-09-03,69
2011-09-04,69
2011-09-05,68
2011-09-06,68
2011-09-07,68
2011-09-08,67
2011-09-09,67
2011-09-10,67
2011-09-11,66
2011-09-12,66
2011-09-13,66
2011-09-14,65
2011-09-15,65
2011-09-16,65
2011-09-17,64
2011-09-18,64
2011-09-19,64
2011-09-20,63
2011-09-21,63
2011-09-22,63
2011-09-23,62
2011-09-24,62
2011-09-25,62
2011-09-26,61
2011-09-27,61
2011-09-28,61
2011-09-29,60
2011-09-30,60
2011-10-01,60
2011-10-02,59
2011-10-03,59
2011-10-04,59
2011-10-05,59
2011-10-06,59
2011-10-07,58
2011-10-08,58
2011-10-09,58
2011-10-10,58
2011-10-11,58
2011-10-12,57
2011-10-13,57
2011-10-14,57
2011-10-15,57
2011-10-16,57
2011-10-17,56
2011-10-18,56
2011-10-19,56
2011-10-20,56
2011-10-21,56
2011-10-22,55
2011-10-23,55
2011-10-24,55
2011-10-25,55
2011-10-26,55
2011-10-27,54
2011-10-28,54
2011-10-29,54
2011-10-30,54
2011-10-31,54
2011-11-01,54
2011-11-02,54
2011-11-03,55
2011-11-04,55
2011-11-05,56
2011-11-06,57
2011-11-07,57
2011-11-08,58
2011-11-09,58
2011-11-10,59
2011-11-11,60
2011-11-12,60
2011-11-13,61
2011-11-14,61
2011-11-15,62
2011-11-16,63
2011-11-17,63
2011-11-18,64
2011-11-19,64
2011-11-20,65
2011-11-21,66
2011-11-22,66
2011-11-23,67
2011-11-24,67
2011-11-25,68
2011-11-26,69
2011-11-27,69
2011-11-28,70
2011-11-29,70
2011-11-30,71
2011-12-01,72
