Date,Generac
2009-11-02,64
2009-11-03,67
2009-11-04,66
2009-11-05,66
2009-11-06,65
2009-11-07,71
2009-11-08,66
2009-11-09,66
2009-11-10,68
2009-11-11,67
2009-11-12,70
2009-11-13,67
2009-11-14,73
2009-11-15,66
2009-11-16,64
2009-11-17,62
2009-11-18,61
2009-11-19,59
2009-11-20,60
2009-11-21,56
2009-11-22,54
2009-11-23,58
2009-11-24,52
2009-11-25,51
2009-11-26,54
2009-11-27,50
2009-11-28,48
2009-11-29,51
2009-11-30,49
2009-12-01,50
2009-12-02,50
2009-12-03,56
2009-12-04,51
2009-12-05,52
2009-12-06,55
2009-12-07,56
2009-12-08,56
2009-12-09,66
2009-12-10,59
2009-12-11,61
2009-12-12,67
2009-12-13,61
2009-12-14,59
2009-12-15,61
2009-12-16,58
2009-12-17,53
2009-12-18,51
2009-12-19,50
2009-12-20,54
2009-12-21,52
2009-12-22,53
2009-12-23,60
2009-12-24,59
2009-12-25,56
2009-12-26,59
2009-12-27,59
2009-12-28,60
2009-12-29,61
2009-12-30,64
2009-12-31,67
2010-01-01,64
2010-01-02,69
2010-01-03,65
2010-01-04,63
2010-01-05,62
2010-01-06,63
2010-01-07,63
2010-01-08,60
2010-01-09,59
2010-01-10,61
2010-01-11,60
2010-01-12,59
2010-01-13,60
2010-01-14,64
2010-01-15,62
2010-01-16,61
2010-01-17,65
2010-01-18,59
2010-01-19,61
2010-01-20,58
2010-01-21,57
2010-01-22,58
2010-01-23,60
2010-01-24,58
2010-01-25,60
2010-01-26,62
2010-01-27,68
2010-01-28,67
2010-01-29,69
2010-01-30,78
2010-01-31,73
2010-02-01,68
2010-02-02,68
2010-02-03,65
2010-02-04,64
2010-02-05,61
2010-02-06,60
2010-02-07,63
2010-02-08,64
2010-02-09,68
2010-02-10,68
2010-02-11,72
2010-02-12,72
2010-02-13,75
2010-02-14,80
2010-02-15,68
2010-02-16,65
2010-02-17,62
2010-02-18,65
2010-02-19,56
2010-02-20,55
2010-02-21,57
2010-02-22,57
2010-02-23,59
2010-02-24,64
2010-02-25,64
2010-02-26,72
2010-02-27,69
2010-02-28,68
2010-03-01,68
2010-03-02,68
2010-03-03,67
2010-03-04,68
2010-03-05,71
2010-03-06,74
2010-03-07,65
2010-03-08,64
2010-03-09,63
2010-03-10,62
2010-03-11,60
2010-03-12,63
2010-03-13,58
2010-03-14,60
2010-03-15,62
2010-03-16,64
2010-03-17,70
2010-03-18,70
2010-03-19,70
2010-03-20,76
2010-03-21,72
2010-03-22,71
2010-03-23,70
2010-03-24,73
2010-03-25,68
2010-03-26,67
2010-03-27,70
2010-03-28,67
2010-03-29,68
2010-03-30,67
2010-03-31,67
2010-04-01,67
2010-04-02,67
2010-04-03,69
2010-04-04,69
2010-04-05,68
2010-04-06,71
2010-04-07,69
2010-04-08,69
2010-04-09,76
2010-04-10,70
2010-04-11,73
2010-04-12,67
2010-04-13,69
2010-04-14,64
2010-04-15,66
2010-04-16,61
2010-04-17,60
2010-04-18,60
2010-04-19,59
2010-04-20,61
2010-04-21,58
2010-04-22,58
2010-04-23,59
2010-04-24,58
2010-04-25,56
2010-04-26,56
2010-04-27,59
2010-04-28,56
2010-04-29,57
2010-04-30,56
2010-05-01,58
2010-05-02,56
2010-05-03,57
2010-05-04,58
2010-05-05,61
2010-05-06,60
2010-05-07,66
2010-05-08,62
2010-05-09,64
2010-05-10,63
2010-05-11,64
2010-05-12,65
2010-05-13,66
2010-05-14,74
2010-05-15,68
2010-05-16,66
2010-05-17,67
2010-05-18,64
2010-05-19,64
2010-05-20,62
2010-05-21,61
2010-05-22,62
2010-05-23,61
2010-05-24,62
2010-05-25,63
2010-05-26,72
2010-05-27,66
2010-05-28,67
2010-05-29,69
2010-05-30,74
2010-05-31,71
2010-06-01,72
2010-06-02,74
2010-06-03,75
2010-06-04,79
2010-06-05,80
2010-06-06,76
2010-06-07,78
2010-06-08,72
2010-06-09,72
2010-06-10,68
2010-06-11,69
2010-06-12,64
2010-06-13,63
2010-06-14,63
2010-06-15,64
2010-06-16,64
2010-06-17,62
2010-06-18,65
2010-06-19,69
2010-06-20,67
2010-06-21,72
2010-06-22,78
2010-06-23,86
2010-06-24,89
2010-06-25,98
2010-06-26,103
2010-06-27,103
2010-06-28,93
2010-06-29,91
2010-06-30,88
2010-07-01,83
2010-07-02,80
2010-07-03,85
2010-07-04,77
2010-07-05,78
2010-07-06,78
2010-07-07,79
2010-07-08,82
2010-07-09,80
2010-07-10,85
2010-07-11,84
2010-07-12,77
2010-07-13,75
2010-07-14,80
2010-07-15,72
2010-07-16,73
2010-07-17,75
2010-07-18,71
2010-07-19,73
2010-07-20,76
2010-07-21,81
2010-07-22,81
2010-07-23,83
2010-07-24,95
2010-07-25,85
2010-07-26,84
2010-07-27,85
2010-07-28,83
2010-07-29,82
2010-07-30,85
2010-07-31,81
2010-08-01,82
2010-08-02,81
2010-08-03,81
2010-08-04,82
2010-08-05,81
2010-08-06,86
2010-08-07,84
2010-08-08,82
2010-08-09,82
2010-08-10,88
2010-08-11,83
2010-08-12,83
2010-08-13,85
2010-08-14,91
2010-08-15,83
2010-08-16,82
2010-08-17,87
2010-08-18,80
2010-08-19,79
2010-08-20,78
2010-08-21,80
2010-08-22,78
2010-08-23,75
2010-08-24,74
2010-08-25,78
2010-08-26,73
2010-08-27,75
2010-08-28,73
2010-08-29,74
2010-08-30,76
2010-08-31,78
2010-09-01,82
2010-09-02,83
2010-09-03,88
2010-09-04,91
2010-09-05,88
2010-09-06,85
2010-09-07,84
2010-09-08,82
2010-09-09,81
2010-09-10,81
2010-09-11,83
2010-09-12,82
2010-09-13,78
2010-09-14,79
2010-09-15,78
2010-09-16,76
2010-09-17,80
2010-09-18,81
2010-09-19,75
2010-09-20,75
2010-09-21,74
2010-09-22,74
2010-09-23,78
2010-09-24,73
2010-09-25,77
2010-09-26,73
2010-09-27,71
2010-09-28,75
2010-09-29,70
2010-09-30,68
2010-10-01,67
2010-10-02,67
2010-10-03,67
2010-10-04,67
2010-10-05,69
2010-10-06,68
2010-10-07,70
2010-10-08,70
2010-10-09,70
2010-10-10,78
2010-10-11,69
2010-10-12,69
2010-10-13,74
2010-10-14,69
2010-10-15,69
2010-10-16,74
2010-10-17,69
2010-10-18,69
2010-10-19,69
2010-10-20,70
2010-10-21,71
2010-10-22,72
2010-10-23,70
2010-10-24,74
2010-10-25,72
2010-10-26,74
2010-10-27,74
2010-10-28,75
2010-10-29,79
2010-10-30,77
2010-10-31,82
2010-11-01,76
2010-11-02,75
2010-11-03,75
2010-11-04,75
2010-11-05,76
2010-11-06,79
2010-11-07,74
2010-11-08,72
2010-11-09,71
2010-11-10,70
2010-11-11,74
2010-11-12,68
2010-11-13,69
2010-11-14,69
2010-11-15,69
2010-11-16,74
2010-11-17,70
2010-11-18,71
2010-11-19,71
2010-11-20,75
2010-11-21,70
2010-11-22,69
2010-11-23,68
2010-11-24,72
2010-11-25,69
2010-11-26,64
2010-11-27,63
2010-11-28,68
2010-11-29,63
2010-11-30,63
2010-12-01,64
2010-12-02,64
2010-12-03,64
2010-12-04,68
2010-12-05,65
2010-12-06,65
2010-12-07,65
2010-12-08,66
2010-12-09,65
2010-12-10,69
2010-12-11,65
2010-12-12,67
2010-12-13,63
2010-12-14,66
2010-12-15,61
2010-12-16,60
2010-12-17,59
2010-12-18,60
2010-12-19,58
2010-12-20,58
2010-12-21,59
2010-12-22,60
2010-12-23,63
2010-12-24,63
2010-12-25,65
2010-12-26,61
2010-12-27,62
2010-12-28,63
2010-12-29,66
2010-12-30,65
2010-12-31,67
2011-01-01,66
2011-01-02,69
2011-01-03,64
2011-01-04,63
2011-01-05,66
2011-01-06,61
2011-01-07,63
2011-01-08,60
2011-01-09,60
2011-01-10,62
2011-01-11,62
2011-01-12,61
2011-01-13,62
2011-01-14,61
2011-01-15,68
2011-01-16,60
2011-01-17,58
2011-01-18,59
2011-01-19,55
2011-01-20,52
2011-01-21,50
2011-01-22,48
2011-01-23,52
2011-01-24,51
2011-01-25,55
2011-01-26,55
2011-01-27,57
2011-01-28,59
2011-01-29,64
2011-01-30,66
2011-01-31,71
2011-02-01,77
2011-02-02,85
2011-02-03,91
2011-02-04,98
2011-02-05,99
2011-02-06,100
2011-02-07,89
2011-02-08,84
2011-02-09,83
2011-02-10,75
2011-02-11,70
2011-02-12,74
2011-02-13,64
2011-02-14,63
2011-02-15,62
2011-02-16,60
2011-02-17,60
2011-02-18,59
2011-02-19,58
2011-02-20,59
2011-02-21,59
2011-02-22,61
2011-02-23,65
2011-02-24,67
2011-02-25,67
2011-02-26,69
2011-02-27,74
2011-02-28,66
2011-03-01,65
2011-03-02,64
2011-03-03,62
2011-03-04,61
2011-03-05,64
2011-03-06,59
2011-03-07,59
2011-03-08,61
2011-03-09,60
2011-03-10,58
2011-03-11,59
2011-03-12,62
2011-03-13,59
2011-03-14,63
2011-03-15,61
2011-03-16,63
2011-03-17,68
2011-03-18,65
2011-03-19,71
2011-03-20,66
2011-03-21,66
2011-03-22,66
2011-03-23,66
2011-03-24,66
2011-03-25,66
2011-03-26,68
2011-03-27,64
2011-03-28,63
2011-03-29,63
2011-03-30,62
2011-03-31,62
