Date,Sabre Industries
2011-02-15,58
2011-02-16,58
2011-02-17,58
2011-02-18,57
2011-02-19,57
2011-02-20,57
2011-02-21,57
2011-02-22,56
2011-02-23,56
2011-02-24,56
2011-02-25,56
2011-02-26,55
2011-02-27,55
2011-02-28,55
2011-03-01,55
2011-03-02,54
2011-03-03,54
2011-03-04,54
2011-03-05,54
2011-03-06,54
2011-03-07,54
2011-03-08,54
2011-03-09,54
2011-03-10,54
2011-03-11,54
2011-03-12,54
2011-03-13,54
2011-03-14,54
2011-03-15,54
2011-03-16,54
2011-03-17,54
2011-03-18,54
2011-03-19,54
2011-03-20,54
2011-03-21,54
2011-03-22,54
2011-03-23,54
2011-03-24,54
2011-03-25,54
2011-03-26,54
2011-03-27,54
2011-03-28,54
2011-03-29,54
2011-03-30,54
2011-03-31,54
2011-04-01,54
2011-04-02,54
2011-04-03,54
2011-04-04,54
2011-04-05,54
2011-04-06,54
2011-04-07,55
2011-04-08,55
2011-04-09,55
2011-04-10,55
2011-04-11,55
2011-04-12,55
2011-04-13,56
2011-04-14,56
2011-04-15,56
2011-04-16,56
2011-04-17,56
2011-04-18,56
2011-04-19,57
2011-04-20,57
2011-04-21,57
2011-04-22,57
2011-04-23,57
2011-04-24,57
2011-04-25,58
2011-04-26,58
2011-04-27,58
2011-04-28,58
2011-04-29,58
2011-04-30,58
2011-05-01,59
2011-05-02,58
2011-05-03,58
2011-05-04,58
2011-05-05,58
2011-05-06,57
2011-05-07,57
2011-05-08,57
2011-05-09,57
2011-05-10,56
2011-05-11,56
2011-05-12,56
2011-05-13,56
2011-05-14,56
2011-05-15,55
2011-05-16,55
2011-05-17,55
2011-05-18,55
2011-05-19,54
2011-05-20,54
2011-05-21,54
2011-05-22,54
2011-05-23,54
2011-05-24,53
2011-05-25,53
2011-05-26,53
2011-05-27,53
2011-05-28,52
2011-05-29,52
2011-05-30,52
2011-05-31,52
2011-06-01,52
2011-06-02,52
2011-06-03,53
2011-06-04,53
2011-06-05,54
2011-06-06,54
2011-06-07,55
2011-06-08,55
2011-06-09,56
2011-06-10,57
2011-06-11,57
2011-06-12,58
2011-06-13,58
2011-06-14,59
2011-06-15,59
2011-06-16,60
2011-06-17,61
2011-06-18,61
2011-06-19,62
2011-06-20,62
2011-06-21,63
2011-06-22,63
2011-06-23,64
2011-06-24,65
2011-06-25,65
2011-06-26,66
2011-06-27,66
2011-06-28,67
2011-06-29,67
2011-06-30,68
2011-07-01,69
2011-07-02,68
2011-07-03,67
2011-07-04,67
2011-07-05,66
2011-07-06,66
2011-07-07,65
2011-07-08,65
2011-07-09,64
2011-07-10,64
2011-07-11,63
2011-07-12,63
2011-07-13,62
2011-07-14,62
2011-07-15,61
2011-07-16,61
2011-07-17,60
2011-07-18,60
2011-07-19,59
2011-07-20,59
2011-07-21,58
2011-07-22,58
2011-07-23,57
2011-07-24,57
2011-07-25,56
2011-07-26,56
2011-07-27,55
2011-07-28,55
2011-07-29,54
2011-07-30,54
2011-07-31,53
2011-08-01,53
2011-08-02,52
2011-08-03,51
2011-08-04,50
2011-08-05,50
2011-08-06,49
2011-08-07,48
2011-08-08,48
2011-08-09,47
2011-08-10,46
2011-08-11,45
2011-08-12,45
2011-08-13,44
2011-08-14,43
2011-08-15,43
2011-08-16,42
2011-08-17,41
2011-08-18,40
2011-08-19,40
2011-08-20,39
2011-08-21,38
2011-08-22,38
2011-08-23,37
2011-08-24,36
2011-08-25,35
2011-08-26,35
2011-08-27,34
2011-08-28,33
2011-08-29,33
2011-08-30,32
2011-08-31,31
2011-09-01,31
