Date,Qualys
2013-05-17,86
2013-05-18,88
2013-05-19,82
2013-05-20,82
2013-05-21,82
2013-05-22,85
2013-05-23,84
2013-05-24,82
2013-05-25,87
2013-05-26,80
2013-05-27,78
2013-05-28,76
2013-05-29,75
2013-05-30,78
2013-05-31,71
2013-06-01,70
2013-06-02,71
2013-06-03,70
2013-06-04,74
2013-06-05,72
2013-06-06,70
2013-06-07,70
2013-06-08,76
2013-06-09,72
2013-06-10,73
2013-06-11,75
2013-06-12,78
2013-06-13,84
2013-06-14,79
2013-06-15,81
2013-06-16,80
2013-06-17,79
2013-06-18,78
2013-06-19,78
2013-06-20,81
2013-06-21,82
2013-06-22,76
2013-06-23,75
2013-06-24,75
2013-06-25,75
2013-06-26,75
2013-06-27,75
2013-06-28,75
2013-06-29,80
2013-06-30,72
2013-07-01,69
2013-07-02,67
2013-07-03,64
2013-07-04,62
2013-07-05,61
2013-07-06,57
2013-07-07,60
2013-07-08,63
2013-07-09,70
2013-07-10,69
2013-07-11,72
2013-07-12,80
2013-07-13,84
2013-07-14,77
2013-07-15,76
2013-07-16,82
2013-07-17,73
2013-07-18,73
2013-07-19,77
2013-07-20,69
2013-07-21,69
2013-07-22,69
2013-07-23,70
2013-07-24,70
2013-07-25,75
2013-07-26,71
2013-07-27,72
2013-07-28,72
2013-07-29,73
2013-07-30,73
2013-07-31,78
2013-08-01,74
2013-08-02,78
2013-08-03,77
2013-08-04,75
2013-08-05,74
2013-08-06,73
2013-08-07,73
2013-08-08,74
2013-08-09,79
2013-08-10,71
2013-08-11,70
2013-08-12,70
2013-08-13,70
2013-08-14,70
2013-08-15,72
2013-08-16,70
2013-08-17,74
2013-08-18,69
2013-08-19,69
2013-08-20,69
2013-08-21,74
2013-08-22,70
2013-08-23,76
2013-08-24,73
2013-08-25,71
2013-08-26,72
2013-08-27,72
2013-08-28,73
2013-08-29,76
2013-08-30,74
2013-08-31,75
2013-09-01,72
2013-09-02,73
2013-09-03,68
2013-09-04,63
2013-09-05,64
