Date,Aspen Technology Inc
2009-05-16,67
2009-05-17,64
2009-05-18,61
2009-05-19,59
2009-05-20,56
2009-05-21,54
2009-05-22,51
2009-05-23,49
2009-05-24,48
2009-05-25,47
2009-05-26,46
2009-05-27,46
2009-05-28,45
2009-05-29,44
2009-05-30,44
2009-05-31,45
2009-06-01,46
2009-06-02,47
2009-06-03,50
2009-06-04,49
2009-06-05,50
2009-06-06,51
2009-06-07,51
2009-06-08,52
2009-06-09,53
2009-06-10,56
2009-06-11,54
2009-06-12,55
2009-06-13,56
2009-06-14,54
2009-06-15,53
2009-06-16,51
2009-06-17,50
2009-06-18,48
2009-06-19,48
2009-06-20,46
2009-06-21,48
2009-06-22,50
2009-06-23,52
2009-06-24,55
2009-06-25,57
2009-06-26,59
2009-06-27,62
2009-06-28,59
2009-06-29,57
2009-06-30,55
2009-07-01,53
2009-07-02,52
2009-07-03,49
2009-07-04,47
2009-07-05,50
2009-07-06,53
2009-07-07,56
2009-07-08,60
2009-07-09,64
2009-07-10,67
2009-07-11,70
2009-07-12,66
2009-07-13,62
2009-07-14,59
2009-07-15,56
2009-07-16,52
2009-07-17,48
2009-07-18,45
2009-07-19,48
2009-07-20,51
2009-07-21,54
2009-07-22,58
2009-07-23,63
2009-07-24,65
2009-07-25,68
2009-07-26,65
2009-07-27,62
2009-07-28,59
2009-07-29,56
2009-07-30,53
2009-07-31,50
2009-08-01,48
2009-08-02,47
2009-08-03,46
2009-08-04,45
2009-08-05,45
2009-08-06,44
2009-08-07,43
2009-08-08,43
2009-08-09,45
2009-08-10,47
2009-08-11,49
2009-08-12,51
2009-08-13,54
2009-08-14,55
2009-08-15,57
2009-08-16,55
2009-08-17,53
2009-08-18,52
2009-08-19,50
2009-08-20,49
2009-08-21,47
2009-08-22,46
2009-08-23,47
2009-08-24,48
2009-08-25,51
2009-08-26,50
2009-08-27,51
2009-08-28,52
2009-08-29,53
2009-08-30,52
2009-08-31,52
2009-09-01,51
2009-09-02,52
2009-09-03,50
2009-09-04,50
2009-09-05,50
2009-09-06,49
2009-09-07,49
2009-09-08,49
2009-09-09,48
2009-09-10,48
2009-09-11,48
2009-09-12,48
2009-09-13,50
2009-09-14,57
2009-09-15,56
2009-09-16,61
2009-09-17,61
2009-09-18,64
2009-09-19,67
2009-09-20,67
2009-09-21,68
2009-09-22,69
2009-09-23,76
2009-09-24,71
2009-09-25,73
2009-09-26,73
2009-09-27,69
2009-09-28,65
2009-09-29,61
2009-09-30,58
2009-10-01,54
2009-10-02,50
2009-10-03,47
2009-10-04,48
2009-10-05,49
2009-10-06,50
2009-10-07,54
2009-10-08,52
2009-10-09,54
2009-10-10,54
2009-10-11,52
2009-10-12,51
2009-10-13,50
2009-10-14,51
2009-10-15,48
2009-10-16,46
2009-10-17,45
2009-10-18,46
2009-10-19,47
2009-10-20,48
2009-10-21,50
2009-10-22,51
2009-10-23,52
2009-10-24,54
2009-10-25,54
2009-10-26,54
2009-10-27,54
2009-10-28,57
2009-10-29,56
2009-10-30,54
2009-10-31,59
2009-11-01,56
2009-11-02,58
2009-11-03,60
2009-11-04,62
2009-11-05,64
2009-11-06,66
2009-11-07,72
2009-11-08,65
2009-11-09,62
2009-11-10,59
2009-11-11,56
2009-11-12,53
2009-11-13,50
2009-11-14,47
2009-11-15,48
2009-11-16,49
2009-11-17,50
2009-11-18,51
2009-11-19,52
2009-11-20,58
2009-11-21,55
2009-11-22,53
2009-11-23,52
2009-11-24,51
2009-11-25,49
2009-11-26,48
2009-11-27,47
2009-11-28,46
2009-11-29,45
2009-11-30,45
2009-12-01,45
2009-12-02,45
2009-12-03,45
2009-12-04,47
2009-12-05,45
2009-12-06,46
2009-12-07,47
2009-12-08,48
2009-12-09,49
2009-12-10,50
2009-12-11,51
2009-12-12,53
2009-12-13,50
2009-12-14,49
2009-12-15,48
2009-12-16,46
2009-12-17,45
2009-12-18,44
2009-12-19,43
2009-12-20,42
2009-12-21,41
2009-12-22,40
2009-12-23,39
2009-12-24,38
2009-12-25,37
2009-12-26,37
2009-12-27,36
2009-12-28,35
2009-12-29,35
2009-12-30,34
2009-12-31,34
