Date,Ngtv
2007-09-14,77
2007-09-15,77
2007-09-16,77
2007-09-17,76
2007-09-18,76
2007-09-19,76
2007-09-20,75
2007-09-21,75
2007-09-22,75
2007-09-23,74
2007-09-24,74
2007-09-25,74
2007-09-26,73
2007-09-27,73
2007-09-28,73
2007-09-29,72
2007-09-30,72
2007-10-07,72
2007-10-08,72
2007-10-09,72
2007-10-10,72
2007-10-11,72
2007-10-12,72
2007-10-13,72
2007-10-14,72
2007-10-15,73
2007-10-16,73
2007-10-17,73
2007-10-18,73
2007-10-19,74
2007-10-20,74
2007-10-21,74
2007-10-22,73
2007-10-23,73
2007-10-24,73
2007-10-25,73
2007-10-26,73
2007-10-27,73
2007-10-28,73
2007-10-29,73
2007-10-30,73
2007-10-31,73
2007-11-01,74
2007-11-02,73
2007-11-03,73
2007-11-04,72
2007-11-05,72
2007-11-06,72
2007-11-07,72
2007-11-08,71
2007-11-09,71
2007-11-10,70
2007-11-11,70
2007-11-12,68
2007-11-13,68
2007-11-14,67
2007-11-15,67
2007-11-16,66
2007-11-17,66
2007-11-18,65
2007-11-19,65
2007-11-20,65
2007-11-21,64
2007-11-22,64
2007-11-23,63
2007-11-24,63
2007-11-25,62
2007-11-26,61
2007-11-27,61
2007-11-28,60
2007-11-29,60
2007-11-30,59
2007-12-01,59
2007-12-02,59
2007-12-03,59
2007-12-04,59
2007-12-05,59
2007-12-06,59
2007-12-07,60
2007-12-08,60
2007-12-09,60
2007-12-10,61
2007-12-11,61
2007-12-12,61
2007-12-13,62
2007-12-14,62
2007-12-15,62
2007-12-16,63
2007-12-17,62
2007-12-18,62
2007-12-19,62
2007-12-20,62
2007-12-21,62
2007-12-22,63
2007-12-23,63
2007-12-24,63
2007-12-25,63
2007-12-26,63
2007-12-27,64
2007-12-28,64
2007-12-29,64
2007-12-30,64
