Date,LipoScience
2011-12-26,71
2011-12-27,71
2011-12-28,72
2011-12-29,73
2011-12-30,73
2011-12-31,74
2012-01-01,75
2012-01-02,74
2012-01-03,74
2012-01-04,74
2012-01-05,74
2012-01-06,74
2012-01-07,73
2012-01-08,73
2012-01-09,73
2012-01-10,73
2012-01-11,73
2012-01-12,72
2012-01-13,72
2012-01-14,72
2012-01-15,72
2012-01-16,72
2012-01-17,71
2012-01-18,71
2012-01-19,71
2012-01-20,71
2012-01-21,71
2012-01-22,70
2012-01-23,70
2012-01-24,70
2012-01-25,70
2012-01-26,70
2012-01-27,69
2012-01-28,69
2012-01-29,69
2012-01-30,69
2012-01-31,69
2012-02-01,69
2012-02-02,68
2012-02-03,67
2012-02-04,66
2012-02-05,65
2012-02-06,64
2012-02-07,63
2012-02-08,62
2012-02-09,61
2012-02-10,60
2012-02-11,59
2012-02-12,58
2012-02-13,57
2012-02-14,56
2012-02-15,55
2012-02-16,55
2012-02-17,54
2012-02-18,53
2012-02-19,52
2012-02-20,51
2012-02-21,50
2012-02-22,49
2012-02-23,48
2012-02-24,47
2012-02-25,46
2012-02-26,45
2012-02-27,44
2012-02-28,43
2012-02-29,42
2012-03-01,42
2012-03-02,43
2012-03-03,44
2012-03-04,45
2012-03-05,46
2012-03-06,47
2012-03-07,48
2012-03-08,49
2012-03-09,50
2012-03-10,51
2012-03-11,52
2012-03-12,53
2012-03-13,54
2012-03-14,55
2012-03-15,56
2012-03-16,57
2012-03-17,59
2012-03-18,60
2012-03-19,61
2012-03-20,62
2012-03-21,63
2012-03-22,64
2012-03-23,65
2012-03-24,66
2012-03-25,67
2012-03-26,68
2012-03-27,69
2012-03-28,70
2012-03-29,71
2012-03-30,72
2012-03-31,73
2012-04-01,75
2012-04-02,74
2012-04-03,73
2012-04-04,72
2012-04-05,71
2012-04-06,71
2012-04-07,70
2012-04-08,69
2012-04-09,68
2012-04-10,68
2012-04-11,67
2012-04-12,66
2012-04-13,65
2012-04-14,65
2012-04-15,64
2012-04-16,63
2012-04-17,62
2012-04-18,61
2012-04-19,61
2012-04-20,60
2012-04-21,59
2012-04-22,58
2012-04-23,58
2012-04-24,57
2012-04-25,56
2012-04-26,55
2012-04-27,55
2012-04-28,54
2012-04-29,53
2012-04-30,52
2012-05-01,52
2012-05-02,52
2012-05-03,53
2012-05-04,54
2012-05-05,55
2012-05-06,56
2012-05-07,57
2012-05-08,58
2012-05-09,59
2012-05-10,60
2012-05-11,61
2012-05-12,62
2012-05-13,63
2012-05-14,64
2012-05-15,65
2012-05-16,66
2012-05-17,67
2012-05-18,68
2012-05-19,69
2012-05-20,70
2012-05-21,71
2012-05-22,72
2012-05-23,73
2012-05-24,74
2012-05-25,75
2012-05-26,76
2012-05-27,77
2012-05-28,78
2012-05-29,79
2012-05-30,80
2012-05-31,81
2012-06-01,82
2012-06-02,81
2012-06-03,80
2012-06-04,79
2012-06-05,78
2012-06-06,77
2012-06-07,76
2012-06-08,75
2012-06-09,74
2012-06-10,73
2012-06-11,72
2012-06-12,71
2012-06-13,70
2012-06-14,69
2012-06-15,68
2012-06-16,68
2012-06-17,67
2012-06-18,66
2012-06-19,65
2012-06-20,64
2012-06-21,63
2012-06-22,62
2012-06-23,61
2012-06-24,60
2012-06-25,59
2012-06-26,58
2012-06-27,57
2012-06-28,56
2012-06-29,55
2012-06-30,54
2012-07-01,54
2012-07-02,54
2012-07-03,54
2012-07-04,55
2012-07-05,55
2012-07-06,55
2012-07-07,56
2012-07-08,56
2012-07-09,57
2012-07-10,57
2012-07-11,57
2012-07-12,58
2012-07-13,58
2012-07-14,59
2012-07-15,59
2012-07-16,59
2012-07-17,60
2012-07-18,60
2012-07-19,60
2012-07-20,61
2012-07-21,61
2012-07-22,62
2012-07-23,62
2012-07-24,62
2012-07-25,63
2012-07-26,63
2012-07-27,64
2012-07-28,64
2012-07-29,64
2012-07-30,65
2012-07-31,65
2012-08-01,66
2012-08-02,66
2012-08-03,66
2012-08-04,66
2012-08-05,66
2012-08-06,66
2012-08-07,66
2012-08-08,67
2012-08-09,67
2012-08-10,67
2012-08-11,67
2012-08-12,67
2012-08-13,67
2012-08-14,68
2012-08-15,68
2012-08-16,68
2012-08-17,68
2012-08-18,68
2012-08-19,68
2012-08-20,69
2012-08-21,69
2012-08-22,69
2012-08-23,69
2012-08-24,69
2012-08-25,69
2012-08-26,70
2012-08-27,70
2012-08-28,70
2012-08-29,70
2012-08-30,70
2012-08-31,70
2012-09-01,71
2012-09-02,70
2012-09-03,69
2012-09-04,69
2012-09-05,68
2012-09-06,68
2012-09-07,67
2012-09-08,67
2012-09-09,66
2012-09-10,66
2012-09-11,65
2012-09-12,65
2012-09-13,64
2012-09-14,64
2012-09-15,63
2012-09-16,63
2012-09-17,62
2012-09-18,61
2012-09-19,61
2012-09-20,60
2012-09-21,60
2012-09-22,59
2012-09-23,59
2012-09-24,58
2012-09-25,58
2012-09-26,57
2012-09-27,57
2012-09-28,56
2012-09-29,56
2012-09-30,55
2012-10-01,55
2012-10-02,55
2012-10-03,55
2012-10-04,56
2012-10-05,56
2012-10-06,57
2012-10-07,57
2012-10-08,58
2012-10-09,58
2012-10-10,59
2012-10-11,59
2012-10-12,59
2012-10-13,60
2012-10-14,60
2012-10-15,61
2012-10-16,61
2012-10-17,62
2012-10-18,62
2012-10-19,63
2012-10-20,63
2012-10-21,64
2012-10-22,64
2012-10-23,64
2012-10-24,65
2012-10-25,65
2012-10-26,66
2012-10-27,66
2012-10-28,67
2012-10-29,67
2012-10-30,68
2012-10-31,68
2012-11-01,69
2012-11-02,68
2012-11-03,67
2012-11-04,66
2012-11-05,65
2012-11-06,64
2012-11-07,64
2012-11-08,63
2012-11-09,62
2012-11-10,61
2012-11-11,60
2012-11-12,59
2012-11-13,59
2012-11-14,58
2012-11-15,57
2012-11-16,56
2012-11-17,55
2012-11-18,54
2012-11-19,54
2012-11-20,53
2012-11-21,52
2012-11-22,51
2012-11-23,50
2012-11-24,49
2012-11-25,49
2012-11-26,48
2012-11-27,47
2012-11-28,46
2012-11-29,45
2012-11-30,44
