Date,Friendfinder Networks
2011-05-04,46
2011-05-05,44
2011-05-06,42
2011-05-07,41
2011-05-08,43
2011-05-09,45
2011-05-10,47
2011-05-11,49
2011-05-12,51
2011-05-13,53
2011-05-14,56
2011-05-15,52
2011-05-16,48
2011-05-17,45
2011-05-18,41
2011-05-19,38
2011-05-20,35
2011-05-21,32
2011-05-22,31
2011-05-23,31
2011-05-24,30
2011-05-25,30
2011-05-26,29
2011-05-27,29
2011-05-28,29
2011-05-29,29
2011-05-30,29
2011-05-31,30
2011-06-01,30
2011-06-02,31
2011-06-03,31
2011-06-04,32
2011-06-05,32
2011-06-06,33
2011-06-07,34
2011-06-08,34
2011-06-09,35
2011-06-10,36
2011-06-11,37
2011-06-12,39
2011-06-13,41
2011-06-14,43
2011-06-15,46
2011-06-16,48
2011-06-17,50
2011-06-18,52
2011-06-19,53
2011-06-20,54
2011-06-21,55
2011-06-22,57
2011-06-23,58
2011-06-24,59
2011-06-25,61
2011-06-26,58
2011-06-27,55
2011-06-28,52
2011-06-29,49
2011-06-30,46
2011-07-01,43
2011-07-02,41
2011-07-03,47
2011-07-04,53
2011-07-05,59
2011-07-06,66
2011-07-07,72
2011-07-08,78
2011-07-09,85
2011-07-10,87
2011-07-11,89
2011-07-12,91
2011-07-13,93
2011-07-14,96
2011-07-15,98
2011-07-16,100
2011-07-17,96
2011-07-18,91
2011-07-19,87
2011-07-20,83
2011-07-21,78
2011-07-22,74
2011-07-23,70
2011-07-24,69
2011-07-25,68
2011-07-26,67
2011-07-27,66
2011-07-28,65
2011-07-29,64
2011-07-30,64
2011-07-31,65
2011-08-07,73
2011-08-08,75
2011-08-09,77
2011-08-10,79
2011-08-11,81
2011-08-12,83
2011-08-13,85
2011-08-14,84
2011-08-15,83
2011-08-16,82
2011-08-17,82
2011-08-18,81
2011-08-19,80
2011-08-20,80
2011-08-21,80
2011-08-22,82
2011-08-23,83
2011-08-24,84
2011-08-25,85
2011-08-26,85
2011-08-27,86
2011-08-28,83
2011-08-29,78
2011-08-30,75
2011-08-31,72
2011-09-01,69
2011-09-02,66
2011-09-03,63
2011-09-04,62
2011-09-05,62
2011-09-06,62
2011-09-07,61
2011-09-08,61
2011-09-09,61
2011-09-10,61
2011-09-11,65
2011-09-12,70
2011-09-13,75
2011-09-14,80
2011-09-15,84
2011-09-16,89
2011-09-17,94
2011-09-18,88
2011-09-19,81
2011-09-20,75
2011-09-21,69
2011-09-22,63
2011-09-23,58
2011-09-24,52
2011-09-25,55
2011-09-26,58
2011-09-27,61
2011-09-28,64
2011-09-29,67
2011-09-30,70
2011-10-01,73
2011-10-02,71
2011-10-03,70
2011-10-04,69
2011-10-05,68
2011-10-06,67
2011-10-07,66
2011-10-08,65
2011-10-09,62
2011-10-10,60
2011-10-11,57
2011-10-12,55
2011-10-13,52
2011-10-14,50
2011-10-15,47
2011-10-16,46
2011-10-17,43
2011-10-18,42
2011-10-19,40
2011-10-20,39
2011-10-21,37
2011-10-22,36
2011-10-23,40
2011-10-24,45
2011-10-25,50
2011-10-26,55
2011-10-27,59
2011-10-28,64
2011-10-29,69
2011-10-30,69
2011-11-06,69
2011-11-07,69
2011-11-08,68
2011-11-09,68
2011-11-10,67
2011-11-11,67
2011-11-12,66
2011-11-13,63
2011-11-14,58
2011-11-15,55
2011-11-16,51
2011-11-17,47
2011-11-18,43
2011-11-19,40
2011-11-20,42
2011-11-21,45
2011-11-22,47
2011-11-23,50
2011-11-24,52
2011-11-25,55
2011-11-26,58
2011-11-27,58
2011-11-28,58
2011-11-29,58
2011-11-30,58
2011-12-01,58
2011-12-02,59
2011-12-03,59
2011-12-04,58
2011-12-05,57
2011-12-06,56
2011-12-07,56
2011-12-08,55
2011-12-09,54
2011-12-10,54
2011-12-11,55
2011-12-12,56
2011-12-13,57
2011-12-14,58
2011-12-15,59
2011-12-16,60
2011-12-17,62
2011-12-18,62
2011-12-19,62
2011-12-20,62
2011-12-21,62
2011-12-22,62
2011-12-23,62
2011-12-24,62
2011-12-25,61
2011-12-26,59
2011-12-27,57
2011-12-28,56
2011-12-29,54
2011-12-30,53
2011-12-31,52
2012-01-01,57
2012-01-02,64
2012-01-03,70
2012-01-04,76
2012-01-05,82
2012-01-06,88
2012-01-07,94
2012-01-08,88
2012-01-09,82
2012-01-10,76
2012-01-11,70
2012-01-12,65
2012-01-13,59
2012-01-14,54
2012-01-15,53
2012-01-16,53
2012-01-17,52
2012-01-18,52
2012-01-19,51
2012-01-20,51
2012-01-21,51
2012-01-22,52
2012-01-23,53
2012-01-24,54
2012-01-25,55
2012-01-26,56
2012-01-27,57
2012-01-28,58
2012-01-29,58
2012-02-05,61
2012-02-06,61
2012-02-07,61
2012-02-08,61
2012-02-09,61
2012-02-10,61
2012-02-11,62
2012-02-12,64
2012-02-13,67
2012-02-14,69
2012-02-15,71
2012-02-16,74
2012-02-17,76
2012-02-18,78
2012-02-19,77
2012-02-20,76
2012-02-21,75
2012-02-22,74
2012-02-23,73
2012-02-24,72
2012-02-25,71
2012-02-26,72
2012-02-27,73
2012-02-28,74
2012-02-29,75
2012-03-01,76
2012-03-02,77
2012-03-03,78
2012-03-04,75
2012-03-05,74
2012-03-06,72
2012-03-07,69
2012-03-08,67
2012-03-09,65
2012-03-10,63
2012-03-11,61
2012-03-12,58
2012-03-13,56
2012-03-14,54
2012-03-15,52
2012-03-16,50
2012-03-17,48
2012-03-18,49
2012-03-19,50
2012-03-20,51
2012-03-21,52
2012-03-22,53
2012-03-23,54
2012-03-24,55
2012-03-25,55
2012-03-26,55
2012-03-27,56
2012-03-28,56
2012-03-29,56
2012-03-30,57
2012-03-31,57
2012-04-01,58
2012-04-02,58
2012-04-03,59
2012-04-04,59
2012-04-05,60
2012-04-06,61
2012-04-07,62
2012-04-08,60
2012-04-09,59
2012-04-10,58
2012-04-11,57
2012-04-12,56
2012-04-13,55
2012-04-14,54
2012-04-15,55
2012-04-16,57
2012-04-17,58
2012-04-18,60
2012-04-19,61
2012-04-20,63
2012-04-21,65
2012-04-22,66
2012-04-23,68
2012-04-24,70
2012-04-25,72
2012-04-26,73
2012-04-27,75
2012-04-28,77
2012-04-29,75
2012-05-06,62
2012-05-07,59
2012-05-08,57
2012-05-09,54
2012-05-10,52
2012-05-11,49
2012-05-12,47
2012-05-13,49
2012-05-14,52
2012-05-15,54
2012-05-16,56
2012-05-17,59
2012-05-18,61
2012-05-19,63
2012-05-20,59
2012-05-21,54
2012-05-22,50
2012-05-23,46
2012-05-24,42
2012-05-25,38
2012-05-26,34
2012-05-27,38
2012-05-28,43
2012-05-29,47
2012-05-30,52
2012-05-31,56
2012-06-01,61
2012-06-02,66
2012-06-03,65
2012-06-04,65
2012-06-05,64
2012-06-06,64
2012-06-07,64
2012-06-08,63
2012-06-09,63
2012-06-10,64
2012-06-11,64
2012-06-12,65
2012-06-13,66
2012-06-14,67
2012-06-15,68
2012-06-16,69
2012-06-17,69
2012-06-18,70
2012-06-19,71
2012-06-20,71
2012-06-21,72
2012-06-22,73
2012-06-23,73
2012-06-24,69
2012-06-25,62
2012-06-26,57
2012-06-27,52
2012-06-28,47
2012-06-29,42
2012-06-30,38
2012-07-01,35
2012-07-02,33
2012-07-03,31
2012-07-04,29
2012-07-05,27
2012-07-06,25
2012-07-07,23
2012-07-08,24
2012-07-09,26
2012-07-10,28
2012-07-11,30
2012-07-12,32
2012-07-13,34
2012-07-14,36
2012-07-15,35
2012-07-16,34
2012-07-17,33
2012-07-18,32
2012-07-19,31
2012-07-20,30
2012-07-21,30
2012-07-22,30
2012-07-23,30
2012-07-24,30
2012-07-25,31
2012-07-26,31
2012-07-27,32
2012-07-28,33
2012-07-29,30
2012-08-01,30
2012-08-02,30
2012-08-03,30
2012-08-04,30
2012-08-05,30
2012-08-06,30
2012-08-07,30
2012-08-08,30
2012-08-09,30
2012-08-10,30
2012-08-11,31
2012-08-12,31
2012-08-13,31
2012-08-14,31
2012-08-15,31
2012-08-16,31
2012-08-17,31
2012-08-18,32
2012-08-19,32
2012-08-20,32
2012-08-21,32
2012-08-22,32
2012-08-23,32
2012-08-24,32
2012-08-25,32
2012-08-26,27
2012-08-27,22
2012-08-28,18
2012-08-29,13
2012-08-30,9
2012-08-31,4
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,3
2012-10-08,6
2012-10-09,9
2012-10-10,12
2012-10-11,15
2012-10-12,18
2012-10-13,21
2012-10-14,21
2012-10-15,21
2012-10-16,21
2012-10-17,21
2012-10-18,21
2012-10-19,21
2012-10-20,22
2012-10-21,22
2012-10-22,23
2012-10-23,24
2012-10-24,24
2012-10-25,25
2012-10-26,26
2012-10-27,27
2012-10-28,26
2012-10-29,26
2012-10-30,26
2012-10-31,26
