Date,Reliant
2008-04-07,30
2008-04-08,31
2008-04-09,33
2008-04-10,34
2008-04-11,36
2008-04-12,38
2008-04-13,35
2008-04-14,33
2008-04-15,31
2008-04-16,29
2008-04-17,27
2008-04-18,25
2008-04-19,23
2008-04-20,23
2008-04-21,23
2008-04-22,23
2008-04-23,23
2008-04-24,24
2008-04-25,24
2008-04-26,25
2008-04-27,23
2008-05-04,23
2008-05-05,23
2008-05-06,23
2008-05-07,23
2008-05-08,23
2008-05-09,23
2008-05-10,23
2008-05-11,23
2008-05-12,29
2008-05-13,23
2008-05-14,23
2008-05-15,23
2008-05-16,23
2008-05-17,23
2008-05-18,23
2008-05-19,23
2008-05-20,23
2008-05-21,23
2008-05-22,23
2008-05-23,23
2008-05-24,24
2008-05-25,24
2008-05-26,24
2008-05-27,24
2008-05-28,24
2008-05-29,24
2008-05-30,24
2008-05-31,25
2008-06-01,24
2008-06-02,24
2008-06-03,23
2008-06-04,23
2008-06-05,22
2008-06-06,22
2008-06-07,22
2008-06-08,26
2008-06-09,30
2008-06-10,35
2008-06-11,39
2008-06-12,43
2008-06-13,48
2008-06-14,52
2008-06-15,49
2008-06-16,46
2008-06-17,43
2008-06-18,40
2008-06-19,37
2008-06-20,34
2008-06-21,32
2008-06-22,32
2008-06-23,32
2008-06-24,32
2008-06-25,32
2008-06-26,32
2008-06-27,32
2008-06-28,32
2008-06-29,31
2008-06-30,30
2008-07-01,29
2008-07-02,29
2008-07-03,28
2008-07-04,27
2008-07-05,27
2008-07-06,27
2008-07-07,27
2008-07-08,27
2008-07-09,27
2008-07-10,27
2008-07-11,27
2008-07-12,27
2008-07-13,27
2008-07-14,27
2008-07-15,27
2008-07-16,27
2008-07-17,27
2008-07-18,27
2008-07-19,27
2008-07-20,27
2008-07-21,27
2008-07-22,27
2008-07-23,27
2008-07-24,27
2008-07-25,27
2008-07-26,27
2008-07-27,27
2008-08-03,26
2008-08-04,26
2008-08-05,26
2008-08-06,25
2008-08-07,25
2008-08-08,25
2008-08-09,25
2008-08-10,25
2008-08-11,25
2008-08-12,25
2008-08-13,25
2008-08-14,25
2008-08-15,25
2008-08-16,25
2008-08-17,25
2008-08-18,25
2008-08-19,25
2008-08-20,25
2008-08-21,25
2008-08-22,25
2008-08-23,25
2008-08-24,25
2008-08-25,24
2008-08-26,24
2008-08-27,23
2008-08-28,23
2008-08-29,23
2008-08-30,23
2008-08-31,23
2008-09-01,23
2008-09-02,23
2008-09-03,23
2008-09-04,23
2008-09-05,23
2008-09-06,23
2008-09-07,23
2008-09-08,24
2008-09-09,24
2008-09-10,25
2008-09-11,25
2008-09-12,26
2008-09-13,27
2008-09-14,27
2008-09-15,27
2008-09-16,27
2008-09-17,27
2008-09-18,27
2008-09-19,27
2008-09-20,27
2008-09-21,26
2008-09-22,25
2008-09-23,24
2008-09-24,23
2008-09-25,22
2008-09-26,21
2008-09-27,20
2008-09-28,20
2008-09-29,21
2008-09-30,22
2008-10-01,23
2008-10-02,24
2008-10-03,25
2008-10-04,26
2008-10-05,26
2008-10-06,27
2008-10-07,28
2008-10-08,29
2008-10-09,30
2008-10-10,31
2008-10-11,32
2008-10-12,30
2008-10-13,28
2008-10-14,26
2008-10-15,25
2008-10-16,23
2008-10-17,21
2008-10-18,20
2008-10-19,21
2008-10-20,23
2008-10-21,24
2008-10-22,26
2008-10-23,27
2008-10-24,29
2008-10-25,31
2008-10-26,30
2008-11-02,27
2008-11-03,27
2008-11-04,27
2008-11-05,26
2008-11-06,26
2008-11-07,26
2008-11-08,26
2008-11-09,26
2008-11-10,26
2008-11-11,26
2008-11-12,26
2008-11-13,26
2008-11-14,26
2008-11-15,26
2008-11-16,25
2008-11-17,24
2008-11-18,23
2008-11-19,23
2008-11-20,22
2008-11-21,21
2008-11-22,21
2008-11-23,21
2008-11-24,21
2008-11-25,21
2008-11-26,21
2008-11-27,21
2008-11-28,21
2008-11-29,21
2008-11-30,21
2008-12-01,21
2008-12-02,21
2008-12-03,21
2008-12-04,21
2008-12-05,21
2008-12-06,21
2008-12-07,20
2008-12-08,20
2008-12-09,20
2008-12-10,19
2008-12-11,19
2008-12-12,19
2008-12-13,19
2008-12-14,19
2008-12-15,19
2008-12-16,19
2008-12-17,20
2008-12-18,20
2008-12-19,20
2008-12-20,21
2008-12-21,21
2008-12-22,22
2008-12-23,22
2008-12-24,23
2008-12-25,23
2008-12-26,24
2008-12-27,25
2008-12-28,25
2008-12-29,26
2008-12-30,26
2008-12-31,27
2009-01-01,27
2009-01-02,28
2009-01-03,29
2009-01-04,28
2009-01-05,27
2009-01-06,26
2009-01-07,25
2009-01-08,24
2009-01-09,23
2009-01-10,22
2009-01-11,23
2009-01-12,24
2009-01-13,25
2009-01-14,27
2009-01-15,28
2009-01-16,29
2009-01-17,31
2009-01-18,31
2009-01-19,33
2009-01-20,34
2009-01-21,35
2009-01-22,36
2009-01-23,36
2009-01-24,37
2009-01-25,36
