Date,Erickson Air-Crane
2010-10-28,51
2010-10-29,52
2010-10-30,53
2010-10-31,51
2010-11-07,40
2010-11-08,39
2010-11-09,38
2010-11-10,37
2010-11-11,36
2010-11-12,35
2010-11-13,34
2010-11-14,34
2010-11-15,34
2010-11-16,34
2010-11-17,34
2010-11-18,34
2010-11-19,34
2010-11-20,34
2010-11-21,34
2010-11-22,34
2010-11-23,34
2010-11-24,34
2010-11-25,34
2010-11-26,34
2010-11-27,35
2010-11-28,35
2010-11-29,35
2010-11-30,35
2010-12-01,35
2010-12-02,35
2010-12-03,35
2010-12-04,36
2010-12-05,38
2010-12-06,41
2010-12-07,44
2010-12-08,46
2010-12-09,49
2010-12-10,52
2010-12-11,55
2010-12-12,53
2010-12-13,52
2010-12-14,51
2010-12-15,49
2010-12-16,48
2010-12-17,47
2010-12-18,46
2010-12-19,47
2010-12-20,49
2010-12-21,51
2010-12-22,53
2010-12-23,54
2010-12-24,56
2010-12-25,58
2010-12-26,57
2010-12-27,57
2010-12-28,56
2010-12-29,56
2010-12-30,55
2010-12-31,55
2011-01-01,55
2011-01-02,55
2011-01-03,55
2011-01-04,55
2011-01-05,55
2011-01-06,55
2011-01-07,55
2011-01-08,55
2011-01-09,55
2011-01-10,55
2011-01-11,55
2011-01-12,55
2011-01-13,55
2011-01-14,55
2011-01-15,55
2011-01-16,52
2011-01-17,49
2011-01-18,46
2011-01-19,43
2011-01-20,40
2011-01-21,37
2011-01-22,35
2011-01-23,37
2011-01-24,40
2011-01-25,43
2011-01-26,46
2011-01-27,48
2011-01-28,51
2011-01-29,54
2011-01-30,52
2011-02-06,43
2011-02-07,42
2011-02-08,41
2011-02-09,40
2011-02-10,39
2011-02-11,38
2011-02-12,37
2011-02-13,38
2011-02-14,40
2011-02-15,41
2011-02-16,43
2011-02-17,44
2011-02-18,46
2011-02-19,48
2011-02-20,47
2011-02-21,46
2011-02-22,46
2011-02-23,45
2011-02-24,45
2011-02-25,44
2011-02-26,44
2011-02-27,45
2011-02-28,46
2011-03-01,47
2011-03-02,49
2011-03-03,50
2011-03-04,51
2011-03-05,53
2011-03-06,50
2011-03-07,47
2011-03-08,44
2011-03-09,41
2011-03-10,38
2011-03-11,35
2011-03-12,33
2011-03-13,37
2011-03-14,41
2011-03-15,46
2011-03-16,50
2011-03-17,55
2011-03-18,59
2011-03-19,64
2011-03-20,60
2011-03-21,56
2011-03-22,53
2011-03-23,49
2011-03-24,46
2011-03-25,42
2011-03-26,39
2011-03-27,41
2011-05-01,46
2011-05-02,44
2011-05-03,42
2011-05-04,39
2011-05-05,37
2011-05-06,35
2011-05-07,33
2011-05-08,35
2011-05-09,37
2011-05-10,40
2011-05-11,42
2011-05-12,45
2011-05-13,47
2011-05-14,50
2011-05-15,54
2011-05-16,59
2011-05-17,63
2011-05-18,67
2011-05-19,72
2011-05-20,76
2011-05-21,81
2011-05-22,73
2011-05-23,65
2011-05-24,57
2011-05-25,50
2011-05-26,42
2011-05-27,35
2011-05-28,28
2011-05-29,29
2011-05-30,31
2011-05-31,33
2011-06-01,35
2011-06-02,37
2011-06-03,39
2011-06-04,41
2011-06-05,43
2011-06-06,45
2011-06-07,47
2011-06-08,49
2011-06-09,51
2011-06-10,53
2011-06-11,55
2011-06-12,53
2011-06-13,50
2011-06-14,48
2011-06-15,45
2011-06-16,43
2011-06-17,41
2011-06-18,39
2011-06-19,39
2011-06-20,40
2011-06-21,41
2011-06-22,42
2011-06-23,43
2011-06-24,44
2011-06-25,45
2011-06-26,45
2011-06-27,45
2011-06-28,46
2011-06-29,46
2011-06-30,46
2011-07-01,47
2011-07-02,47
2011-07-03,45
2011-07-04,43
2011-07-05,41
2011-07-06,39
2011-07-07,37
2011-07-08,35
2011-07-09,34
2011-07-10,34
2011-07-11,35
2011-07-12,35
2011-07-13,35
2011-07-14,36
2011-07-15,36
2011-07-16,37
2011-07-17,37
2011-07-18,38
2011-07-19,38
2011-07-20,39
2011-07-21,39
2011-07-22,40
2011-07-23,41
2011-07-24,41
2011-07-25,41
2011-07-26,41
2011-07-27,41
2011-07-28,41
2011-07-29,41
2011-07-30,42
2011-07-31,45
2011-08-07,64
2011-08-08,60
2011-08-09,55
2011-08-10,51
2011-08-11,46
2011-08-12,42
2011-08-13,38
2011-08-14,38
2011-08-15,40
2011-08-16,40
2011-08-17,41
2011-08-18,42
2011-08-19,43
2011-08-20,44
2011-08-21,42
2011-08-22,39
2011-08-23,37
2011-08-24,35
2011-08-25,33
2011-08-26,31
2011-08-27,29
2011-08-28,31
2011-08-29,33
2011-08-30,35
2011-08-31,37
2011-09-01,39
2011-09-02,41
2011-09-03,44
2011-09-04,47
2011-09-05,50
2011-09-06,53
2011-09-07,57
2011-09-08,60
2011-09-09,63
2011-09-10,66
2011-09-11,63
2011-09-12,58
2011-09-13,54
2011-09-14,51
2011-09-15,47
2011-09-16,44
2011-09-17,41
2011-09-18,38
2011-09-19,36
2011-09-20,34
2011-09-21,31
2011-09-22,29
2011-09-23,27
2011-09-24,25
2011-09-25,28
2011-09-26,32
2011-09-27,36
2011-09-28,40
2011-09-29,44
2011-09-30,48
2011-10-01,52
2011-10-02,49
2011-10-03,47
2011-10-04,45
2011-10-05,42
2011-10-06,40
2011-10-07,38
2011-10-08,35
2011-10-09,34
2011-10-10,32
2011-10-11,31
2011-10-12,29
2011-10-13,28
2011-10-14,27
2011-10-15,26
2011-10-16,29
2011-10-17,33
2011-10-18,36
2011-10-19,40
2011-10-20,43
2011-10-21,47
2011-10-22,51
2011-10-23,50
2011-10-24,49
2011-10-25,48
2011-10-26,47
2011-10-27,46
2011-10-28,45
2011-10-29,44
2011-10-30,48
