Date,MAP Pharmaceuticals
2008-07-19,59
2008-07-20,60
2008-07-21,60
2008-07-22,60
2008-07-23,61
2008-07-24,61
2008-07-25,61
2008-07-26,62
2008-07-27,62
2008-07-28,62
2008-07-29,63
2008-07-30,63
2008-07-31,63
2008-08-01,64
2008-08-02,63
2008-08-03,63
2008-08-04,62
2008-08-05,62
2008-08-06,61
2008-08-07,61
2008-08-08,60
2008-08-09,60
2008-08-10,59
2008-08-11,59
2008-08-12,59
2008-08-13,58
2008-08-14,58
2008-08-15,57
2008-08-16,57
2008-08-17,56
2008-08-18,56
2008-08-19,55
2008-08-20,55
2008-08-21,54
2008-08-22,54
2008-08-23,54
2008-08-24,53
2008-08-25,53
2008-08-26,52
2008-08-27,52
2008-08-28,51
2008-08-29,51
2008-08-30,50
2008-08-31,50
2008-09-01,50
2008-09-02,49
2008-09-03,48
2008-09-04,48
2008-09-05,47
2008-09-06,47
2008-09-07,46
2008-09-08,45
2008-09-09,45
2008-09-10,44
2008-09-11,44
2008-09-12,43
2008-09-13,42
2008-09-14,42
2008-09-15,41
2008-09-16,41
2008-09-17,40
2008-09-18,39
2008-09-19,39
2008-09-20,38
2008-09-21,38
2008-09-22,37
2008-09-23,36
2008-09-24,36
2008-09-25,35
2008-09-26,35
2008-09-27,34
2008-09-28,33
2008-09-29,33
2008-09-30,32
2008-10-01,32
2008-10-02,31
2008-10-03,31
2008-10-04,31
2008-10-05,30
2008-10-06,30
2008-10-07,30
2008-10-08,29
2008-10-09,29
2008-10-10,29
2008-10-11,28
2008-10-12,28
2008-10-13,28
2008-10-14,27
2008-10-15,27
2008-10-16,27
2008-10-17,26
2008-10-18,26
2008-10-19,26
2008-10-20,25
2008-10-21,25
2008-10-22,25
2008-10-23,24
2008-10-24,24
2008-10-25,24
2008-10-26,23
2008-10-27,23
2008-10-28,23
2008-10-29,22
2008-10-30,22
2008-10-31,22
2008-11-01,22
2008-11-02,23
2008-11-03,24
2008-11-04,26
2008-11-05,27
2008-11-06,29
2008-11-07,30
2008-11-08,32
2008-11-09,33
2008-11-10,34
2008-11-11,36
2008-11-12,37
2008-11-13,39
2008-11-14,40
2008-11-15,42
2008-11-16,43
2008-11-17,44
2008-11-18,46
2008-11-19,47
2008-11-20,49
2008-11-21,50
2008-11-22,52
2008-11-23,53
2008-11-24,54
2008-11-25,56
2008-11-26,57
2008-11-27,59
2008-11-28,60
2008-11-29,62
2008-11-30,63
