Date,Imperium Renewables
2007-05-04,91
2007-05-05,91
2007-05-06,90
2007-05-07,90
2007-05-08,90
2007-05-09,89
2007-05-10,89
2007-05-11,88
2007-05-12,88
2007-05-13,87
2007-05-14,87
2007-05-15,87
2007-05-16,86
2007-05-17,86
2007-05-18,85
2007-05-19,85
2007-05-20,85
2007-05-21,84
2007-05-22,84
2007-05-23,83
2007-05-24,83
2007-05-25,82
2007-05-26,82
2007-05-27,82
2007-05-28,81
2007-05-29,81
2007-05-30,80
2007-05-31,80
2007-06-01,80
2007-06-02,79
2007-06-03,78
2007-06-04,77
2007-06-05,76
2007-06-06,75
2007-06-07,75
2007-06-08,74
2007-06-09,73
2007-06-10,72
2007-06-11,71
2007-06-12,70
2007-06-13,70
2007-06-14,69
2007-06-15,68
2007-06-16,67
2007-06-17,66
2007-06-18,65
2007-06-19,65
2007-06-20,64
2007-06-21,63
2007-06-22,62
2007-06-23,61
2007-06-24,60
2007-06-25,60
2007-06-26,59
2007-06-27,58
2007-06-28,57
2007-06-29,56
2007-06-30,55
2007-07-01,55
2007-07-02,55
2007-07-03,56
2007-07-04,57
2007-07-05,58
2007-07-06,59
2007-07-07,59
2007-07-08,60
2007-07-09,61
2007-07-10,62
2007-07-11,63
2007-07-12,63
2007-07-13,64
2007-07-14,65
2007-07-15,66
2007-07-16,67
2007-07-17,67
2007-07-18,68
2007-07-19,69
2007-07-20,70
2007-07-21,71
2007-07-22,71
2007-07-23,72
2007-07-24,73
2007-07-25,74
2007-07-26,75
2007-07-27,75
2007-07-28,76
2007-07-29,77
2007-07-30,78
2007-07-31,79
2007-08-05,76
2007-08-06,80
2007-08-07,74
2007-08-08,73
2007-08-09,72
2007-08-10,71
2007-08-11,70
2007-08-12,69
2007-08-13,68
2007-08-14,67
2007-08-15,66
2007-08-16,65
2007-08-17,64
2007-08-18,63
2007-08-19,62
2007-08-20,62
2007-08-21,61
2007-08-22,61
2007-08-23,60
2007-08-24,60
2007-08-25,62
2007-08-26,55
2007-08-27,54
2007-08-28,53
2007-08-29,52
2007-08-30,51
2007-08-31,50
2007-09-01,49
2007-09-02,50
2007-09-03,51
2007-09-04,52
2007-09-05,53
2007-09-06,54
2007-09-07,55
2007-09-08,56
2007-09-09,57
2007-09-10,58
2007-09-11,59
2007-09-12,60
2007-09-13,61
2007-09-14,62
2007-09-15,63
2007-09-16,64
2007-09-17,65
2007-09-18,66
2007-09-19,67
2007-09-20,68
2007-09-21,69
2007-09-22,70
2007-09-23,71
2007-09-24,72
2007-09-25,73
2007-09-26,74
2007-09-27,75
2007-09-28,76
2007-09-29,77
2007-09-30,78
2007-10-01,80
2007-10-02,79
2007-10-03,78
2007-10-04,78
2007-10-05,77
2007-10-06,77
2007-10-07,76
2007-10-08,76
2007-10-09,75
2007-10-10,75
2007-10-11,74
2007-10-12,73
2007-10-13,73
2007-10-14,72
2007-10-15,72
2007-10-16,71
2007-10-17,71
2007-10-18,70
2007-10-19,70
2007-10-20,69
2007-10-21,69
2007-10-22,69
2007-10-23,67
2007-10-24,67
2007-10-25,66
2007-10-26,66
2007-10-27,65
2007-10-28,65
2007-11-01,63
2007-11-02,64
2007-11-03,65
2007-11-04,66
2007-11-05,67
2007-11-06,68
2007-11-07,69
2007-11-08,70
2007-11-09,71
2007-11-10,72
2007-11-11,73
2007-11-12,74
2007-11-13,75
2007-11-14,76
2007-11-15,77
2007-11-16,78
2007-11-17,79
2007-11-18,80
2007-11-19,81
2007-11-20,82
2007-11-21,83
2007-11-22,84
2007-11-23,85
2007-11-24,86
2007-11-25,87
2007-11-26,88
2007-11-27,89
2007-11-28,90
2007-11-29,91
2007-11-30,92
2007-12-01,93
2007-12-02,92
2007-12-03,92
2007-12-04,92
2007-12-05,92
2007-12-06,92
2007-12-07,92
2007-12-08,92
2007-12-09,92
2007-12-10,92
2007-12-11,92
2007-12-12,92
2007-12-13,92
2007-12-14,92
2007-12-15,92
2007-12-16,92
2007-12-17,92
2007-12-18,92
2007-12-19,92
2007-12-20,92
2007-12-21,92
2007-12-22,92
2007-12-23,92
2007-12-24,92
2007-12-25,92
2007-12-26,92
2007-12-27,92
2007-12-28,92
2007-12-29,92
2007-12-30,92
2007-12-31,92
2008-01-01,92
2008-01-02,91
2008-01-03,90
2008-01-04,89
2008-01-05,89
2008-01-06,88
2008-01-07,87
2008-01-08,87
2008-01-09,86
2008-01-10,85
2008-01-11,84
2008-01-12,84
2008-01-13,83
2008-01-14,82
2008-01-15,82
2008-01-16,81
2008-01-17,80
2008-01-18,79
2008-01-19,79
2008-01-20,78
2008-01-21,77
2008-01-22,77
2008-01-23,76
2008-01-24,75
2008-01-25,74
2008-01-26,74
2008-01-27,73
2008-01-28,72
2008-01-29,72
2008-01-30,71
2008-01-31,70
2008-02-01,70
2008-02-02,69
2008-02-03,68
2008-02-04,68
2008-02-05,67
2008-02-06,67
2008-02-07,66
2008-02-08,65
2008-02-09,65
2008-02-10,64
2008-02-11,64
2008-02-12,63
2008-02-13,62
2008-02-14,62
2008-02-15,61
2008-02-16,61
2008-02-17,60
2008-02-18,60
2008-02-19,59
2008-02-20,58
2008-02-21,58
2008-02-22,57
2008-02-23,57
2008-02-24,56
2008-02-25,55
2008-02-26,55
2008-02-27,54
2008-02-28,54
2008-02-29,53
2008-03-01,53
2008-03-02,52
2008-03-03,51
2008-03-04,51
2008-03-05,50
2008-03-06,49
2008-03-07,49
2008-03-08,48
2008-03-09,48
2008-03-10,47
2008-03-11,46
2008-03-12,46
2008-03-13,45
2008-03-14,45
2008-03-15,44
2008-03-16,43
2008-03-17,43
2008-03-18,42
2008-03-19,41
2008-03-20,41
2008-03-21,40
2008-03-22,40
2008-03-23,39
2008-03-24,38
2008-03-25,38
2008-03-26,37
2008-03-27,37
2008-03-28,36
2008-03-29,35
2008-03-30,35
2008-03-31,34
2008-04-01,34
2008-04-02,34
2008-04-03,35
2008-04-04,35
2008-04-05,36
2008-04-06,36
2008-04-07,37
2008-04-08,37
2008-04-09,38
2008-04-10,39
2008-04-11,39
2008-04-12,40
2008-04-13,40
2008-04-14,41
2008-04-15,41
2008-04-16,42
2008-04-17,43
2008-04-18,43
2008-04-19,44
2008-04-20,44
2008-04-21,45
2008-04-22,45
2008-04-23,46
2008-04-24,47
2008-04-25,47
2008-04-26,48
2008-04-27,48
2008-04-28,49
2008-04-29,49
2008-04-30,50
2008-05-01,51
2008-05-02,50
2008-05-03,49
2008-05-04,48
2008-05-05,47
2008-05-06,46
2008-05-07,46
2008-05-08,45
2008-05-09,44
2008-05-10,43
2008-05-11,42
2008-05-12,42
2008-05-13,41
2008-05-14,40
2008-05-15,39
2008-05-16,38
2008-05-17,38
2008-05-18,37
2008-05-19,36
2008-05-20,35
2008-05-21,34
2008-05-22,34
2008-05-23,33
2008-05-24,32
2008-05-25,31
2008-05-26,30
2008-05-27,30
2008-05-28,29
2008-05-29,28
2008-05-30,27
2008-05-31,26
2008-06-01,26
2008-06-02,25
2008-06-03,25
2008-06-04,25
2008-06-05,25
2008-06-06,25
2008-06-07,25
2008-06-08,25
2008-06-09,25
2008-06-10,25
2008-06-11,25
2008-06-12,25
2008-06-13,25
2008-06-14,25
2008-06-15,25
2008-06-16,25
2008-06-17,24
2008-06-18,24
2008-06-19,24
2008-06-20,24
2008-06-21,24
2008-06-22,24
2008-06-23,24
2008-06-24,24
2008-06-25,24
2008-06-26,24
2008-06-27,24
2008-06-28,24
2008-06-29,24
2008-06-30,24
2008-07-01,24
2008-07-02,24
2008-07-03,25
2008-07-04,25
2008-07-05,26
2008-07-06,26
2008-07-07,27
2008-07-08,27
2008-07-09,28
2008-07-10,28
2008-07-11,29
2008-07-12,29
2008-07-13,30
2008-07-14,30
2008-07-15,31
2008-07-16,31
2008-07-17,32
2008-07-18,32
2008-07-19,33
2008-07-20,33
2008-07-21,34
2008-07-22,34
2008-07-23,35
2008-07-24,35
2008-07-25,36
2008-07-26,36
2008-07-27,37
2008-07-28,37
2008-07-29,38
2008-07-30,38
2008-07-31,39
2008-08-01,40
2008-08-02,39
2008-08-03,39
2008-08-04,39
2008-08-05,39
2008-08-06,39
2008-08-07,39
2008-08-08,39
2008-08-09,38
2008-08-10,38
2008-08-11,38
2008-08-12,38
2008-08-13,38
2008-08-14,38
2008-08-15,38
2008-08-16,38
2008-08-17,37
2008-08-18,37
2008-08-19,37
2008-08-20,37
2008-08-21,37
2008-08-22,37
2008-08-23,37
2008-08-24,37
2008-08-25,36
2008-08-26,36
2008-08-27,36
2008-08-28,36
2008-08-29,36
2008-08-30,36
2008-08-31,36
2008-09-01,36
2008-09-02,35
2008-09-03,35
2008-09-04,35
2008-09-05,35
2008-09-06,35
2008-09-07,35
2008-09-08,35
2008-09-09,35
2008-09-10,35
2008-09-11,35
2008-09-12,35
2008-09-13,35
2008-09-14,35
2008-09-15,35
2008-09-16,35
2008-09-17,34
2008-09-18,34
2008-09-19,34
2008-09-20,34
2008-09-21,34
2008-09-22,34
2008-09-23,34
2008-09-24,34
2008-09-25,34
2008-09-26,34
2008-09-27,34
2008-09-28,34
2008-09-29,34
2008-09-30,34
2008-10-01,34
2008-10-02,33
2008-10-03,33
2008-10-04,32
2008-10-05,32
2008-10-06,31
2008-10-07,31
2008-10-08,30
2008-10-09,30
2008-10-10,29
2008-10-11,29
2008-10-12,28
2008-10-13,28
2008-10-14,27
2008-10-15,27
2008-10-16,26
2008-10-17,26
2008-10-18,25
2008-10-19,25
2008-10-20,24
2008-10-21,24
2008-10-22,23
2008-10-23,23
2008-10-24,22
2008-10-25,22
2008-10-26,21
2008-10-27,21
2008-10-28,20
2008-10-29,20
2008-10-30,19
2008-10-31,19
