Date,Zynga
2012-07-06,70
2012-07-07,69
2012-07-08,69
2012-07-09,70
2012-07-10,69
2012-07-11,69
2012-07-12,69
2012-07-13,70
2012-07-14,70
2012-07-15,70
2012-07-16,70
2012-07-17,70
2012-07-18,70
2012-07-19,70
2012-07-20,70
2012-07-21,70
2012-07-22,74
2012-07-23,79
2012-07-24,82
2012-07-25,87
2012-07-26,91
2012-07-27,100
2012-07-28,104
2012-07-29,98
2012-07-30,96
2012-07-31,93
2012-08-01,90
2012-08-02,87
2012-08-03,85
2012-08-04,83
2012-08-05,83
2012-08-06,82
2012-08-07,80
2012-08-08,80
2012-08-09,79
2012-08-10,78
2012-08-11,79
2012-08-12,78
2012-08-13,76
2012-08-14,75
2012-08-15,75
2012-08-16,73
2012-08-17,72
2012-08-18,72
2012-08-19,72
2012-08-20,73
2012-08-21,73
2012-08-22,73
2012-08-23,74
2012-08-24,74
2012-08-25,75
2012-08-26,75
2012-08-27,73
2012-08-28,73
2012-08-29,72
2012-08-30,72
2012-08-31,73
2012-09-01,71
2012-09-02,70
2012-09-03,71
2012-09-04,68
2012-09-05,68
2012-09-06,67
2012-09-07,67
2012-09-08,66
2012-09-09,66
2012-09-10,66
2012-09-11,65
2012-09-12,66
2012-09-13,65
2012-09-14,65
2012-09-15,66
2012-09-16,64
2012-09-17,64
2012-09-18,63
2012-09-19,63
2012-09-20,62
2012-09-21,62
2012-09-22,62
2012-09-23,61
2012-09-24,61
2012-09-25,61
2012-09-26,61
2012-09-27,61
2012-09-28,61
2012-09-29,61
2012-09-30,62
2012-10-01,63
2012-10-02,64
2012-10-03,65
2012-10-04,66
2012-10-05,67
2012-10-06,69
2012-10-07,70
2012-10-08,69
2012-10-09,68
2012-10-10,67
2012-10-11,67
2012-10-12,67
2012-10-13,67
2012-10-14,66
2012-10-15,67
2012-10-16,66
2012-10-17,66
2012-10-18,65
2012-10-19,65
2012-10-20,65
2012-10-21,69
2012-10-22,71
2012-10-23,75
2012-10-24,78
2012-10-25,86
2012-10-26,87
2012-10-27,89
2012-10-28,86
2012-10-29,83
2012-10-30,81
2012-10-31,77
2012-11-01,74
2012-11-02,71
2012-11-03,68
2012-11-04,68
2012-11-05,69
2012-11-06,68
2012-11-07,68
2012-11-08,68
2012-11-09,68
2012-11-10,68
2012-11-11,69
2012-11-12,71
2012-11-13,71
2012-11-14,73
2012-11-15,74
2012-11-16,76
2012-11-17,77
2012-11-18,79
2012-11-19,85
2012-11-20,84
2012-11-21,86
2012-11-22,89
2012-11-23,92
2012-11-24,94
2012-11-25,93
2012-11-26,96
2012-11-27,93
2012-11-28,92
2012-11-29,92
2012-11-30,92
2012-12-01,92
2012-12-02,92
2012-12-03,94
2012-12-04,92
2012-12-05,92
2012-12-06,92
2012-12-07,92
2012-12-08,92
2012-12-09,92
2012-12-10,93
2012-12-11,92
2012-12-12,92
2012-12-13,92
2012-12-14,92
2012-12-15,92
2012-12-16,92
2012-12-17,95
2012-12-18,92
2012-12-19,92
2012-12-20,93
2012-12-21,92
2012-12-22,93
2012-12-23,93
2012-12-24,96
2012-12-25,95
2012-12-26,95
2012-12-27,96
2012-12-28,98
2012-12-29,98
2012-12-30,98
2012-12-31,97
