Date,Imperial Capital Group
2010-10-30,34
2010-10-31,32
2010-11-01,30
2010-11-02,28
2010-11-03,26
2010-11-04,24
2010-11-05,22
2010-11-06,21
2010-11-07,22
2010-11-08,24
2010-11-09,26
2010-11-10,27
2010-11-11,29
2010-11-12,31
2010-11-13,33
2010-11-14,34
2010-11-15,37
2010-11-16,38
2010-11-17,40
2010-11-18,42
2010-11-19,44
2010-11-20,46
2010-11-21,43
2010-11-22,39
2010-11-23,35
2010-11-24,32
2010-11-25,28
2010-11-26,25
2010-11-27,22
2010-11-28,22
2010-11-29,22
2010-11-30,22
2010-12-01,22
2010-12-02,22
2010-12-03,22
2010-12-04,22
2010-12-05,23
2010-12-06,24
2010-12-07,26
2010-12-08,27
2010-12-09,28
2010-12-10,29
2010-12-11,31
2010-12-12,30
2010-12-13,30
2010-12-14,29
2010-12-15,29
2010-12-16,28
2010-12-17,28
2010-12-18,28
2010-12-19,26
2010-12-20,26
2010-12-21,26
2010-12-22,26
2010-12-23,26
2010-12-24,26
2010-12-25,27
2010-12-26,27
2011-01-02,28
2011-01-03,28
2011-01-04,28
2011-01-05,28
2011-01-06,28
2011-01-07,29
2011-01-08,29
2011-01-09,28
2011-01-10,27
2011-01-11,27
2011-01-12,26
2011-01-13,26
2011-01-14,25
2011-01-15,25
2011-01-16,25
2011-01-17,25
2011-01-18,25
2011-01-19,26
2011-01-20,26
2011-01-21,26
2011-01-22,27
2011-01-23,27
2011-01-24,28
2011-01-25,28
2011-01-26,28
2011-01-27,29
2011-01-28,29
2011-01-29,30
2011-01-30,28
2011-01-31,27
2011-02-01,25
2011-02-02,24
2011-02-03,22
2011-02-04,21
2011-02-05,20
2011-02-06,21
2011-02-07,23
2011-02-08,25
2011-02-09,26
2011-02-10,28
2011-02-11,30
2011-02-12,32
2011-02-13,33
2011-02-14,35
2011-02-15,36
2011-02-16,37
2011-02-17,39
2011-02-18,40
2011-02-19,42
2011-02-20,39
2011-02-21,35
2011-02-22,32
2011-02-23,30
2011-02-24,27
2011-02-25,24
2011-02-26,22
2011-02-27,21
2011-02-28,20
2011-03-01,20
2011-03-02,19
2011-03-03,19
2011-03-04,18
2011-03-05,18
2011-03-06,18
2011-03-07,19
2011-03-08,19
2011-03-09,20
2011-03-10,20
2011-03-11,21
2011-03-12,22
2011-03-13,22
2011-03-14,22
2011-03-15,22
2011-03-16,23
2011-03-17,23
2011-03-18,23
2011-03-19,24
2011-03-20,24
2011-03-21,25
2011-03-22,26
2011-03-23,26
2011-03-24,27
2011-03-25,28
2011-03-26,29
2011-03-27,28
2011-04-03,28
2011-04-04,28
2011-04-05,28
2011-04-06,29
2011-04-07,29
2011-04-08,29
2011-04-09,30
2011-04-10,29
2011-04-11,28
2011-04-12,28
2011-04-13,27
2011-04-14,27
2011-04-15,26
2011-04-16,26
2011-04-17,27
2011-04-18,29
2011-04-19,30
2011-04-20,32
2011-04-21,33
2011-04-22,35
2011-04-23,37
2011-04-24,37
2011-04-25,38
2011-04-26,39
2011-04-27,39
2011-04-28,40
2011-04-29,41
2011-04-30,41
2011-05-01,39
2011-05-02,36
2011-05-03,33
2011-05-04,31
2011-05-05,28
2011-05-06,26
2011-05-07,24
2011-05-08,24
2011-05-09,25
2011-05-10,26
2011-05-11,27
2011-05-12,28
2011-05-13,29
2011-05-14,30
2011-05-15,30
2011-05-16,31
2011-05-17,32
2011-05-18,33
2011-05-19,33
2011-05-20,34
2011-05-21,35
2011-05-22,33
2011-05-23,30
2011-05-24,27
2011-05-25,25
2011-05-26,22
2011-05-27,20
2011-05-28,18
2011-05-29,19
2011-05-30,20
2011-05-31,21
2011-06-01,22
2011-06-02,23
2011-06-03,24
2011-06-04,26
2011-06-05,24
2011-06-06,23
2011-06-07,22
2011-06-08,21
2011-06-09,20
2011-06-10,19
2011-06-11,18
2011-06-12,19
2011-06-13,20
2011-06-14,22
2011-06-15,23
2011-06-16,25
2011-06-17,26
2011-06-18,28
2011-06-19,29
2011-06-20,32
2011-06-21,33
2011-06-22,35
2011-06-23,37
2011-06-24,39
2011-06-25,43
2011-06-26,36
2011-07-03,20
2011-07-04,20
2011-07-05,20
2011-07-06,20
2011-07-07,20
2011-07-08,20
2011-07-09,20
2011-07-10,20
2011-07-11,20
2011-07-12,20
2011-07-13,21
2011-07-14,21
2011-07-15,21
2011-07-16,22
2011-07-17,22
2011-07-18,22
2011-07-19,22
2011-07-20,23
2011-07-21,23
2011-07-22,23
2011-07-23,24
2011-07-24,24
2011-07-25,24
2011-07-26,24
2011-07-27,25
2011-07-28,25
2011-07-29,25
2011-07-30,26
2011-07-31,25
2011-08-01,24
2011-08-02,24
2011-08-03,23
2011-08-04,23
2011-08-05,22
2011-08-06,22
2011-08-07,22
2011-08-08,22
2011-08-09,23
2011-08-10,23
2011-08-11,24
2011-08-12,24
2011-08-13,25
2011-08-14,24
2011-08-15,24
2011-08-16,23
2011-08-17,23
2011-08-18,23
2011-08-19,22
2011-08-20,22
2011-08-21,21
2011-08-22,20
2011-08-23,19
2011-08-24,19
2011-08-25,18
2011-08-26,17
2011-08-27,17
2011-08-28,17
2011-08-29,17
2011-08-30,17
2011-08-31,17
2011-09-01,17
2011-09-02,17
2011-09-03,17
2011-09-04,17
2011-09-05,17
2011-09-06,17
2011-09-07,18
2011-09-08,18
2011-09-09,18
2011-09-10,19
2011-09-11,20
2011-09-12,21
2011-09-13,22
2011-09-14,24
2011-09-15,25
2011-09-16,26
2011-09-17,28
2011-09-18,27
2011-09-19,27
2011-09-20,27
2011-09-21,27
2011-09-22,27
2011-09-23,27
2011-09-24,27
2011-09-25,27
