Date,Masimo
2007-08-15,69
2007-08-16,65
2007-08-17,61
2007-08-18,58
2007-08-19,61
2007-08-20,64
2007-08-21,67
2007-08-22,70
2007-08-23,73
2007-08-24,76
2007-08-25,79
2007-08-26,77
2007-08-27,74
2007-08-28,71
2007-08-29,69
2007-08-30,66
2007-08-31,64
2007-09-01,62
2007-09-02,62
2007-09-03,63
2007-09-04,64
2007-09-05,64
2007-09-06,65
2007-09-07,66
2007-09-08,67
2007-09-09,70
2007-09-10,74
2007-09-11,78
2007-09-12,81
2007-09-13,85
2007-09-14,89
2007-09-15,92
2007-09-16,89
2007-09-17,86
2007-09-18,83
2007-09-19,80
2007-09-20,77
2007-09-21,74
2007-09-22,71
2007-09-23,71
2007-09-24,72
2007-09-25,73
2007-09-26,74
2007-09-27,75
2007-09-28,76
2007-09-29,77
2007-09-30,77
2007-10-07,78
2007-10-08,78
2007-10-09,78
2007-10-10,77
2007-10-11,77
2007-10-12,77
2007-10-13,77
2007-10-14,76
2007-10-15,75
2007-10-16,74
2007-10-17,73
2007-10-18,72
2007-10-19,71
2007-10-20,71
2007-10-21,71
2007-10-22,72
2007-10-23,72
2007-10-24,73
2007-10-25,73
2007-10-26,74
2007-10-27,75
2007-10-28,76
2007-10-29,79
2007-10-30,80
2007-10-31,82
2007-11-01,84
2007-11-02,86
2007-11-03,88
2007-11-04,86
2007-11-05,84
2007-11-06,82
2007-11-07,81
2007-11-08,79
2007-11-09,78
2007-11-10,77
2007-11-11,77
2007-11-12,78
2007-11-13,79
2007-11-14,80
2007-11-15,80
2007-11-16,81
2007-11-17,82
2007-11-18,79
2007-11-19,76
2007-11-20,73
2007-11-21,71
2007-11-22,68
2007-11-23,65
2007-11-24,63
2007-11-25,66
2007-11-26,69
2007-11-27,72
2007-11-28,76
2007-11-29,79
2007-11-30,82
2007-12-01,85
2007-12-02,85
2007-12-03,84
2007-12-04,84
2007-12-05,83
2007-12-06,83
2007-12-07,82
2007-12-08,82
2007-12-09,81
2007-12-10,79
2007-12-11,77
2007-12-12,76
2007-12-13,74
2007-12-14,73
2007-12-15,72
2007-12-16,69
2007-12-17,67
2007-12-18,65
2007-12-19,63
2007-12-20,61
2007-12-21,59
2007-12-22,57
2007-12-23,54
2007-12-24,52
2007-12-25,50
2007-12-26,48
2007-12-27,46
2007-12-28,44
2007-12-29,42
2007-12-30,47
2008-01-06,79
2008-01-07,78
2008-01-08,77
2008-01-09,76
2008-01-10,74
2008-01-11,73
2008-01-12,71
2008-01-13,70
2008-01-14,68
2008-01-15,66
2008-01-16,65
2008-01-17,63
2008-01-18,62
2008-01-19,61
2008-01-20,62
2008-01-21,64
2008-01-22,66
2008-01-23,68
2008-01-24,70
2008-01-25,72
2008-01-26,74
2008-01-27,74
2008-01-28,74
2008-01-29,74
2008-01-30,74
2008-01-31,74
2008-02-01,74
2008-02-02,75
2008-02-03,77
2008-02-04,79
2008-02-05,81
2008-02-06,84
2008-02-07,86
2008-02-08,88
2008-02-09,90
2008-02-10,89
2008-02-11,88
2008-02-12,87
2008-02-13,87
2008-02-14,86
2008-02-15,85
2008-02-16,84
2008-02-17,81
2008-02-18,78
2008-02-19,75
2008-02-20,72
2008-02-21,69
2008-02-22,66
2008-02-23,64
2008-02-24,67
2008-02-25,71
2008-02-26,74
2008-02-27,77
2008-02-28,81
2008-02-29,84
2008-03-01,88
2008-03-02,87
2008-03-03,86
2008-03-04,86
2008-03-05,85
2008-03-06,85
2008-03-07,84
2008-03-08,84
2008-03-09,84
2008-03-10,84
2008-03-11,84
2008-03-12,84
2008-03-13,84
2008-03-14,84
2008-03-15,84
2008-03-16,83
2008-03-17,83
2008-03-18,82
2008-03-19,82
2008-03-20,81
2008-03-21,80
2008-03-22,80
2008-03-23,78
2008-03-24,76
2008-03-25,74
2008-03-26,72
2008-03-27,70
2008-03-28,68
2008-03-29,66
2008-03-30,66
2008-04-01,67
2008-04-02,67
2008-04-03,68
2008-04-04,68
2008-04-05,69
2008-04-06,70
2008-04-07,71
2008-04-08,72
2008-04-09,73
2008-04-10,74
2008-04-11,75
2008-04-12,81
2008-04-13,76
2008-04-14,76
2008-04-15,75
2008-04-16,75
2008-04-17,74
2008-04-18,74
2008-04-19,74
2008-04-20,75
2008-04-21,76
2008-04-22,77
2008-04-23,78
2008-04-24,79
2008-04-25,80
2008-04-26,82
2008-04-27,82
2008-04-28,88
2008-04-29,83
2008-04-30,83
2008-05-01,84
2008-05-02,84
2008-05-03,85
2008-05-04,81
2008-05-05,77
2008-05-06,73
2008-05-07,69
2008-05-08,65
2008-05-09,61
2008-05-10,58
2008-05-11,61
2008-05-12,65
2008-05-13,69
2008-05-14,73
2008-05-15,76
2008-05-16,80
2008-05-17,84
2008-05-18,83
2008-05-19,83
2008-05-20,83
2008-05-21,82
2008-05-22,82
2008-05-23,82
2008-05-24,82
2008-05-25,81
2008-05-26,80
2008-05-27,79
2008-05-28,79
2008-05-29,78
2008-05-30,77
2008-05-31,77
2008-06-01,76
2008-06-02,75
2008-06-03,74
2008-06-04,76
2008-06-05,72
2008-06-06,71
2008-06-07,70
2008-06-08,68
2008-06-09,66
2008-06-10,64
2008-06-11,62
2008-06-12,60
2008-06-13,58
2008-06-14,56
2008-06-15,58
2008-06-16,60
2008-06-17,62
2008-06-18,65
2008-06-19,67
2008-06-20,69
2008-06-21,72
2008-06-22,71
2008-06-23,77
2008-06-24,69
2008-06-25,69
2008-06-26,68
2008-06-27,67
2008-06-28,67
2008-06-29,67
2008-06-30,68
2008-07-01,68
2008-07-02,69
2008-07-03,69
2008-07-04,70
2008-07-05,71
2008-07-06,71
2008-07-07,72
2008-07-08,73
2008-07-09,74
2008-07-10,75
2008-07-11,76
2008-07-12,81
2008-07-13,76
2008-07-14,75
2008-07-15,74
2008-07-16,73
2008-07-17,72
2008-07-18,71
2008-07-19,70
2008-07-20,73
2008-07-21,76
2008-07-22,80
2008-07-23,84
2008-07-24,87
2008-07-25,90
2008-07-26,94
2008-07-27,90
2008-07-28,87
2008-07-29,87
2008-07-30,80
2008-07-31,77
2008-08-01,74
2008-08-02,71
2008-08-03,73
2008-08-04,76
2008-08-05,78
2008-08-06,81
2008-08-07,83
2008-08-08,91
2008-08-09,89
2008-08-10,87
2008-08-11,85
2008-08-12,83
2008-08-13,81
2008-08-14,79
2008-08-15,77
2008-08-16,76
2008-08-17,73
2008-08-18,71
2008-08-19,69
2008-08-20,73
2008-08-21,65
2008-08-22,63
2008-08-23,61
2008-08-24,61
2008-08-25,61
2008-08-26,61
2008-08-27,61
2008-08-28,61
2008-08-29,61
2008-08-30,61
2008-08-31,62
2008-09-01,64
2008-09-02,65
2008-09-03,67
2008-09-04,71
2008-09-05,70
2008-09-06,72
2008-09-07,72
2008-09-08,73
2008-09-09,74
2008-09-10,78
2008-09-11,77
2008-09-12,77
2008-09-13,78
2008-09-14,77
2008-09-15,76
2008-09-16,75
2008-09-17,74
2008-09-18,73
2008-09-19,72
2008-09-20,71
2008-09-21,70
2008-09-22,69
2008-09-23,68
2008-09-24,68
2008-09-25,67
2008-09-26,66
2008-09-27,66
2008-09-28,69
2008-09-29,75
2008-09-30,75
