Date,DynaVox
2009-12-07,84
2009-12-08,85
2009-12-09,79
2009-12-10,81
2009-12-11,74
2009-12-12,72
2009-12-13,76
2009-12-14,76
2009-12-15,78
2009-12-16,81
2009-12-17,86
2009-12-18,89
2009-12-19,88
2009-12-20,83
2009-12-21,78
2009-12-22,74
2009-12-23,68
2009-12-24,63
2009-12-25,58
2009-12-26,53
2009-12-27,54
2009-12-28,51
2009-12-29,50
2009-12-30,49
2009-12-31,48
2010-01-01,47
2010-01-02,47
2010-01-03,52
2010-01-04,57
2010-01-05,63
2010-01-06,69
2010-01-07,74
2010-01-08,79
2010-01-09,89
2010-01-10,87
2010-01-11,90
2010-01-12,91
2010-01-13,93
2010-01-14,100
2010-01-15,97
2010-01-16,109
2010-01-17,97
2010-01-18,94
2010-01-19,93
2010-01-20,89
2010-01-21,93
2010-01-22,83
2010-01-23,81
2010-01-24,80
2010-01-25,79
2010-01-26,80
2010-01-27,78
2010-01-28,83
2010-01-29,76
2010-01-30,77
2010-01-31,74
2010-02-01,73
2010-02-02,77
2010-02-03,71
2010-02-04,70
2010-02-05,69
2010-02-06,68
2010-02-07,70
2010-02-08,72
2010-02-09,78
2010-02-10,76
2010-02-11,78
2010-02-12,84
2010-02-13,83
2010-02-14,83
2010-02-15,78
2010-02-16,76
2010-02-17,74
2010-02-18,72
2010-02-19,74
2010-02-20,68
2010-02-21,75
2010-02-22,74
2010-02-23,78
2010-02-24,84
2010-02-25,85
2010-02-26,97
2010-02-27,92
2010-02-28,91
2010-03-01,90
2010-03-02,89
2010-03-03,94
2010-03-04,87
2010-03-05,89
2010-03-06,85
2010-03-07,84
2010-03-08,84
2010-03-09,86
2010-03-10,83
2010-03-11,88
2010-03-12,85
2010-03-13,83
2010-03-14,85
2010-03-15,82
2010-03-16,81
2010-03-17,81
2010-03-18,84
2010-03-19,80
2010-03-20,80
2010-03-21,79
2010-03-22,79
2010-03-23,79
2010-03-24,78
2010-03-25,77
2010-03-26,81
2010-03-27,82
2010-03-28,75
2010-03-29,74
2010-03-30,72
2010-03-31,71
2010-04-01,69
2010-04-02,70
2010-04-03,67
2010-04-04,67
2010-04-05,68
2010-04-06,68
2010-04-07,69
2010-04-08,72
2010-04-09,70
2010-04-10,74
2010-04-11,80
2010-04-12,75
2010-04-13,77
2010-04-14,80
2010-04-15,87
2010-04-16,89
2010-04-17,87
2010-04-18,88
2010-04-19,89
2010-04-20,94
2010-04-21,91
2010-04-22,92
2010-04-23,106
2010-04-24,95
2010-04-25,95
2010-04-26,95
2010-04-27,95
2010-04-28,98
2010-04-29,96
2010-04-30,98
2010-05-01,97
2010-05-02,90
2010-05-03,86
2010-05-04,81
2010-05-05,86
2010-05-06,72
2010-05-07,68
2010-05-08,65
2010-05-09,66
2010-05-10,68
2010-05-11,74
2010-05-12,75
2010-05-13,76
2010-05-14,79
2010-05-15,81
2010-05-16,78
2010-05-17,75
2010-05-18,77
2010-05-19,71
2010-05-20,67
2010-05-21,64
2010-05-22,62
2010-05-23,64
2010-05-24,66
2010-05-25,69
2010-05-26,71
2010-05-27,74
2010-05-28,82
2010-05-29,80
2010-05-30,77
2010-05-31,75
2010-06-01,73
2010-06-02,72
2010-06-03,70
2010-06-04,73
2010-06-05,67
2010-06-06,66
2010-06-07,65
2010-06-08,64
2010-06-09,64
2010-06-10,63
2010-06-11,66
2010-06-12,62
2010-06-13,62
2010-06-14,62
2010-06-15,62
2010-06-16,62
2010-06-17,62
2010-06-18,62
2010-06-19,64
2010-06-20,64
2010-06-21,73
2010-06-22,70
2010-06-23,72
2010-06-24,84
2010-06-25,78
2010-06-26,81
2010-06-27,77
2010-06-28,74
2010-06-29,70
2010-06-30,67
2010-07-01,63
2010-07-02,60
2010-07-03,57
2010-07-04,57
2010-07-05,57
2010-07-06,57
2010-07-07,57
2010-07-08,61
2010-07-09,57
2010-07-10,57
2010-07-11,58
2010-07-12,59
2010-07-13,65
2010-07-14,61
2010-07-15,62
2010-07-16,69
2010-07-17,64
2010-07-18,61
2010-07-19,58
2010-07-20,56
2010-07-21,53
2010-07-22,52
2010-07-23,48
2010-07-24,46
2010-07-25,48
2010-07-26,50
2010-07-27,52
2010-07-28,55
2010-07-29,58
2010-07-30,65
2010-07-31,62
2010-08-01,63
2010-08-02,64
2010-08-03,65
2010-08-04,66
2010-08-05,71
2010-08-06,68
2010-08-07,70
2010-08-08,69
2010-08-09,71
2010-08-10,69
2010-08-11,72
2010-08-12,69
2010-08-13,71
2010-08-14,69
2010-08-15,68
2010-08-16,68
2010-08-17,72
2010-08-18,68
2010-08-19,74
2010-08-20,68
2010-08-21,70
2010-08-22,68
2010-08-23,68
2010-08-24,68
2010-08-25,73
2010-08-26,69
2010-08-27,69
2010-08-28,70
2010-08-29,69
2010-08-30,68
2010-08-31,73
2010-09-01,66
2010-09-02,68
2010-09-03,64
2010-09-04,64
2010-09-05,62
2010-09-06,61
2010-09-07,60
2010-09-08,62
2010-09-09,58
2010-09-10,60
2010-09-11,57
2010-09-12,60
2010-09-13,64
2010-09-14,68
2010-09-15,77
2010-09-16,76
2010-09-17,87
2010-09-18,86
2010-09-19,82
2010-09-20,82
2010-09-21,80
2010-09-22,79
2010-09-23,77
2010-09-24,77
2010-09-25,80
2010-09-26,76
2010-09-27,77
2010-09-28,78
2010-09-29,81
2010-09-30,90
2010-10-01,82
2010-10-02,88
2010-10-03,83
2010-10-04,81
2010-10-05,81
2010-10-06,80
2010-10-07,82
2010-10-08,77
2010-10-09,83
2010-10-10,77
2010-10-11,78
2010-10-12,79
2010-10-13,80
2010-10-14,83
2010-10-15,88
2010-10-16,87
2010-10-17,85
2010-10-18,86
2010-10-19,96
2010-10-20,89
2010-10-21,94
2010-10-22,92
2010-10-23,105
2010-10-24,90
2010-10-25,87
2010-10-26,84
2010-10-27,85
2010-10-28,79
2010-10-29,78
2010-10-30,72
2010-10-31,72
2010-11-01,72
2010-11-02,73
2010-11-03,73
2010-11-04,75
2010-11-05,77
2010-11-06,76
2010-11-07,75
2010-11-08,75
2010-11-09,75
2010-11-10,75
2010-11-11,75
2010-11-12,77
2010-11-13,82
2010-11-14,77
2010-11-15,79
2010-11-16,83
2010-11-17,83
2010-11-18,85
2010-11-19,91
2010-11-20,93
2010-11-21,87
2010-11-22,83
2010-11-23,83
2010-11-24,81
2010-11-25,74
2010-11-26,71
2010-11-27,69
2010-11-28,67
2010-11-29,66
2010-11-30,65
2010-12-01,65
2010-12-02,64
2010-12-03,63
2010-12-04,69
2010-12-05,65
2010-12-06,67
2010-12-07,69
2010-12-08,77
2010-12-09,73
2010-12-10,75
2010-12-11,81
2010-12-12,75
2010-12-13,74
2010-12-14,72
2010-12-15,71
2010-12-16,75
2010-12-17,70
2010-12-18,68
2010-12-19,65
2010-12-20,63
2010-12-21,61
2010-12-22,62
2010-12-23,57
2010-12-24,56
2010-12-25,54
2010-12-26,52
2010-12-27,51
2010-12-28,50
2010-12-29,49
2010-12-30,48
2010-12-31,47
2011-01-01,46
2011-01-02,49
2011-01-03,53
2011-01-04,57
2011-01-05,60
2011-01-06,64
2011-01-07,70
2011-01-08,76
2011-01-09,69
2011-01-10,67
2011-01-11,65
2011-01-12,63
2011-01-13,64
2011-01-14,59
2011-01-15,59
2011-01-16,57
2011-01-17,58
2011-01-18,59
2011-01-19,64
2011-01-20,61
2011-01-21,62
2011-01-22,68
2011-01-23,65
2011-01-24,67
2011-01-25,69
2011-01-26,71
2011-01-27,75
2011-01-28,79
2011-01-29,77
2011-01-30,74
2011-01-31,71
2011-02-01,72
2011-02-02,66
2011-02-03,64
2011-02-04,61
2011-02-05,61
2011-02-06,60
2011-02-07,61
2011-02-08,62
2011-02-09,63
2011-02-10,70
2011-02-11,65
2011-02-12,67
2011-02-13,65
2011-02-14,64
2011-02-15,63
2011-02-16,63
2011-02-17,63
2011-02-18,60
2011-02-19,60
2011-02-20,59
2011-02-21,60
2011-02-22,60
2011-02-23,70
2011-02-24,61
2011-02-25,63
2011-02-26,66
2011-02-27,63
2011-02-28,64
2011-03-01,65
2011-03-02,67
2011-03-03,67
2011-03-04,73
2011-03-05,69
2011-03-06,68
2011-03-07,68
2011-03-08,68
2011-03-09,72
2011-03-10,68
2011-03-11,70
2011-03-12,72
2011-03-13,66
2011-03-14,65
2011-03-15,64
2011-03-16,62
2011-03-17,61
2011-03-18,65
2011-03-19,59
2011-03-20,59
2011-03-21,60
2011-03-22,61
2011-03-23,64
2011-03-24,62
2011-03-25,63
2011-03-26,66
2011-03-27,63
2011-03-28,63
2011-03-29,63
2011-03-30,68
2011-03-31,63
2011-04-01,63
2011-04-02,66
2011-04-03,63
2011-04-04,63
2011-04-05,67
2011-04-06,63
2011-04-07,63
2011-04-08,71
2011-04-09,64
2011-04-10,63
2011-04-11,63
2011-04-12,63
2011-04-13,65
2011-04-14,63
2011-04-15,67
2011-04-16,63
2011-04-17,62
2011-04-18,62
2011-04-19,64
2011-04-20,62
2011-04-21,67
2011-04-22,62
2011-04-23,62
2011-04-24,61
2011-04-25,60
2011-04-26,59
2011-04-27,59
2011-04-28,58
2011-04-29,64
2011-04-30,57
2011-05-01,56
2011-05-02,56
2011-05-03,55
2011-05-04,55
2011-05-05,58
2011-05-06,57
2011-05-07,54
2011-05-08,55
2011-05-09,57
2011-05-10,59
2011-05-11,60
2011-05-12,62
2011-05-13,67
2011-05-14,66
2011-05-15,65
2011-05-16,64
2011-05-17,64
2011-05-18,63
2011-05-19,67
2011-05-20,62
2011-05-21,66
2011-05-22,60
2011-05-23,59
2011-05-24,59
2011-05-25,56
2011-05-26,58
2011-05-27,53
2011-05-28,52
2011-05-29,50
2011-05-30,48
2011-05-31,46
2011-06-01,49
2011-06-02,43
2011-06-03,43
2011-06-04,40
2011-06-05,42
2011-06-06,44
2011-06-07,46
2011-06-08,49
2011-06-09,52
2011-06-10,58
2011-06-11,56
2011-06-12,54
2011-06-13,53
2011-06-14,54
2011-06-15,51
2011-06-16,52
2011-06-17,49
2011-06-18,48
2011-06-19,49
2011-06-20,50
2011-06-21,57
2011-06-22,52
2011-06-23,53
2011-06-24,54
2011-06-25,62
2011-06-26,55
2011-06-27,54
2011-06-28,54
2011-06-29,53
2011-06-30,56
