Date,Virtusa
2008-03-13,43
2008-03-14,45
2008-03-15,47
2008-03-16,45
2008-03-17,42
2008-03-18,40
2008-03-19,38
2008-03-20,36
2008-03-21,34
2008-03-22,32
2008-03-23,31
2008-03-24,31
2008-03-25,31
2008-03-26,30
2008-03-27,30
2008-03-28,30
2008-03-29,30
2008-03-30,32
2008-04-06,45
2008-04-07,43
2008-04-08,42
2008-04-09,40
2008-04-10,39
2008-04-11,37
2008-04-12,36
2008-04-13,35
2008-04-14,35
2008-04-15,35
2008-04-16,34
2008-04-17,34
2008-04-18,34
2008-04-19,34
2008-04-20,33
2008-04-21,33
2008-04-22,33
2008-04-23,33
2008-04-24,33
2008-04-25,33
2008-04-26,33
2008-04-27,31
2008-04-28,30
2008-04-29,29
2008-04-30,28
2008-05-01,27
2008-05-02,26
2008-05-03,25
2008-05-04,26
2008-05-05,28
2008-05-06,30
2008-05-07,31
2008-05-08,33
2008-05-09,35
2008-05-10,37
2008-05-11,39
2008-05-12,41
2008-05-13,43
2008-05-14,46
2008-05-15,48
2008-05-16,50
2008-05-17,53
2008-05-18,52
2008-05-19,52
2008-05-20,52
2008-05-21,51
2008-05-22,51
2008-05-23,51
2008-05-24,50
2008-05-25,50
2008-05-26,48
2008-05-27,47
2008-05-28,47
2008-05-29,46
2008-05-30,45
2008-05-31,45
2008-06-01,45
2008-06-02,45
2008-06-03,45
2008-06-04,45
2008-06-05,45
2008-06-06,45
2008-06-07,45
2008-06-08,45
2008-06-09,45
2008-06-10,46
2008-06-11,46
2008-06-12,47
2008-06-13,47
2008-06-14,48
2008-06-15,49
2008-06-16,50
2008-06-17,51
2008-06-18,52
2008-06-19,53
2008-06-20,54
2008-06-21,56
2008-06-22,57
2008-06-23,58
2008-06-24,59
2008-06-25,60
2008-06-26,61
2008-06-27,62
2008-06-28,63
2008-06-29,65
2008-07-06,75
2008-07-07,73
2008-07-08,71
2008-07-09,70
2008-07-10,68
2008-07-11,66
2008-07-12,65
2008-07-13,64
2008-07-14,63
2008-07-15,62
2008-07-16,61
2008-07-17,60
2008-07-18,60
2008-07-19,59
2008-07-20,54
2008-07-21,49
2008-07-22,45
2008-07-23,40
2008-07-24,36
2008-07-25,32
2008-07-26,28
2008-07-27,31
2008-07-28,35
2008-07-29,39
2008-07-30,42
2008-07-31,46
2008-08-01,50
2008-08-02,54
2008-08-03,60
2008-08-04,68
2008-08-05,75
2008-08-06,82
2008-08-07,89
2008-08-08,96
2008-08-09,104
2008-08-10,96
2008-08-11,81
2008-08-12,72
2008-08-13,62
2008-08-14,53
2008-08-15,44
2008-08-16,35
2008-08-17,36
2008-08-18,37
2008-08-19,38
2008-08-20,39
2008-08-21,40
2008-08-22,41
2008-08-23,42
2008-08-24,42
2008-08-25,43
2008-08-26,43
2008-08-27,44
2008-08-28,44
2008-08-29,45
2008-08-30,46
2008-08-31,46
2008-09-01,46
2008-09-02,46
2008-09-03,46
2008-09-04,46
2008-09-05,46
2008-09-06,46
2008-09-07,44
2008-09-08,43
2008-09-09,41
2008-09-10,40
2008-09-11,38
2008-09-12,37
2008-09-13,36
2008-09-14,34
2008-09-15,33
2008-09-16,31
2008-09-17,30
2008-09-18,28
2008-09-19,27
2008-09-20,26
2008-09-21,28
2008-09-22,31
2008-09-23,33
2008-09-24,36
2008-09-25,39
2008-09-26,41
2008-09-27,44
2008-09-28,41
