Date,Aspen Aerogels
2011-05-01,54
2011-05-02,55
2011-05-03,56
2011-05-04,58
2011-05-05,59
2011-05-06,61
2011-05-07,62
2011-05-08,64
2011-05-09,65
2011-05-10,67
2011-05-11,68
2011-05-12,70
2011-05-13,71
2011-05-14,73
2011-05-15,74
2011-05-16,76
2011-05-17,77
2011-05-18,79
2011-05-19,80
2011-05-20,82
2011-05-21,83
2011-05-22,85
2011-05-23,86
2011-05-24,88
2011-05-25,89
2011-05-26,91
2011-05-27,92
2011-05-28,94
2011-05-29,95
2011-05-30,97
2011-05-31,98
2011-06-01,100
2011-06-02,99
2011-06-03,99
2011-06-04,99
2011-06-05,99
2011-06-06,98
2011-06-07,98
2011-06-08,98
2011-06-09,98
2011-06-10,97
2011-06-11,97
2011-06-12,97
2011-06-13,97
2011-06-14,96
2011-06-15,96
2011-06-16,96
2011-06-17,96
2011-06-18,96
2011-06-19,95
2011-06-20,95
2011-06-21,95
2011-06-22,95
2011-06-23,94
2011-06-24,94
2011-06-25,94
2011-06-26,94
2011-06-27,93
2011-06-28,93
2011-06-29,93
2011-06-30,93
2011-07-01,93
2011-07-02,92
2011-07-03,91
2011-07-04,91
2011-07-05,90
2011-07-06,90
2011-07-07,89
2011-07-08,89
2011-07-09,88
2011-07-10,88
2011-07-11,87
2011-07-12,86
2011-07-13,86
2011-07-14,85
2011-07-15,85
2011-07-16,84
2011-07-17,84
2011-07-18,83
2011-07-19,83
2011-07-20,82
2011-07-21,82
2011-07-22,81
2011-07-23,80
2011-07-24,80
2011-07-25,79
2011-07-26,79
2011-07-27,78
2011-07-28,78
2011-07-29,77
2011-07-30,77
2011-07-31,76
2011-08-01,76
2011-08-02,75
2011-08-03,74
2011-08-04,74
2011-08-05,73
2011-08-06,72
2011-08-07,72
2011-08-08,71
2011-08-09,70
2011-08-10,70
2011-08-11,69
2011-08-12,68
2011-08-13,68
2011-08-14,67
2011-08-15,66
2011-08-16,66
2011-08-17,65
2011-08-18,65
2011-08-19,64
2011-08-20,63
2011-08-21,63
2011-08-22,62
2011-08-23,61
2011-08-24,61
2011-08-25,60
2011-08-26,59
2011-08-27,59
2011-08-28,58
2011-08-29,57
2011-08-30,57
2011-08-31,56
2011-09-01,56
2011-09-02,55
2011-09-03,55
2011-09-04,55
2011-09-05,55
2011-09-06,55
2011-09-07,54
2011-09-08,54
2011-09-09,54
2011-09-10,54
2011-09-11,54
2011-09-12,53
2011-09-13,53
2011-09-14,53
2011-09-15,53
2011-09-16,53
2011-09-17,52
2011-09-18,52
2011-09-19,52
2011-09-20,52
2011-09-21,52
2011-09-22,51
2011-09-23,51
2011-09-24,51
2011-09-25,51
2011-09-26,51
2011-09-27,50
2011-09-28,50
2011-09-29,50
2011-09-30,50
2011-10-01,50
2011-10-02,50
2011-10-03,51
2011-10-04,51
2011-10-05,52
2011-10-06,52
2011-10-07,53
2011-10-08,53
2011-10-09,54
2011-10-10,54
2011-10-11,55
2011-10-12,55
2011-10-13,56
2011-10-14,56
2011-10-15,57
2011-10-16,57
2011-10-17,58
2011-10-18,58
2011-10-19,59
2011-10-20,59
2011-10-21,60
2011-10-22,60
2011-10-23,61
2011-10-24,61
2011-10-25,62
2011-10-26,62
2011-10-27,63
2011-10-28,63
2011-10-29,64
2011-10-30,64
2011-10-31,65
2011-11-01,66
2011-11-02,65
2011-11-03,65
2011-11-04,65
2011-11-05,65
2011-11-06,65
2011-11-07,64
2011-11-08,64
2011-11-09,64
2011-11-10,64
2011-11-11,64
2011-11-12,63
2011-11-13,63
2011-11-14,63
2011-11-15,63
2011-11-16,63
2011-11-17,62
2011-11-18,62
2011-11-19,62
2011-11-20,62
2011-11-21,62
2011-11-22,61
2011-11-23,61
2011-11-24,61
2011-11-25,61
2011-11-26,61
2011-11-27,60
2011-11-28,60
2011-11-29,60
2011-11-30,60
2011-12-01,60
2011-12-02,59
2011-12-03,59
2011-12-04,59
2011-12-05,59
2011-12-06,59
2011-12-07,59
2011-12-08,58
2011-12-09,58
2011-12-10,58
2011-12-11,58
2011-12-12,58
2011-12-13,58
2011-12-14,57
2011-12-15,57
2011-12-16,57
2011-12-17,57
2011-12-18,57
2011-12-19,57
2011-12-20,56
2011-12-21,56
2011-12-22,56
2011-12-23,56
2011-12-24,56
2011-12-25,56
2011-12-26,55
2011-12-27,55
2011-12-28,55
2011-12-29,55
2011-12-30,55
2011-12-31,55
2012-01-01,55
2012-01-02,55
2012-01-03,55
2012-01-04,56
2012-01-05,56
2012-01-06,57
2012-01-07,57
2012-01-08,57
2012-01-09,58
2012-01-10,58
2012-01-11,59
2012-01-12,59
2012-01-13,60
2012-01-14,60
2012-01-15,60
2012-01-16,61
2012-01-17,61
2012-01-18,62
2012-01-19,62
2012-01-20,62
2012-01-21,63
2012-01-22,63
2012-01-23,64
2012-01-24,64
2012-01-25,65
2012-01-26,65
2012-01-27,65
2012-01-28,66
2012-01-29,66
2012-01-30,67
2012-01-31,67
2012-02-01,68
2012-02-02,67
2012-02-03,67
2012-02-04,66
2012-02-05,66
2012-02-06,65
2012-02-07,65
2012-02-08,64
2012-02-09,64
2012-02-10,63
2012-02-11,63
2012-02-12,63
2012-02-13,62
2012-02-14,62
2012-02-15,61
2012-02-16,61
2012-02-17,60
2012-02-18,60
2012-02-19,59
2012-02-20,59
2012-02-21,59
2012-02-22,58
2012-02-23,58
2012-02-24,57
2012-02-25,57
2012-02-26,56
2012-02-27,56
2012-02-28,55
2012-02-29,55
2012-03-01,55
2012-03-02,54
2012-03-03,54
2012-03-04,53
2012-03-05,53
2012-03-06,53
2012-03-07,52
2012-03-08,52
2012-03-09,51
2012-03-10,51
2012-03-11,51
2012-03-12,50
2012-03-13,50
2012-03-14,49
2012-03-15,49
2012-03-16,49
2012-03-17,48
2012-03-18,48
2012-03-19,48
2012-03-20,47
2012-03-21,47
2012-03-22,46
2012-03-23,46
2012-03-24,46
2012-03-25,45
2012-03-26,45
2012-03-27,44
2012-03-28,44
2012-03-29,44
2012-03-30,43
2012-03-31,43
2012-04-01,43
2012-04-02,43
2012-04-03,43
2012-04-04,43
2012-04-05,43
2012-04-06,44
2012-04-07,44
2012-04-08,44
2012-04-09,44
2012-04-10,44
2012-04-11,45
2012-04-12,45
2012-04-13,45
2012-04-14,45
2012-04-15,45
2012-04-16,46
2012-04-17,46
2012-04-18,46
2012-04-19,46
2012-04-20,46
2012-04-21,47
2012-04-22,47
2012-04-23,47
2012-04-24,47
2012-04-25,47
2012-04-26,48
2012-04-27,48
2012-04-28,48
2012-04-29,48
2012-04-30,48
2012-05-01,49
2012-05-02,49
2012-05-03,49
2012-05-04,49
2012-05-05,49
2012-05-06,49
2012-05-07,49
2012-05-08,49
2012-05-09,49
2012-05-10,49
2012-05-11,49
2012-05-12,49
2012-05-13,49
2012-05-14,49
2012-05-15,49
2012-05-16,49
2012-05-17,50
2012-05-18,50
2012-05-19,50
2012-05-20,50
2012-05-21,50
2012-05-22,50
2012-05-23,50
2012-05-24,50
2012-05-25,50
2012-05-26,50
2012-05-27,50
2012-05-28,50
2012-05-29,50
2012-05-30,50
2012-05-31,50
2012-06-01,51
2012-06-02,50
2012-06-03,50
2012-06-04,50
2012-06-05,50
2012-06-06,50
2012-06-07,50
2012-06-08,50
2012-06-09,49
2012-06-10,49
2012-06-11,49
2012-06-12,49
2012-06-13,49
2012-06-14,49
2012-06-15,49
2012-06-16,49
2012-06-17,48
2012-06-18,48
2012-06-19,48
2012-06-20,48
2012-06-21,48
2012-06-22,48
2012-06-23,48
2012-06-24,47
2012-06-25,47
2012-06-26,47
2012-06-27,47
2012-06-28,47
2012-06-29,47
2012-06-30,47
2012-07-01,47
2012-07-02,47
2012-07-03,47
2012-07-04,48
2012-07-05,48
2012-07-06,49
2012-07-07,49
2012-07-08,50
2012-07-09,50
2012-07-10,51
2012-07-11,51
2012-07-12,51
2012-07-13,52
2012-07-14,52
2012-07-15,53
2012-07-16,53
2012-07-17,54
2012-07-18,54
2012-07-19,55
2012-07-20,55
2012-07-21,56
2012-07-22,56
2012-07-23,56
2012-07-24,57
2012-07-25,57
2012-07-26,58
2012-07-27,58
2012-07-28,59
2012-07-29,59
2012-07-30,60
2012-07-31,60
2012-08-01,61
2012-08-02,60
2012-08-03,59
2012-08-04,59
2012-08-05,58
2012-08-06,58
2012-08-07,57
2012-08-08,57
2012-08-09,56
2012-08-10,56
2012-08-11,55
2012-08-12,55
2012-08-13,54
2012-08-14,54
2012-08-15,53
2012-08-16,53
2012-08-17,52
2012-08-18,52
2012-08-19,51
2012-08-20,51
2012-08-21,50
2012-08-22,50
2012-08-23,49
2012-08-24,49
2012-08-25,48
2012-08-26,48
2012-08-27,47
2012-08-28,47
2012-08-29,46
2012-08-30,46
2012-08-31,45
2012-09-01,45
2012-09-02,44
2012-09-03,44
2012-09-04,44
2012-09-05,44
2012-09-06,44
2012-09-07,44
2012-09-08,44
2012-09-09,44
2012-09-10,44
2012-09-11,44
2012-09-12,43
2012-09-13,43
2012-09-14,43
2012-09-15,43
2012-09-16,43
2012-09-17,43
2012-09-18,43
2012-09-19,43
2012-09-20,43
2012-09-21,43
2012-09-22,42
2012-09-23,42
2012-09-24,42
2012-09-25,42
2012-09-26,42
2012-09-27,42
2012-09-28,42
2012-09-29,42
2012-09-30,42
2012-10-01,42
2012-10-02,41
2012-10-03,41
2012-10-04,41
2012-10-05,41
2012-10-06,40
2012-10-07,40
2012-10-08,40
2012-10-09,40
2012-10-10,39
2012-10-11,39
2012-10-12,39
2012-10-13,39
2012-10-14,39
2012-10-15,38
2012-10-16,38
2012-10-17,38
2012-10-18,38
2012-10-19,37
2012-10-20,37
2012-10-21,37
2012-10-22,37
2012-10-23,37
2012-10-24,36
2012-10-25,36
2012-10-26,36
2012-10-27,36
2012-10-28,35
2012-10-29,35
2012-10-30,35
2012-10-31,35
2012-11-01,35
2012-11-02,35
2012-11-03,35
2012-11-04,36
2012-11-05,36
2012-11-06,36
2012-11-07,37
2012-11-08,37
2012-11-09,37
2012-11-10,38
2012-11-11,38
2012-11-12,38
2012-11-13,39
2012-11-14,39
2012-11-15,39
2012-11-16,40
2012-11-17,40
2012-11-18,40
2012-11-19,41
2012-11-20,41
2012-11-21,41
2012-11-22,42
2012-11-23,42
2012-11-24,42
2012-11-25,43
2012-11-26,43
2012-11-27,43
2012-11-28,44
2012-11-29,44
2012-11-30,44
