Date,Ameresco
2010-07-05,22
2010-07-06,23
2010-07-07,23
2010-07-08,24
2010-07-09,25
2010-07-10,26
2010-07-11,28
2010-07-12,30
2010-07-13,32
2010-07-14,34
2010-07-15,36
2010-07-16,38
2010-07-17,40
2010-07-18,48
2010-07-19,57
2010-07-20,66
2010-07-21,75
2010-07-22,84
2010-07-23,93
2010-07-24,102
2010-07-25,95
2010-07-26,87
2010-07-27,80
2010-07-28,73
2010-07-29,66
2010-07-30,60
2010-07-31,53
2010-08-01,52
2010-08-02,51
2010-08-03,50
2010-08-04,49
2010-08-05,48
2010-08-06,47
2010-08-07,47
2010-08-08,45
2010-08-09,44
2010-08-10,42
2010-08-11,40
2010-08-12,39
2010-08-13,37
2010-08-14,36
2010-08-15,35
2010-08-16,34
2010-08-17,33
2010-08-18,32
2010-08-19,31
2010-08-20,30
2010-08-21,30
2010-08-22,31
2010-08-23,34
2010-08-24,36
2010-08-25,37
2010-08-26,39
2010-08-27,41
2010-08-28,43
2010-08-29,43
2010-09-05,37
2010-09-06,36
2010-09-07,36
2010-09-08,35
2010-09-09,35
2010-09-10,34
2010-09-11,34
2010-09-12,33
2010-09-13,33
2010-09-14,33
2010-09-15,32
2010-09-16,32
2010-09-17,32
2010-09-18,32
2010-09-19,32
2010-09-20,33
2010-09-21,34
2010-09-22,35
2010-09-23,35
2010-09-24,36
2010-09-25,37
2010-09-26,36
2010-09-27,34
2010-09-28,33
2010-09-29,32
2010-09-30,31
2010-10-01,30
2010-10-02,29
2010-10-03,31
2010-10-04,33
2010-10-05,35
2010-10-06,37
2010-10-07,39
2010-10-08,41
2010-10-09,43
2010-10-10,41
2010-10-11,38
2010-10-12,35
2010-10-13,33
2010-10-14,30
2010-10-15,28
2010-10-16,26
2010-10-17,26
2010-10-18,27
2010-10-19,27
2010-10-20,28
2010-10-21,29
2010-10-22,29
2010-10-23,30
2010-10-24,28
2010-10-25,26
2010-10-26,24
2010-10-27,23
2010-10-28,21
2010-10-29,19
2010-10-30,18
2010-10-31,19
2010-11-01,20
2010-11-02,21
2010-11-03,22
2010-11-04,23
2010-11-05,24
2010-11-06,26
2010-11-07,26
2010-11-08,26
2010-11-09,26
2010-11-10,26
2010-11-11,26
2010-11-12,26
2010-11-13,27
2010-11-14,28
2010-11-15,29
2010-11-16,30
2010-11-17,31
2010-11-18,32
2010-11-19,33
2010-11-20,34
2010-11-21,32
2010-11-22,30
2010-11-23,28
2010-11-24,26
2010-11-25,24
2010-11-26,22
2010-11-27,21
2010-11-28,20
2010-12-05,19
2010-12-06,21
2010-12-07,24
2010-12-08,26
2010-12-09,28
2010-12-10,31
2010-12-11,33
2010-12-12,31
2010-12-13,29
2010-12-14,27
2010-12-15,25
2010-12-16,23
2010-12-17,21
2010-12-18,19
2010-12-19,19
2010-12-20,20
2010-12-21,21
2010-12-22,21
2010-12-23,22
2010-12-24,23
2010-12-25,24
2010-12-26,23
2010-12-27,23
2010-12-28,23
2010-12-29,23
2010-12-30,23
2010-12-31,23
2011-01-01,23
2011-01-02,24
2011-01-03,26
2011-01-04,28
2011-01-05,30
2011-01-06,32
2011-01-07,34
2011-01-08,36
2011-01-09,35
2011-01-10,34
2011-01-11,33
2011-01-12,32
2011-01-13,31
2011-01-14,30
2011-01-15,29
2011-01-16,28
2011-01-17,27
2011-01-18,27
2011-01-19,26
2011-01-20,26
2011-01-21,25
2011-01-22,25
2011-01-23,25
2011-01-24,25
2011-01-25,26
2011-01-26,26
2011-01-27,27
2011-01-28,27
2011-01-29,28
2011-01-30,29
2011-01-31,31
2011-02-01,33
2011-02-02,34
2011-02-03,36
2011-02-04,38
2011-02-05,40
2011-02-06,39
2011-02-07,39
2011-02-08,38
2011-02-09,38
2011-02-10,37
2011-02-11,37
2011-02-12,37
2011-02-13,36
2011-02-14,35
2011-02-15,34
2011-02-16,34
2011-02-17,33
2011-02-18,32
2011-02-19,32
2011-02-20,31
2011-02-21,30
2011-02-22,29
2011-02-23,28
2011-02-24,27
2011-02-25,26
2011-02-26,25
2011-02-27,26
2011-03-06,31
2011-03-07,30
2011-03-08,29
2011-03-09,28
2011-03-10,27
2011-03-11,26
2011-03-12,25
2011-03-13,26
2011-03-14,28
2011-03-15,30
2011-03-16,32
2011-03-17,34
2011-03-18,35
2011-03-19,37
2011-03-20,35
2011-03-21,33
2011-03-22,31
2011-03-23,29
2011-03-24,27
2011-03-25,25
2011-03-26,24
2011-03-27,24
2011-03-28,24
2011-03-29,24
2011-03-30,24
2011-03-31,24
2011-04-01,24
2011-04-02,24
2011-04-03,24
2011-04-04,25
2011-04-05,25
2011-04-06,25
2011-04-07,26
2011-04-08,26
2011-04-09,27
2011-04-10,26
2011-04-11,26
2011-04-12,25
2011-04-13,25
2011-04-14,24
2011-04-15,24
2011-04-16,24
2011-04-17,23
2011-04-18,23
2011-04-19,23
2011-04-20,23
2011-04-21,23
2011-04-22,23
2011-04-23,23
2011-04-24,23
2011-04-25,24
2011-04-26,25
2011-04-27,25
2011-04-28,26
2011-04-29,27
2011-04-30,28
2011-05-01,29
2011-05-02,30
2011-05-03,31
2011-05-04,32
2011-05-05,34
2011-05-06,35
2011-05-07,36
2011-05-08,35
2011-05-09,34
2011-05-10,33
2011-05-11,32
2011-05-12,31
2011-05-13,30
2011-05-14,29
2011-05-15,28
2011-05-16,27
2011-05-17,27
2011-05-18,26
2011-05-19,26
2011-05-20,25
2011-05-21,25
2011-05-22,25
2011-05-23,26
2011-05-24,27
2011-05-25,27
2011-05-26,28
2011-05-27,28
2011-05-28,29
2011-05-29,27
2011-06-05,16
2011-06-06,18
2011-06-07,20
2011-06-08,22
2011-06-09,24
2011-06-10,27
2011-06-11,29
2011-06-12,29
2011-06-13,30
2011-06-14,30
2011-06-15,31
2011-06-16,31
2011-06-17,32
2011-06-18,33
2011-06-19,32
2011-06-20,32
2011-06-21,32
2011-06-22,31
2011-06-23,31
2011-06-24,31
2011-06-25,31
2011-06-26,31
2011-06-27,31
2011-06-28,31
2011-06-29,32
2011-06-30,32
2011-07-01,32
2011-07-02,33
2011-07-03,30
2011-07-04,28
2011-07-05,25
2011-07-06,23
2011-07-07,20
2011-07-08,18
2011-07-09,16
2011-07-10,19
2011-07-11,22
2011-07-12,25
2011-07-13,28
2011-07-14,31
2011-07-15,34
2011-07-16,37
2011-07-17,35
2011-07-18,34
2011-07-19,33
2011-07-20,32
2011-07-21,30
2011-07-22,29
2011-07-23,28
2011-07-24,28
2011-07-25,28
2011-07-26,28
2011-07-27,28
2011-07-28,28
2011-07-29,28
2011-07-30,28
2011-07-31,29
2011-08-01,30
2011-08-02,31
2011-08-03,32
2011-08-04,33
2011-08-05,34
2011-08-06,36
2011-08-07,36
2011-08-08,38
2011-08-09,38
2011-08-10,39
2011-08-11,40
2011-08-12,41
2011-08-13,42
2011-08-14,40
2011-08-15,37
2011-08-16,35
2011-08-17,33
2011-08-18,31
2011-08-19,29
2011-08-20,27
2011-08-21,27
2011-08-22,27
2011-08-23,27
2011-08-24,27
2011-08-25,27
2011-08-26,27
2011-08-27,27
2011-08-28,29
