Date,Spirit Airlines
2010-07-12,51
2010-07-13,53
2010-07-14,54
2010-07-15,56
2010-07-16,57
2010-07-17,63
2010-07-18,59
2010-07-19,59
2010-07-20,59
2010-07-21,59
2010-07-22,59
2010-07-23,59
2010-07-24,61
2010-07-25,59
2010-07-26,59
2010-07-27,59
2010-07-28,59
2010-07-29,59
2010-07-30,59
2010-07-31,59
2010-08-01,60
2010-08-02,60
2010-08-03,62
2010-08-04,62
2010-08-05,66
2010-08-06,65
2010-08-07,65
2010-08-08,63
2010-08-09,62
2010-08-10,62
2010-08-11,60
2010-08-12,59
2010-08-13,59
2010-08-14,57
2010-08-15,56
2010-08-16,55
2010-08-17,54
2010-08-18,53
2010-08-19,53
2010-08-20,52
2010-08-21,51
2010-08-22,52
2010-08-23,49
2010-08-24,48
2010-08-25,48
2010-08-26,48
2010-08-27,46
2010-08-28,47
2010-08-29,45
2010-08-30,45
2010-08-31,45
2010-09-01,45
2010-09-02,45
2010-09-03,46
2010-09-04,46
2010-09-05,45
2010-09-06,45
2010-09-07,45
2010-09-08,46
2010-09-09,45
2010-09-10,45
2010-09-11,46
2010-09-12,47
2010-09-13,48
2010-09-14,49
2010-09-15,50
2010-09-16,51
2010-09-17,52
2010-09-18,54
2010-09-19,53
2010-09-20,53
2010-09-21,53
2010-09-22,54
2010-09-23,55
2010-09-24,53
2010-09-25,54
2010-09-26,53
2010-09-27,53
2010-09-28,52
2010-09-29,52
2010-09-30,52
2010-10-01,50
2010-10-02,50
2010-10-03,50
2010-10-04,50
2010-10-05,50
2010-10-06,50
2010-10-07,50
2010-10-08,50
2010-10-09,51
2010-10-10,49
2010-10-11,49
2010-10-12,48
2010-10-13,48
2010-10-14,48
2010-10-15,47
2010-10-16,48
2010-10-17,47
2010-10-18,48
2010-10-19,48
2010-10-20,49
2010-10-21,49
2010-10-22,50
2010-10-23,51
2010-10-24,52
2010-10-25,55
2010-10-26,56
2010-10-27,57
2010-10-28,59
2010-10-29,61
2010-10-30,65
2010-10-31,64
2010-11-01,61
2010-11-02,61
2010-11-03,60
2010-11-04,59
2010-11-05,59
2010-11-06,58
2010-11-07,58
2010-11-08,57
2010-11-09,57
2010-11-10,56
2010-11-11,56
2010-11-12,57
2010-11-13,56
2010-11-14,55
2010-11-15,55
2010-11-16,54
2010-11-17,54
2010-11-18,53
2010-11-19,53
2010-11-20,54
2010-11-21,52
2010-11-22,52
2010-11-23,52
2010-11-24,51
2010-11-25,56
2010-11-26,51
2010-11-27,51
2010-11-28,51
2010-11-29,51
2010-11-30,53
2010-12-01,52
2010-12-02,53
2010-12-03,53
2010-12-04,54
2010-12-05,53
2010-12-06,52
2010-12-07,52
2010-12-08,51
2010-12-09,50
2010-12-10,51
2010-12-11,50
2010-12-12,49
2010-12-13,50
2010-12-14,50
2010-12-15,50
2010-12-16,51
2010-12-17,51
2010-12-18,52
2010-12-19,51
2010-12-20,51
2010-12-21,51
2010-12-22,51
2010-12-23,51
2010-12-24,51
2010-12-25,50
2010-12-26,52
2010-12-27,54
2010-12-28,57
2010-12-29,60
2010-12-30,62
2010-12-31,65
2011-01-01,69
2011-01-02,67
2011-01-03,68
2011-01-04,69
2011-01-05,72
2011-01-06,72
2011-01-07,72
2011-01-08,74
2011-01-09,72
2011-01-10,72
2011-01-11,70
2011-01-12,69
2011-01-13,68
2011-01-14,68
2011-01-15,67
2011-01-16,67
2011-01-17,67
2011-01-18,68
2011-01-19,69
2011-01-20,69
2011-01-21,70
2011-01-22,71
2011-01-23,69
2011-01-24,69
2011-01-25,69
2011-01-26,69
2011-01-27,69
2011-01-28,70
2011-01-29,70
2011-01-30,69
2011-01-31,68
2011-02-01,68
2011-02-02,68
2011-02-03,68
2011-02-04,69
2011-02-05,68
2011-02-06,68
2011-02-07,69
2011-02-08,69
2011-02-09,69
2011-02-10,70
2011-02-11,71
2011-02-12,71
2011-02-13,70
2011-02-14,70
2011-02-15,69
2011-02-16,70
2011-02-17,68
2011-02-18,70
2011-02-19,68
2011-02-20,68
2011-02-21,66
2011-02-22,66
2011-02-23,64
2011-02-24,63
2011-02-25,62
2011-02-26,62
2011-02-27,62
2011-02-28,61
2011-03-01,61
2011-03-02,60
2011-03-03,61
2011-03-04,60
2011-03-05,60
2011-03-06,61
2011-03-07,62
2011-03-08,63
2011-03-09,64
2011-03-10,65
2011-03-11,68
2011-03-12,69
2011-03-13,66
2011-03-14,63
2011-03-15,62
2011-03-16,60
2011-03-17,59
2011-03-18,58
2011-03-19,56
2011-03-20,56
2011-03-21,58
2011-03-22,57
2011-03-23,58
2011-03-24,58
2011-03-25,59
2011-03-26,59
2011-03-27,59
2011-03-28,60
2011-03-29,60
2011-03-30,61
2011-03-31,61
2011-04-01,61
2011-04-02,63
2011-04-03,61
2011-04-04,60
2011-04-05,60
2011-04-06,60
2011-04-07,59
2011-04-08,59
2011-04-09,58
2011-04-10,58
2011-04-11,58
2011-04-12,58
2011-04-13,58
2011-04-14,58
2011-04-15,60
2011-04-16,59
2011-04-17,59
2011-04-18,59
2011-04-19,59
2011-04-20,59
2011-04-21,60
2011-04-22,61
2011-04-23,60
2011-04-24,60
2011-04-25,60
2011-04-26,60
2011-04-27,61
2011-04-28,60
2011-04-29,63
2011-04-30,61
2011-05-01,60
2011-05-02,61
2011-05-03,60
2011-05-04,60
2011-05-05,60
2011-05-06,60
2011-05-07,62
2011-05-08,60
2011-05-09,60
2011-05-10,61
2011-05-11,60
2011-05-12,61
2011-05-13,61
2011-05-14,61
2011-05-15,61
2011-05-16,61
2011-05-17,62
2011-05-18,62
2011-05-19,64
2011-05-20,63
2011-05-21,65
2011-05-22,63
2011-05-23,63
2011-05-24,63
2011-05-25,65
2011-05-26,63
2011-05-27,64
2011-05-28,64
2011-05-29,63
2011-05-30,63
2011-05-31,63
2011-06-01,63
2011-06-02,64
2011-06-03,63
2011-06-04,64
2011-06-05,64
2011-06-06,66
2011-06-07,67
2011-06-08,69
2011-06-09,73
2011-06-10,74
2011-06-11,74
2011-06-12,73
2011-06-13,72
2011-06-14,72
2011-06-15,72
2011-06-16,72
2011-06-17,70
2011-06-18,71
2011-06-19,72
2011-06-20,74
2011-06-21,77
2011-06-22,80
2011-06-23,83
2011-06-24,84
2011-06-25,89
2011-06-26,85
2011-06-27,83
2011-06-28,82
2011-06-29,80
2011-06-30,80
2011-07-01,78
2011-07-02,77
2011-07-03,75
2011-07-04,74
2011-07-05,73
2011-07-06,72
2011-07-07,72
2011-07-08,70
2011-07-09,69
2011-07-10,70
2011-07-11,71
2011-07-12,72
2011-07-13,75
2011-07-14,75
2011-07-15,75
2011-07-16,78
2011-07-17,77
2011-07-18,77
2011-07-19,77
2011-07-20,78
2011-07-21,78
2011-07-22,77
2011-07-23,78
2011-07-24,78
2011-07-25,79
2011-07-26,80
2011-07-27,80
2011-07-28,82
2011-07-29,82
2011-07-30,84
2011-07-31,82
2011-08-01,83
2011-08-02,81
2011-08-03,81
2011-08-04,80
2011-08-05,79
2011-08-06,79
2011-08-07,78
2011-08-08,78
2011-08-09,78
2011-08-10,77
2011-08-11,78
2011-08-12,77
2011-08-13,76
2011-08-14,76
2011-08-15,76
2011-08-16,78
2011-08-17,77
2011-08-18,77
2011-08-19,78
2011-08-20,78
2011-08-21,77
2011-08-22,77
2011-08-23,76
2011-08-24,77
2011-08-25,75
2011-08-26,75
2011-08-27,77
2011-08-28,74
2011-08-29,75
2011-08-30,74
2011-08-31,74
2011-09-01,74
2011-09-02,75
2011-09-03,75
2011-09-04,73
2011-09-05,74
2011-09-06,73
2011-09-07,73
2011-09-08,72
2011-09-09,73
2011-09-10,72
2011-09-11,72
2011-09-12,72
2011-09-13,72
2011-09-14,72
2011-09-15,72
2011-09-16,72
2011-09-17,72
2011-09-18,72
2011-09-19,72
2011-09-20,74
2011-09-21,73
2011-09-22,74
2011-09-23,74
2011-09-24,75
2011-09-25,75
2011-09-26,75
2011-09-27,76
2011-09-28,76
2011-09-29,77
2011-09-30,78
2011-10-01,78
2011-10-02,77
2011-10-03,77
2011-10-04,77
2011-10-05,76
2011-10-06,76
2011-10-07,75
2011-10-08,75
2011-10-09,75
2011-10-10,75
2011-10-11,76
2011-10-12,75
2011-10-13,75
2011-10-14,75
2011-10-15,79
2011-10-16,75
2011-10-17,76
2011-10-18,76
2011-10-19,77
2011-10-20,77
2011-10-21,79
2011-10-22,80
2011-10-23,78
2011-10-24,77
2011-10-25,76
2011-10-26,76
2011-10-27,76
2011-10-28,74
2011-10-29,75
2011-10-30,73
2011-10-31,72
2011-11-01,71
2011-11-02,71
2011-11-03,71
2011-11-04,69
2011-11-05,69
2011-11-06,69
2011-11-07,69
2011-11-08,69
2011-11-09,71
2011-11-10,69
2011-11-11,69
2011-11-12,69
2011-11-13,69
2011-11-14,69
2011-11-15,69
2011-11-16,70
2011-11-17,69
2011-11-18,70
2011-11-19,69
2011-11-20,68
2011-11-21,65
2011-11-22,64
2011-11-23,62
2011-11-24,65
2011-11-25,59
2011-11-26,58
2011-11-27,59
2011-11-28,60
2011-11-29,62
2011-11-30,63
2011-12-01,64
2011-12-02,66
2011-12-03,67
2011-12-04,67
2011-12-05,67
2011-12-06,68
2011-12-07,68
2011-12-08,72
2011-12-09,69
2011-12-10,71
2011-12-11,69
2011-12-12,68
2011-12-13,67
2011-12-14,67
2011-12-15,67
2011-12-16,67
2011-12-17,65
2011-12-18,64
2011-12-19,64
2011-12-20,63
2011-12-21,63
2011-12-22,63
2011-12-23,63
2011-12-24,62
2011-12-25,63
2011-12-26,64
2011-12-27,65
2011-12-28,67
2011-12-29,69
2011-12-30,71
2011-12-31,71
2012-01-01,74
2012-01-02,73
2012-01-03,74
2012-01-04,75
2012-01-05,77
2012-01-06,77
2012-01-07,79
2012-01-08,80
2012-01-09,80
2012-01-10,81
2012-01-11,81
2012-01-12,81
2012-01-13,83
2012-01-14,83
2012-01-15,84
2012-01-16,82
2012-01-17,81
2012-01-18,82
2012-01-19,80
2012-01-20,81
2012-01-21,80
2012-01-22,80
2012-01-23,80
2012-01-24,80
2012-01-25,81
2012-01-26,80
2012-01-27,82
2012-01-28,81
2012-01-29,81
2012-01-30,81
2012-01-31,81
2012-02-01,81
2012-02-02,81
2012-02-03,83
2012-02-04,82
2012-02-05,84
2012-02-06,82
2012-02-07,82
2012-02-08,82
2012-02-09,83
2012-02-10,82
2012-02-11,83
2012-02-12,84
2012-02-13,83
2012-02-14,83
2012-02-15,83
2012-02-16,83
2012-02-17,83
2012-02-18,85
2012-02-19,84
2012-02-20,84
2012-02-21,85
2012-02-22,85
2012-02-23,87
2012-02-24,86
2012-02-25,88
2012-02-26,88
2012-02-27,88
2012-02-28,89
2012-02-29,90
