Date,Tensar
2007-09-05,61
2007-09-06,59
2007-09-07,56
2007-09-08,54
2007-09-09,56
2007-09-10,58
2007-09-11,60
2007-09-12,62
2007-09-13,64
2007-09-14,66
2007-09-15,68
2007-09-16,69
2007-09-17,70
2007-09-18,71
2007-09-19,73
2007-09-20,74
2007-09-21,75
2007-09-22,77
2007-09-23,74
2007-09-24,72
2007-09-25,69
2007-09-26,67
2007-09-27,64
2007-09-28,62
2007-09-29,60
2007-09-30,65
2007-10-01,71
2007-10-02,77
2007-10-03,83
2007-10-04,89
2007-10-05,95
2007-10-06,100
2007-10-07,95
2007-10-08,89
2007-10-09,84
2007-10-10,79
2007-10-11,73
2007-10-12,68
2007-10-13,63
2007-10-14,62
2007-10-15,61
2007-10-16,60
2007-10-17,59
2007-10-18,58
2007-10-19,57
2007-10-20,56
2007-10-21,55
2007-10-22,55
2007-10-23,55
2007-10-24,54
2007-10-25,54
2007-10-26,54
2007-10-27,54
2007-10-28,56
2007-11-04,69
2007-11-05,65
2007-11-06,61
2007-11-07,57
2007-11-08,53
2007-11-09,49
2007-11-10,45
2007-11-11,48
2007-11-12,51
2007-11-13,54
2007-11-14,57
2007-11-15,60
2007-11-16,63
2007-11-17,66
2007-11-18,64
2007-11-19,61
2007-11-20,58
2007-11-21,56
2007-11-22,53
2007-11-23,51
2007-11-24,49
2007-11-25,50
2007-11-26,51
2007-11-27,53
2007-11-28,54
2007-11-29,55
2007-11-30,56
2007-12-01,57
2007-12-02,56
2007-12-03,54
2007-12-04,53
2007-12-05,52
2007-12-06,51
2007-12-07,50
2007-12-08,49
2007-12-09,47
2007-12-10,47
2007-12-11,45
2007-12-12,44
2007-12-13,43
2007-12-14,42
2007-12-15,41
2007-12-16,42
2007-12-17,43
2007-12-18,45
2007-12-19,46
2007-12-20,47
2007-12-21,48
2007-12-22,50
2007-12-23,48
2007-12-24,47
2007-12-25,46
2007-12-26,44
2007-12-27,43
2007-12-28,42
2007-12-29,41
2007-12-30,41
2007-12-31,41
2008-01-01,41
2008-01-02,41
2008-01-03,41
2008-01-04,41
2008-01-05,41
2008-01-06,41
2008-01-07,41
2008-01-08,41
2008-01-09,41
2008-01-10,41
2008-01-11,41
2008-01-12,41
2008-01-13,45
2008-01-14,50
2008-01-15,54
2008-01-16,59
2008-01-17,63
2008-01-18,68
2008-01-19,73
2008-01-20,69
2008-01-21,66
2008-01-22,63
2008-01-23,60
2008-01-24,56
2008-01-25,53
2008-01-26,50
2008-01-27,53
2008-02-03,75
2008-02-04,76
2008-02-05,77
2008-02-06,78
2008-02-07,79
2008-02-08,79
2008-02-09,80
2008-02-10,79
2008-02-11,78
2008-02-12,77
2008-02-13,76
2008-02-14,75
2008-02-15,74
2008-02-16,73
2008-02-17,73
2008-02-18,75
2008-02-19,76
2008-02-20,77
2008-02-21,78
2008-02-22,78
2008-02-23,79
2008-02-24,77
2008-02-25,75
2008-02-26,73
2008-02-27,71
2008-02-28,69
2008-02-29,67
2008-03-01,65
2008-03-02,69
2008-03-03,73
2008-03-04,77
2008-03-05,81
2008-03-06,85
2008-03-07,90
2008-03-08,94
2008-03-09,90
2008-03-10,85
2008-03-11,81
2008-03-12,78
2008-03-13,74
2008-03-14,70
2008-03-15,67
2008-03-16,64
2008-03-17,61
2008-03-18,59
2008-03-19,56
2008-03-20,53
2008-03-21,50
2008-03-22,48
2008-03-23,52
2008-03-24,57
2008-03-25,62
2008-03-26,66
2008-03-27,71
2008-03-28,75
2008-03-29,80
2008-03-30,76
2008-03-31,71
2008-04-01,67
2008-04-02,62
2008-04-03,58
2008-04-04,54
2008-04-05,50
2008-04-06,49
2008-04-07,48
2008-04-08,48
2008-04-09,47
2008-04-10,47
2008-04-11,46
2008-04-12,46
2008-04-13,47
2008-04-14,48
2008-04-15,50
2008-04-16,51
2008-04-17,53
2008-04-18,54
2008-04-19,56
2008-04-20,57
2008-04-21,59
2008-04-22,60
2008-04-23,61
2008-04-24,63
2008-04-25,64
2008-04-26,65
2008-04-27,65
2008-05-04,62
2008-05-05,64
2008-05-06,66
2008-05-07,68
2008-05-08,70
2008-05-09,71
2008-05-10,73
2008-05-11,70
2008-05-12,66
2008-05-13,63
2008-05-14,60
2008-05-15,57
2008-05-16,54
2008-05-17,51
2008-05-18,52
2008-05-19,53
2008-05-20,54
2008-05-21,55
2008-05-22,56
2008-05-23,57
2008-05-24,58
2008-05-25,57
2008-05-26,57
2008-05-27,57
2008-05-28,57
2008-05-29,56
2008-05-30,56
2008-05-31,56
2008-06-01,55
2008-06-02,54
2008-06-03,54
2008-06-04,53
2008-06-05,53
2008-06-06,52
2008-06-07,52
2008-06-08,51
2008-06-09,51
2008-06-10,51
2008-06-11,50
2008-06-12,50
2008-06-13,50
2008-06-14,50
2008-06-15,51
2008-06-16,53
2008-06-17,54
2008-06-18,56
2008-06-19,57
2008-06-20,59
2008-06-21,60
2008-06-22,60
2008-06-23,60
2008-06-24,61
2008-06-25,61
2008-06-26,62
2008-06-27,62
2008-06-28,63
2008-06-29,63
2008-06-30,64
2008-07-01,64
2008-07-02,64
2008-07-03,65
2008-07-04,65
2008-07-05,65
2008-07-06,63
2008-07-07,60
2008-07-08,58
2008-07-09,56
2008-07-10,54
2008-07-11,52
2008-07-12,50
2008-07-13,51
2008-07-14,52
2008-07-15,54
2008-07-16,55
2008-07-17,56
2008-07-18,57
2008-07-19,58
2008-07-20,58
2008-07-21,56
2008-07-22,56
2008-07-23,55
2008-07-24,55
2008-07-25,54
2008-07-26,54
2008-07-27,58
2008-08-03,83
2008-08-04,79
2008-08-05,75
2008-08-06,71
2008-08-07,67
2008-08-08,63
2008-08-09,60
2008-08-10,62
2008-08-11,64
2008-08-12,67
2008-08-13,69
2008-08-14,71
2008-08-15,74
2008-08-16,76
2008-08-17,73
2008-08-18,70
2008-08-19,67
2008-08-20,64
2008-08-21,61
2008-08-22,58
2008-08-23,56
2008-08-24,59
2008-08-25,62
2008-08-26,65
2008-08-27,68
2008-08-28,72
2008-08-29,75
2008-08-30,78
2008-08-31,75
2008-09-01,71
2008-09-02,68
2008-09-03,65
2008-09-04,62
2008-09-05,59
2008-09-06,56
2008-09-07,58
2008-09-08,61
2008-09-09,63
2008-09-10,66
2008-09-11,68
2008-09-12,71
2008-09-13,74
2008-09-14,72
2008-09-15,71
2008-09-16,70
2008-09-17,68
2008-09-18,67
2008-09-19,66
2008-09-20,65
2008-09-21,67
2008-09-22,71
2008-09-23,74
2008-09-24,77
2008-09-25,79
2008-09-26,82
2008-09-27,85
2008-09-28,82
2008-09-29,77
2008-09-30,74
2008-10-01,70
2008-10-02,67
2008-10-03,63
2008-10-04,60
2008-10-05,62
2008-10-06,64
2008-10-07,66
2008-10-08,69
2008-10-09,71
2008-10-10,73
2008-10-11,76
2008-10-12,72
2008-10-13,69
2008-10-14,65
2008-10-15,62
2008-10-16,58
2008-10-17,55
2008-10-18,52
2008-10-19,51
2008-10-20,51
2008-10-21,51
2008-10-22,51
2008-10-23,51
2008-10-24,51
2008-10-25,51
2008-10-26,52
2008-11-02,62
2008-11-03,60
2008-11-04,58
2008-11-05,57
2008-11-06,55
2008-11-07,53
2008-11-08,52
2008-11-09,50
2008-11-10,49
2008-11-11,48
2008-11-12,46
2008-11-13,45
2008-11-14,44
2008-11-15,43
2008-11-16,42
2008-11-17,41
2008-11-18,40
2008-11-19,39
2008-11-20,38
2008-11-21,37
2008-11-22,37
2008-11-23,41
2008-11-24,47
2008-11-25,52
2008-11-26,56
2008-11-27,61
2008-11-28,66
2008-11-29,71
2008-11-30,66
2008-12-01,59
2008-12-02,54
2008-12-03,48
2008-12-04,42
2008-12-05,36
2008-12-06,31
2008-12-07,34
2008-12-08,38
2008-12-09,42
2008-12-10,45
2008-12-11,49
2008-12-12,53
2008-12-13,57
2008-12-14,56
2008-12-15,57
2008-12-16,57
2008-12-17,57
2008-12-18,57
2008-12-19,57
2008-12-20,56
2008-12-21,53
2008-12-22,49
2008-12-23,45
2008-12-24,42
2008-12-25,38
2008-12-26,35
2008-12-27,32
2008-12-28,32
2008-12-29,32
2008-12-30,32
2008-12-31,32
2009-01-01,32
2009-01-02,32
2009-01-03,32
2009-01-04,34
2009-01-05,36
2009-01-06,38
2009-01-07,41
2009-01-08,43
2009-01-09,45
2009-01-10,48
2009-01-11,46
2009-01-12,44
2009-01-13,42
2009-01-14,40
2009-01-15,38
2009-01-16,36
2009-01-17,35
2009-01-18,40
2009-01-19,46
2009-01-20,52
2009-01-21,58
2009-01-22,63
2009-01-23,69
2009-01-24,75
2009-01-25,74
