Date,Tillys
2011-06-30,47
2011-07-01,48
2011-07-02,49
2011-07-03,49
2011-07-04,53
2011-07-05,51
2011-07-06,51
2011-07-07,51
2011-07-08,53
2011-07-09,53
2011-07-10,54
2011-07-11,55
2011-07-12,55
2011-07-13,57
2011-07-14,55
2011-07-15,56
2011-07-16,57
2011-07-17,58
2011-07-18,58
2011-07-19,58
2011-07-20,60
2011-07-21,59
2011-07-22,59
2011-07-23,60
2011-07-24,62
2011-07-25,63
2011-07-26,65
2011-07-27,66
2011-07-28,67
2011-07-29,69
2011-07-30,71
2011-07-31,73
2011-08-01,77
2011-08-02,77
2011-08-03,80
2011-08-04,81
2011-08-05,83
2011-08-06,86
2011-08-07,85
2011-08-08,86
2011-08-09,83
2011-08-10,85
2011-08-11,81
2011-08-12,80
2011-08-13,79
2011-08-14,78
2011-08-15,81
2011-08-16,79
2011-08-17,77
2011-08-18,79
2011-08-19,76
2011-08-20,76
2011-08-21,74
2011-08-22,77
2011-08-23,70
2011-08-24,70
2011-08-25,68
2011-08-26,65
2011-08-27,64
2011-08-28,63
2011-08-29,63
2011-08-30,60
2011-08-31,59
2011-09-01,57
2011-09-02,56
2011-09-03,55
2011-09-04,54
2011-09-05,53
2011-09-06,55
2011-09-07,53
2011-09-08,51
2011-09-09,52
2011-09-10,50
2011-09-11,49
2011-09-12,52
2011-09-13,49
2011-09-14,49
2011-09-15,48
2011-09-16,49
2011-09-17,48
2011-09-18,48
2011-09-19,48
2011-09-20,46
2011-09-21,47
2011-09-22,47
2011-09-23,45
2011-09-24,45
2011-09-25,45
2011-09-26,46
2011-09-27,45
2011-09-28,46
2011-09-29,46
2011-09-30,46
2011-10-01,46
2011-10-02,46
2011-10-03,49
2011-10-04,47
2011-10-05,48
2011-10-06,50
2011-10-07,49
2011-10-08,50
2011-10-09,49
2011-10-10,48
2011-10-11,48
2011-10-12,47
2011-10-13,46
2011-10-14,46
2011-10-15,45
2011-10-16,45
2011-10-17,47
2011-10-18,45
2011-10-19,45
2011-10-20,46
2011-10-21,45
2011-10-22,46
2011-10-23,47
2011-10-24,48
2011-10-25,45
2011-10-26,46
2011-10-27,45
2011-10-28,46
2011-10-29,45
2011-10-30,46
2011-10-31,47
2011-11-01,45
2011-11-02,46
2011-11-03,46
2011-11-04,46
2011-11-05,47
2011-11-06,49
2011-11-07,52
2011-11-08,53
2011-11-09,57
2011-11-10,57
2011-11-11,59
2011-11-12,61
2011-11-13,62
2011-11-14,63
2011-11-15,61
2011-11-16,61
2011-11-17,61
2011-11-18,61
2011-11-19,61
2011-11-20,66
2011-11-21,73
2011-11-22,78
2011-11-23,83
2011-11-24,88
2011-11-25,94
2011-11-26,106
2011-11-27,100
2011-11-28,94
2011-11-29,94
2011-11-30,90
2011-12-01,85
2011-12-02,82
2011-12-03,79
2011-12-04,79
2011-12-05,81
2011-12-06,81
2011-12-07,80
2011-12-08,81
2011-12-09,82
2011-12-10,82
2011-12-11,84
2011-12-12,85
2011-12-13,86
2011-12-14,88
2011-12-15,87
2011-12-16,88
2011-12-17,90
2011-12-18,90
2011-12-19,90
2011-12-20,93
2011-12-21,92
2011-12-22,92
2011-12-23,92
2011-12-24,94
2011-12-25,91
2011-12-26,89
2011-12-27,87
2011-12-28,91
2011-12-29,83
2011-12-30,81
2011-12-31,79
2012-01-01,75
2012-01-02,72
2012-01-03,67
2012-01-04,64
2012-01-05,60
2012-01-06,58
2012-01-07,53
2012-01-08,52
2012-01-09,54
2012-01-10,51
2012-01-11,51
2012-01-12,50
2012-01-13,49
2012-01-14,49
2012-01-15,47
2012-01-16,45
2012-01-17,47
2012-01-18,40
2012-01-19,38
2012-01-20,36
2012-01-21,34
2012-01-22,33
2012-01-23,33
2012-01-24,32
2012-01-25,32
2012-01-26,32
2012-01-27,31
2012-01-28,31
2012-01-29,31
2012-01-30,32
2012-01-31,31
2012-02-01,32
2012-02-02,31
2012-02-03,31
2012-02-04,32
2012-02-05,32
2012-02-06,33
2012-02-07,32
2012-02-08,32
2012-02-09,32
2012-02-10,32
2012-02-11,32
2012-02-12,31
2012-02-13,31
2012-02-14,31
2012-02-15,30
2012-02-16,30
2012-02-17,30
2012-02-18,30
2012-02-19,30
2012-02-20,30
2012-02-21,31
2012-02-22,32
2012-02-23,31
2012-02-24,31
2012-02-25,32
2012-02-26,33
2012-02-27,32
2012-02-28,32
2012-02-29,34
2012-03-01,33
2012-03-02,34
2012-03-03,34
2012-03-04,34
2012-03-05,34
2012-03-06,33
2012-03-07,34
2012-03-08,32
2012-03-09,32
2012-03-10,32
2012-03-11,32
2012-03-12,32
2012-03-13,34
2012-03-14,33
2012-03-15,33
2012-03-16,34
2012-03-17,34
2012-03-18,35
2012-03-19,34
2012-03-20,34
2012-03-21,35
2012-03-22,35
2012-03-23,34
2012-03-24,35
2012-03-25,35
2012-03-26,35
2012-03-27,34
2012-03-28,34
2012-03-29,33
2012-03-30,33
2012-03-31,33
2012-04-01,33
2012-04-02,33
2012-04-03,33
2012-04-04,34
2012-04-05,34
2012-04-06,34
2012-04-07,35
2012-04-08,36
2012-04-09,34
2012-04-10,36
2012-04-11,34
2012-04-12,34
2012-04-13,34
2012-04-14,34
2012-04-15,34
2012-04-16,35
2012-04-17,34
2012-04-18,34
2012-04-19,35
2012-04-20,34
2012-04-21,35
2012-04-22,35
2012-04-23,36
2012-04-24,36
2012-04-25,36
2012-04-26,36
2012-04-27,36
2012-04-28,37
2012-04-29,36
2012-04-30,37
2012-05-01,36
2012-05-02,36
2012-05-03,36
2012-05-04,36
2012-05-05,36
2012-05-06,35
2012-05-07,36
2012-05-08,35
2012-05-09,33
2012-05-10,33
2012-05-11,32
2012-05-12,32
2012-05-13,34
2012-05-14,33
2012-05-15,34
2012-05-16,34
2012-05-17,35
2012-05-18,35
2012-05-19,36
2012-05-20,37
2012-05-21,36
2012-05-22,38
2012-05-23,36
2012-05-24,37
2012-05-25,36
2012-05-26,37
2012-05-27,36
2012-05-28,38
2012-05-29,36
2012-05-30,36
2012-05-31,36
2012-06-01,36
2012-06-02,36
2012-06-03,35
2012-06-04,37
2012-06-05,34
2012-06-06,34
2012-06-07,33
2012-06-08,33
2012-06-09,33
2012-06-10,33
2012-06-11,34
2012-06-12,34
2012-06-13,35
2012-06-14,35
2012-06-15,35
2012-06-16,36
2012-06-17,36
2012-06-18,36
2012-06-19,37
2012-06-20,36
2012-06-21,36
2012-06-22,37
2012-06-23,36
2012-06-24,37
2012-06-25,36
2012-06-26,36
2012-06-27,37
2012-06-28,36
2012-06-29,36
2012-06-30,36
2012-07-01,36
2012-07-02,36
2012-07-03,36
2012-07-04,38
2012-07-05,38
2012-07-06,37
2012-07-07,38
2012-07-08,39
2012-07-09,39
2012-07-10,41
2012-07-11,40
2012-07-12,42
2012-07-13,42
2012-07-14,43
2012-07-15,42
2012-07-16,44
2012-07-17,43
2012-07-18,42
2012-07-19,42
2012-07-20,42
2012-07-21,42
2012-07-22,43
2012-07-23,44
2012-07-24,45
2012-07-25,46
2012-07-26,48
2012-07-27,48
2012-07-28,51
2012-07-29,50
2012-07-30,53
2012-07-31,52
2012-08-01,53
2012-08-02,54
2012-08-03,56
2012-08-04,56
2012-08-05,56
2012-08-06,56
2012-08-07,58
2012-08-08,58
2012-08-09,58
2012-08-10,58
2012-08-11,59
2012-08-12,60
2012-08-13,58
2012-08-14,57
2012-08-15,58
2012-08-16,56
2012-08-17,58
2012-08-18,56
2012-08-19,55
2012-08-20,57
2012-08-21,53
2012-08-22,54
2012-08-23,51
2012-08-24,50
2012-08-25,50
2012-08-26,48
2012-08-27,50
2012-08-28,46
2012-08-29,44
2012-08-30,42
2012-08-31,41
2012-09-01,40
2012-09-02,38
2012-09-03,38
2012-09-04,38
2012-09-05,36
2012-09-06,34
2012-09-07,33
2012-09-08,32
2012-09-09,31
2012-09-10,32
2012-09-11,32
2012-09-12,31
2012-09-13,31
2012-09-14,31
2012-09-15,31
2012-09-16,30
2012-09-17,31
2012-09-18,30
2012-09-19,31
2012-09-20,30
2012-09-21,30
2012-09-22,30
2012-09-23,29
2012-09-24,31
2012-09-25,29
2012-09-26,29
2012-09-27,29
2012-09-28,30
2012-09-29,29
2012-09-30,29
2012-10-01,29
2012-10-02,30
2012-10-03,29
2012-10-04,29
2012-10-05,29
2012-10-06,29
2012-10-07,29
2012-10-08,30
2012-10-09,29
2012-10-10,29
2012-10-11,29
2012-10-12,29
2012-10-13,29
2012-10-14,28
2012-10-15,28
2012-10-16,29
2012-10-17,28
2012-10-18,27
2012-10-19,27
2012-10-20,27
2012-10-21,27
2012-10-22,28
2012-10-23,28
2012-10-24,28
2012-10-25,28
2012-10-26,29
2012-10-27,29
2012-10-28,28
2012-10-29,29
2012-10-30,29
2012-10-31,28
2012-11-01,28
2012-11-02,28
2012-11-03,28
2012-11-04,28
2012-11-05,30
2012-11-06,29
2012-11-07,30
2012-11-08,30
2012-11-09,31
2012-11-10,32
2012-11-11,32
2012-11-12,34
2012-11-13,35
2012-11-14,34
2012-11-15,34
2012-11-16,35
2012-11-17,36
2012-11-18,39
2012-11-19,43
2012-11-20,47
2012-11-21,50
2012-11-22,53
2012-11-23,57
2012-11-24,65
2012-11-25,62
2012-11-26,58
2012-11-27,57
2012-11-28,61
2012-11-29,55
2012-11-30,52
2012-12-01,51
2012-12-02,51
2012-12-03,50
2012-12-04,49
2012-12-05,48
2012-12-06,48
2012-12-07,47
2012-12-08,47
2012-12-09,47
2012-12-10,48
2012-12-11,48
2012-12-12,48
2012-12-13,48
2012-12-14,48
2012-12-15,49
2012-12-16,50
2012-12-17,50
2012-12-18,48
2012-12-19,48
2012-12-20,47
2012-12-21,47
2012-12-22,47
2012-12-23,47
2012-12-24,51
2012-12-25,49
2012-12-26,49
2012-12-27,52
2012-12-28,51
2012-12-29,52
2012-12-30,49
2012-12-31,48
