Date,TriState Capital
2013-10-19,71
2013-10-20,70
2013-10-21,69
2013-10-22,68
2013-10-23,67
2013-10-24,66
2013-10-25,65
2013-10-26,65
2013-10-27,65
2013-10-28,67
2013-10-29,67
2013-10-30,68
2013-10-31,69
2013-11-01,70
2013-11-02,71
2013-11-03,72
2013-11-04,72
2013-11-05,73
2013-11-06,74
2013-11-07,75
2013-11-08,76
2013-11-09,77
2013-11-10,73
2013-11-11,70
2013-11-12,67
2013-11-13,63
2013-11-14,60
2013-11-15,57
2013-11-16,53
2013-11-17,55
2013-11-18,57
2013-11-19,59
2013-11-20,61
2013-11-21,63
2013-11-22,65
2013-11-23,68
2013-11-24,68
2013-11-25,69
2013-11-26,70
2013-11-27,71
2013-11-28,72
2013-11-29,73
2013-11-30,74
2013-12-01,74
2013-12-02,76
2013-12-03,76
2013-12-04,77
2013-12-05,78
2013-12-06,79
2013-12-07,80
2013-12-08,77
2013-12-09,73
2013-12-10,71
2013-12-11,68
2013-12-12,66
2013-12-13,63
2013-12-14,61
2013-12-15,63
2013-12-16,67
2013-12-17,70
2013-12-18,74
2013-12-19,77
2013-12-20,81
2013-12-21,87
2013-12-22,79
2013-12-23,79
2013-12-24,80
2013-12-25,80
2013-12-26,81
2013-12-27,81
2013-12-28,82
2013-12-29,82
2014-01-05,85
2014-01-06,86
2014-01-07,86
2014-01-08,87
2014-01-09,87
2014-01-10,88
2014-01-11,88
2014-01-12,88
2014-01-13,87
2014-01-14,87
2014-01-15,86
2014-01-16,86
2014-01-17,86
2014-01-18,86
2014-01-19,82
2014-01-20,76
2014-01-21,72
2014-01-22,67
2014-01-23,63
2014-01-24,58
2014-01-25,54
2014-01-26,54
2014-01-27,54
2014-01-28,54
2014-01-29,54
2014-01-30,54
2014-01-31,54
2014-02-01,54
2014-02-02,60
2014-02-03,68
2014-02-04,74
2014-02-05,81
2014-02-06,88
2014-02-07,95
2014-02-08,102
2014-02-09,94
2014-02-10,83
2014-02-11,75
2014-02-12,66
2014-02-13,58
2014-02-14,50
2014-02-15,42
2014-02-16,43
2014-02-17,45
2014-02-18,47
2014-02-19,48
2014-02-20,50
2014-02-21,52
2014-02-22,54
2014-02-23,60
