Date,rue21
2010-02-24,45
2010-02-25,44
2010-02-26,44
2010-02-27,45
2010-02-28,45
2010-03-01,45
2010-03-02,46
2010-03-03,47
2010-03-04,48
2010-03-05,47
2010-03-06,48
2010-03-07,48
2010-03-08,52
2010-03-09,51
2010-03-10,51
2010-03-11,53
2010-03-12,53
2010-03-13,54
2010-03-14,55
2010-03-15,52
2010-03-16,52
2010-03-17,51
2010-03-18,49
2010-03-19,48
2010-03-20,47
2010-03-21,47
2010-03-22,50
2010-03-23,47
2010-03-24,50
2010-03-25,48
2010-03-26,48
2010-03-27,49
2010-03-28,49
2010-03-29,52
2010-03-30,50
2010-03-31,51
2010-04-01,52
2010-04-02,52
2010-04-03,53
2010-04-04,54
2010-04-05,53
2010-04-06,51
2010-04-07,51
2010-04-08,50
2010-04-09,51
2010-04-10,50
2010-04-11,51
2010-04-12,49
2010-04-13,47
2010-04-14,47
2010-04-15,46
2010-04-16,45
2010-04-17,45
2010-04-18,46
2010-04-19,47
2010-04-20,46
2010-04-21,46
2010-04-22,47
2010-04-23,48
2010-04-24,48
2010-04-25,48
2010-04-26,51
2010-04-27,49
2010-04-28,50
2010-04-29,51
2010-04-30,51
2010-05-01,52
2010-05-02,51
2010-05-03,51
2010-05-04,49
2010-05-05,46
2010-05-06,45
2010-05-07,44
2010-05-08,43
2010-05-09,43
2010-05-10,44
2010-05-11,46
2010-05-12,45
2010-05-13,45
2010-05-14,47
2010-05-15,47
2010-05-16,48
2010-05-17,49
2010-05-18,47
2010-05-19,48
2010-05-20,49
2010-05-21,48
2010-05-22,49
2010-05-23,50
2010-05-24,49
2010-05-25,49
2010-05-26,50
2010-05-27,51
2010-05-28,50
2010-05-29,51
2010-05-30,52
2010-05-31,50
2010-06-01,49
2010-06-02,49
2010-06-03,48
2010-06-04,49
2010-06-05,48
2010-06-06,50
2010-06-07,49
2010-06-08,47
2010-06-09,47
2010-06-10,47
2010-06-11,47
2010-06-12,47
2010-06-13,49
2010-06-14,46
2010-06-15,46
2010-06-16,48
2010-06-17,46
2010-06-18,46
2010-06-19,47
2010-06-20,45
2010-06-21,45
2010-06-22,44
2010-06-23,44
2010-06-24,43
2010-06-25,43
2010-06-26,43
2010-06-27,44
2010-06-28,44
2010-06-29,45
2010-06-30,46
2010-07-01,46
2010-07-02,47
2010-07-03,48
2010-07-04,50
2010-07-05,51
2010-07-06,49
2010-07-07,50
2010-07-08,50
2010-07-09,50
2010-07-10,51
2010-07-11,52
2010-07-12,52
2010-07-13,53
2010-07-14,53
2010-07-15,55
2010-07-16,54
2010-07-17,55
2010-07-18,56
2010-07-19,59
2010-07-20,58
2010-07-21,59
2010-07-22,60
2010-07-23,61
2010-07-24,62
2010-07-25,63
2010-07-26,66
2010-07-27,64
2010-07-28,64
2010-07-29,65
2010-07-30,68
2010-07-31,67
2010-08-01,69
2010-08-02,71
2010-08-03,70
2010-08-04,74
2010-08-05,72
2010-08-06,74
2010-08-07,75
2010-08-08,77
2010-08-09,74
2010-08-10,73
2010-08-11,72
2010-08-12,70
2010-08-13,69
2010-08-14,68
2010-08-15,67
2010-08-16,68
2010-08-17,67
2010-08-18,64
2010-08-19,63
2010-08-20,62
2010-08-21,62
2010-08-22,61
2010-08-23,60
2010-08-24,55
2010-08-25,54
2010-08-26,50
2010-08-27,48
2010-08-28,46
2010-08-29,46
2010-08-30,47
2010-08-31,46
2010-09-01,46
2010-09-02,46
2010-09-03,46
2010-09-04,47
2010-09-05,47
2010-09-06,48
2010-09-07,51
2010-09-08,49
2010-09-09,49
2010-09-10,49
2010-09-11,50
2010-09-12,51
2010-09-13,53
2010-09-14,52
2010-09-15,52
2010-09-16,54
2010-09-17,54
2010-09-18,55
2010-09-19,54
2010-09-20,57
2010-09-21,53
2010-09-22,53
2010-09-23,52
2010-09-24,51
2010-09-25,51
2010-09-26,51
2010-09-27,51
2010-09-28,53
2010-09-29,52
2010-09-30,52
2010-10-01,53
2010-10-02,53
2010-10-03,53
2010-10-04,56
2010-10-05,54
2010-10-06,54
2010-10-07,54
2010-10-08,54
2010-10-09,55
2010-10-10,54
2010-10-11,56
2010-10-12,55
2010-10-13,52
2010-10-14,52
2010-10-15,51
2010-10-16,51
2010-10-17,52
2010-10-18,55
2010-10-19,54
2010-10-20,55
2010-10-21,56
2010-10-22,57
2010-10-23,58
2010-10-24,59
2010-10-25,56
2010-10-26,55
2010-10-27,55
2010-10-28,54
2010-10-29,54
2010-10-30,53
2010-10-31,56
2010-11-01,55
2010-11-02,56
2010-11-03,57
2010-11-04,58
2010-11-05,60
2010-11-06,61
2010-11-07,62
2010-11-08,63
2010-11-09,64
2010-11-10,62
2010-11-11,63
2010-11-12,65
2010-11-13,64
2010-11-14,65
2010-11-15,71
2010-11-16,69
2010-11-17,70
2010-11-18,72
2010-11-19,74
2010-11-20,76
2010-11-21,80
2010-11-22,86
2010-11-23,86
2010-11-24,89
2010-11-25,93
2010-11-26,96
2010-11-27,108
2010-11-28,99
2010-11-29,95
2010-11-30,90
2010-12-01,86
2010-12-02,84
2010-12-03,79
2010-12-04,76
2010-12-05,77
2010-12-06,75
2010-12-07,77
2010-12-08,75
2010-12-09,75
2010-12-10,75
2010-12-11,75
2010-12-12,76
2010-12-13,78
2010-12-14,78
2010-12-15,82
2010-12-16,83
2010-12-17,82
2010-12-18,84
2010-12-19,84
2010-12-20,85
2010-12-21,88
2010-12-22,85
2010-12-23,86
2010-12-24,88
2010-12-25,90
2010-12-26,87
2010-12-27,93
2010-12-28,89
2010-12-29,93
2010-12-30,90
2010-12-31,91
2011-01-01,95
2011-01-02,86
2011-01-03,82
2011-01-04,78
2011-01-05,69
2011-01-06,63
2011-01-07,57
2011-01-08,52
2011-01-09,52
2011-01-10,53
2011-01-11,52
2011-01-12,52
2011-01-13,51
2011-01-14,51
2011-01-15,51
2011-01-16,51
2011-01-17,52
2011-01-18,54
2011-01-19,56
2011-01-20,53
2011-01-21,54
2011-01-22,55
2011-01-23,55
2011-01-24,55
2011-01-25,55
2011-01-26,54
2011-01-27,54
2011-01-28,54
2011-01-29,54
2011-01-30,54
2011-01-31,59
2011-02-01,55
2011-02-02,55
2011-02-03,56
2011-02-04,56
2011-02-05,57
2011-02-06,57
2011-02-07,60
2011-02-08,59
2011-02-09,58
2011-02-10,59
2011-02-11,60
2011-02-12,60
2011-02-13,60
2011-02-14,60
2011-02-15,58
2011-02-16,57
2011-02-17,58
2011-02-18,56
2011-02-19,56
2011-02-20,56
2011-02-21,59
2011-02-22,58
2011-02-23,58
2011-02-24,59
2011-02-25,59
2011-02-26,60
2011-02-27,59
2011-02-28,63
