Date,Silver Spring Networks
2012-03-20,38
2012-03-21,38
2012-03-22,38
2012-03-23,38
2012-03-24,38
2012-03-25,37
2012-04-01,28
2012-04-02,28
2012-04-03,29
2012-04-04,29
2012-04-05,30
2012-04-06,30
2012-04-07,31
2012-04-08,32
2012-04-09,33
2012-04-10,35
2012-04-11,36
2012-04-12,38
2012-04-13,39
2012-04-14,41
2012-04-15,41
2012-04-16,41
2012-04-17,41
2012-04-18,41
2012-04-19,41
2012-04-20,41
2012-04-21,42
2012-04-22,42
2012-04-23,43
2012-04-24,44
2012-04-25,44
2012-04-26,45
2012-04-27,46
2012-04-28,47
2012-04-29,48
2012-04-30,49
2012-05-01,50
2012-05-02,51
2012-05-03,52
2012-05-04,53
2012-05-05,54
2012-05-06,53
2012-05-07,53
2012-05-08,52
2012-05-09,52
2012-05-10,51
2012-05-11,50
2012-05-12,50
2012-05-13,47
2012-05-14,44
2012-05-15,42
2012-05-16,39
2012-05-17,36
2012-05-18,33
2012-05-19,31
2012-05-20,32
2012-05-21,34
2012-05-22,35
2012-05-23,36
2012-05-24,38
2012-05-25,39
2012-05-26,41
2012-05-27,39
2012-05-28,38
2012-05-29,36
2012-05-30,35
2012-05-31,33
2012-06-01,32
2012-06-02,31
2012-06-03,31
2012-06-04,32
2012-06-05,33
2012-06-06,33
2012-06-07,34
2012-06-08,35
2012-06-09,36
2012-06-10,37
2012-06-11,38
2012-06-12,39
2012-06-13,40
2012-06-14,41
2012-06-15,42
2012-06-16,43
2012-06-17,41
2012-06-18,39
2012-06-19,38
2012-06-20,36
2012-06-21,35
2012-06-22,33
2012-06-23,32
2012-06-24,33
2012-07-01,44
2012-07-02,43
2012-07-03,42
2012-07-04,41
2012-07-05,40
2012-07-06,39
2012-07-07,39
2012-07-08,38
2012-07-09,37
2012-07-10,37
2012-07-11,36
2012-07-12,35
2012-07-13,34
2012-07-14,34
2012-07-15,35
2012-07-16,37
2012-07-17,39
2012-07-18,40
2012-07-19,42
2012-07-20,44
2012-07-21,46
2012-07-22,44
2012-07-23,43
2012-07-24,42
2012-07-25,41
2012-07-26,40
2012-07-27,39
2012-07-28,38
2012-07-29,37
2012-07-30,37
2012-07-31,37
2012-08-01,36
2012-08-02,36
2012-08-03,36
2012-08-04,36
2012-08-05,37
2012-08-06,38
2012-08-07,39
2012-08-08,40
2012-08-09,41
2012-08-10,42
2012-08-11,43
2012-08-12,43
2012-08-13,43
2012-08-14,43
2012-08-15,43
2012-08-16,43
2012-08-17,43
2012-08-18,44
2012-08-19,46
2012-08-20,48
2012-08-21,50
2012-08-22,53
2012-08-23,55
2012-08-24,57
2012-08-25,59
2012-08-26,55
2012-08-27,51
2012-08-28,47
2012-08-29,43
2012-08-30,39
2012-08-31,35
2012-09-01,32
2012-09-02,32
2012-09-03,33
2012-09-04,34
2012-09-05,34
2012-09-06,35
2012-09-07,36
2012-09-08,37
2012-09-09,38
2012-09-10,39
2012-09-11,41
2012-09-12,42
2012-09-13,44
2012-09-14,45
2012-09-15,47
2012-09-16,45
2012-09-17,45
2012-09-18,43
2012-09-19,42
2012-09-20,41
2012-09-21,40
2012-09-22,39
2012-09-23,38
2012-09-24,37
2012-09-25,37
2012-09-26,36
2012-09-27,36
2012-09-28,35
2012-09-29,35
2012-09-30,35
2012-10-07,39
2012-10-08,40
2012-10-09,41
2012-10-10,42
2012-10-11,43
2012-10-12,44
2012-10-13,45
2012-10-14,42
2012-10-15,40
2012-10-16,37
2012-10-17,35
2012-10-18,32
2012-10-19,30
2012-10-20,28
2012-10-21,29
2012-10-22,30
2012-10-23,31
2012-10-24,32
2012-10-25,33
2012-10-26,34
2012-10-27,35
2012-10-28,34
2012-10-29,33
2012-10-30,32
2012-10-31,32
2012-11-01,31
2012-11-02,30
2012-11-03,30
2012-11-04,30
2012-11-05,31
2012-11-06,32
2012-11-07,32
2012-11-08,33
2012-11-09,34
2012-11-10,35
2012-11-11,37
2012-11-12,39
2012-11-13,42
2012-11-14,44
2012-11-15,46
2012-11-16,49
2012-11-17,51
2012-11-18,47
2012-11-19,43
2012-11-20,39
2012-11-21,36
2012-11-22,32
2012-11-23,28
2012-11-24,25
2012-11-25,25
2012-11-26,25
2012-11-27,26
2012-11-28,26
2012-11-29,27
2012-11-30,27
2012-12-01,28
2012-12-02,29
2012-12-03,30
2012-12-04,31
2012-12-05,33
2012-12-06,34
2012-12-07,35
2012-12-08,37
2012-12-09,36
2012-12-10,36
2012-12-11,35
2012-12-12,34
2012-12-13,34
2012-12-14,33
2012-12-15,33
2012-12-16,31
2012-12-17,28
2012-12-18,26
2012-12-19,24
2012-12-20,22
2012-12-21,20
2012-12-22,18
2012-12-23,18
2012-12-24,18
2012-12-25,19
2012-12-26,19
2012-12-27,20
2012-12-28,20
2012-12-29,21
2012-12-30,22
