Date,RHI Entertainment
2008-05-23,47
2008-05-24,46
2008-05-25,48
2008-06-01,60
2008-06-02,57
2008-06-03,54
2008-06-04,52
2008-06-05,49
2008-06-06,46
2008-06-07,44
2008-06-08,44
2008-06-09,45
2008-06-10,45
2008-06-11,45
2008-06-12,46
2008-06-13,46
2008-06-14,47
2008-06-15,47
2008-06-16,47
2008-06-17,47
2008-06-18,48
2008-06-19,48
2008-06-20,48
2008-06-21,49
2008-06-22,49
2008-06-23,49
2008-06-24,49
2008-06-25,49
2008-06-26,49
2008-06-27,49
2008-06-28,50
2008-06-29,50
2008-06-30,50
2008-07-01,50
2008-07-02,50
2008-07-03,50
2008-07-04,51
2008-07-05,51
2008-07-06,51
2008-07-07,51
2008-07-08,52
2008-07-09,52
2008-07-10,53
2008-07-11,53
2008-07-12,54
2008-07-13,54
2008-07-14,55
2008-07-15,56
2008-07-16,56
2008-07-17,57
2008-07-18,57
2008-07-19,58
2008-07-20,55
2008-07-21,51
2008-07-22,47
2008-07-23,44
2008-07-24,40
2008-07-25,37
2008-07-26,34
2008-07-27,35
2008-07-28,37
2008-07-29,39
2008-07-30,40
2008-07-31,42
2008-08-01,44
2008-08-02,46
2008-08-03,46
2008-08-04,47
2008-08-05,48
2008-08-06,49
2008-08-07,50
2008-08-08,50
2008-08-09,51
2008-08-10,50
2008-08-11,49
2008-08-12,49
2008-08-13,48
2008-08-14,48
2008-08-15,47
2008-08-16,47
2008-08-17,46
2008-08-18,46
2008-08-19,46
2008-08-20,46
2008-08-21,46
2008-08-22,46
2008-08-23,46
2008-08-24,46
2008-08-25,45
2008-08-26,45
2008-08-27,44
2008-08-28,44
2008-08-29,44
2008-08-30,44
2008-08-31,43
2008-09-01,42
2008-09-02,42
2008-09-03,42
2008-09-04,41
2008-09-05,40
2008-09-06,40
2008-09-07,40
2008-09-08,40
2008-09-09,40
2008-09-10,40
2008-09-11,40
2008-09-12,40
2008-09-13,40
2008-09-14,41
2008-09-15,42
2008-09-16,43
2008-09-17,45
2008-09-18,46
2008-09-19,47
2008-09-20,49
2008-09-21,48
2008-09-22,47
2008-09-23,47
2008-09-24,46
2008-09-25,46
2008-09-26,45
2008-09-27,45
2008-09-28,43
2008-09-29,41
2008-09-30,40
2008-10-01,38
2008-10-02,37
2008-10-03,35
2008-10-04,34
2008-10-05,35
2008-10-06,38
2008-10-07,39
2008-10-08,40
2008-10-09,42
2008-10-10,44
2008-10-11,46
2008-10-12,46
2008-10-13,49
2008-10-14,47
2008-10-15,47
2008-10-16,48
2008-10-17,48
2008-10-18,49
2008-10-19,47
2008-10-20,46
2008-10-21,44
2008-10-22,43
2008-10-23,41
2008-10-24,40
2008-10-25,39
2008-10-26,39
2008-10-27,39
2008-10-28,45
2008-10-29,39
2008-10-30,39
2008-10-31,39
2008-11-01,39
2008-11-02,38
2008-11-03,37
2008-11-04,36
2008-11-05,36
2008-11-06,36
2008-11-07,34
2008-11-08,34
2008-11-09,37
2008-11-10,41
2008-11-11,44
2008-11-12,48
2008-11-13,51
2008-11-14,55
2008-11-15,59
2008-11-16,56
2008-11-17,54
2008-11-18,52
2008-11-19,49
2008-11-20,47
2008-11-21,45
2008-11-22,43
2008-11-23,44
2008-11-24,46
2008-11-25,46
2008-11-26,47
2008-11-27,48
2008-11-28,49
2008-11-29,50
2008-11-30,47
2008-12-07,30
2008-12-08,30
2008-12-09,31
2008-12-10,31
2008-12-11,32
2008-12-12,32
2008-12-13,33
2008-12-14,33
2008-12-15,34
2008-12-16,34
2008-12-17,35
2008-12-18,35
2008-12-19,36
2008-12-20,37
2008-12-21,38
2008-12-22,39
2008-12-23,40
2008-12-24,41
2008-12-25,42
2008-12-26,44
2008-12-27,45
2008-12-28,44
2008-12-29,44
2008-12-30,44
2008-12-31,43
2009-01-01,43
2009-01-02,43
2009-01-03,43
2009-01-04,42
2009-01-05,41
2009-01-06,41
2009-01-07,40
2009-01-08,40
2009-01-09,39
2009-01-10,39
2009-01-11,39
2009-01-12,40
2009-01-13,41
2009-01-14,41
2009-01-15,42
2009-01-16,43
2009-01-17,44
2009-01-18,43
2009-01-19,42
2009-01-20,41
2009-01-21,41
2009-01-22,40
2009-01-23,39
2009-01-24,39
2009-01-25,39
2009-01-26,40
2009-01-27,40
2009-01-28,40
2009-01-29,41
2009-01-30,41
2009-01-31,42
2009-02-01,42
2009-02-02,42
2009-02-03,42
2009-02-04,42
2009-02-05,42
2009-02-06,42
2009-02-07,43
2009-02-08,42
2009-02-09,42
2009-02-10,42
2009-02-11,42
2009-02-12,42
2009-02-13,42
2009-02-14,42
2009-02-15,41
2009-02-16,40
2009-02-17,39
2009-02-18,38
2009-02-19,37
2009-02-20,37
2009-02-21,36
2009-02-22,36
