Date,Select Medical
2009-07-14,36
2009-07-15,32
2009-07-16,29
2009-07-17,26
2009-07-18,23
2009-07-19,25
2009-07-20,27
2009-07-21,30
2009-07-22,32
2009-07-23,34
2009-07-24,36
2009-07-25,39
2009-07-26,37
2009-07-27,35
2009-07-28,34
2009-07-29,32
2009-07-30,31
2009-07-31,29
2009-08-01,28
2009-08-02,29
2009-08-03,32
2009-08-04,33
2009-08-05,35
2009-08-06,37
2009-08-07,39
2009-08-08,41
2009-08-09,39
2009-08-10,36
2009-08-11,34
2009-08-12,32
2009-08-13,30
2009-08-14,28
2009-08-15,26
2009-08-16,27
2009-08-17,29
2009-08-18,30
2009-08-19,32
2009-08-20,33
2009-08-21,35
2009-08-22,37
2009-08-23,35
2009-08-24,34
2009-08-25,32
2009-08-26,31
2009-08-27,30
2009-08-28,28
2009-08-29,27
2009-08-30,28
2009-08-31,29
2009-09-01,30
2009-09-02,31
2009-09-03,32
2009-09-04,33
2009-09-05,34
2009-09-06,34
2009-09-07,34
2009-09-08,34
2009-09-09,34
2009-09-10,34
2009-09-11,34
2009-09-12,34
2009-09-13,35
2009-09-14,37
2009-09-15,38
2009-09-16,40
2009-09-17,41
2009-09-18,43
2009-09-19,45
2009-09-20,52
2009-09-21,61
2009-09-22,69
2009-09-23,77
2009-09-24,86
2009-09-25,94
2009-09-26,102
2009-09-27,94
2009-10-04,39
2009-10-05,37
2009-10-06,35
2009-10-07,33
2009-10-08,31
2009-10-09,29
2009-10-10,28
2009-10-11,30
2009-10-12,32
2009-10-13,34
2009-10-14,36
2009-10-15,38
2009-10-16,40
2009-10-17,42
2009-10-18,41
2009-10-19,40
2009-10-20,39
2009-10-21,38
2009-10-22,37
2009-10-23,36
2009-10-24,35
2009-10-25,34
2009-10-26,34
2009-10-27,34
2009-10-28,33
2009-10-29,33
2009-10-30,33
2009-10-31,33
2009-11-01,34
2009-11-02,35
2009-11-03,36
2009-11-04,37
2009-11-05,38
2009-11-06,40
2009-11-07,41
2009-11-08,39
2009-11-09,38
2009-11-10,36
2009-11-11,35
2009-11-12,33
2009-11-13,32
2009-11-14,31
2009-11-15,31
2009-11-16,32
2009-11-17,33
2009-11-18,33
2009-11-19,34
2009-11-20,34
2009-11-21,35
2009-11-22,33
2009-11-23,30
2009-11-24,28
2009-11-25,25
2009-11-26,23
2009-11-27,21
2009-11-28,19
2009-11-29,20
2009-11-30,21
2009-12-01,22
2009-12-02,24
2009-12-03,25
2009-12-04,26
2009-12-05,28
2009-12-06,28
2009-12-07,28
2009-12-08,28
2009-12-09,28
2009-12-10,28
2009-12-11,28
2009-12-12,29
2009-12-13,29
2009-12-14,30
2009-12-15,30
2009-12-16,30
2009-12-17,31
2009-12-18,31
2009-12-19,31
2009-12-20,29
2009-12-21,25
2009-12-22,23
2009-12-23,20
2009-12-24,18
2009-12-25,15
2009-12-26,13
2009-12-27,13
