Date,Primo Water
2010-12-17,32
2010-12-18,32
2010-12-19,32
2010-12-20,32
2010-12-21,32
2010-12-22,33
2010-12-23,33
2010-12-24,33
2010-12-25,34
2010-12-26,35
2010-12-27,36
2010-12-28,37
2010-12-29,38
2010-12-30,39
2010-12-31,40
2011-01-01,41
2011-01-02,41
2011-01-03,41
2011-01-04,41
2011-01-05,41
2011-01-06,41
2011-01-07,41
2011-01-08,42
2011-01-09,42
2011-01-10,42
2011-01-11,42
2011-01-12,43
2011-01-13,43
2011-01-14,43
2011-01-15,44
2011-01-16,47
2011-01-17,50
2011-01-18,53
2011-01-19,57
2011-01-20,60
2011-01-21,63
2011-01-22,66
2011-01-23,62
2011-01-24,58
2011-01-25,54
2011-01-26,49
2011-01-27,45
2011-01-28,41
2011-01-29,37
2011-01-30,36
2011-01-31,34
2011-02-01,33
2011-02-02,32
2011-02-03,31
2011-02-04,30
2011-02-05,29
2011-02-06,29
2011-02-07,29
2011-02-08,29
2011-02-09,30
2011-02-10,30
2011-02-11,30
2011-02-12,31
2011-02-13,31
2011-02-14,31
2011-02-15,31
2011-02-16,32
2011-02-17,32
2011-02-18,32
2011-02-19,33
2011-02-20,35
2011-02-21,38
2011-02-22,41
2011-02-23,43
2011-02-24,46
2011-02-25,49
2011-02-26,52
2011-02-27,52
2011-03-06,54
2011-03-07,52
2011-03-08,50
2011-03-09,48
2011-03-10,46
2011-03-11,44
2011-03-12,42
2011-03-13,41
2011-03-14,39
2011-03-15,38
2011-03-16,37
2011-03-17,36
2011-03-18,35
2011-03-19,34
2011-03-20,35
2011-03-21,36
2011-03-22,37
2011-03-23,38
2011-03-24,39
2011-03-25,40
2011-03-26,41
2011-03-27,42
2011-03-28,43
2011-03-29,44
2011-03-30,45
2011-03-31,46
2011-04-01,47
2011-04-02,49
2011-04-03,49
2011-04-04,50
2011-04-05,50
2011-04-06,51
2011-04-07,51
2011-04-08,52
2011-04-09,53
2011-04-10,52
2011-04-11,52
2011-04-12,52
2011-04-13,51
2011-04-14,51
2011-04-15,50
2011-04-16,50
2011-04-17,47
2011-04-18,43
2011-04-19,40
2011-04-20,37
2011-04-21,34
2011-04-22,31
2011-04-23,28
2011-04-24,28
2011-04-25,27
2011-04-26,27
2011-04-27,27
2011-04-28,27
2011-04-29,27
2011-04-30,27
2011-05-01,29
2011-05-02,32
2011-05-03,35
2011-05-04,37
2011-05-05,40
2011-05-06,43
2011-05-07,46
2011-05-08,46
2011-05-09,46
2011-05-10,47
2011-05-11,47
2011-05-12,47
2011-05-13,48
2011-05-14,48
2011-05-15,47
2011-05-16,47
2011-05-17,46
2011-05-18,45
2011-05-19,45
2011-05-20,44
2011-05-21,44
2011-05-22,44
2011-05-23,44
2011-05-24,44
2011-05-25,44
2011-05-26,44
2011-05-27,44
2011-05-28,44
2011-05-29,44
2011-06-05,46
2011-06-06,46
2011-06-07,46
2011-06-08,45
2011-06-09,45
2011-06-10,45
2011-06-11,45
2011-06-12,47
2011-06-13,51
2011-06-14,53
2011-06-15,56
2011-06-16,59
2011-06-17,62
2011-06-18,65
2011-06-19,65
2011-06-20,65
2011-06-21,66
2011-06-22,66
2011-06-23,67
2011-06-24,67
2011-06-25,68
2011-06-26,65
2011-06-27,62
2011-06-28,59
2011-06-29,57
2011-06-30,54
2011-07-01,51
2011-07-02,48
2011-07-03,49
2011-07-04,49
2011-07-05,50
2011-07-06,50
2011-07-07,51
2011-07-08,52
2011-07-09,53
2011-07-10,52
2011-07-11,52
2011-07-12,52
2011-07-13,51
2011-07-14,51
2011-07-15,51
2011-07-16,51
2011-07-17,55
2011-07-18,61
2011-07-19,66
2011-07-20,70
2011-07-21,75
2011-07-22,80
2011-07-23,85
2011-07-24,82
2011-07-25,79
2011-07-26,76
2011-07-27,74
2011-07-28,71
2011-07-29,68
2011-07-30,66
2011-07-31,64
2011-08-01,62
2011-08-02,60
2011-08-03,58
2011-08-04,56
2011-08-05,54
2011-08-06,52
2011-08-07,58
2011-08-08,66
2011-08-09,72
2011-08-10,79
2011-08-11,86
2011-08-12,93
2011-08-13,100
2011-08-14,96
2011-08-15,92
2011-08-16,89
2011-08-17,85
2011-08-18,81
2011-08-19,77
2011-08-20,74
2011-08-21,72
2011-08-22,71
2011-08-23,70
2011-08-24,68
2011-08-25,67
2011-08-26,65
2011-08-27,64
2011-08-28,64
