Date,QuinStreet
2010-11-18,32
2010-11-19,32
2010-11-20,32
2010-11-21,31
2010-11-22,29
2010-11-23,28
2010-11-24,27
2010-11-25,26
2010-11-26,25
2010-11-27,24
2010-11-28,24
2010-11-29,25
2010-11-30,26
2010-12-01,27
2010-12-02,28
2010-12-03,29
2010-12-04,30
2010-12-05,30
2010-12-06,31
2010-12-07,31
2010-12-08,32
2010-12-09,33
2010-12-10,33
2010-12-11,34
2010-12-12,33
2010-12-13,33
2010-12-14,33
2010-12-15,32
2010-12-16,32
2010-12-17,32
2010-12-18,32
2010-12-19,30
2010-12-20,28
2010-12-21,26
2010-12-22,24
2010-12-23,22
2010-12-24,21
2010-12-25,19
2010-12-26,19
2010-12-27,19
2010-12-28,19
2010-12-29,19
2010-12-30,19
2010-12-31,19
2011-01-01,19
2011-01-02,19
2011-01-03,19
2011-01-04,19
2011-01-05,20
2011-01-06,20
2011-01-07,20
2011-01-08,21
2011-01-09,21
2011-01-10,22
2011-01-11,23
2011-01-12,24
2011-01-13,25
2011-01-14,26
2011-01-15,27
2011-01-16,26
2011-01-17,25
2011-01-18,24
2011-01-19,24
2011-01-20,23
2011-01-21,22
2011-01-22,22
2011-01-23,21
2011-01-24,21
2011-01-25,21
2011-01-26,21
2011-01-27,21
2011-01-28,21
2011-01-29,21
2011-01-30,22
2011-02-06,28
2011-02-07,28
2011-02-08,28
2011-02-09,28
2011-02-10,28
2011-02-11,28
2011-02-12,29
2011-02-13,29
2011-02-14,29
2011-02-15,29
2011-02-16,29
2011-02-17,29
2011-02-18,29
2011-02-19,30
2011-02-20,29
2011-02-21,28
2011-02-22,28
2011-02-23,27
2011-02-24,26
2011-02-25,25
2011-02-26,25
2011-02-27,24
2011-02-28,23
2011-03-01,22
2011-03-02,21
2011-03-03,20
2011-03-04,19
2011-03-05,18
2011-03-06,18
2011-03-07,18
2011-03-08,18
2011-03-09,19
2011-03-10,19
2011-03-11,19
2011-03-12,20
2011-03-13,20
2011-03-14,20
2011-03-15,20
2011-03-16,21
2011-03-17,21
2011-03-18,21
2011-03-19,22
2011-03-20,22
2011-03-21,23
2011-03-22,23
2011-03-23,23
2011-03-24,24
2011-03-25,24
2011-03-26,25
2011-03-27,24
