Date,Education Management Corporation
2008-02-01,56
2008-02-02,55
2008-02-03,55
2008-02-04,56
2008-02-05,57
2008-02-06,58
2008-02-07,59
2008-02-08,60
2008-02-09,61
2008-02-10,61
2008-02-11,63
2008-02-12,64
2008-02-13,65
2008-02-14,66
2008-02-15,67
2008-02-16,68
2008-02-17,63
2008-02-18,58
2008-02-19,53
2008-02-20,49
2008-02-21,44
2008-02-22,40
2008-02-23,36
2008-02-24,38
2008-03-02,50
2008-03-03,51
2008-03-04,52
2008-03-05,52
2008-03-06,53
2008-03-07,54
2008-03-08,55
2008-03-09,56
2008-03-10,57
2008-03-11,58
2008-03-12,59
2008-03-13,60
2008-03-14,62
2008-03-15,63
2008-03-16,61
2008-03-17,60
2008-03-18,58
2008-03-19,57
2008-03-20,55
2008-03-21,54
2008-03-22,53
2008-03-23,54
2008-03-24,56
2008-03-25,58
2008-03-26,60
2008-03-27,62
2008-03-28,63
2008-03-29,65
2008-03-30,63
2008-03-31,61
2008-04-01,59
2008-04-02,57
2008-04-03,55
2008-04-04,53
2008-04-05,51
2008-04-06,51
2008-04-07,51
2008-04-08,51
2008-04-09,51
2008-04-10,51
2008-04-11,51
2008-04-12,51
2008-04-13,50
2008-04-14,50
2008-04-15,50
2008-04-16,49
2008-04-17,49
2008-04-18,49
2008-04-19,49
2008-04-20,50
2008-04-21,52
2008-04-22,54
2008-04-23,56
2008-04-24,58
2008-04-25,60
2008-04-26,62
2008-04-27,59
2008-04-28,56
2008-04-29,54
2008-04-30,51
2008-05-01,48
2008-05-02,45
2008-05-03,43
2008-05-04,45
2008-05-05,48
2008-05-06,51
2008-05-07,54
2008-05-08,56
2008-05-09,59
2008-05-10,62
2008-05-11,59
2008-05-12,56
2008-05-13,54
2008-05-14,51
2008-05-15,49
2008-05-16,46
2008-05-17,44
2008-05-18,45
2008-05-19,47
2008-05-20,48
2008-05-21,49
2008-05-22,51
2008-05-23,52
2008-05-24,53
2008-05-25,53
2008-06-01,52
2008-06-02,52
2008-06-03,51
2008-06-04,51
2008-06-05,50
2008-06-06,50
2008-06-07,50
2008-06-08,50
2008-06-09,51
2008-06-10,52
2008-06-11,53
2008-06-12,54
2008-06-13,55
2008-06-14,56
2008-06-15,56
2008-06-16,57
2008-06-17,58
2008-06-18,58
2008-06-19,59
2008-06-20,60
2008-06-21,61
2008-06-22,59
2008-06-23,57
2008-06-24,55
2008-06-25,54
2008-06-26,52
2008-06-27,50
2008-06-28,48
2008-06-29,46
2008-06-30,43
2008-07-01,41
2008-07-02,38
2008-07-03,36
2008-07-04,34
2008-07-05,32
2008-07-06,36
2008-07-07,40
2008-07-08,45
2008-07-09,49
2008-07-10,53
2008-07-11,58
2008-07-12,62
2008-07-13,58
2008-07-14,54
2008-07-15,50
2008-07-16,47
2008-07-17,43
2008-07-18,39
2008-07-19,36
2008-07-20,37
2008-07-21,38
2008-07-22,39
2008-07-23,40
2008-07-24,41
2008-07-25,42
2008-07-26,43
2008-07-27,47
2008-07-28,51
2008-07-29,55
2008-07-30,59
2008-07-31,63
2008-08-01,67
2008-08-02,71
2008-08-03,70
2008-08-04,71
2008-08-05,70
2008-08-06,70
2008-08-07,70
2008-08-08,69
2008-08-09,69
2008-08-10,67
2008-08-11,64
2008-08-12,62
2008-08-13,59
2008-08-14,57
2008-08-15,55
2008-08-16,53
2008-08-17,51
2008-08-18,49
2008-08-19,48
2008-08-20,46
2008-08-21,45
2008-08-22,43
2008-08-23,42
2008-08-24,43
2008-08-25,44
2008-08-26,46
2008-08-27,47
2008-08-28,49
2008-08-29,50
2008-08-30,52
2008-08-31,53
2008-09-07,59
2008-09-08,59
2008-09-09,59
2008-09-10,59
2008-09-11,59
2008-09-12,59
2008-09-13,59
2008-09-14,57
2008-09-15,56
2008-09-16,55
2008-09-17,54
2008-09-18,53
2008-09-19,52
2008-09-20,51
2008-09-21,51
2008-09-22,51
2008-09-23,51
2008-09-24,51
2008-09-25,51
2008-09-26,52
2008-09-27,52
2008-09-28,55
2008-09-29,58
2008-09-30,61
2008-10-01,64
2008-10-02,67
2008-10-03,70
2008-10-04,74
2008-10-05,73
2008-10-06,72
2008-10-07,72
2008-10-08,71
2008-10-09,71
2008-10-10,70
2008-10-11,70
2008-10-12,70
2008-10-13,71
2008-10-14,72
2008-10-15,72
2008-10-16,73
2008-10-17,74
2008-10-18,75
2008-10-19,78
2008-10-20,82
2008-10-21,86
2008-10-22,89
2008-10-23,93
2008-10-24,97
2008-10-25,100
2008-10-26,96
2008-10-27,92
2008-10-28,89
2008-10-29,85
2008-10-30,81
2008-10-31,77
2008-11-01,73
2008-11-02,69
2008-11-03,64
2008-11-04,60
2008-11-05,56
2008-11-06,51
2008-11-07,47
2008-11-08,43
2008-11-09,43
2008-11-10,43
2008-11-11,43
2008-11-12,44
2008-11-13,44
2008-11-14,44
2008-11-15,45
2008-11-16,44
2008-11-17,44
2008-11-18,44
2008-11-19,44
2008-11-20,43
2008-11-21,43
2008-11-22,43
2008-11-23,44
2008-11-24,44
2008-11-25,45
2008-11-26,46
2008-11-27,47
2008-11-28,48
2008-11-29,49
2008-11-30,51
2008-12-07,65
2008-12-08,62
2008-12-09,60
2008-12-10,57
2008-12-11,54
2008-12-12,51
2008-12-13,48
2008-12-14,47
2008-12-15,45
2008-12-16,44
2008-12-17,43
2008-12-18,42
2008-12-19,41
2008-12-20,40
2008-12-21,39
2008-12-22,38
2008-12-23,37
2008-12-24,36
2008-12-25,35
2008-12-26,34
2008-12-27,34
2008-12-28,36
2008-12-29,38
2008-12-30,40
2008-12-31,43
2009-01-01,45
2009-01-02,47
2009-01-03,50
2009-01-04,51
2009-01-05,52
2009-01-06,53
2009-01-07,55
2009-01-08,56
2009-01-09,57
2009-01-10,59
2009-01-11,59
2009-01-12,60
2009-01-13,60
2009-01-14,61
2009-01-15,61
2009-01-16,62
2009-01-17,63
2009-01-18,63
2009-01-19,64
2009-01-20,65
2009-01-21,66
2009-01-22,66
2009-01-23,67
2009-01-24,68
2009-01-25,67
2009-01-26,66
2009-01-27,65
2009-01-28,64
2009-01-29,63
2009-01-30,62
2009-01-31,61
2009-02-01,62
2009-02-02,62
2009-02-03,63
2009-02-04,64
2009-02-05,65
2009-02-06,66
2009-02-07,67
2009-02-08,66
2009-02-09,65
2009-02-10,65
2009-02-11,64
2009-02-12,63
2009-02-13,62
2009-02-14,62
2009-02-15,60
2009-02-16,58
2009-02-17,57
2009-02-18,55
2009-02-19,54
2009-02-20,52
2009-02-21,51
2009-02-22,51
2009-03-01,54
2009-03-02,55
2009-03-03,56
2009-03-04,57
2009-03-05,58
2009-03-06,59
2009-03-07,60
2009-03-08,60
2009-03-09,60
2009-03-10,60
2009-03-11,60
2009-03-12,60
2009-03-13,60
2009-03-14,60
2009-03-15,62
2009-03-16,64
2009-03-17,66
2009-03-18,68
2009-03-19,70
2009-03-20,73
2009-03-21,75
2009-03-22,74
2009-03-23,74
2009-03-24,73
2009-03-25,73
2009-03-26,72
2009-03-27,71
2009-03-28,71
2009-03-29,69
2009-03-30,67
2009-03-31,65
2009-04-01,63
2009-04-02,61
2009-04-03,59
2009-04-04,57
2009-04-05,60
2009-04-06,63
2009-04-07,66
2009-04-08,69
2009-04-09,72
2009-04-10,75
2009-04-11,79
2009-04-12,76
2009-04-13,72
2009-04-14,69
2009-04-15,66
2009-04-16,63
2009-04-17,60
2009-04-18,58
2009-04-19,59
2009-04-20,60
2009-04-21,61
2009-04-22,62
2009-04-23,63
2009-04-24,64
2009-04-25,65
2009-04-26,64
2009-04-27,63
2009-04-28,62
2009-04-29,61
2009-04-30,61
2009-05-01,60
2009-05-02,59
2009-05-03,57
2009-05-04,54
2009-05-05,52
2009-05-06,50
2009-05-07,48
2009-05-08,46
2009-05-09,44
2009-05-10,45
2009-05-11,47
2009-05-12,49
2009-05-13,51
2009-05-14,53
2009-05-15,55
2009-05-16,57
2009-05-17,56
2009-05-18,55
2009-05-19,54
2009-05-20,53
2009-05-21,52
2009-05-22,51
2009-05-23,51
2009-05-24,53
2009-05-25,56
2009-05-26,58
2009-05-27,61
2009-05-28,63
2009-05-29,66
2009-05-30,69
2009-05-31,68
