Date,Linn Co
2012-10-17,94
2012-10-18,92
2012-10-19,91
2012-10-20,90
2012-10-21,87
2012-10-22,84
2012-10-23,81
2012-10-24,78
2012-10-25,74
2012-10-26,71
2012-10-27,68
2012-10-28,65
2012-10-29,62
2012-10-30,59
2012-10-31,56
2012-11-01,53
2012-11-02,50
2012-11-03,48
2012-11-04,47
2012-11-05,46
2012-11-06,45
2012-11-07,44
2012-11-08,43
2012-11-09,42
2012-11-10,41
2012-11-11,42
2012-11-12,43
2012-11-13,44
2012-11-14,45
2012-11-15,46
2012-11-16,47
2012-11-17,48
2012-11-18,46
2012-11-19,45
2012-11-20,43
2012-11-21,42
2012-11-22,40
2012-11-23,39
2012-11-24,38
2012-11-25,37
2012-12-02,38
2012-12-03,39
2012-12-04,41
2012-12-05,42
2012-12-06,43
2012-12-07,45
2012-12-08,46
2012-12-09,46
2012-12-10,46
2012-12-11,46
2012-12-12,46
2012-12-13,46
2012-12-14,46
2012-12-15,47
2012-12-16,47
2012-12-17,47
2012-12-18,48
2012-12-19,48
2012-12-20,48
2012-12-21,48
2012-12-22,48
2012-12-23,50
2012-12-24,50
2012-12-25,51
2012-12-26,53
2012-12-27,54
2012-12-28,55
2012-12-29,57
2012-12-30,58
2012-12-31,60
2013-01-01,61
2013-01-02,62
2013-01-03,64
2013-01-04,65
2013-01-05,67
2013-01-06,67
2013-01-07,66
2013-01-08,66
2013-01-09,66
2013-01-10,66
2013-01-11,66
2013-01-12,66
2013-01-13,67
2013-01-14,70
2013-01-15,72
2013-01-16,73
2013-01-17,75
2013-01-18,77
2013-01-19,79
2013-01-20,72
2013-01-21,64
2013-01-22,57
2013-01-23,50
2013-01-24,43
2013-01-25,36
2013-01-26,29
2013-01-27,32
2013-01-28,35
2013-01-29,38
2013-01-30,41
2013-01-31,44
2013-02-01,47
2013-02-02,50
2013-02-03,51
2013-02-04,53
2013-02-05,54
2013-02-06,56
2013-02-07,58
2013-02-08,59
2013-02-09,61
2013-02-10,59
2013-02-11,58
2013-02-12,56
2013-02-13,54
2013-02-14,53
2013-02-15,51
2013-02-16,50
2013-02-17,49
2013-02-18,49
2013-02-19,49
2013-02-20,49
2013-02-21,49
2013-02-22,48
2013-02-23,48
2013-02-24,48
2013-03-03,49
2013-03-04,50
2013-03-05,51
2013-03-06,52
2013-03-07,53
2013-03-08,54
2013-03-09,55
2013-03-10,54
2013-03-11,53
2013-03-12,53
2013-03-13,52
2013-03-14,52
2013-03-15,51
2013-03-16,51
2013-03-17,49
2013-03-18,48
2013-03-19,46
2013-03-20,44
2013-03-21,42
2013-03-22,41
2013-03-23,39
2013-03-24,41
2013-03-25,42
2013-03-26,44
2013-03-27,46
2013-03-28,48
2013-03-29,50
2013-03-30,52
2013-03-31,49
2013-04-01,46
2013-04-02,44
2013-04-03,41
2013-04-04,39
2013-04-05,36
2013-04-06,34
2013-04-07,38
2013-04-08,43
2013-04-09,47
2013-04-10,52
2013-04-11,56
2013-04-12,61
2013-04-13,65
2013-04-14,62
2013-04-15,58
2013-04-16,55
2013-04-17,52
2013-04-18,49
2013-04-19,46
2013-04-20,43
2013-04-21,46
2013-04-22,49
2013-04-23,52
2013-04-24,56
2013-04-25,59
2013-04-26,62
2013-04-27,66
2013-04-28,63
2013-04-29,60
2013-04-30,57
2013-05-01,54
2013-05-02,51
2013-05-03,48
2013-05-04,46
2013-05-05,46
2013-05-06,48
2013-05-07,49
2013-05-08,49
2013-05-09,50
2013-05-10,51
2013-05-11,52
2013-05-12,49
2013-05-13,46
2013-05-14,43
2013-05-15,40
2013-05-16,37
2013-05-17,34
2013-05-18,31
2013-05-19,35
2013-05-20,39
2013-05-21,43
2013-05-22,47
2013-05-23,52
2013-05-24,56
2013-05-25,60
2013-05-26,58
2013-06-02,44
2013-06-03,44
2013-06-04,43
2013-06-05,43
2013-06-06,42
2013-06-07,42
2013-06-08,42
2013-06-09,45
2013-06-10,49
2013-06-11,53
2013-06-12,57
2013-06-13,61
2013-06-14,65
2013-06-15,69
2013-06-16,66
2013-06-17,62
2013-06-18,59
2013-06-19,57
2013-06-20,54
2013-06-21,51
2013-06-22,49
2013-06-23,48
2013-06-24,48
2013-06-25,48
2013-06-26,48
2013-06-27,48
2013-06-28,48
2013-06-29,48
2013-06-30,49
2013-07-01,51
2013-07-02,52
2013-07-03,54
2013-07-04,55
2013-07-05,56
2013-07-06,58
2013-07-07,58
2013-07-08,58
2013-07-09,58
2013-07-10,58
2013-07-11,58
2013-07-12,58
2013-07-13,58
2013-07-14,59
2013-07-15,61
2013-07-16,62
2013-07-17,64
2013-07-18,65
2013-07-19,66
2013-07-20,68
2013-07-21,63
2013-07-22,58
2013-07-23,53
2013-07-24,49
2013-07-25,44
2013-07-26,39
2013-07-27,35
2013-07-28,36
2013-07-29,37
2013-07-30,38
2013-07-31,39
2013-08-01,40
2013-08-02,41
2013-08-03,43
2013-08-04,47
2013-08-05,51
2013-08-06,55
2013-08-07,59
2013-08-08,63
2013-08-09,67
2013-08-10,72
2013-08-11,69
2013-08-12,67
2013-08-13,65
2013-08-14,62
2013-08-15,60
2013-08-16,58
2013-08-17,56
2013-08-18,57
2013-08-19,59
2013-08-20,60
2013-08-21,62
2013-08-22,63
2013-08-23,65
2013-08-24,66
2013-08-25,63
2013-09-01,42
2013-09-02,50
2013-09-03,40
2013-09-04,40
2013-09-05,39
2013-09-06,38
2013-09-07,38
2013-09-08,42
2013-09-09,47
2013-09-10,52
2013-09-11,56
2013-09-12,61
2013-09-13,66
2013-09-14,71
2013-09-15,68
2013-09-16,67
2013-09-17,65
2013-09-18,62
2013-09-19,60
2013-09-20,58
2013-09-21,56
2013-09-22,55
2013-09-23,55
2013-09-24,54
2013-09-25,54
2013-09-26,53
2013-09-27,52
2013-09-28,52
2013-09-29,50
2013-09-30,48
2013-10-01,46
2013-10-02,44
2013-10-03,42
2013-10-04,40
2013-10-05,38
2013-10-06,39
2013-10-07,41
2013-10-08,42
2013-10-09,44
2013-10-10,45
2013-10-11,47
2013-10-12,49
2013-10-13,50
2013-10-14,52
2013-10-15,53
2013-10-16,55
2013-10-17,56
2013-10-18,58
2013-10-19,60
2013-10-20,57
2013-10-21,55
2013-10-22,53
2013-10-23,51
2013-10-24,49
2013-10-25,47
2013-10-26,45
2013-10-27,47
2013-10-28,50
2013-10-29,52
2013-10-30,55
2013-10-31,57
2013-11-01,60
2013-11-02,62
2013-11-03,60
2013-11-04,57
2013-11-05,55
2013-11-06,53
2013-11-07,51
2013-11-08,49
2013-11-09,47
2013-11-10,46
2013-11-11,45
2013-11-12,45
2013-11-13,44
2013-11-14,43
2013-11-15,43
2013-11-16,42
2013-11-17,42
2013-11-18,42
2013-11-19,41
2013-11-20,41
2013-11-21,41
2013-11-22,41
2013-11-23,41
2013-11-24,39
