Date,BE Resources Inc
2009-01-07,35
2009-01-08,35
2009-01-09,35
2009-01-10,35
2009-01-11,36
2009-01-12,37
2009-01-13,38
2009-01-14,40
2009-01-15,41
2009-01-16,42
2009-01-17,44
2009-01-18,43
2009-01-19,43
2009-01-20,43
2009-01-21,43
2009-01-22,43
2009-01-23,43
2009-01-24,43
2009-01-25,43
2009-01-26,43
2009-01-27,44
2009-01-28,44
2009-01-29,45
2009-01-30,45
2009-01-31,46
2009-02-01,47
2009-02-02,48
2009-02-03,49
2009-02-04,51
2009-02-05,52
2009-02-06,53
2009-02-07,54
2009-02-08,54
2009-02-09,52
2009-02-10,51
2009-02-11,51
2009-02-12,50
2009-02-13,49
2009-02-14,49
2009-02-15,49
2009-02-16,49
2009-02-17,49
2009-02-18,49
2009-02-19,49
2009-02-20,49
2009-02-21,49
2009-02-22,48
2009-02-23,47
2009-02-24,46
2009-02-25,45
2009-02-26,44
2009-02-27,43
2009-02-28,42
2009-03-01,46
2009-03-02,50
2009-03-03,54
2009-03-04,58
2009-03-05,62
2009-03-06,67
2009-03-07,71
2009-03-08,68
2009-03-09,65
2009-03-10,62
2009-03-11,60
2009-03-12,57
2009-03-13,54
2009-03-14,51
2009-03-15,49
2009-03-16,45
2009-03-17,43
2009-03-18,41
2009-03-19,39
2009-03-20,37
2009-03-21,35
2009-03-22,35
2009-03-23,35
2009-03-24,35
2009-03-25,35
2009-03-26,35
2009-03-27,35
2009-03-28,35
2009-03-29,38
2009-04-05,52
2009-04-06,49
2009-04-07,45
2009-04-08,41
2009-04-09,38
2009-04-10,34
2009-04-11,31
2009-04-12,32
2009-04-13,33
2009-04-14,34
2009-04-15,35
2009-04-16,36
2009-04-17,37
2009-04-18,39
2009-04-19,39
2009-04-20,39
2009-04-21,39
2009-04-22,39
2009-04-23,39
2009-04-24,39
2009-04-25,40
2009-04-26,40
2009-04-27,40
2009-04-28,40
2009-04-29,40
2009-04-30,40
2009-05-01,40
2009-05-02,40
2009-05-03,40
2009-05-04,40
2009-05-05,40
2009-05-06,40
2009-05-07,40
2009-05-08,40
2009-05-09,41
2009-05-10,40
2009-05-11,40
2009-05-12,40
2009-05-13,40
2009-05-14,40
2009-05-15,40
2009-05-16,40
2009-05-17,38
2009-05-18,37
2009-05-19,36
2009-05-20,34
2009-05-21,33
2009-05-22,32
2009-05-23,31
2009-05-24,32
2009-05-25,33
2009-05-26,34
2009-05-27,35
2009-05-28,36
2009-05-29,37
2009-05-30,38
2009-05-31,39
2009-06-01,40
2009-06-02,41
2009-06-03,42
2009-06-04,43
2009-06-05,44
2009-06-06,45
2009-06-07,44
2009-06-08,41
2009-06-09,39
2009-06-10,38
2009-06-11,36
2009-06-12,34
2009-06-13,33
2009-06-14,32
2009-06-15,31
2009-06-16,30
2009-06-17,30
2009-06-18,29
2009-06-19,28
2009-06-20,28
2009-06-21,29
2009-06-22,32
2009-06-23,33
2009-06-24,35
2009-06-25,37
2009-06-26,39
2009-06-27,43
2009-06-28,39
2009-07-05,40
2009-07-06,40
2009-07-07,40
2009-07-08,40
2009-07-09,40
2009-07-10,40
2009-07-11,41
2009-07-12,42
2009-07-13,44
2009-07-14,45
2009-07-15,47
2009-07-16,48
2009-07-17,50
2009-07-18,52
2009-07-19,51
2009-07-20,51
2009-07-21,51
2009-07-22,50
2009-07-23,50
2009-07-24,49
2009-07-25,49
2009-07-26,49
2009-07-27,49
2009-07-28,49
2009-07-29,49
2009-07-30,49
2009-07-31,49
2009-08-01,50
2009-08-02,50
2009-08-03,50
2009-08-04,51
2009-08-05,51
2009-08-06,52
2009-08-07,52
2009-08-08,53
2009-08-09,52
2009-08-10,51
2009-08-11,50
2009-08-12,49
2009-08-13,48
2009-08-14,47
2009-08-15,46
2009-08-16,46
2009-08-17,48
2009-08-18,49
2009-08-19,50
2009-08-20,50
2009-08-21,51
2009-08-22,52
2009-08-23,51
2009-08-24,50
2009-08-25,48
2009-08-26,47
2009-08-27,46
2009-08-28,45
2009-08-29,44
2009-08-30,43
2009-08-31,41
2009-09-01,40
2009-09-02,38
2009-09-03,37
2009-09-04,36
2009-09-05,35
2009-09-06,34
2009-09-07,33
2009-09-08,32
2009-09-09,31
2009-09-10,30
2009-09-11,29
2009-09-12,29
2009-09-13,34
2009-09-14,40
2009-09-15,46
2009-09-16,51
2009-09-17,57
2009-09-18,63
2009-09-19,69
2009-09-20,63
2009-09-21,57
2009-09-22,51
2009-09-23,45
2009-09-24,39
2009-09-25,34
2009-09-26,28
2009-09-27,27
2009-10-04,34
2009-10-05,34
2009-10-06,34
2009-10-07,34
2009-10-08,34
2009-10-09,34
2009-10-10,34
2009-10-11,33
2009-10-12,33
2009-10-13,33
2009-10-14,33
2009-10-15,33
2009-10-16,33
2009-10-17,33
2009-10-18,32
2009-10-19,32
2009-10-20,31
2009-10-21,31
2009-10-22,30
2009-10-23,30
2009-10-24,30
2009-10-25,33
2009-10-26,37
2009-10-27,40
2009-10-28,44
2009-10-29,48
2009-10-30,51
2009-10-31,55
2009-11-01,55
2009-11-02,54
2009-11-03,54
2009-11-04,54
2009-11-05,54
2009-11-06,54
2009-11-07,54
2009-11-08,53
2009-11-09,53
2009-11-10,53
2009-11-11,52
2009-11-12,52
2009-11-13,52
2009-11-14,51
2009-11-15,51
2009-11-16,50
2009-11-17,50
2009-11-18,49
2009-11-19,49
2009-11-20,49
2009-11-21,49
2009-11-22,45
2009-11-23,42
2009-11-24,38
2009-11-25,35
2009-11-26,31
2009-11-27,28
2009-11-28,25
2009-11-29,26
2009-11-30,28
2009-12-01,29
2009-12-02,31
2009-12-03,32
2009-12-04,34
2009-12-05,36
2009-12-06,35
2009-12-07,35
2009-12-08,35
2009-12-09,34
2009-12-10,34
2009-12-11,34
2009-12-12,34
2009-12-13,34
2009-12-14,35
2009-12-15,36
2009-12-16,37
2009-12-17,38
2009-12-18,39
2009-12-19,40
2009-12-20,38
2009-12-21,37
2009-12-22,35
2009-12-23,33
2009-12-24,32
2009-12-25,30
2009-12-26,29
2009-12-27,29
2010-01-03,30
2010-01-04,32
2010-01-05,34
2010-01-06,35
2010-01-07,37
2010-01-08,39
2010-01-09,41
2010-01-10,43
2010-01-11,45
2010-01-12,47
2010-01-13,49
2010-01-14,51
2010-01-15,53
2010-01-16,55
2010-01-17,55
2010-01-18,55
2010-01-19,55
2010-01-20,55
2010-01-21,55
2010-01-22,55
2010-01-23,55
2010-01-24,54
2010-01-25,54
2010-01-26,53
2010-01-27,53
2010-01-28,52
2010-01-29,52
2010-01-30,51
2010-01-31,47
2010-02-01,43
2010-02-02,39
2010-02-03,35
2010-02-04,31
2010-02-05,27
2010-02-06,23
2010-02-07,23
2010-02-08,24
2010-02-09,25
2010-02-10,26
2010-02-11,27
2010-02-12,28
2010-02-13,29
2010-02-14,32
2010-02-15,35
2010-02-16,38
2010-02-17,41
2010-02-18,44
2010-02-19,47
2010-02-20,51
2010-02-21,48
2010-02-22,46
2010-02-23,44
2010-02-24,41
2010-02-25,39
2010-02-26,37
2010-02-27,35
2010-02-28,37
2010-03-01,40
2010-03-02,43
2010-03-03,45
2010-03-04,48
2010-03-05,51
2010-03-06,54
2010-03-07,53
2010-03-08,53
2010-03-09,52
2010-03-10,52
2010-03-11,51
2010-03-12,50
2010-03-13,50
2010-03-14,48
2010-03-15,45
2010-03-16,43
2010-03-17,41
2010-03-18,39
2010-03-19,37
2010-03-20,36
2010-03-21,34
2010-03-22,32
2010-03-23,30
2010-03-24,28
2010-03-25,26
2010-03-26,24
2010-03-27,22
2010-03-28,23
2010-04-04,31
2010-04-05,32
2010-04-06,32
2010-04-07,33
2010-04-08,33
2010-04-09,34
2010-04-10,35
2010-04-11,36
2010-04-12,37
2010-04-13,38
2010-04-14,40
2010-04-15,41
2010-04-16,42
2010-04-17,44
2010-04-18,43
2010-04-19,43
2010-04-20,43
2010-04-21,43
2010-04-22,42
2010-04-23,42
2010-04-24,42
2010-04-25,43
2010-04-26,44
2010-04-27,46
2010-04-28,47
2010-04-29,49
2010-04-30,50
2010-05-01,52
2010-05-02,56
2010-05-03,60
2010-05-04,64
2010-05-05,68
2010-05-06,72
2010-05-07,76
2010-05-08,81
2010-05-09,78
2010-05-10,76
2010-05-11,74
2010-05-12,72
2010-05-13,69
2010-05-14,67
2010-05-15,64
2010-05-16,61
2010-05-17,58
2010-05-18,55
2010-05-19,52
2010-05-20,49
2010-05-21,46
2010-05-22,43
2010-05-23,42
2010-05-24,40
2010-05-25,39
2010-05-26,38
2010-05-27,37
2010-05-28,36
2010-05-29,35
2010-05-30,33
2010-05-31,31
2010-06-01,29
2010-06-02,28
2010-06-03,26
2010-06-04,24
2010-06-05,23
2010-06-06,26
2010-06-07,29
2010-06-08,32
2010-06-09,36
2010-06-10,39
2010-06-11,42
2010-06-12,46
2010-06-13,44
2010-06-14,42
2010-06-15,40
2010-06-16,38
2010-06-17,36
2010-06-18,34
2010-06-19,32
2010-06-20,32
2010-06-21,32
2010-06-22,32
2010-06-23,33
2010-06-24,33
2010-06-25,33
2010-06-26,34
2010-06-27,34
