Date,RealD
2011-04-26,9
2011-04-27,10
2011-04-28,10
2011-04-29,10
2011-04-30,11
2011-05-01,10
2011-05-02,10
2011-05-03,9
2011-05-04,9
2011-05-05,8
2011-05-06,8
2011-05-07,8
2011-05-08,8
2011-05-09,8
2011-05-10,8
2011-05-11,9
2011-05-12,9
2011-05-13,9
2011-05-14,10
2011-05-15,10
2011-05-16,11
2011-05-17,12
2011-05-18,13
2011-05-19,14
2011-05-20,15
2011-05-21,16
2011-05-22,15
2011-05-23,14
2011-05-24,13
2011-05-25,12
2011-05-26,11
2011-05-27,10
2011-05-28,9
2011-05-29,9
2011-05-30,10
2011-05-31,11
2011-06-01,12
2011-06-02,13
2011-06-03,14
2011-06-04,15
2011-06-05,14
2011-06-06,13
2011-06-07,12
2011-06-08,12
2011-06-09,11
2011-06-10,10
2011-06-11,10
2011-06-12,9
2011-06-13,9
2011-06-14,9
2011-06-15,8
2011-06-16,8
2011-06-17,8
2011-06-18,8
2011-06-19,7
2011-06-20,7
2011-06-21,7
2011-06-22,7
2011-06-23,7
2011-06-24,7
2011-06-25,7
2011-06-26,7
2011-07-03,13
2011-07-04,13
2011-07-05,14
2011-07-06,14
2011-07-07,15
2011-07-08,15
2011-07-09,16
2011-07-10,16
2011-07-11,16
2011-07-12,16
2011-07-13,17
2011-07-14,17
2011-07-15,17
2011-07-16,18
2011-07-17,18
2011-07-18,18
2011-07-19,19
2011-07-20,19
2011-07-21,19
2011-07-22,19
2011-07-23,20
2011-07-24,19
2011-07-25,18
2011-07-26,17
2011-07-27,17
2011-07-28,16
2011-07-29,15
2011-07-30,15
2011-07-31,14
2011-08-01,13
2011-08-02,12
2011-08-03,12
2011-08-04,11
2011-08-05,10
2011-08-06,10
2011-08-07,10
2011-08-08,10
2011-08-09,10
2011-08-10,10
2011-08-11,10
2011-08-12,10
2011-08-13,10
2011-08-14,9
2011-08-15,9
2011-08-16,9
2011-08-17,9
2011-08-18,9
2011-08-19,9
2011-08-20,9
2011-08-21,8
2011-08-22,8
2011-08-23,8
2011-08-24,7
2011-08-25,7
2011-08-26,7
2011-08-27,7
2011-08-28,7
2011-08-29,7
2011-08-30,8
2011-08-31,8
2011-09-01,9
2011-09-02,9
2011-09-03,10
2011-09-04,9
2011-09-05,8
2011-09-06,8
2011-09-07,7
2011-09-08,7
2011-09-09,6
2011-09-10,6
2011-09-11,6
2011-09-12,7
2011-09-13,7
2011-09-14,8
2011-09-15,8
2011-09-16,9
2011-09-17,10
2011-09-18,9
2011-09-19,9
2011-09-20,8
2011-09-21,8
2011-09-22,7
2011-09-23,7
2011-09-24,7
2011-09-25,7
