Date,Avago
2008-06-04,72
2008-06-05,63
2008-06-06,61
2008-06-07,61
2008-06-08,59
2008-06-09,58
2008-06-10,59
2008-06-11,57
2008-06-12,56
2008-06-13,55
2008-06-14,55
2008-06-15,57
2008-06-16,60
2008-06-17,62
2008-06-18,65
2008-06-19,70
2008-06-20,70
2008-06-21,80
2008-06-22,71
2008-06-23,69
2008-06-24,67
2008-06-25,65
2008-06-26,64
2008-06-27,66
2008-06-28,60
2008-06-29,59
2008-06-30,59
2008-07-01,60
2008-07-02,59
2008-07-03,59
2008-07-04,61
2008-07-05,59
2008-07-06,59
2008-07-07,60
2008-07-08,60
2008-07-09,61
2008-07-10,63
2008-07-11,62
2008-07-12,63
2008-07-13,63
2008-07-14,64
2008-07-15,67
2008-07-16,65
2008-07-17,66
2008-07-18,74
2008-07-19,68
2008-07-20,66
2008-07-21,65
2008-07-22,67
2008-07-23,65
2008-07-24,64
2008-07-25,61
2008-07-26,60
2008-07-27,58
2008-07-28,57
2008-07-29,56
2008-07-30,56
2008-07-31,54
2008-08-01,53
2008-08-02,52
2008-08-03,52
2008-08-04,52
2008-08-05,52
2008-08-06,55
2008-08-07,52
2008-08-08,56
2008-08-09,53
2008-08-10,53
2008-08-11,54
2008-08-12,55
2008-08-13,60
2008-08-14,56
2008-08-15,57
2008-08-16,58
2008-08-17,60
2008-08-18,62
2008-08-19,64
2008-08-20,67
2008-08-21,69
2008-08-22,70
2008-08-23,75
2008-08-24,70
2008-08-25,69
2008-08-26,68
2008-08-27,67
2008-08-28,71
2008-08-29,66
2008-08-30,64
2008-08-31,62
2008-09-01,61
2008-09-02,60
2008-09-03,59
2008-09-04,58
2008-09-05,56
2008-09-06,60
2008-09-07,56
2008-09-08,57
2008-09-09,59
2008-09-10,60
2008-09-11,63
2008-09-12,63
2008-09-13,69
2008-09-14,66
2008-09-15,68
2008-09-16,70
2008-09-17,71
2008-09-18,79
2008-09-19,75
2008-09-20,80
2008-09-21,75
2008-09-22,74
2008-09-23,76
2008-09-24,72
2008-09-25,75
2008-09-26,70
2008-09-27,71
2008-09-28,67
2008-09-29,65
2008-09-30,64
2008-10-01,61
2008-10-02,59
2008-10-03,61
2008-10-04,56
2008-10-05,56
2008-10-06,56
2008-10-07,58
2008-10-08,57
2008-10-09,57
2008-10-10,58
2008-10-11,58
2008-10-12,58
2008-10-13,59
2008-10-14,64
2008-10-15,61
2008-10-16,62
2008-10-17,62
2008-10-18,63
2008-10-19,62
2008-10-20,62
2008-10-21,62
2008-10-22,63
2008-10-23,63
2008-10-24,61
2008-10-25,65
2008-10-26,60
2008-10-27,59
2008-10-28,58
2008-10-29,57
2008-10-30,57
2008-10-31,55
2008-11-01,54
2008-11-02,54
2008-11-03,55
2008-11-04,56
2008-11-05,56
2008-11-06,57
2008-11-07,61
2008-11-08,59
2008-11-09,60
2008-11-10,61
2008-11-11,62
2008-11-12,63
2008-11-13,72
2008-11-14,65
2008-11-15,66
2008-11-16,67
2008-11-17,68
2008-11-18,69
2008-11-19,74
2008-11-20,71
2008-11-21,73
2008-11-22,74
2008-11-23,69
2008-11-24,65
2008-11-25,61
2008-11-26,61
2008-11-27,54
2008-11-28,49
2008-11-29,46
2008-11-30,45
2008-12-01,45
2008-12-02,46
2008-12-03,52
2008-12-04,47
2008-12-05,50
2008-12-06,48
2008-12-07,48
2008-12-08,49
2008-12-09,49
2008-12-10,50
2008-12-11,51
2008-12-12,51
2008-12-13,54
2008-12-14,52
2008-12-15,53
2008-12-16,53
2008-12-17,54
2008-12-18,54
2008-12-19,58
2008-12-20,57
2008-12-21,51
2008-12-22,47
2008-12-23,43
2008-12-24,38
2008-12-25,34
2008-12-26,30
2008-12-27,26
2008-12-28,26
2008-12-29,26
2008-12-30,26
2008-12-31,26
2009-01-01,26
2009-01-02,26
2009-01-03,26
2009-01-04,30
2009-01-05,34
2009-01-06,39
2009-01-07,43
2009-01-08,51
2009-01-09,51
2009-01-10,56
2009-01-11,58
2009-01-12,61
2009-01-13,63
2009-01-14,66
2009-01-15,68
2009-01-16,71
2009-01-17,81
2009-01-18,70
2009-01-19,67
2009-01-20,64
2009-01-21,62
2009-01-22,58
2009-01-23,54
2009-01-24,57
2009-01-25,50
2009-01-26,50
2009-01-27,50
2009-01-28,52
2009-01-29,50
2009-01-30,50
2009-01-31,50
2009-02-01,51
2009-02-02,57
2009-02-03,53
2009-02-04,55
2009-02-05,63
2009-02-06,57
2009-02-07,59
2009-02-08,60
2009-02-09,61
2009-02-10,62
2009-02-11,68
2009-02-12,64
2009-02-13,65
2009-02-14,67
2009-02-15,65
2009-02-16,64
2009-02-17,66
2009-02-18,63
2009-02-19,63
2009-02-20,61
2009-02-21,61
2009-02-22,61
2009-02-23,62
2009-02-24,68
2009-02-25,63
2009-02-26,65
2009-02-27,68
2009-02-28,65
2009-03-01,63
2009-03-02,61
2009-03-03,63
2009-03-04,58
2009-03-05,58
2009-03-06,55
2009-03-07,53
2009-03-08,53
2009-03-09,53
2009-03-10,56
2009-03-11,54
2009-03-12,57
2009-03-13,53
2009-03-14,53
2009-03-15,54
2009-03-16,55
2009-03-17,56
2009-03-18,63
2009-03-19,58
2009-03-20,59
2009-03-21,61
2009-03-22,62
2009-03-23,63
2009-03-24,64
2009-03-25,65
2009-03-26,66
2009-03-27,68
2009-03-28,69
2009-03-29,67
2009-03-30,66
2009-03-31,68
2009-05-01,50
2009-05-02,51
2009-05-03,50
2009-05-04,49
2009-05-05,51
2009-05-06,47
2009-05-07,48
2009-05-08,47
2009-05-09,45
2009-05-10,46
2009-05-11,47
2009-05-12,48
2009-05-13,50
2009-05-14,51
2009-05-15,55
2009-05-16,57
2009-05-17,52
2009-05-18,50
2009-05-19,48
2009-05-20,47
2009-05-21,45
2009-05-22,43
2009-05-23,45
2009-05-24,43
2009-05-25,44
2009-05-26,46
2009-05-27,47
2009-05-28,50
2009-05-29,52
2009-05-30,54
2009-05-31,50
2009-06-01,48
2009-06-02,46
2009-06-03,45
2009-06-04,43
2009-06-05,41
2009-06-06,40
2009-06-07,41
2009-06-08,43
2009-06-09,45
2009-06-10,48
2009-06-11,52
2009-06-12,51
2009-06-13,53
2009-06-14,53
2009-06-15,53
2009-06-16,58
2009-06-17,54
2009-06-18,55
2009-06-19,55
2009-06-20,58
2009-06-21,54
2009-06-22,52
2009-06-23,53
2009-06-24,49
2009-06-25,50
2009-06-26,45
2009-06-27,44
2009-06-28,44
2009-06-29,45
2009-06-30,46
2009-07-01,47
2009-07-02,48
2009-07-03,54
2009-07-04,50
2009-07-05,50
2009-07-06,50
2009-07-07,50
2009-07-08,52
2009-07-09,51
2009-07-10,51
2009-07-11,52
2009-07-12,52
2009-07-13,53
2009-07-14,58
2009-07-15,58
2009-07-16,56
2009-07-17,59
2009-07-18,58
2009-07-19,56
2009-07-20,55
2009-07-21,58
2009-07-22,52
2009-07-23,51
2009-07-24,50
2009-07-25,49
2009-07-26,52
2009-07-27,56
2009-07-28,60
2009-07-29,65
2009-07-30,69
2009-07-31,72
2009-08-01,76
2009-08-02,79
2009-08-03,82
2009-08-04,86
2009-08-05,94
2009-08-06,93
2009-08-07,110
2009-08-08,107
2009-08-09,93
2009-08-10,87
2009-08-11,90
2009-08-12,75
2009-08-13,69
2009-08-14,63
2009-08-15,56
2009-08-16,56
2009-08-17,57
2009-08-18,58
2009-08-19,59
2009-08-20,61
2009-08-21,60
2009-08-22,62
2009-08-23,58
2009-08-24,56
2009-08-25,56
2009-08-26,52
2009-08-27,54
2009-08-28,48
2009-08-29,46
2009-08-30,47
2009-08-31,49
2009-09-01,51
2009-09-02,54
2009-09-03,56
2009-09-04,59
2009-09-05,58
2009-09-06,57
2009-09-07,56
2009-09-08,56
2009-09-09,55
2009-09-10,55
2009-09-11,56
2009-09-12,57
2009-09-13,54
2009-09-14,54
2009-09-15,54
2009-09-16,58
2009-09-17,54
2009-09-18,54
2009-09-19,57
2009-09-20,54
2009-09-21,53
2009-09-22,56
2009-09-23,52
2009-09-24,51
2009-09-25,50
2009-09-26,50
2009-09-27,50
2009-09-28,51
2009-09-29,53
2009-09-30,53
2009-10-01,52
2009-10-02,55
2009-10-03,54
2009-10-04,52
2009-10-05,51
2009-10-06,50
2009-10-07,51
2009-10-08,48
2009-10-09,47
2009-10-10,46
2009-10-11,47
2009-10-12,48
2009-10-13,50
2009-10-14,50
2009-10-15,51
2009-10-16,54
2009-10-17,53
2009-10-18,52
2009-10-19,51
2009-10-20,56
2009-10-21,50
2009-10-22,53
2009-10-23,49
2009-10-24,51
2009-10-25,49
2009-10-26,49
2009-10-27,49
2009-10-28,50
2009-10-29,55
2009-10-30,50
2009-10-31,51
2009-11-01,50
2009-11-02,50
2009-11-03,50
2009-11-04,52
2009-11-05,49
2009-11-06,51
2009-11-07,50
2009-11-08,47
2009-11-09,46
2009-11-10,45
2009-11-11,44
2009-11-12,48
2009-11-13,42
2009-11-14,44
2009-11-15,41
2009-11-16,41
2009-11-17,42
2009-11-18,42
2009-11-19,42
2009-11-20,45
2009-11-21,43
2009-11-22,42
2009-11-23,42
2009-11-24,42
2009-11-25,41
2009-11-26,42
2009-11-27,41
2009-11-28,41
2009-11-29,41
2009-11-30,41
2009-12-01,41
2009-12-02,42
2009-12-03,42
2009-12-04,45
2009-12-05,43
2009-12-06,43
2009-12-07,43
2009-12-08,43
2009-12-09,45
2009-12-10,44
2009-12-11,47
2009-12-12,45
2009-12-13,45
2009-12-14,45
2009-12-15,45
2009-12-16,46
2009-12-17,50
2009-12-18,46
2009-12-19,47
2009-12-20,45
2009-12-21,44
2009-12-22,45
2009-12-23,41
2009-12-24,39
2009-12-25,38
2009-12-26,37
2009-12-27,35
2009-12-28,34
2009-12-29,32
2009-12-30,33
2009-12-31,29
2010-01-01,28
2010-01-02,27
2010-01-03,29
2010-01-04,31
2010-01-05,33
2010-01-06,36
2010-01-07,37
2010-01-08,43
2010-01-09,42
2010-01-10,42
2010-01-11,43
2010-01-12,44
2010-01-13,48
2010-01-14,45
2010-01-15,48
2010-01-16,47
2010-01-17,47
2010-01-18,48
2010-01-19,54
2010-01-20,49
2010-01-21,50
2010-01-22,51
2010-01-23,52
2010-01-24,51
2010-01-25,51
2010-01-26,53
2010-01-27,50
2010-01-28,49
2010-01-29,51
2010-01-30,49
2010-01-31,48
