Date,Intelius
2010-11-02,81
2010-11-03,82
2010-11-04,81
2010-11-05,82
2010-11-06,88
2010-11-07,81
2010-11-08,80
2010-11-09,82
2010-11-10,79
2010-11-11,77
2010-11-12,78
2010-11-13,79
2010-11-14,79
2010-11-15,75
2010-11-16,77
2010-11-17,74
2010-11-18,74
2010-11-19,73
2010-11-20,75
2010-11-21,72
2010-11-22,68
2010-11-23,68
2010-11-24,64
2010-11-25,64
2010-11-26,61
2010-11-27,58
2010-11-28,62
2010-11-29,60
2010-11-30,61
2010-12-01,63
2010-12-02,65
2010-12-03,65
2010-12-04,72
2010-12-05,67
2010-12-06,67
2010-12-07,70
2010-12-08,68
2010-12-09,69
2010-12-10,69
2010-12-11,72
2010-12-12,69
2010-12-13,71
2010-12-14,69
2010-12-15,68
2010-12-16,69
2010-12-17,68
2010-12-18,68
2010-12-19,73
2010-12-20,67
2010-12-21,66
2010-12-22,66
2010-12-23,70
2010-12-24,65
2010-12-25,67
2010-12-26,66
2010-12-27,74
2010-12-28,70
2010-12-29,71
2010-12-30,73
2010-12-31,81
2011-01-01,77
2011-01-02,80
2011-01-03,79
2011-01-04,82
2011-01-05,81
2011-01-06,84
2011-01-07,83
2011-01-08,90
2011-01-09,84
2011-01-10,88
2011-01-11,84
2011-01-12,84
2011-01-13,85
2011-01-14,84
2011-01-15,88
2011-01-16,82
2011-01-17,81
2011-01-18,83
2011-01-19,78
2011-01-20,80
2011-01-21,76
2011-01-22,75
2011-01-23,76
2011-01-24,73
2011-01-25,77
2011-01-26,72
2011-01-27,71
2011-01-28,70
2011-01-29,75
2011-01-30,70
2011-01-31,73
2011-02-01,72
2011-02-02,73
2011-02-03,73
2011-02-04,74
2011-02-05,75
2011-02-06,78
2011-02-07,76
2011-02-08,79
2011-02-09,77
2011-02-10,80
2011-02-11,78
2011-02-12,81
2011-02-13,78
2011-02-14,78
2011-02-15,78
2011-02-16,77
2011-02-17,77
2011-02-18,80
2011-02-19,77
2011-02-20,80
2011-02-21,74
2011-02-22,73
2011-02-23,73
2011-02-24,71
2011-02-25,70
2011-02-26,70
2011-02-27,71
2011-02-28,74
2011-03-01,72
2011-03-02,75
2011-03-03,75
2011-03-04,79
2011-03-05,78
2011-03-06,79
2011-03-07,77
2011-03-08,76
2011-03-09,76
2011-03-10,78
2011-03-11,76
2011-03-12,78
2011-03-13,79
2011-03-14,72
2011-03-15,71
2011-03-16,69
2011-03-17,70
2011-03-18,67
2011-03-19,67
2011-03-20,72
2011-03-21,68
2011-03-22,70
2011-03-23,71
2011-03-24,72
2011-03-25,72
2011-03-26,74
2011-03-27,75
2011-03-28,74
2011-03-29,75
2011-03-30,76
2011-03-31,76
2011-04-01,76
2011-04-02,77
2011-04-03,80
2011-04-04,76
2011-04-05,76
2011-04-06,76
2011-04-07,78
2011-04-08,75
2011-04-09,75
2011-04-10,78
2011-04-11,76
2011-04-12,76
2011-04-13,77
2011-04-14,78
2011-04-15,79
2011-04-16,79
2011-04-17,80
2011-04-18,81
2011-04-19,82
2011-04-20,85
2011-04-21,84
2011-04-22,85
2011-04-23,91
2011-04-24,83
2011-04-25,80
2011-04-26,78
2011-04-27,76
2011-04-28,73
2011-04-29,72
2011-04-30,70
2011-05-01,68
2011-05-02,70
2011-05-03,69
2011-05-04,69
2011-05-05,71
2011-05-06,70
2011-05-07,71
2011-05-08,72
2011-05-09,71
2011-05-10,71
2011-05-11,72
2011-05-12,71
2011-05-13,71
2011-05-14,71
2011-05-15,71
2011-05-16,73
2011-05-17,71
2011-05-18,72
2011-05-19,72
2011-05-20,71
2011-05-21,72
2011-05-22,73
2011-05-23,72
2011-05-24,74
2011-05-25,73
2011-05-26,78
2011-05-27,74
2011-05-28,78
2011-05-29,75
2011-05-30,73
2011-05-31,72
2011-06-01,71
2011-06-02,72
2011-06-03,69
2011-06-04,68
2011-06-05,73
2011-06-06,68
2011-06-07,68
2011-06-08,70
2011-06-09,68
2011-06-10,69
2011-06-11,68
2011-06-12,68
2011-06-13,68
2011-06-14,68
2011-06-15,69
2011-06-16,68
2011-06-17,70
2011-06-18,70
2011-06-19,71
2011-06-20,69
2011-06-21,69
2011-06-22,70
2011-06-23,70
2011-06-24,70
2011-06-25,74
2011-06-26,71
2011-06-27,72
2011-06-28,73
2011-06-29,77
2011-06-30,74
2011-07-01,75
2011-07-02,76
2011-07-03,79
2011-07-04,72
2011-07-05,73
2011-07-06,69
2011-07-07,67
2011-07-08,67
2011-07-09,65
2011-07-10,65
2011-07-11,65
2011-07-12,66
2011-07-13,67
2011-07-14,69
2011-07-15,69
2011-07-16,70
2011-07-17,70
2011-07-18,73
2011-07-19,70
2011-07-20,71
2011-07-21,70
2011-07-22,70
2011-07-23,71
2011-07-24,72
2011-07-25,68
2011-07-26,67
2011-07-27,66
2011-07-28,65
2011-07-29,67
2011-07-30,63
2011-07-31,64
2011-08-01,66
2011-08-02,70
2011-08-03,69
2011-08-04,71
2011-08-05,75
2011-08-06,74
2011-08-07,77
2011-08-08,74
2011-08-09,74
2011-08-10,77
2011-08-11,75
2011-08-12,75
2011-08-13,78
2011-08-14,75
2011-08-15,75
2011-08-16,76
2011-08-17,76
2011-08-18,76
2011-08-19,75
2011-08-20,76
2011-08-21,76
2011-08-22,72
2011-08-23,74
2011-08-24,69
2011-08-25,68
2011-08-26,69
2011-08-27,66
2011-08-28,67
2011-08-29,65
2011-08-30,63
2011-08-31,64
2011-09-01,62
2011-09-02,66
2011-09-03,61
2011-09-04,62
2011-09-05,64
2011-09-06,61
2011-09-07,64
2011-09-08,64
2011-09-09,62
2011-09-10,63
2011-09-11,66
2011-09-12,65
2011-09-13,67
2011-09-14,68
2011-09-15,69
2011-09-16,75
2011-09-17,72
2011-09-18,78
2011-09-19,70
2011-09-20,69
2011-09-21,70
2011-09-22,68
2011-09-23,71
2011-09-24,67
2011-09-25,67
2011-09-26,66
2011-09-27,68
2011-09-28,65
2011-09-29,64
2011-09-30,67
2011-10-01,64
2011-10-02,65
2011-10-03,62
2011-10-04,61
2011-10-05,63
2011-10-06,60
2011-10-07,59
2011-10-08,64
2011-10-09,59
2011-10-10,60
2011-10-11,59
2011-10-12,59
2011-10-13,60
2011-10-14,59
2011-10-15,60
2011-10-16,59
2011-10-17,60
2011-10-18,63
2011-10-19,62
2011-10-20,63
2011-10-21,66
2011-10-22,68
2011-10-23,65
2011-10-24,65
2011-10-25,67
2011-10-26,65
2011-10-27,65
2011-10-28,65
2011-10-29,68
2011-10-30,64
2011-10-31,66
2011-11-01,64
2011-11-02,64
2011-11-03,65
2011-11-04,67
2011-11-05,64
2011-11-06,62
2011-11-07,61
2011-11-08,60
2011-11-09,58
2011-11-10,62
2011-11-11,56
2011-11-12,55
2011-11-13,57
2011-11-14,56
2011-11-15,57
2011-11-16,57
2011-11-17,60
2011-11-18,59
2011-11-19,60
2011-11-20,60
2011-11-21,58
2011-11-22,58
2011-11-23,57
2011-11-24,59
2011-11-25,55
2011-11-26,55
2011-11-27,56
2011-11-28,57
2011-11-29,59
2011-11-30,60
2011-12-01,61
2011-12-02,66
2011-12-03,64
2011-12-04,65
2011-12-05,62
2011-12-06,62
2011-12-07,63
2011-12-08,61
2011-12-09,62
2011-12-10,60
2011-12-11,61
2011-12-12,60
2011-12-13,63
2011-12-14,61
2011-12-15,62
2011-12-16,61
2011-12-17,64
2011-12-18,62
2011-12-19,62
2011-12-20,64
2011-12-21,63
2011-12-22,63
2011-12-23,65
2011-12-24,64
2011-12-25,67
2011-12-26,64
2011-12-27,64
2011-12-28,68
2011-12-29,64
2011-12-30,64
2011-12-31,67
2012-01-01,65
2012-01-02,66
2012-01-03,68
2012-01-04,68
2012-01-05,69
2012-01-06,70
2012-01-07,71
2012-01-08,73
2012-01-09,70
2012-01-10,72
2012-01-11,69
2012-01-12,72
2012-01-13,69
2012-01-14,69
2012-01-15,71
2012-01-16,68
2012-01-17,66
2012-01-18,65
2012-01-19,64
2012-01-20,65
2012-01-21,63
2012-01-22,66
2012-01-23,64
2012-01-24,65
2012-01-25,66
2012-01-26,67
2012-01-27,68
2012-01-28,73
2012-01-29,68
2012-01-30,69
2012-01-31,68
2012-02-01,67
2012-02-02,73
2012-02-03,67
2012-02-04,69
2012-02-05,66
2012-02-06,66
2012-02-07,64
2012-02-08,64
2012-02-09,63
2012-02-10,63
2012-02-11,64
2012-02-12,62
2012-02-13,64
2012-02-14,62
2012-02-15,64
2012-02-16,62
2012-02-17,62
2012-02-18,64
2012-02-19,60
2012-02-20,59
2012-02-21,58
2012-02-22,57
2012-02-23,59
2012-02-24,55
2012-02-25,54
2012-02-26,56
2012-02-27,57
2012-02-28,59
2012-02-29,60
2012-03-01,64
2012-03-02,64
2012-03-03,67
2012-03-04,70
2012-03-05,64
2012-03-06,63
2012-03-07,63
2012-03-08,62
2012-03-09,61
2012-03-10,62
2012-03-11,61
2012-03-12,60
2012-03-13,58
2012-03-14,57
2012-03-15,56
2012-03-16,55
2012-03-17,56
2012-03-18,55
2012-03-19,55
2012-03-20,56
2012-03-21,59
2012-03-22,57
2012-03-23,58
2012-03-24,59
2012-03-25,61
2012-03-26,59
2012-03-27,59
2012-03-28,59
2012-03-29,63
2012-03-30,59
2012-03-31,59
