Date,Mead Johnson Nutrition Co
2008-10-18,42
2008-10-19,41
2008-10-20,40
2008-10-21,40
2008-10-22,39
2008-10-23,39
2008-10-24,40
2008-10-25,38
2008-10-26,38
2008-10-27,38
2008-10-28,38
2008-10-29,39
2008-10-30,39
2008-10-31,43
2008-11-01,40
2008-11-02,39
2008-11-03,38
2008-11-04,37
2008-11-05,36
2008-11-06,35
2008-11-07,34
2008-11-08,33
2008-11-09,33
2008-11-10,33
2008-11-11,36
2008-11-12,34
2008-11-13,35
2008-11-14,35
2008-11-15,36
2008-11-16,36
2008-11-17,36
2008-11-18,38
2008-11-19,37
2008-11-20,38
2008-11-21,38
2008-11-22,39
2008-11-23,42
2008-11-24,48
2008-11-25,50
2008-11-26,53
2008-11-27,62
2008-11-28,61
2008-11-29,65
2008-11-30,63
2008-12-01,61
2008-12-02,60
2008-12-03,64
2008-12-04,57
2008-12-05,59
2008-12-06,54
2008-12-07,51
2008-12-08,48
2008-12-09,46
2008-12-10,42
2008-12-11,39
2008-12-12,36
2008-12-13,33
2008-12-14,34
2008-12-15,35
2008-12-16,36
2008-12-17,38
2008-12-18,39
2008-12-19,40
2008-12-20,42
2008-12-21,40
2008-12-22,39
2008-12-23,38
2008-12-24,36
2008-12-25,35
2008-12-26,34
2008-12-27,33
2008-12-28,33
2008-12-29,34
2008-12-30,35
2008-12-31,35
2009-01-01,36
2009-01-02,40
2009-01-03,38
2009-01-04,38
2009-01-05,39
2009-01-06,39
2009-01-07,40
2009-01-08,44
2009-01-09,41
2009-01-10,42
2009-01-11,43
2009-01-12,45
2009-01-13,46
2009-01-14,50
2009-01-15,49
2009-01-16,51
2009-01-17,53
2009-01-18,51
2009-01-19,49
2009-01-20,51
2009-01-21,46
2009-01-22,45
2009-01-23,43
2009-01-24,43
2009-01-25,41
2009-01-26,40
2009-01-27,39
2009-01-28,39
2009-01-29,38
2009-01-30,37
2009-01-31,37
2009-02-01,40
2009-02-02,44
2009-02-03,48
2009-02-04,52
2009-02-05,59
2009-02-06,63
2009-02-07,64
2009-02-08,69
2009-02-09,74
2009-02-10,79
2009-02-11,84
2009-02-12,97
2009-02-13,108
2009-02-14,105
2009-02-15,95
2009-02-16,90
2009-02-17,85
2009-02-18,80
2009-02-19,79
2009-02-20,74
2009-02-21,66
2009-02-22,65
2009-02-23,64
2009-02-24,68
2009-02-25,62
2009-02-26,65
2009-02-27,60
2009-02-28,59
2009-03-01,58
2009-03-02,58
2009-03-03,56
2009-03-04,55
2009-03-05,54
2009-03-06,56
2009-03-07,52
2009-03-08,51
2009-03-09,51
2009-03-10,55
2009-03-11,50
2009-03-12,52
2009-03-13,51
2009-03-14,50
2009-03-15,50
2009-03-16,51
2009-03-17,53
2009-03-18,53
2009-03-19,54
2009-03-20,55
2009-03-21,59
2009-03-22,54
2009-03-23,52
2009-03-24,51
2009-03-25,48
2009-03-26,51
2009-03-27,44
2009-03-28,42
2009-03-29,44
2009-03-30,46
2009-03-31,52
2009-04-01,51
2009-04-02,55
2009-04-03,56
2009-04-04,61
2009-04-05,57
2009-04-06,56
2009-04-07,55
2009-04-08,58
2009-04-09,55
2009-04-10,52
2009-04-11,51
2009-04-12,49
2009-04-13,48
2009-04-14,47
2009-04-15,49
2009-04-16,45
2009-04-17,47
2009-04-18,43
2009-04-19,43
2009-04-20,43
2009-04-21,43
2009-04-22,45
2009-04-23,44
2009-04-24,47
2009-04-25,45
2009-04-26,44
2009-04-27,43
2009-04-28,43
2009-04-29,42
2009-04-30,45
2009-05-01,41
2009-05-02,41
2009-05-03,42
2009-05-04,43
2009-05-05,44
2009-05-06,48
2009-05-07,47
2009-05-08,51
2009-05-09,50
2009-05-10,50
2009-05-11,50
2009-05-12,52
2009-05-13,56
2009-05-14,52
2009-05-15,52
2009-05-16,53
2009-05-17,51
2009-05-18,50
2009-05-19,53
2009-05-20,47
2009-05-21,50
2009-05-22,44
2009-05-23,43
2009-05-24,43
2009-05-25,43
2009-05-26,43
2009-05-27,45
2009-05-28,45
2009-05-29,44
2009-05-30,45
2009-05-31,45
2009-06-01,45
2009-06-02,45
2009-06-03,49
2009-06-04,45
2009-06-05,45
2009-06-06,46
2009-06-07,46
2009-06-08,47
2009-06-09,47
2009-06-10,51
2009-06-11,48
2009-06-12,54
2009-06-13,52
2009-06-14,49
2009-06-15,48
2009-06-16,47
2009-06-17,46
2009-06-18,45
2009-06-19,44
2009-06-20,44
2009-06-21,45
2009-06-22,46
2009-06-23,49
2009-06-24,50
2009-06-25,50
2009-06-26,53
2009-06-27,53
2009-06-28,51
2009-06-29,49
2009-06-30,52
2009-07-01,46
2009-07-02,45
2009-07-03,43
2009-07-04,42
2009-07-05,42
2009-07-06,42
2009-07-07,42
2009-07-08,43
2009-07-09,43
2009-07-10,46
2009-07-11,45
2009-07-12,44
2009-07-13,44
2009-07-14,44
2009-07-15,48
2009-07-16,44
2009-07-17,44
2009-07-18,47
2009-07-19,45
2009-07-20,45
2009-07-21,46
2009-07-22,49
2009-07-23,49
2009-07-24,47
2009-07-25,48
2009-07-26,49
2009-07-27,50
2009-07-28,55
2009-07-29,53
2009-07-30,54
2009-07-31,57
2009-08-01,57
2009-08-02,56
2009-08-03,55
2009-08-04,54
2009-08-05,55
2009-08-06,52
2009-08-07,53
2009-08-08,52
2009-08-09,48
2009-08-10,47
2009-08-11,46
2009-08-12,46
2009-08-13,43
2009-08-14,42
2009-08-15,44
2009-08-16,42
2009-08-17,43
2009-08-18,44
2009-08-19,45
2009-08-20,50
2009-08-21,47
2009-08-22,50
2009-08-23,48
2009-08-24,47
2009-08-25,47
2009-08-26,45
2009-08-27,44
2009-08-28,47
2009-08-29,42
2009-08-30,42
2009-08-31,43
2009-09-01,44
2009-09-02,50
2009-09-03,46
2009-09-04,48
2009-09-05,48
2009-09-06,47
2009-09-07,47
2009-09-08,47
2009-09-09,49
2009-09-10,46
2009-09-11,47
2009-09-12,50
2009-09-13,45
2009-09-14,44
2009-09-15,43
2009-09-16,42
2009-09-17,42
2009-09-18,40
2009-09-19,39
2009-09-20,40
2009-09-21,44
2009-09-22,42
2009-09-23,44
2009-09-24,47
2009-09-25,48
2009-09-26,48
2009-09-27,48
2009-09-28,49
2009-09-29,49
2009-09-30,56
2009-10-01,50
2009-10-02,51
2009-10-03,53
2009-10-04,50
2009-10-05,49
2009-10-06,48
2009-10-07,48
2009-10-08,45
2009-10-09,46
2009-10-10,43
2009-10-11,42
2009-10-12,41
2009-10-13,43
2009-10-14,40
2009-10-15,43
2009-10-16,38
2009-10-17,38
2009-10-18,39
2009-10-19,41
2009-10-20,43
2009-10-21,45
2009-10-22,47
2009-10-23,51
2009-10-24,51
2009-10-25,50
2009-10-26,49
2009-10-27,51
2009-10-28,48
2009-10-29,54
2009-10-30,47
2009-10-31,47
2009-11-01,46
2009-11-02,46
2009-11-03,47
2009-11-04,45
2009-11-05,48
2009-11-06,44
2009-11-07,44
2009-11-08,44
2009-11-09,44
2009-11-10,47
2009-11-11,44
2009-11-12,44
2009-11-13,44
2009-11-14,45
2009-11-15,48
2009-11-16,51
2009-11-17,57
2009-11-18,58
2009-11-19,61
2009-11-20,69
2009-11-21,70
2009-11-22,68
2009-11-23,62
2009-11-24,60
2009-11-25,59
2009-11-26,56
2009-11-27,55
2009-11-28,50
2009-11-29,52
2009-11-30,55
2009-12-01,58
2009-12-02,66
2009-12-03,63
2009-12-04,68
2009-12-05,71
2009-12-06,68
2009-12-07,68
2009-12-08,66
2009-12-09,66
2009-12-10,65
2009-12-11,67
2009-12-12,64
2009-12-13,61
2009-12-14,59
2009-12-15,62
2009-12-16,55
2009-12-17,52
2009-12-18,50
2009-12-19,48
2009-12-20,45
2009-12-21,42
2009-12-22,39
2009-12-23,36
2009-12-24,36
2009-12-25,30
2009-12-26,28
2009-12-27,28
2009-12-28,28
2009-12-29,28
2009-12-30,29
2009-12-31,29
2010-01-01,29
2010-01-02,30
2010-01-03,31
2010-01-04,33
2010-01-05,34
2010-01-06,37
2010-01-07,40
2010-01-08,39
2010-01-09,41
2010-01-10,40
2010-01-11,39
2010-01-12,41
2010-01-13,38
2010-01-14,38
2010-01-15,38
2010-01-16,37
2010-01-17,37
2010-01-18,38
2010-01-19,38
2010-01-20,39
2010-01-21,39
2010-01-22,43
2010-01-23,41
2010-01-24,40
2010-01-25,40
2010-01-26,40
2010-01-27,43
2010-01-28,40
2010-01-29,40
2010-01-30,40
2010-01-31,40
2010-02-01,40
2010-02-02,42
2010-02-03,45
2010-02-04,40
2010-02-05,40
2010-02-06,42
2010-02-07,40
2010-02-08,40
2010-02-09,42
2010-02-10,40
2010-02-11,40
2010-02-12,41
2010-02-13,42
2010-02-14,39
2010-02-15,38
2010-02-16,38
2010-02-17,37
2010-02-18,36
2010-02-19,35
2010-02-20,38
2010-02-21,35
2010-02-22,36
2010-02-23,37
2010-02-24,39
2010-02-25,39
2010-02-26,44
2010-02-27,41
2010-02-28,40
2010-03-01,40
2010-03-02,40
2010-03-03,41
2010-03-04,42
2010-03-05,40
2010-03-06,40
2010-03-07,41
2010-03-08,42
2010-03-09,47
2010-03-10,45
2010-03-11,47
2010-03-12,49
2010-03-13,50
2010-03-14,49
2010-03-15,48
2010-03-16,48
2010-03-17,46
2010-03-18,47
2010-03-19,44
2010-03-20,46
2010-03-21,43
2010-03-22,43
2010-03-23,43
2010-03-24,44
2010-03-25,44
2010-03-26,45
2010-03-27,49
2010-03-28,45
2010-03-29,45
2010-03-30,45
2010-03-31,45
2010-04-01,48
2010-04-02,45
2010-04-03,47
2010-04-04,45
2010-04-05,45
2010-04-06,46
2010-04-07,45
2010-04-08,50
2010-04-09,47
2010-04-10,45
2010-04-11,44
2010-04-12,43
2010-04-13,46
2010-04-14,44
2010-04-15,41
2010-04-16,41
2010-04-17,41
2010-04-18,40
2010-04-19,40
2010-04-20,41
2010-04-21,41
2010-04-22,40
2010-04-23,40
2010-04-24,41
2010-04-25,42
2010-04-26,44
2010-04-27,45
2010-04-28,50
2010-04-29,48
2010-04-30,50
2010-05-01,55
2010-05-02,51
2010-05-03,50
2010-05-04,49
2010-05-05,48
2010-05-06,48
2010-05-07,46
2010-05-08,49
2010-05-09,46
2010-05-10,47
2010-05-11,48
2010-05-12,52
2010-05-13,49
2010-05-14,50
2010-05-15,55
2010-05-16,49
2010-05-17,48
2010-05-18,46
2010-05-19,46
2010-05-20,45
2010-05-21,42
2010-05-22,41
2010-05-23,40
2010-05-24,39
2010-05-25,39
2010-05-26,39
2010-05-27,40
2010-05-28,37
2010-05-29,37
2010-05-30,38
2010-05-31,39
