Date,Constant Contact
2007-05-15,57
2007-05-16,56
2007-05-17,59
2007-05-18,56
2007-05-19,61
2007-05-20,56
2007-05-21,56
2007-05-22,56
2007-05-23,59
2007-05-24,56
2007-05-25,57
2007-05-26,60
2007-05-27,58
2007-05-28,57
2007-05-29,57
2007-05-30,58
2007-05-31,62
2007-06-01,59
2007-06-02,64
2007-06-03,64
2007-06-04,59
2007-06-05,59
2007-06-06,59
2007-06-07,62
2007-06-08,58
2007-06-09,66
2007-06-10,57
2007-06-11,57
2007-06-12,57
2007-06-13,57
2007-06-14,57
2007-06-15,57
2007-06-16,64
2007-06-17,57
2007-06-18,57
2007-06-19,60
2007-06-20,57
2007-06-21,58
2007-06-22,61
2007-06-23,62
2007-06-24,58
2007-06-25,58
2007-06-26,60
2007-06-27,58
2007-06-28,58
2007-06-29,63
2007-06-30,58
2007-07-01,56
2007-07-02,54
2007-07-03,52
2007-07-04,57
2007-07-05,49
2007-07-06,47
2007-07-07,50
2007-07-08,48
2007-07-09,50
2007-07-10,52
2007-07-11,56
2007-07-12,56
2007-07-13,62
2007-07-14,63
2007-07-15,58
2007-07-16,56
2007-07-17,54
2007-07-18,53
2007-07-19,51
2007-07-20,50
2007-07-21,48
2007-07-22,48
2007-07-23,48
2007-07-24,48
2007-07-25,48
2007-07-26,49
2007-07-27,49
2007-07-28,49
2007-07-29,49
2007-07-30,50
2007-07-31,52
2007-08-01,53
2007-08-02,56
2007-08-03,55
2007-08-04,62
2007-08-05,57
2007-08-06,57
2007-08-07,57
2007-08-08,59
2007-08-09,58
2007-08-10,58
2007-08-11,65
2007-08-12,57
2007-08-13,56
2007-08-14,55
2007-08-15,55
2007-08-16,57
2007-08-17,53
2007-08-18,61
2007-08-19,55
2007-08-20,53
2007-08-21,53
2007-08-22,54
2007-08-23,55
2007-08-24,54
2007-08-25,63
2007-08-26,54
2007-08-27,54
2007-08-28,54
2007-08-29,56
2007-08-30,53
2007-08-31,57
2007-09-01,55
2007-09-02,55
2007-09-03,56
2007-09-04,55
2007-09-05,56
2007-09-06,57
2007-09-07,58
2007-09-08,69
2007-09-09,60
2007-09-10,62
2007-09-11,65
2007-09-12,65
2007-09-13,67
2007-09-14,69
2007-09-15,82
2007-09-16,70
2007-09-17,69
2007-09-18,68
2007-09-19,67
2007-09-20,66
2007-09-21,66
2007-09-22,69
2007-09-23,63
2007-09-24,63
2007-09-25,63
2007-09-26,64
2007-09-27,62
2007-09-28,63
2007-09-29,65
2007-09-30,68
2007-10-01,68
2007-10-02,72
2007-10-03,75
2007-10-04,79
2007-10-05,83
2007-10-06,93
2007-10-07,93
2007-10-08,82
2007-10-09,80
2007-10-10,83
2007-10-11,76
2007-10-12,74
2007-10-13,76
2007-10-14,74
2007-10-15,71
2007-10-16,71
2007-10-17,70
2007-10-18,73
2007-10-19,71
2007-10-20,81
2007-10-21,68
2007-10-22,67
2007-10-23,65
2007-10-24,64
2007-10-25,62
2007-10-26,63
2007-10-27,66
2007-10-28,66
2007-10-29,62
2007-10-30,63
2007-10-31,65
2007-11-01,66
2007-11-02,70
2007-11-03,77
2007-11-04,69
2007-11-05,69
2007-11-06,70
2007-11-07,70
2007-11-08,71
2007-11-09,70
2007-11-10,75
2007-11-11,70
2007-11-12,69
2007-11-13,68
2007-11-14,68
2007-11-15,67
2007-11-16,67
2007-11-17,74
2007-11-18,64
2007-11-19,63
2007-11-20,61
2007-11-21,63
2007-11-22,64
2007-11-23,57
2007-11-24,58
2007-11-25,59
2007-11-26,57
2007-11-27,58
2007-11-28,60
2007-11-29,59
2007-11-30,62
2007-12-01,63
2007-12-02,65
2007-12-03,62
2007-12-04,63
2007-12-05,63
2007-12-06,64
2007-12-07,68
2007-12-08,77
2007-12-09,66
2007-12-10,66
2007-12-11,67
2007-12-12,69
2007-12-13,68
2007-12-14,68
2007-12-15,79
2007-12-16,68
2007-12-17,68
2007-12-18,68
2007-12-19,69
2007-12-20,71
2007-12-21,68
2007-12-22,75
2007-12-23,63
2007-12-24,61
2007-12-25,55
2007-12-26,50
2007-12-27,47
2007-12-28,42
2007-12-29,42
2007-12-30,41
2007-12-31,44
2008-01-01,47
2008-01-02,51
2008-01-03,54
2008-01-04,60
2008-01-05,63
2008-01-06,64
2008-01-07,61
2008-01-08,63
2008-01-09,62
2008-01-10,63
2008-01-11,63
2008-01-12,69
2008-01-13,65
2008-01-14,63
2008-01-15,63
2008-01-16,66
2008-01-17,65
2008-01-18,64
2008-01-19,68
2008-01-20,69
2008-01-21,66
2008-01-22,67
2008-01-23,69
2008-01-24,72
2008-01-25,71
2008-01-26,81
2008-01-27,74
2008-01-28,75
2008-01-29,76
2008-01-30,81
2008-01-31,78
2008-02-01,79
2008-02-02,91
2008-02-03,85
2008-02-04,80
2008-02-05,80
2008-02-06,81
2008-02-07,80
2008-02-08,80
2008-02-09,89
2008-02-10,79
2008-02-11,75
2008-02-12,73
2008-02-13,71
2008-02-14,69
2008-02-15,68
2008-02-16,69
2008-02-17,64
2008-02-18,65
2008-02-19,66
2008-02-20,70
2008-02-21,68
2008-02-22,69
2008-02-23,75
2008-02-24,75
2008-02-25,69
2008-02-26,70
2008-02-27,68
2008-02-28,70
2008-02-29,69
2008-03-01,74
2008-03-02,69
2008-03-03,71
2008-03-04,73
2008-03-05,75
2008-03-06,77
2008-03-07,84
2008-03-08,87
2008-03-09,84
2008-03-10,78
2008-03-11,77
2008-03-12,75
2008-03-13,76
2008-03-14,73
2008-03-15,83
2008-03-16,71
2008-03-17,70
2008-03-18,69
2008-03-19,72
2008-03-20,68
2008-03-21,67
2008-03-22,76
2008-03-23,67
2008-03-24,68
2008-03-25,69
2008-03-26,74
2008-03-27,71
2008-03-28,73
2008-03-29,78
2008-03-30,74
2008-03-31,73
2008-04-01,74
2008-04-02,78
2008-04-03,75
2008-04-04,76
2008-04-05,89
2008-04-06,74
2008-04-07,73
2008-04-08,72
2008-04-09,72
2008-04-10,70
2008-04-11,72
2008-04-12,77
2008-04-13,68
2008-04-14,69
2008-04-15,70
2008-04-16,70
2008-04-17,70
2008-04-18,74
2008-04-19,81
2008-04-20,75
2008-04-21,72
2008-04-22,72
2008-04-23,72
2008-04-24,77
2008-04-25,72
2008-04-26,80
2008-04-27,73
2008-04-28,74
2008-04-29,76
2008-04-30,76
2008-05-01,77
2008-05-02,78
2008-05-03,89
2008-05-04,78
2008-05-05,77
2008-05-06,77
2008-05-07,76
2008-05-08,76
2008-05-09,74
2008-05-10,83
2008-05-11,79
2008-05-12,74
2008-05-13,77
2008-05-14,75
2008-05-15,77
2008-05-16,76
2008-05-17,83
2008-05-18,79
2008-05-19,73
2008-05-20,72
2008-05-21,71
2008-05-22,69
2008-05-23,68
2008-05-24,76
2008-05-25,69
2008-05-26,65
2008-05-27,65
2008-05-28,64
2008-05-29,64
2008-05-30,68
2008-05-31,68
2008-06-01,67
2008-06-02,68
2008-06-03,70
2008-06-04,74
2008-06-05,75
2008-06-06,79
2008-06-07,89
2008-06-08,80
2008-06-09,81
2008-06-10,81
2008-06-11,86
2008-06-12,82
2008-06-13,83
2008-06-14,94
2008-06-15,86
2008-06-16,81
2008-06-17,80
2008-06-18,78
2008-06-19,78
2008-06-20,78
2008-06-21,83
2008-06-22,74
2008-06-23,74
2008-06-24,74
2008-06-25,74
2008-06-26,74
2008-06-27,77
2008-06-28,83
2008-06-29,73
2008-06-30,72
2008-07-01,71
2008-07-02,71
2008-07-03,73
2008-07-04,71
2008-07-05,68
2008-07-06,72
2008-07-07,69
2008-07-08,70
2008-07-09,71
2008-07-10,76
2008-07-11,74
2008-07-12,83
2008-07-13,75
2008-07-14,75
2008-07-15,75
2008-07-16,75
2008-07-17,75
2008-07-18,77
2008-07-19,80
2008-07-20,84
2008-07-21,76
2008-07-22,77
2008-07-23,79
2008-07-24,80
2008-07-25,80
2008-07-26,82
2008-07-27,86
2008-07-28,78
2008-07-29,78
2008-07-30,77
2008-07-31,80
2008-08-01,76
2008-08-02,84
2008-08-03,82
2008-08-04,76
2008-08-05,76
2008-08-06,77
2008-08-07,76
2008-08-08,79
2008-08-09,83
2008-08-10,80
2008-08-11,75
2008-08-12,76
2008-08-13,74
2008-08-14,79
2008-08-15,74
2008-08-16,79
2008-08-17,78
2008-08-18,74
2008-08-19,74
2008-08-20,76
2008-08-21,74
2008-08-22,76
2008-08-23,88
2008-08-24,74
2008-08-25,73
2008-08-26,74
2008-08-27,72
2008-08-28,71
2008-08-29,72
2008-08-30,76
2008-08-31,71
2008-09-01,71
2008-09-02,71
2008-09-03,75
2008-09-04,72
2008-09-05,73
2008-09-06,86
2008-09-07,79
2008-09-08,78
2008-09-09,80
2008-09-10,87
2008-09-11,84
2008-09-12,86
2008-09-13,100
2008-09-14,88
2008-09-15,89
2008-09-16,92
2008-09-17,93
2008-09-18,90
2008-09-19,95
2008-09-20,101
2008-09-21,99
2008-09-22,91
2008-09-23,91
2008-09-24,90
2008-09-25,90
2008-09-26,93
2008-09-27,99
2008-09-28,92
2008-09-29,90
2008-09-30,90
2008-10-01,91
2008-10-02,91
2008-10-03,94
2008-10-04,100
2008-10-05,97
2008-10-06,91
2008-10-07,92
2008-10-08,91
2008-10-09,97
2008-10-10,93
2008-10-11,99
2008-10-12,91
2008-10-13,89
2008-10-14,88
2008-10-15,87
2008-10-16,86
2008-10-17,87
2008-10-18,94
2008-10-19,94
2008-10-20,87
2008-10-21,90
2008-10-22,89
2008-10-23,92
2008-10-24,91
2008-10-25,110
2008-10-26,92
2008-10-27,92
2008-10-28,92
2008-10-29,93
2008-10-30,91
2008-10-31,91
2008-11-01,102
2008-11-02,94
2008-11-03,92
2008-11-04,98
2008-11-05,93
2008-11-06,94
2008-11-07,96
2008-11-08,108
2008-11-09,95
2008-11-10,94
2008-11-11,93
2008-11-12,93
2008-11-13,91
2008-11-14,95
2008-11-15,99
2008-11-16,94
2008-11-17,91
2008-11-18,93
2008-11-19,93
2008-11-20,93
2008-11-21,94
2008-11-22,106
2008-11-23,98
2008-11-24,90
2008-11-25,88
2008-11-26,85
2008-11-27,93
2008-11-28,81
2008-11-29,83
2008-11-30,84
2008-12-01,84
2008-12-02,86
2008-12-03,89
2008-12-04,95
2008-12-05,94
2008-12-06,108
2008-12-07,103
2008-12-08,97
2008-12-09,98
2008-12-10,98
2008-12-11,99
2008-12-12,104
2008-12-13,109
2008-12-14,106
2008-12-15,98
2008-12-16,99
2008-12-17,96
2008-12-18,95
2008-12-19,97
2008-12-20,101
2008-12-21,96
2008-12-22,84
2008-12-23,79
2008-12-24,84
2008-12-25,80
2008-12-26,66
2008-12-27,64
2008-12-28,66
2008-12-29,63
2008-12-30,63
2008-12-31,64
