Date,ING U.S.
2014-02-17,63
2014-02-18,64
2014-02-19,64
2014-02-20,63
2014-02-21,64
2014-02-22,70
2014-02-23,64
2014-02-24,64
2014-02-25,64
2014-02-26,66
2014-02-27,64
2014-02-28,72
