Date,Montage
2013-07-07,93
2013-07-08,94
2013-07-09,92
2013-07-10,92
2013-07-11,91
2013-07-12,90
2013-07-13,90
2013-07-14,90
2013-07-15,90
2013-07-16,92
2013-07-17,91
2013-07-18,93
2013-07-19,92
2013-07-20,93
2013-07-21,93
2013-07-22,93
2013-07-23,93
2013-07-24,92
2013-07-25,93
2013-07-26,92
2013-07-27,92
2013-07-28,91
2013-07-29,91
2013-07-30,92
2013-07-31,91
2013-08-01,91
2013-08-02,91
2013-08-03,91
2013-08-04,91
2013-08-05,91
2013-08-06,92
2013-08-07,91
2013-08-08,92
2013-08-09,91
2013-08-10,92
2013-08-11,92
2013-08-12,92
2013-08-13,92
2013-08-14,92
2013-08-15,92
2013-08-16,92
2013-08-17,92
2013-08-18,92
2013-08-19,92
2013-08-20,94
2013-08-21,93
2013-08-22,93
2013-08-23,94
2013-08-24,94
2013-08-25,95
2013-08-26,94
2013-08-27,95
2013-08-28,95
2013-08-29,94
2013-08-30,94
2013-08-31,95
2013-09-01,94
2013-09-02,95
2013-09-03,94
2013-09-04,92
2013-09-05,93
2013-09-06,91
2013-09-07,91
2013-09-08,90
2013-09-09,93
2013-09-10,90
2013-09-11,90
2013-09-12,90
2013-09-13,90
2013-09-14,90
2013-09-15,89
2013-09-16,89
2013-09-17,89
2013-09-18,88
2013-09-19,88
2013-09-20,87
2013-09-21,87
2013-09-22,87
2013-09-23,89
2013-09-24,87
2013-09-25,88
2013-09-26,88
2013-09-27,88
2013-09-28,89
2013-09-29,89
2013-09-30,91
2013-10-01,89
2013-10-02,89
2013-10-03,89
2013-10-04,89
2013-10-05,89
2013-10-06,89
2013-10-07,91
2013-10-08,90
2013-10-09,90
2013-10-10,91
2013-10-11,91
2013-10-12,91
2013-10-13,91
2013-10-14,92
2013-10-15,91
2013-10-16,91
2013-10-17,91
2013-10-18,92
2013-10-19,91
2013-10-20,91
2013-10-21,92
2013-10-22,91
2013-10-23,91
2013-10-24,92
2013-10-25,91
2013-10-26,91
2013-10-27,91
2013-10-28,93
2013-10-29,92
2013-10-30,92
2013-10-31,93
2013-11-01,93
2013-11-02,94
2013-11-03,93
2013-11-04,95
2013-11-05,92
2013-11-06,91
2013-11-07,92
2013-11-08,90
2013-11-09,90
2013-11-10,90
2013-11-11,91
2013-11-12,93
2013-11-13,92
2013-11-14,94
2013-11-15,93
2013-11-16,94
2013-11-17,93
2013-11-18,95
2013-11-19,93
2013-11-20,93
2013-11-21,93
2013-11-22,93
2013-11-23,93
2013-11-24,92
2013-11-25,94
2013-11-26,90
2013-11-27,89
2013-11-28,89
2013-11-29,87
2013-11-30,87
2013-12-01,87
2013-12-02,87
2013-12-03,87
2013-12-04,87
2013-12-05,87
2013-12-06,88
2013-12-07,87
2013-12-08,87
2013-12-09,90
2013-12-10,88
2013-12-11,88
2013-12-12,89
2013-12-13,89
2013-12-14,90
2013-12-15,90
2013-12-16,93
2013-12-17,90
2013-12-18,91
2013-12-19,91
2013-12-20,92
2013-12-21,92
2013-12-22,92
2013-12-23,94
2013-12-24,93
2013-12-25,93
2013-12-26,94
2013-12-27,94
2013-12-28,95
2013-12-29,96
2013-12-30,96
2013-12-31,99
2014-01-01,97
2014-01-02,98
2014-01-03,99
2014-01-04,100
2014-01-05,99
2014-01-06,100
2014-01-07,97
2014-01-08,97
2014-01-09,95
2014-01-10,94
2014-01-11,93
2014-01-12,93
2014-01-13,95
2014-01-14,94
2014-01-15,94
2014-01-16,95
2014-01-17,95
2014-01-18,96
2014-01-19,95
2014-01-20,98
2014-01-21,93
2014-01-22,93
2014-01-23,93
2014-01-24,91
2014-01-25,91
2014-01-26,91
2014-01-27,93
2014-01-28,91
2014-01-29,91
2014-01-30,91
2014-01-31,91
2014-02-01,91
2014-02-02,91
2014-02-03,95
2014-02-04,92
2014-02-05,92
2014-02-06,93
2014-02-07,94
2014-02-08,94
2014-02-09,94
2014-02-10,97
2014-02-11,95
2014-02-12,95
2014-02-13,95
2014-02-14,96
2014-02-15,96
2014-02-16,95
2014-02-17,97
2014-02-18,95
2014-02-19,94
2014-02-20,95
2014-02-21,94
2014-02-22,94
2014-02-23,94
2014-02-24,97
2014-02-25,94
2014-02-26,96
2014-02-27,95
2014-02-28,96
