Date,HD Supply
2013-07-03,81
2013-07-04,87
2013-07-05,71
2013-07-06,75
2013-07-07,69
2013-07-08,71
2013-07-09,73
2013-07-10,75
2013-07-11,77
2013-07-12,81
2013-07-13,94
2013-07-14,84
2013-07-15,82
2013-07-16,82
2013-07-17,83
2013-07-18,84
2013-07-19,85
2013-07-20,91
2013-07-21,88
2013-07-22,84
2013-07-23,85
2013-07-24,87
2013-07-25,86
2013-07-26,88
2013-07-27,100
2013-07-28,86
2013-07-29,85
2013-07-30,84
2013-07-31,83
2013-08-01,82
2013-08-02,83
2013-08-03,91
2013-08-04,82
2013-08-05,82
2013-08-06,83
2013-08-07,87
2013-08-08,85
2013-08-09,86
2013-08-10,98
2013-08-11,92
2013-08-12,88
2013-08-13,89
2013-08-14,88
2013-08-15,90
2013-08-16,92
2013-08-17,98
2013-08-18,89
2013-08-19,85
2013-08-20,87
2013-08-21,82
2013-08-22,81
2013-08-23,81
2013-08-24,88
2013-08-25,80
2013-08-26,78
2013-08-27,78
2013-08-28,79
2013-08-29,78
2013-08-30,78
2013-08-31,88
2013-09-01,78
2013-09-02,80
2013-09-03,76
2013-09-04,76
2013-09-05,76
2013-09-06,75
2013-09-07,85
2013-09-08,81
2013-09-09,74
2013-09-10,74
2013-09-11,76
2013-09-12,74
2013-09-13,79
2013-09-14,79
2013-09-15,79
2013-09-16,74
2013-09-17,74
2013-09-18,77
2013-09-19,74
2013-09-20,75
2013-09-21,87
2013-09-22,78
2013-09-23,77
2013-09-24,78
2013-09-25,80
2013-09-26,81
2013-09-27,86
2013-09-28,96
2013-09-29,82
2013-09-30,81
2013-10-01,79
2013-10-02,78
2013-10-03,80
2013-10-04,75
2013-10-05,86
2013-10-06,73
2013-10-07,73
2013-10-08,73
2013-10-09,73
2013-10-10,76
2013-10-11,73
2013-10-12,86
2013-10-13,76
2013-10-14,73
2013-10-15,73
2013-10-16,74
2013-10-17,78
2013-10-18,77
2013-10-19,87
2013-10-20,75
2013-10-21,75
2013-10-22,76
2013-10-23,76
2013-10-24,75
2013-10-25,80
2013-10-26,89
2013-10-27,75
2013-10-28,75
2013-10-29,75
2013-10-30,75
2013-10-31,77
2013-11-01,75
2013-11-02,79
2013-11-03,74
2013-11-04,73
2013-11-05,73
2013-11-06,73
2013-11-07,72
2013-11-08,73
2013-11-09,78
2013-11-10,78
2013-11-11,73
2013-11-12,75
2013-11-13,74
2013-11-14,76
2013-11-15,76
2013-11-16,89
2013-11-17,77
2013-11-18,76
2013-11-19,78
2013-11-20,75
2013-11-21,75
2013-11-22,76
2013-11-23,83
2013-11-24,80
2013-11-25,69
2013-11-26,67
2013-11-27,69
2013-11-28,69
2013-11-29,59
2013-11-30,57
2013-12-01,65
2013-12-02,60
2013-12-03,63
2013-12-04,64
2013-12-05,67
2013-12-06,71
2013-12-07,80
2013-12-08,70
2013-12-09,71
2013-12-10,71
2013-12-11,74
2013-12-12,72
2013-12-13,77
2013-12-14,81
2013-12-15,78
2013-12-16,69
2013-12-17,67
2013-12-18,65
2013-12-19,63
2013-12-20,64
2013-12-21,64
2013-12-22,61
2013-12-23,55
2013-12-24,58
2013-12-25,62
2013-12-26,51
2013-12-27,49
2013-12-28,53
2013-12-29,51
2013-12-30,50
2013-12-31,55
2014-01-01,53
2014-01-02,55
2014-01-03,57
2014-01-04,64
2014-01-05,63
2014-01-06,65
2014-01-07,69
2014-01-08,73
2014-01-09,76
2014-01-10,80
2014-01-11,98
2014-01-12,86
2014-01-13,83
2014-01-14,82
2014-01-15,82
2014-01-16,84
2014-01-17,81
2014-01-18,89
2014-01-19,86
2014-01-20,80
2014-01-21,80
2014-01-22,79
2014-01-23,79
2014-01-24,81
2014-01-25,90
2014-01-26,82
2014-01-27,79
2014-01-28,80
2014-01-29,81
2014-01-30,81
2014-01-31,81
2014-02-01,94
