Date,LGI Homes
2013-08-03,43
2013-08-04,43
2013-08-05,44
2013-08-06,45
2013-08-07,46
2013-08-08,47
2013-08-09,48
2013-08-10,49
2013-08-11,52
2013-08-12,58
2013-08-13,58
2013-08-14,62
2013-08-15,65
2013-08-16,71
2013-08-17,72
2013-08-18,68
2013-08-19,65
2013-08-20,61
2013-08-21,58
2013-08-22,54
2013-08-23,51
2013-08-24,48
2013-08-25,52
2013-08-26,54
2013-08-27,57
2013-08-28,60
2013-08-29,67
2013-08-30,67
2013-08-31,69
2013-09-01,67
2013-09-02,69
2013-09-03,65
2013-09-04,63
2013-09-05,62
2013-09-06,61
2013-09-07,60
2013-09-08,61
2013-09-09,58
2013-09-10,57
2013-09-11,57
2013-09-12,59
2013-09-13,55
2013-09-14,55
2013-09-15,53
2013-09-16,51
2013-09-17,50
2013-09-18,48
2013-09-19,48
2013-09-20,45
2013-09-21,44
2013-09-22,44
2013-09-23,44
2013-09-24,45
2013-09-25,45
2013-09-26,46
2013-09-27,46
2013-09-28,47
2013-09-29,46
2013-09-30,45
2013-10-01,44
2013-10-02,43
2013-10-03,42
2013-10-04,41
2013-10-05,40
2013-10-06,40
2013-10-07,41
2013-10-08,42
2013-10-09,42
2013-10-10,43
2013-10-11,44
2013-10-12,45
2013-10-13,47
2013-10-14,50
2013-10-15,53
2013-10-16,57
2013-10-17,59
2013-10-18,62
2013-10-19,65
2013-10-20,62
2013-10-21,60
2013-10-22,58
2013-10-23,55
2013-10-24,53
2013-10-25,51
2013-10-26,49
2013-10-27,49
2013-10-28,50
2013-10-29,52
2013-10-30,51
2013-10-31,52
2013-11-01,53
2013-11-02,54
2013-11-03,58
2013-11-04,62
2013-11-05,66
2013-11-06,71
2013-11-07,75
2013-11-08,79
2013-11-09,89
2013-11-10,80
2013-11-11,79
2013-11-12,72
2013-11-13,68
2013-11-14,64
2013-11-15,60
2013-11-16,57
2013-11-17,57
2013-11-18,57
2013-11-19,59
2013-11-20,57
2013-11-21,57
2013-11-22,58
2013-11-23,58
2013-11-24,56
2013-11-25,56
2013-11-26,54
2013-11-27,52
2013-11-28,51
2013-11-29,50
2013-11-30,49
2013-12-01,52
2013-12-02,56
2013-12-03,59
2013-12-04,63
2013-12-05,71
2013-12-06,70
2013-12-07,74
2013-12-08,74
2013-12-09,71
2013-12-10,70
2013-12-11,69
2013-12-12,68
2013-12-13,67
2013-12-14,66
2013-12-15,69
2013-12-16,65
2013-12-17,65
2013-12-18,66
2013-12-19,66
2013-12-20,64
2013-12-21,64
2013-12-22,62
2013-12-23,61
2013-12-24,59
2013-12-25,58
2013-12-26,56
2013-12-27,55
2013-12-28,54
2013-12-29,60
2013-12-30,67
2013-12-31,73
2014-01-01,82
2014-01-02,86
2014-01-03,94
2014-01-04,103
2014-01-05,97
2014-01-06,93
2014-01-07,90
2014-01-08,87
2014-01-09,84
2014-01-10,81
2014-01-11,81
2014-01-12,79
2014-01-13,80
2014-01-14,83
2014-01-15,83
2014-01-16,86
2014-01-17,88
2014-01-18,87
2014-01-19,90
2014-01-20,88
2014-01-21,88
2014-01-22,89
2014-01-23,97
2014-01-24,90
2014-01-25,91
2014-01-26,89
2014-01-27,86
2014-01-28,83
2014-01-29,81
2014-01-30,83
2014-01-31,76
2014-02-01,74
2014-02-02,77
2014-02-03,72
2014-02-04,72
2014-02-05,71
2014-02-06,71
2014-02-07,74
2014-02-08,70
2014-02-09,71
2014-02-10,78
2014-02-11,73
2014-02-12,78
2014-02-13,75
2014-02-14,78
2014-02-15,78
2014-02-16,77
2014-02-17,76
2014-02-18,75
2014-02-19,83
2014-02-20,74
2014-02-21,75
2014-02-22,73
2014-02-23,80
2014-02-24,77
2014-02-25,77
2014-02-26,86
2014-02-27,80
2014-02-28,81
