Date,Metropark usa
2008-04-19,56
2008-04-20,56
2008-04-21,56
2008-04-22,56
2008-04-23,56
2008-04-24,56
2008-04-25,56
2008-04-26,56
2008-04-27,56
2008-04-28,56
2008-04-29,56
2008-04-30,56
2008-05-01,56
2008-05-02,57
2008-05-03,58
2008-05-04,60
2008-05-05,61
2008-05-06,63
2008-05-07,64
2008-05-08,65
2008-05-09,67
2008-05-10,68
2008-05-11,70
2008-05-12,71
2008-05-13,73
2008-05-14,74
2008-05-15,75
2008-05-16,77
2008-05-17,78
2008-05-18,80
2008-05-19,81
2008-05-20,82
2008-05-21,84
2008-05-22,85
2008-05-23,87
2008-05-24,88
2008-05-25,90
2008-05-26,91
2008-05-27,92
2008-05-28,94
2008-05-29,95
2008-05-30,97
2008-05-31,98
2008-06-01,100
2008-06-02,98
2008-06-03,97
2008-06-04,96
2008-06-05,95
2008-06-06,94
2008-06-07,93
2008-06-08,92
2008-06-09,90
2008-06-10,89
2008-06-11,88
2008-06-12,87
2008-06-13,86
2008-06-14,85
2008-06-15,84
2008-06-16,83
2008-06-17,81
2008-06-18,80
2008-06-19,79
2008-06-20,78
2008-06-21,77
2008-06-22,76
2008-06-23,75
2008-06-24,73
2008-06-25,72
2008-06-26,71
2008-06-27,70
2008-06-28,69
2008-06-29,68
2008-06-30,67
2008-07-01,66
2008-07-02,65
2008-07-03,64
2008-07-04,63
2008-07-05,63
2008-07-06,62
2008-07-07,61
2008-07-08,61
2008-07-09,60
2008-07-10,59
2008-07-11,59
2008-07-12,58
2008-07-13,57
2008-07-14,57
2008-07-15,56
2008-07-16,55
2008-07-17,55
2008-07-18,54
2008-07-19,53
2008-07-20,53
2008-07-21,52
2008-07-22,51
2008-07-23,51
2008-07-24,50
2008-07-25,49
2008-07-26,49
2008-07-27,48
2008-07-28,47
2008-07-29,47
2008-07-30,46
2008-07-31,45
2008-08-01,45
2008-08-02,45
2008-08-03,45
2008-08-04,45
2008-08-05,45
2008-08-06,45
2008-08-07,45
2008-08-08,45
2008-08-09,45
2008-08-10,45
2008-08-11,45
2008-08-12,45
2008-08-13,45
2008-08-14,45
2008-08-15,45
2008-08-16,45
2008-08-17,45
2008-08-18,45
2008-08-19,45
2008-08-20,45
2008-08-21,45
2008-08-22,45
2008-08-23,45
2008-08-24,45
2008-08-25,45
2008-08-26,45
2008-08-27,45
2008-08-28,45
2008-08-29,45
2008-08-30,45
2008-08-31,45
2008-09-01,45
2008-09-02,45
2008-09-03,45
2008-09-04,45
2008-09-05,45
2008-09-06,45
2008-09-07,45
2008-09-08,45
2008-09-09,45
2008-09-10,45
2008-09-11,45
2008-09-12,45
2008-09-13,45
2008-09-14,45
2008-09-15,45
2008-09-16,45
2008-09-17,45
2008-09-18,45
2008-09-19,45
2008-09-20,45
2008-09-21,45
2008-09-22,45
2008-09-23,45
2008-09-24,45
2008-09-25,45
2008-09-26,45
2008-09-27,45
2008-09-28,45
2008-09-29,45
2008-09-30,45
2008-10-01,45
2008-10-02,45
2008-10-03,45
2008-10-04,45
2008-10-05,45
2008-10-06,45
2008-10-07,45
2008-10-08,45
2008-10-09,45
2008-10-10,45
2008-10-11,45
2008-10-12,45
2008-10-13,45
2008-10-14,45
2008-10-15,45
2008-10-16,45
2008-10-17,45
2008-10-18,45
2008-10-19,45
2008-10-20,45
2008-10-21,45
2008-10-22,45
2008-10-23,45
2008-10-24,45
2008-10-25,45
2008-10-26,45
2008-10-27,45
2008-10-28,45
2008-10-29,45
2008-10-30,45
2008-10-31,45
2008-11-01,45
2008-11-02,46
2008-11-03,47
2008-11-04,49
2008-11-05,50
2008-11-06,52
2008-11-07,53
2008-11-08,55
2008-11-09,56
2008-11-10,58
2008-11-11,59
2008-11-12,61
2008-11-13,62
2008-11-14,64
2008-11-15,65
2008-11-16,67
2008-11-17,68
2008-11-18,69
2008-11-19,71
2008-11-20,72
2008-11-21,74
2008-11-22,75
2008-11-23,77
2008-11-24,78
2008-11-25,80
2008-11-26,81
2008-11-27,83
2008-11-28,84
2008-11-29,86
2008-11-30,87
2008-12-01,89
2008-12-02,87
2008-12-03,86
2008-12-04,85
2008-12-05,83
2008-12-06,82
2008-12-07,81
2008-12-08,79
2008-12-09,78
2008-12-10,77
2008-12-11,76
2008-12-12,74
2008-12-13,73
2008-12-14,72
2008-12-15,70
2008-12-16,69
2008-12-17,68
2008-12-18,67
2008-12-19,65
2008-12-20,64
2008-12-21,63
2008-12-22,61
2008-12-23,60
2008-12-24,59
2008-12-25,58
2008-12-26,56
2008-12-27,55
2008-12-28,54
2008-12-29,52
2008-12-30,51
2008-12-31,50
2009-01-01,49
2009-01-02,48
2009-01-03,48
2009-01-04,48
2009-01-05,48
2009-01-06,48
2009-01-07,48
2009-01-08,48
2009-01-09,48
2009-01-10,48
2009-01-11,48
2009-01-12,48
2009-01-13,48
2009-01-14,48
2009-01-15,48
2009-01-16,48
2009-01-17,47
2009-01-18,47
2009-01-19,47
2009-01-20,47
2009-01-21,47
2009-01-22,47
2009-01-23,47
2009-01-24,47
2009-01-25,47
2009-01-26,47
2009-01-27,47
2009-01-28,47
2009-01-29,47
2009-01-30,47
2009-01-31,47
2009-02-01,47
2009-02-02,47
2009-02-03,48
2009-02-04,49
2009-02-05,50
2009-02-06,50
2009-02-07,51
2009-02-08,52
2009-02-09,53
2009-02-10,53
2009-02-11,54
2009-02-12,55
2009-02-13,56
2009-02-14,56
2009-02-15,57
2009-02-16,58
2009-02-17,59
2009-02-18,59
2009-02-19,60
2009-02-20,61
2009-02-21,62
2009-02-22,62
2009-02-23,63
2009-02-24,64
2009-02-25,65
2009-02-26,65
2009-02-27,66
2009-02-28,67
2009-03-01,68
2009-03-02,67
2009-03-03,67
2009-03-04,67
2009-03-05,67
2009-03-06,67
2009-03-07,67
2009-03-08,66
2009-03-09,66
2009-03-10,66
2009-03-11,66
2009-03-12,66
2009-03-13,66
2009-03-14,65
2009-03-15,65
2009-03-16,65
2009-03-17,65
2009-03-18,65
2009-03-19,65
2009-03-20,64
2009-03-21,64
2009-03-22,64
2009-03-23,64
2009-03-24,64
2009-03-25,64
2009-03-26,63
2009-03-27,63
2009-03-28,63
2009-03-29,63
2009-03-30,63
2009-03-31,63
2009-04-01,63
2009-04-02,62
2009-04-03,62
2009-04-04,61
2009-04-05,61
2009-04-06,60
2009-04-07,60
2009-04-08,59
2009-04-09,59
2009-04-10,58
2009-04-11,58
2009-04-12,57
2009-04-13,57
2009-04-14,56
2009-04-15,56
2009-04-16,56
2009-04-17,55
2009-04-18,55
2009-04-19,54
2009-04-20,54
2009-04-21,53
2009-04-22,53
2009-04-23,52
2009-04-24,52
2009-04-25,51
2009-04-26,51
2009-04-27,50
2009-04-28,50
2009-04-29,49
2009-04-30,49
2009-05-01,49
2009-05-02,48
2009-05-03,48
2009-05-04,47
2009-05-05,47
2009-05-06,46
2009-05-07,46
2009-05-08,46
2009-05-09,45
2009-05-10,45
2009-05-11,44
2009-05-12,44
2009-05-13,43
2009-05-14,43
2009-05-15,43
2009-05-16,42
2009-05-17,42
2009-05-18,41
2009-05-19,41
2009-05-20,41
2009-05-21,40
2009-05-22,40
2009-05-23,39
2009-05-24,39
2009-05-25,38
2009-05-26,38
2009-05-27,38
2009-05-28,37
2009-05-29,37
2009-05-30,36
2009-05-31,36
2009-06-01,36
2009-06-02,36
2009-06-03,36
2009-06-04,36
2009-06-05,36
2009-06-06,36
2009-06-07,36
2009-06-08,36
2009-06-09,36
2009-06-10,36
2009-06-11,37
2009-06-12,37
2009-06-13,37
2009-06-14,37
2009-06-15,37
2009-06-16,37
2009-06-17,37
2009-06-18,37
2009-06-19,37
2009-06-20,37
2009-06-21,38
2009-06-22,38
2009-06-23,38
2009-06-24,38
2009-06-25,38
2009-06-26,38
2009-06-27,38
2009-06-28,38
2009-06-29,38
2009-06-30,38
2009-07-01,39
2009-07-02,39
2009-07-03,39
2009-07-04,39
2009-07-05,39
2009-07-06,39
2009-07-07,39
2009-07-08,39
2009-07-09,39
2009-07-10,39
2009-07-11,39
2009-07-12,39
2009-07-13,39
2009-07-14,39
2009-07-15,39
2009-07-16,39
2009-07-17,40
2009-07-18,40
2009-07-19,40
2009-07-20,40
2009-07-21,40
2009-07-22,40
2009-07-23,40
2009-07-24,40
2009-07-25,40
2009-07-26,40
2009-07-27,40
2009-07-28,40
2009-07-29,40
2009-07-30,40
2009-07-31,40
2009-08-01,41
2009-08-02,41
2009-08-03,41
2009-08-04,41
2009-08-05,41
2009-08-06,41
2009-08-07,41
2009-08-08,41
2009-08-09,41
2009-08-10,41
2009-08-11,41
2009-08-12,41
2009-08-13,41
2009-08-14,41
2009-08-15,41
2009-08-16,41
2009-08-17,42
2009-08-18,42
2009-08-19,42
2009-08-20,42
2009-08-21,42
2009-08-22,42
2009-08-23,42
2009-08-24,42
2009-08-25,42
2009-08-26,42
2009-08-27,42
2009-08-28,42
2009-08-29,42
2009-08-30,42
2009-08-31,42
2009-09-01,43
2009-09-02,43
2009-09-03,43
2009-09-04,43
2009-09-05,43
2009-09-06,43
2009-09-07,43
2009-09-08,43
2009-09-09,43
2009-09-10,43
2009-09-11,43
2009-09-12,43
2009-09-13,43
2009-09-14,43
2009-09-15,43
2009-09-16,44
2009-09-17,44
2009-09-18,44
2009-09-19,44
2009-09-20,44
2009-09-21,44
2009-09-22,44
2009-09-23,44
2009-09-24,44
2009-09-25,44
2009-09-26,44
2009-09-27,44
2009-09-28,44
2009-09-29,44
2009-09-30,44
2009-10-01,45
2009-10-02,44
2009-10-03,44
2009-10-04,43
2009-10-05,43
2009-10-06,43
2009-10-07,42
2009-10-08,42
2009-10-09,41
2009-10-10,41
2009-10-11,41
2009-10-12,40
2009-10-13,40
2009-10-14,39
2009-10-15,39
2009-10-16,39
2009-10-17,38
2009-10-18,38
2009-10-19,38
2009-10-20,37
2009-10-21,37
2009-10-22,36
2009-10-23,36
2009-10-24,36
2009-10-25,35
2009-10-26,35
2009-10-27,34
2009-10-28,34
2009-10-29,34
2009-10-30,33
2009-10-31,33
2009-11-01,33
