Date,ARYx Therapeutics
2007-09-19,69
2007-09-20,70
2007-09-21,71
2007-09-22,71
2007-09-23,72
2007-09-24,73
2007-09-25,73
2007-09-26,74
2007-09-27,75
2007-09-28,75
2007-09-29,76
2007-09-30,77
2007-10-01,78
2007-10-02,78
2007-10-03,79
2007-10-04,80
2007-10-05,80
2007-10-06,81
2007-10-07,82
2007-10-08,82
2007-10-09,83
2007-10-10,84
2007-10-11,85
2007-10-12,85
2007-10-13,86
2007-10-14,87
2007-10-15,87
2007-10-16,88
2007-10-17,89
2007-10-18,90
2007-10-19,90
2007-10-20,91
2007-10-21,92
2007-10-22,92
2007-10-23,93
2007-10-24,94
2007-10-25,95
2007-10-26,95
2007-10-27,96
2007-10-28,97
2007-10-29,97
2007-10-30,98
2007-10-31,99
2007-11-01,100
2007-11-02,98
2007-11-03,97
2007-11-04,96
2007-11-05,94
2007-11-06,93
2007-11-07,92
2007-11-08,91
2007-11-09,89
2007-11-10,88
2007-11-11,87
2007-11-12,86
2007-11-13,84
2007-11-14,83
2007-11-15,82
2007-11-16,81
2007-11-17,79
2007-11-18,78
2007-11-19,77
2007-11-20,75
2007-11-21,74
2007-11-22,73
2007-11-23,72
2007-11-24,70
2007-11-25,69
2007-11-26,68
2007-11-27,67
2007-11-28,65
2007-11-29,64
2007-11-30,63
2007-12-01,62
2007-12-02,61
2007-12-03,60
2007-12-04,59
2007-12-05,59
2007-12-06,58
2007-12-07,57
2007-12-08,56
2007-12-09,56
2007-12-10,55
2007-12-11,54
2007-12-12,53
2007-12-13,53
2007-12-14,52
2007-12-15,51
2007-12-16,50
2007-12-17,50
2007-12-18,49
2007-12-19,48
2007-12-20,47
2007-12-21,47
2007-12-22,46
2007-12-23,45
2007-12-24,44
2007-12-25,44
2007-12-26,43
2007-12-27,42
2007-12-28,41
2007-12-29,41
2007-12-30,40
2007-12-31,39
2008-01-01,39
2008-01-02,39
2008-01-03,40
2008-01-04,41
2008-01-05,41
2008-01-06,42
2008-01-07,43
2008-01-08,43
2008-01-09,44
2008-01-10,45
2008-01-11,45
2008-01-12,46
2008-01-13,47
2008-01-14,47
2008-01-15,48
2008-01-16,49
2008-01-17,49
2008-01-18,50
2008-01-19,51
2008-01-20,51
2008-01-21,52
2008-01-22,53
2008-01-23,53
2008-01-24,54
2008-01-25,55
2008-01-26,55
2008-01-27,56
2008-01-28,57
2008-01-29,57
2008-01-30,58
2008-01-31,59
2008-02-01,60
2008-02-02,59
2008-02-03,58
2008-02-04,57
2008-02-05,56
2008-02-06,56
2008-02-07,55
2008-02-08,54
2008-02-09,53
2008-02-10,52
2008-02-11,52
2008-02-12,51
2008-02-13,50
2008-02-14,49
2008-02-15,48
2008-02-16,48
2008-02-17,47
2008-02-18,46
2008-02-19,45
2008-02-20,44
2008-02-21,44
2008-02-22,43
2008-02-23,42
2008-02-24,41
2008-02-25,40
2008-02-26,40
2008-02-27,39
2008-02-28,38
2008-02-29,37
2008-03-01,37
2008-03-02,37
2008-03-03,37
2008-03-04,37
2008-03-05,37
2008-03-06,37
2008-03-07,37
2008-03-08,37
2008-03-09,37
2008-03-10,37
2008-03-11,37
2008-03-12,37
2008-03-13,37
2008-03-14,37
2008-03-15,37
2008-03-16,37
2008-03-17,37
2008-03-18,37
2008-03-19,37
2008-03-20,37
2008-03-21,37
2008-03-22,37
2008-03-23,37
2008-03-24,37
2008-03-25,37
2008-03-26,37
2008-03-27,37
2008-03-28,37
2008-03-29,37
2008-03-30,37
2008-03-31,37
2008-04-01,37
2008-04-02,37
2008-04-03,37
2008-04-04,37
2008-04-05,37
2008-04-06,37
2008-04-07,37
2008-04-08,37
2008-04-09,37
2008-04-10,37
2008-04-11,37
2008-04-12,37
2008-04-13,37
2008-04-14,37
2008-04-15,37
2008-04-16,37
2008-04-17,37
2008-04-18,37
2008-04-19,37
2008-04-20,37
2008-04-21,37
2008-04-22,37
2008-04-23,37
2008-04-24,37
2008-04-25,37
2008-04-26,37
2008-04-27,37
2008-04-28,37
2008-04-29,37
2008-04-30,37
2008-05-01,37
2008-05-02,37
2008-05-03,37
2008-05-04,37
2008-05-05,37
2008-05-06,37
2008-05-07,37
2008-05-08,37
2008-05-09,37
2008-05-10,37
2008-05-11,37
2008-05-12,37
2008-05-13,37
2008-05-14,37
2008-05-15,37
2008-05-16,37
2008-05-17,37
2008-05-18,37
2008-05-19,37
2008-05-20,37
2008-05-21,37
2008-05-22,37
2008-05-23,37
2008-05-24,37
2008-05-25,37
2008-05-26,37
2008-05-27,37
2008-05-28,37
2008-05-29,37
2008-05-30,37
2008-05-31,37
2008-06-01,37
2008-06-02,37
2008-06-03,38
2008-06-04,39
2008-06-05,40
2008-06-06,41
2008-06-07,42
2008-06-08,42
2008-06-09,43
2008-06-10,44
2008-06-11,45
2008-06-12,46
2008-06-13,47
2008-06-14,47
2008-06-15,48
2008-06-16,49
2008-06-17,50
2008-06-18,51
2008-06-19,52
2008-06-20,52
2008-06-21,53
2008-06-22,54
2008-06-23,55
2008-06-24,56
2008-06-25,57
2008-06-26,57
2008-06-27,58
2008-06-28,59
2008-06-29,60
2008-06-30,61
2008-07-01,62
2008-07-02,62
2008-07-03,62
2008-07-04,63
2008-07-05,63
2008-07-06,64
2008-07-07,64
2008-07-08,65
2008-07-09,65
2008-07-10,66
2008-07-11,66
2008-07-12,67
2008-07-13,67
2008-07-14,68
2008-07-15,68
2008-07-16,69
2008-07-17,69
2008-07-18,70
2008-07-19,70
2008-07-20,71
2008-07-21,71
2008-07-22,72
2008-07-23,72
2008-07-24,73
2008-07-25,73
2008-07-26,74
2008-07-27,74
2008-07-28,75
2008-07-29,75
2008-07-30,76
2008-07-31,76
2008-08-01,77
2008-08-02,76
2008-08-03,75
2008-08-04,74
2008-08-05,73
2008-08-06,72
2008-08-07,71
2008-08-08,70
2008-08-09,69
2008-08-10,68
2008-08-11,67
2008-08-12,66
2008-08-13,65
2008-08-14,64
2008-08-15,63
2008-08-16,62
2008-08-17,62
2008-08-18,61
2008-08-19,60
2008-08-20,59
2008-08-21,58
2008-08-22,57
2008-08-23,56
2008-08-24,55
2008-08-25,54
2008-08-26,53
2008-08-27,52
2008-08-28,51
2008-08-29,50
2008-08-30,49
2008-08-31,48
2008-09-01,48
2008-09-02,48
2008-09-03,48
2008-09-04,48
2008-09-05,48
2008-09-06,48
2008-09-07,48
2008-09-08,48
2008-09-09,48
2008-09-10,48
2008-09-11,48
2008-09-12,48
2008-09-13,48
2008-09-14,48
2008-09-15,48
2008-09-16,48
2008-09-17,48
2008-09-18,48
2008-09-19,48
2008-09-20,48
2008-09-21,48
2008-09-22,48
2008-09-23,48
2008-09-24,48
2008-09-25,48
2008-09-26,48
2008-09-27,48
2008-09-28,48
2008-09-29,48
2008-09-30,48
2008-10-01,48
2008-10-02,48
2008-10-03,48
2008-10-04,48
2008-10-05,48
2008-10-06,48
2008-10-07,48
2008-10-08,48
2008-10-09,48
2008-10-10,48
2008-10-11,48
2008-10-12,48
2008-10-13,48
2008-10-14,48
2008-10-15,48
2008-10-16,48
2008-10-17,48
2008-10-18,48
2008-10-19,48
2008-10-20,48
2008-10-21,48
2008-10-22,48
2008-10-23,48
2008-10-24,48
2008-10-25,48
2008-10-26,48
2008-10-27,48
2008-10-28,48
2008-10-29,48
2008-10-30,48
2008-10-31,48
2008-11-01,48
2008-11-02,47
2008-11-03,46
2008-11-04,46
2008-11-05,45
2008-11-06,45
2008-11-07,44
2008-11-08,44
2008-11-09,43
2008-11-10,43
2008-11-11,42
2008-11-12,42
2008-11-13,41
2008-11-14,41
2008-11-15,40
2008-11-16,40
2008-11-17,39
2008-11-18,38
2008-11-19,38
2008-11-20,37
2008-11-21,37
2008-11-22,36
2008-11-23,36
2008-11-24,35
2008-11-25,35
2008-11-26,34
2008-11-27,34
2008-11-28,33
2008-11-29,33
2008-11-30,32
2008-12-01,32
2008-12-02,32
2008-12-03,32
2008-12-04,32
2008-12-05,32
2008-12-06,32
2008-12-07,32
2008-12-08,32
2008-12-09,32
2008-12-10,32
2008-12-11,32
2008-12-12,32
2008-12-13,32
2008-12-14,32
2008-12-15,32
2008-12-16,32
2008-12-17,32
2008-12-18,32
2008-12-19,32
2008-12-20,32
2008-12-21,32
2008-12-22,32
2008-12-23,32
2008-12-24,32
2008-12-25,32
2008-12-26,32
2008-12-27,32
2008-12-28,32
2008-12-29,32
2008-12-30,32
2008-12-31,32
2009-01-01,32
