Date,Intercept Pharmaceuticals
2012-11-23,4
2012-11-24,4
2012-11-25,4
2012-11-26,4
2012-11-27,4
2012-11-28,4
2012-11-29,4
2012-11-30,4
2012-12-01,4
2012-12-02,3
2012-12-03,3
2012-12-04,3
2012-12-05,3
2012-12-06,3
2012-12-07,3
2012-12-08,3
2012-12-09,3
2012-12-10,3
2012-12-11,3
2012-12-12,3
2012-12-13,3
2012-12-14,3
2012-12-15,3
2012-12-16,3
2012-12-17,3
2012-12-18,3
2012-12-19,3
2012-12-20,3
2012-12-21,3
2012-12-22,3
2012-12-23,3
2012-12-24,3
2012-12-25,3
2012-12-26,3
2012-12-27,3
2012-12-28,3
2012-12-29,3
2012-12-30,3
2012-12-31,3
2013-01-01,3
2013-01-02,3
2013-01-03,3
2013-01-04,3
2013-01-05,3
2013-01-06,3
2013-01-07,3
2013-01-08,3
2013-01-09,3
2013-01-10,3
2013-01-11,3
2013-01-12,3
2013-01-13,3
2013-01-14,3
2013-01-15,3
2013-01-16,3
2013-01-17,3
2013-01-18,3
2013-01-19,3
2013-01-20,3
2013-01-21,3
2013-01-22,3
2013-01-23,3
2013-01-24,3
2013-01-25,3
2013-01-26,3
2013-01-27,3
2013-01-28,3
2013-01-29,3
2013-01-30,3
2013-01-31,3
2013-02-01,3
2013-02-02,3
2013-02-03,3
2013-02-04,3
2013-02-05,3
2013-02-06,3
2013-02-07,3
2013-02-08,3
2013-02-09,3
2013-02-10,3
2013-02-11,3
2013-02-12,3
2013-02-13,3
2013-02-14,3
2013-02-15,3
2013-02-16,3
2013-02-17,3
2013-02-18,3
2013-02-19,3
2013-02-20,3
2013-02-21,3
2013-02-22,3
2013-02-23,3
2013-02-24,3
2013-02-25,3
2013-02-26,3
2013-02-27,3
2013-02-28,3
2013-03-01,3
2013-03-02,3
2013-03-03,3
2013-03-04,3
2013-03-05,3
2013-03-06,3
2013-03-07,3
2013-03-08,3
2013-03-09,3
2013-03-10,3
2013-03-11,3
2013-03-12,3
2013-03-13,3
2013-03-14,3
2013-03-15,3
2013-03-16,3
2013-03-17,3
2013-03-18,3
2013-03-19,3
2013-03-20,3
2013-03-21,3
2013-03-22,3
2013-03-23,3
2013-03-24,3
2013-03-25,3
2013-03-26,3
2013-03-27,3
2013-03-28,3
2013-03-29,3
2013-03-30,3
2013-03-31,3
2013-04-01,3
2013-04-02,3
2013-04-03,3
2013-04-04,3
2013-04-05,3
2013-04-06,3
2013-04-07,3
2013-04-08,3
2013-04-09,3
2013-04-10,3
2013-04-11,3
2013-04-12,3
2013-04-13,3
2013-04-14,3
2013-04-15,3
2013-04-16,3
2013-04-17,3
2013-04-18,3
2013-04-19,3
2013-04-20,3
2013-04-21,3
2013-04-22,3
2013-04-23,3
2013-04-24,3
2013-04-25,3
2013-04-26,3
2013-04-27,3
2013-04-28,3
2013-04-29,3
2013-04-30,3
2013-05-01,3
2013-05-02,2
2013-05-03,2
2013-05-04,2
2013-05-05,2
2013-05-06,2
2013-05-07,2
2013-05-08,2
2013-05-09,2
2013-05-10,2
2013-05-11,2
2013-05-12,2
2013-05-13,2
2013-05-14,2
2013-05-15,2
2013-05-16,2
2013-05-17,2
2013-05-18,2
2013-05-19,2
2013-05-20,2
2013-05-21,2
2013-05-22,2
2013-05-23,2
2013-05-24,2
2013-05-25,2
2013-05-26,2
2013-05-27,2
2013-05-28,2
2013-05-29,2
2013-05-30,2
2013-05-31,2
2013-06-01,2
2013-06-02,2
2013-06-03,2
2013-06-04,2
2013-06-05,2
2013-06-06,2
2013-06-07,2
2013-06-08,2
2013-06-09,2
2013-06-10,2
2013-06-11,2
2013-06-12,2
2013-06-13,2
2013-06-14,2
2013-06-15,2
2013-06-16,2
2013-06-17,2
2013-06-18,2
2013-06-19,2
2013-06-20,2
2013-06-21,2
2013-06-22,2
2013-06-23,2
2013-06-24,2
2013-06-25,2
2013-06-26,2
2013-06-27,2
2013-06-28,2
2013-06-29,2
2013-06-30,2
2013-07-01,3
2013-07-02,2
2013-07-03,2
2013-07-04,2
2013-07-05,2
2013-07-06,2
2013-07-07,2
2013-07-08,2
2013-07-09,2
2013-07-10,2
2013-07-11,2
2013-07-12,2
2013-07-13,2
2013-07-14,2
2013-07-15,2
2013-07-16,2
2013-07-17,2
2013-07-18,2
2013-07-19,2
2013-07-20,2
2013-07-21,2
2013-07-22,2
2013-07-23,2
2013-07-24,2
2013-07-25,2
2013-07-26,2
2013-07-27,2
2013-07-28,2
2013-07-29,2
2013-07-30,2
2013-07-31,2
2013-08-01,2
2013-08-02,2
2013-08-03,2
2013-08-04,2
2013-08-05,2
2013-08-06,2
2013-08-07,2
2013-08-08,2
2013-08-09,2
2013-08-10,2
2013-08-11,2
2013-08-12,2
2013-08-13,2
2013-08-14,2
2013-08-15,2
2013-08-16,2
2013-08-17,3
2013-08-18,3
2013-08-19,3
2013-08-20,3
2013-08-21,3
2013-08-22,3
2013-08-23,3
2013-08-24,3
2013-08-25,3
2013-08-26,3
2013-08-27,3
2013-08-28,3
2013-08-29,3
2013-08-30,3
2013-08-31,3
2013-09-01,4
2013-09-02,4
2013-09-03,4
2013-09-04,4
2013-09-05,4
2013-09-06,4
2013-09-07,4
2013-09-08,4
2013-09-09,4
2013-09-10,4
2013-09-11,4
2013-09-12,4
2013-09-13,4
2013-09-14,4
2013-09-15,4
2013-09-16,5
2013-09-17,5
2013-09-18,5
2013-09-19,5
2013-09-20,5
2013-09-21,5
2013-09-22,5
2013-09-23,5
2013-09-24,5
2013-09-25,5
2013-09-26,5
2013-09-27,5
2013-09-28,5
2013-09-29,5
2013-09-30,5
2013-10-01,6
2013-10-02,5
2013-10-03,5
2013-10-04,5
2013-10-05,5
2013-10-06,5
2013-10-07,5
2013-10-08,5
2013-10-09,5
2013-10-10,5
2013-10-11,5
2013-10-12,4
2013-10-13,4
2013-10-14,4
2013-10-15,4
2013-10-16,4
2013-10-17,4
2013-10-18,4
2013-10-19,4
2013-10-20,4
2013-10-21,4
2013-10-22,3
2013-10-23,3
2013-10-24,3
2013-10-25,3
2013-10-26,3
2013-10-27,3
2013-10-28,3
2013-10-29,3
2013-10-30,3
2013-10-31,3
2013-11-01,3
2013-11-02,2
2013-11-03,2
2013-11-04,2
2013-11-05,2
2013-11-06,2
2013-11-07,2
2013-11-08,2
2013-11-09,2
2013-11-10,2
2013-11-11,2
2013-11-12,2
2013-11-13,2
2013-11-14,2
2013-11-15,2
2013-11-16,2
2013-11-17,2
2013-11-18,2
2013-11-19,2
2013-11-20,2
2013-11-21,2
2013-11-22,2
2013-11-23,2
2013-11-24,2
2013-11-25,2
2013-11-26,2
2013-11-27,2
2013-11-28,2
2013-11-29,2
2013-11-30,2
2013-12-01,2
2013-12-02,5
2013-12-03,8
2013-12-04,11
2013-12-05,14
2013-12-06,17
2013-12-07,20
2013-12-08,24
2013-12-09,27
2013-12-10,30
2013-12-11,33
2013-12-12,36
2013-12-13,39
2013-12-14,43
2013-12-15,46
2013-12-16,49
2013-12-17,52
2013-12-18,55
2013-12-19,58
2013-12-20,62
2013-12-21,65
2013-12-22,68
2013-12-23,71
2013-12-24,74
2013-12-25,77
2013-12-26,81
2013-12-27,84
2013-12-28,87
2013-12-29,90
2013-12-30,97
2013-12-31,96
2014-01-01,100
2014-01-02,97
2014-01-03,95
2014-01-04,93
2014-01-05,90
2014-01-06,89
2014-01-07,87
2014-01-08,84
2014-01-09,82
2014-01-10,80
2014-01-11,78
2014-01-12,76
2014-01-13,73
2014-01-14,71
2014-01-15,68
2014-01-16,66
2014-01-17,64
2014-01-18,62
2014-01-19,60
2014-01-20,56
2014-01-21,54
2014-01-22,51
2014-01-23,49
2014-01-24,47
2014-01-25,45
2014-01-26,42
2014-01-27,39
2014-01-28,37
2014-01-29,34
2014-01-30,32
2014-01-31,30
2014-02-01,28
