Date,Newport Entertainment
2006-05-16,58
2006-05-17,58
2006-05-18,57
2006-05-19,57
2006-05-20,57
2006-05-21,56
2006-05-22,56
2006-05-23,55
2006-05-24,55
2006-05-25,54
2006-05-26,54
2006-05-27,54
2006-05-28,53
2006-05-29,53
2006-05-30,52
2006-05-31,52
2006-06-01,52
2006-06-02,52
2006-06-03,53
2006-06-04,54
2006-06-05,54
2006-06-06,55
2006-06-07,56
2006-06-08,56
2006-06-09,57
2006-06-10,58
2006-06-11,59
2006-06-12,59
2006-06-13,60
2006-06-14,61
2006-06-15,61
2006-06-16,62
2006-06-17,63
2006-06-18,63
2006-06-19,64
2006-06-20,65
2006-06-21,66
2006-06-22,66
2006-06-23,67
2006-06-24,68
2006-06-25,68
2006-06-26,69
2006-06-27,70
2006-06-28,70
2006-06-29,71
2006-06-30,72
2006-07-01,73
2006-07-02,73
2006-07-03,73
2006-07-04,73
2006-07-05,73
2006-07-06,73
2006-07-07,73
2006-07-08,73
2006-07-09,73
2006-07-10,73
2006-07-11,73
2006-07-12,74
2006-07-13,74
2006-07-14,74
2006-07-15,74
2006-07-16,74
2006-07-17,74
2006-07-18,74
2006-07-19,74
2006-07-20,74
2006-07-21,74
2006-07-22,75
2006-07-23,75
2006-07-24,75
2006-07-25,75
2006-07-26,75
2006-07-27,75
2006-07-28,75
2006-07-29,75
2006-07-30,75
2006-07-31,75
2006-08-01,76
2006-08-02,75
2006-08-03,75
2006-08-04,75
2006-08-05,75
2006-08-06,75
2006-08-07,75
2006-08-08,75
2006-08-09,75
2006-08-10,75
2006-08-11,75
2006-08-12,75
2006-08-13,75
2006-08-14,75
2006-08-15,75
2006-08-16,75
2006-08-17,74
2006-08-18,74
2006-08-19,74
2006-08-20,74
2006-08-21,74
2006-08-22,74
2006-08-23,74
2006-08-24,74
2006-08-25,74
2006-08-26,74
2006-08-27,74
2006-08-28,74
2006-08-29,74
2006-08-30,74
2006-08-31,74
2006-09-01,74
2006-09-02,73
2006-09-03,72
2006-09-04,71
2006-09-05,70
2006-09-06,70
2006-09-07,69
2006-09-08,68
2006-09-09,67
2006-09-10,67
2006-09-11,66
2006-09-12,65
2006-09-13,64
2006-09-14,64
2006-09-15,63
2006-09-16,62
2006-09-17,61
2006-09-18,60
2006-09-19,60
2006-09-20,59
2006-09-21,58
2006-09-22,57
2006-09-23,57
2006-09-24,56
2006-09-25,55
2006-09-26,54
2006-09-27,54
2006-09-28,53
2006-09-29,52
2006-09-30,51
2006-10-01,51
2006-10-02,50
2006-10-03,50
2006-10-04,50
2006-10-05,50
2006-10-06,50
2006-10-07,49
2006-10-08,49
2006-10-09,49
2006-10-10,49
2006-10-11,49
2006-10-12,48
2006-10-13,48
2006-10-14,48
2006-10-15,48
2006-10-16,48
2006-10-17,47
2006-10-18,47
2006-10-19,47
2006-10-20,47
2006-10-21,47
2006-10-22,46
2006-10-23,46
2006-10-24,46
2006-10-25,46
2006-10-26,46
2006-10-27,45
2006-10-28,45
2006-10-29,45
2006-10-30,45
2006-10-31,45
2006-11-01,45
2006-11-02,45
2006-11-03,45
2006-11-04,45
2006-11-05,45
2006-11-06,45
2006-11-07,45
2006-11-08,45
2006-11-09,45
2006-11-10,45
2006-11-11,45
2006-11-12,45
2006-11-13,45
2006-11-14,45
2006-11-15,45
2006-11-16,46
2006-11-17,46
2006-11-18,46
2006-11-19,46
2006-11-20,46
2006-11-21,46
2006-11-22,46
2006-11-23,46
2006-11-24,46
2006-11-25,46
2006-11-26,46
2006-11-27,46
2006-11-28,46
2006-11-29,46
2006-11-30,46
2006-12-01,47
2006-12-02,47
2006-12-03,47
2006-12-04,47
2006-12-05,47
2006-12-06,47
2006-12-07,47
2006-12-08,47
2006-12-09,47
2006-12-10,47
2006-12-11,47
2006-12-12,48
2006-12-13,48
2006-12-14,48
2006-12-15,48
2006-12-16,48
2006-12-17,48
2006-12-18,48
2006-12-19,48
2006-12-20,48
2006-12-21,48
2006-12-22,49
2006-12-23,49
2006-12-24,49
2006-12-25,49
2006-12-26,49
2006-12-27,49
2006-12-28,49
2006-12-29,49
2006-12-30,49
2006-12-31,49
2007-01-01,50
2007-01-02,50
2007-01-03,50
2007-01-04,50
2007-01-05,51
2007-01-06,51
2007-01-07,51
2007-01-08,51
2007-01-09,52
2007-01-10,52
2007-01-11,52
2007-01-12,52
2007-01-13,53
2007-01-14,53
2007-01-15,53
2007-01-16,53
2007-01-17,54
2007-01-18,54
2007-01-19,54
2007-01-20,54
2007-01-21,55
2007-01-22,55
2007-01-23,55
2007-01-24,55
2007-01-25,56
2007-01-26,56
2007-01-27,56
2007-01-28,56
2007-01-29,57
2007-01-30,57
2007-01-31,57
2007-02-01,58
2007-02-02,57
2007-02-03,56
2007-02-04,55
2007-02-05,54
2007-02-06,53
2007-02-07,52
2007-02-08,52
2007-02-09,51
2007-02-10,50
2007-02-11,49
2007-02-12,48
2007-02-13,47
2007-02-14,46
2007-02-15,46
2007-02-16,45
2007-02-17,44
2007-02-18,43
2007-02-19,42
2007-02-20,41
2007-02-21,40
2007-02-22,40
2007-02-23,39
2007-02-24,38
2007-02-25,37
2007-02-26,36
2007-02-27,35
2007-02-28,34
2007-03-01,34
2007-03-02,34
2007-03-03,34
2007-03-04,34
2007-03-05,35
2007-03-06,35
2007-03-07,35
2007-03-08,35
2007-03-09,36
2007-03-10,36
2007-03-11,36
2007-03-12,36
2007-03-13,37
2007-03-14,37
2007-03-15,37
2007-03-16,37
2007-03-17,38
2007-03-18,38
2007-03-19,38
2007-03-20,38
2007-03-21,39
2007-03-22,39
2007-03-23,39
2007-03-24,39
2007-03-25,40
2007-03-26,40
2007-03-27,40
2007-03-28,40
2007-03-29,41
2007-03-30,41
2007-03-31,41
2007-04-01,42
2007-04-02,42
2007-04-03,42
2007-04-04,43
2007-04-05,43
2007-04-06,44
2007-04-07,44
2007-04-08,45
2007-04-09,45
2007-04-10,45
2007-04-11,46
2007-04-12,46
2007-04-13,47
2007-04-14,47
2007-04-15,48
2007-04-16,48
2007-04-17,48
2007-04-18,49
2007-04-19,49
2007-04-20,50
2007-04-21,50
2007-04-22,51
2007-04-23,51
2007-04-24,51
2007-04-25,52
2007-04-26,52
2007-04-27,53
2007-04-28,53
2007-04-29,54
2007-04-30,54
2007-05-01,55
2007-05-02,54
2007-05-03,54
2007-05-04,53
2007-05-05,53
2007-05-06,52
2007-05-07,52
2007-05-08,51
2007-05-09,51
2007-05-10,50
2007-05-11,50
2007-05-12,50
2007-05-13,49
2007-05-14,49
2007-05-15,48
2007-05-16,48
2007-05-17,47
2007-05-18,47
2007-05-19,46
2007-05-20,46
2007-05-21,45
2007-05-22,45
2007-05-23,45
2007-05-24,44
2007-05-25,44
2007-05-26,43
2007-05-27,43
2007-05-28,42
2007-05-29,42
2007-05-30,41
2007-05-31,41
2007-06-01,41
2007-06-02,41
2007-06-03,42
2007-06-04,43
2007-06-05,44
2007-06-06,44
2007-06-07,45
2007-06-08,46
2007-06-09,47
2007-06-10,47
2007-06-11,48
2007-06-12,49
2007-06-13,50
2007-06-14,50
2007-06-15,51
2007-06-16,52
2007-06-17,53
2007-06-18,54
2007-06-19,54
2007-06-20,55
2007-06-21,56
2007-06-22,57
2007-06-23,57
2007-06-24,58
2007-06-25,59
2007-06-26,60
2007-06-27,60
2007-06-28,61
2007-06-29,62
2007-06-30,63
2007-07-01,64
2007-07-02,63
2007-07-03,62
2007-07-04,62
2007-07-05,61
2007-07-06,60
2007-07-07,60
2007-07-08,59
2007-07-09,58
2007-07-10,58
2007-07-11,57
2007-07-12,56
2007-07-13,56
2007-07-14,55
2007-07-15,54
2007-07-16,54
2007-07-17,53
2007-07-18,53
2007-07-19,52
2007-07-20,51
2007-07-21,51
2007-07-22,50
2007-07-23,49
2007-07-24,49
2007-07-25,48
2007-07-26,47
2007-07-27,47
2007-07-28,46
2007-07-29,45
2007-07-30,45
2007-07-31,44
2007-08-01,44
