Date,ArcSight
2007-12-11,35
2007-12-12,32
2007-12-13,30
2007-12-14,27
2007-12-15,25
2007-12-16,27
2007-12-17,29
2007-12-18,31
2007-12-19,34
2007-12-20,36
2007-12-21,38
2007-12-22,41
2007-12-23,39
2007-12-24,38
2007-12-25,37
2007-12-26,36
2007-12-27,34
2007-12-28,33
2007-12-29,32
2007-12-30,31
2007-12-31,30
2008-01-01,29
2008-01-02,29
2008-01-03,28
2008-01-04,27
2008-01-05,27
2008-01-06,30
2008-01-07,34
2008-01-08,38
2008-01-09,41
2008-01-10,45
2008-01-11,49
2008-01-12,53
2008-01-13,54
2008-01-14,56
2008-01-15,58
2008-01-16,60
2008-01-17,61
2008-01-18,63
2008-01-19,65
2008-01-20,64
2008-01-21,64
2008-01-22,63
2008-01-23,62
2008-01-24,62
2008-01-25,61
2008-01-26,61
2008-01-27,59
2008-01-28,58
2008-01-29,57
2008-01-30,55
2008-01-31,54
2008-02-01,53
2008-02-02,52
2008-02-03,52
2008-02-04,52
2008-02-05,52
2008-02-06,53
2008-02-07,53
2008-02-08,53
2008-02-09,54
2008-02-10,60
2008-02-11,67
2008-02-12,74
2008-02-13,81
2008-02-14,87
2008-02-15,94
2008-02-16,101
2008-02-17,95
2008-02-18,90
2008-02-19,84
2008-02-20,79
2008-02-21,73
2008-02-22,68
2008-02-23,62
2008-02-24,59
2008-03-02,41
2008-03-03,41
2008-03-04,41
2008-03-05,41
2008-03-06,41
2008-03-07,41
2008-03-08,41
2008-03-09,44
2008-03-10,48
2008-03-11,52
2008-03-12,56
2008-03-13,60
2008-03-14,64
2008-03-15,67
2008-03-16,65
2008-03-17,62
2008-03-18,59
2008-03-19,57
2008-03-20,54
2008-03-21,52
2008-03-22,50
2008-03-23,49
2008-03-24,48
2008-03-25,47
2008-03-26,46
2008-03-27,45
2008-03-28,44
2008-03-29,44
2008-03-30,45
2008-03-31,47
2008-04-01,48
2008-04-02,50
2008-04-03,51
2008-04-04,53
2008-04-05,55
2008-04-06,53
2008-04-07,51
2008-04-08,49
2008-04-09,48
2008-04-10,46
2008-04-11,44
2008-04-12,43
2008-04-13,43
2008-04-14,44
2008-04-15,44
2008-04-16,45
2008-04-17,45
2008-04-18,46
2008-04-19,47
2008-04-20,48
2008-04-21,50
2008-04-22,52
2008-04-23,54
2008-04-24,55
2008-04-25,57
2008-04-26,59
2008-04-27,56
2008-04-28,54
2008-04-29,51
2008-04-30,49
2008-05-01,46
2008-05-02,43
2008-05-03,41
2008-05-04,39
2008-05-05,38
2008-05-06,36
2008-05-07,35
2008-05-08,33
2008-05-09,32
2008-05-10,31
2008-05-11,32
2008-05-12,33
2008-05-13,34
2008-05-14,35
2008-05-15,36
2008-05-16,37
2008-05-17,39
2008-05-18,40
2008-05-19,42
2008-05-20,43
2008-05-21,45
2008-05-22,46
2008-05-23,48
2008-05-24,50
2008-05-25,48
2008-06-01,34
2008-06-02,35
2008-06-03,35
2008-06-04,36
2008-06-05,36
2008-06-06,37
2008-06-07,38
2008-06-08,38
2008-06-09,39
2008-06-10,40
2008-06-11,41
2008-06-12,41
2008-06-13,42
2008-06-14,43
2008-06-15,41
2008-06-16,40
2008-06-17,39
2008-06-18,37
2008-06-19,36
2008-06-20,35
2008-06-21,34
2008-06-22,36
2008-06-23,39
2008-06-24,42
2008-06-25,45
2008-06-26,48
2008-06-27,51
2008-06-28,54
2008-06-29,54
2008-06-30,54
2008-07-01,54
2008-07-02,54
2008-07-03,54
2008-07-04,54
2008-07-05,54
2008-07-06,54
2008-07-07,54
2008-07-08,54
2008-07-09,54
2008-07-10,54
2008-07-11,54
2008-07-12,54
2008-07-13,50
2008-07-14,47
2008-07-15,43
2008-07-16,40
2008-07-17,36
2008-07-18,33
2008-07-19,30
2008-07-20,32
2008-07-21,34
2008-07-22,37
2008-07-23,39
2008-07-24,41
2008-07-25,43
2008-07-26,46
2008-07-27,43
2008-07-28,41
2008-07-29,38
2008-07-30,35
2008-07-31,33
2008-08-01,30
2008-08-02,28
2008-08-03,29
2008-08-04,30
2008-08-05,31
2008-08-06,32
2008-08-07,33
2008-08-08,34
2008-08-09,36
2008-08-10,37
2008-08-11,38
2008-08-12,39
2008-08-13,41
2008-08-14,42
2008-08-15,43
2008-08-16,44
2008-08-17,43
2008-08-18,42
2008-08-19,41
2008-08-20,40
2008-08-21,39
2008-08-22,38
2008-08-23,38
2008-08-24,40
2008-08-25,42
2008-08-26,44
2008-08-27,46
2008-08-28,48
2008-08-29,51
2008-08-30,53
2008-08-31,52
2008-09-07,50
2008-09-08,51
2008-09-09,52
2008-09-10,53
2008-09-11,53
2008-09-12,54
2008-09-13,55
2008-09-14,53
2008-09-15,52
2008-09-16,50
2008-09-17,49
2008-09-18,47
2008-09-19,46
2008-09-20,45
2008-09-21,47
2008-09-22,49
2008-09-23,51
2008-09-24,53
2008-09-25,55
2008-09-26,57
2008-09-27,60
2008-09-28,56
2008-09-29,52
2008-09-30,49
2008-10-01,46
2008-10-02,43
2008-10-03,40
2008-10-04,37
2008-10-05,39
2008-10-06,41
2008-10-07,43
2008-10-08,45
2008-10-09,47
2008-10-10,49
2008-10-11,51
2008-10-12,49
2008-10-13,48
2008-10-14,47
2008-10-15,45
2008-10-16,44
2008-10-17,43
2008-10-18,42
2008-10-19,44
2008-10-20,48
2008-10-21,50
2008-10-22,53
2008-10-23,56
2008-10-24,59
2008-10-25,62
2008-10-26,60
2008-10-27,57
2008-10-28,54
2008-10-29,52
2008-10-30,49
2008-10-31,47
2008-11-01,45
2008-11-02,44
2008-11-03,43
2008-11-04,43
2008-11-05,42
2008-11-06,42
2008-11-07,41
2008-11-08,41
2008-11-09,41
2008-11-10,42
2008-11-11,43
2008-11-12,43
2008-11-13,44
2008-11-14,45
2008-11-15,46
2008-11-16,46
2008-11-17,47
2008-11-18,48
2008-11-19,48
2008-11-20,49
2008-11-21,49
2008-11-22,50
2008-11-23,47
2008-11-24,44
2008-11-25,42
2008-11-26,39
2008-11-27,37
2008-11-28,34
2008-11-29,32
2008-11-30,32
2008-12-07,37
2008-12-08,36
2008-12-09,35
2008-12-10,34
2008-12-11,33
2008-12-12,32
2008-12-13,32
2008-12-14,34
2008-12-15,37
2008-12-16,39
2008-12-17,42
2008-12-18,44
2008-12-19,47
2008-12-20,49
2008-12-21,45
2008-12-22,40
2008-12-23,36
2008-12-24,31
2008-12-25,27
2008-12-26,23
2008-12-27,19
2008-12-28,19
2008-12-29,19
2008-12-30,19
2008-12-31,20
2009-01-01,20
2009-01-02,20
2009-01-03,21
2009-01-04,22
2009-01-05,23
2009-01-06,24
2009-01-07,25
2009-01-08,26
2009-01-09,27
2009-01-10,29
2009-01-11,30
2009-01-12,32
2009-01-13,33
2009-01-14,35
2009-01-15,36
2009-01-16,38
2009-01-17,40
2009-01-18,39
2009-01-19,38
2009-01-20,38
2009-01-21,37
2009-01-22,36
2009-01-23,36
2009-01-24,35
2009-01-25,36
2009-01-26,37
2009-01-27,38
2009-01-28,39
2009-01-29,40
2009-01-30,41
2009-01-31,43
2009-02-01,43
2009-02-02,43
2009-02-03,43
2009-02-04,44
2009-02-05,44
2009-02-06,44
2009-02-07,45
2009-02-08,44
2009-02-09,44
2009-02-10,43
2009-02-11,43
2009-02-12,42
2009-02-13,42
2009-02-14,42
2009-02-15,42
2009-02-16,43
2009-02-17,43
2009-02-18,44
2009-02-19,45
2009-02-20,45
2009-02-21,46
2009-02-22,46
