Date,Everyday Health Inc
2011-06-04,52
2011-06-05,53
2011-06-06,55
2011-06-07,57
2011-06-08,62
2011-06-09,61
2011-06-10,63
2011-06-11,68
2011-06-12,65
2011-06-13,65
2011-06-14,65
2011-06-15,66
2011-06-16,67
2011-06-17,69
2011-06-18,67
2011-06-19,65
2011-06-20,63
2011-06-21,61
2011-06-22,59
2011-06-23,59
2011-06-24,55
2011-06-25,53
2011-06-26,52
2011-06-27,52
2011-06-28,52
2011-06-29,52
2011-06-30,52
2011-07-01,52
2011-07-02,52
2011-07-03,57
2011-07-04,63
2011-07-05,68
2011-07-06,76
2011-07-07,79
2011-07-08,85
2011-07-09,100
2011-07-10,88
2011-07-11,85
2011-07-12,85
2011-07-13,79
2011-07-14,76
2011-07-15,73
2011-07-16,71
2011-07-17,71
2011-07-18,72
2011-07-19,72
2011-07-20,73
2011-07-21,73
2011-07-22,78
2011-07-23,75
2011-07-24,74
2011-07-25,74
2011-07-26,74
2011-07-27,74
2011-07-28,73
2011-07-29,73
2011-07-30,73
2011-07-31,74
2011-08-01,76
2011-08-02,79
2011-08-03,80
2011-08-04,84
2011-08-05,84
2011-08-06,86
2011-08-07,84
2011-08-08,82
2011-08-09,82
2011-08-10,79
2011-08-11,77
2011-08-12,75
2011-08-13,74
2011-08-14,71
2011-08-15,69
2011-08-16,67
2011-08-17,65
2011-08-18,64
2011-08-19,60
2011-08-20,58
2011-08-21,59
2011-08-22,61
2011-08-23,62
2011-08-24,69
2011-08-25,65
2011-08-26,67
2011-08-27,70
2011-08-28,68
2011-08-29,67
2011-08-30,66
2011-08-31,66
2011-09-01,70
2011-09-02,64
2011-09-03,64
2011-09-04,64
2011-09-05,65
2011-09-06,64
2011-09-07,65
2011-09-08,64
2011-09-09,64
2011-09-10,64
2011-09-11,66
2011-09-12,67
2011-09-13,69
2011-09-14,70
2011-09-15,74
2011-09-16,74
2011-09-17,78
2011-09-18,76
2011-09-19,76
2011-09-20,76
2011-09-21,81
2011-09-22,76
2011-09-23,76
2011-09-24,80
2011-09-25,74
2011-09-26,72
2011-09-27,72
2011-09-28,68
2011-09-29,66
2011-09-30,64
2011-10-01,65
2011-10-02,62
2011-10-03,63
2011-10-04,63
2011-10-05,65
2011-10-06,64
2011-10-07,65
2011-10-08,66
2011-10-09,65
2011-10-10,65
2011-10-11,70
2011-10-12,65
2011-10-13,65
2011-10-14,66
2011-10-15,65
2011-10-16,63
2011-10-17,62
2011-10-18,61
2011-10-19,59
2011-10-20,58
2011-10-21,57
2011-10-22,56
2011-10-23,56
2011-10-24,58
2011-10-25,56
2011-10-26,56
2011-10-27,59
2011-10-28,56
2011-10-29,57
2011-10-30,59
2011-10-31,61
2011-11-01,63
2011-11-02,67
2011-11-03,67
2011-11-04,69
2011-11-05,74
2011-11-06,69
2011-11-07,67
2011-11-08,65
2011-11-09,62
2011-11-10,59
2011-11-11,57
2011-11-12,55
2011-11-13,56
2011-11-14,57
2011-11-15,58
2011-11-16,62
2011-11-17,60
2011-11-18,61
2011-11-19,62
2011-11-20,62
2011-11-21,56
2011-11-22,53
2011-11-23,51
2011-11-24,48
2011-11-25,45
2011-11-26,43
2011-11-27,46
2011-11-28,50
2011-11-29,53
2011-11-30,61
2011-12-01,60
2011-12-02,64
2011-12-03,68
2011-12-04,68
2011-12-05,68
2011-12-06,71
2011-12-07,68
2011-12-08,68
2011-12-09,68
2011-12-10,69
2011-12-11,67
2011-12-12,65
2011-12-13,63
2011-12-14,61
2011-12-15,59
2011-12-16,57
2011-12-17,55
2011-12-18,53
2011-12-19,52
2011-12-20,54
2011-12-21,50
2011-12-22,49
2011-12-23,48
2011-12-24,47
2011-12-25,48
2011-12-26,50
2011-12-27,52
2011-12-28,54
2011-12-29,55
2011-12-30,57
2011-12-31,59
2012-01-01,60
2012-01-02,61
2012-01-03,63
2012-01-04,68
2012-01-05,66
2012-01-06,67
2012-01-07,69
2012-01-08,71
2012-01-09,73
2012-01-10,75
2012-01-11,80
2012-01-12,79
2012-01-13,88
2012-01-14,83
2012-01-15,82
2012-01-16,81
2012-01-17,80
2012-01-18,80
2012-01-19,83
2012-01-20,78
2012-01-21,78
2012-01-22,83
2012-01-23,79
2012-01-24,81
2012-01-25,82
2012-01-26,80
2012-01-27,81
2012-01-28,82
2012-01-29,84
2012-01-30,78
2012-01-31,76
2012-02-01,75
2012-02-02,73
2012-02-03,71
2012-02-04,73
2012-02-05,68
2012-02-06,66
2012-02-07,66
2012-02-08,62
2012-02-09,60
2012-02-10,58
2012-02-11,57
2012-02-12,60
2012-02-13,63
2012-02-14,66
2012-02-15,71
2012-02-16,72
2012-02-17,79
2012-02-18,78
2012-02-19,76
2012-02-20,74
2012-02-21,73
2012-02-22,71
2012-02-23,72
2012-02-24,68
2012-02-25,67
2012-02-26,69
2012-02-27,68
2012-02-28,68
2012-02-29,69
2012-03-01,72
2012-03-02,70
2012-03-03,71
2012-03-04,72
2012-03-05,74
2012-03-06,76
2012-03-07,77
2012-03-08,79
2012-03-09,82
2012-03-10,86
2012-03-11,86
2012-03-12,87
2012-03-13,90
2012-03-14,91
2012-03-15,93
2012-03-16,103
2012-03-17,97
2012-03-18,94
2012-03-19,91
2012-03-20,91
2012-03-21,89
2012-03-22,83
2012-03-23,85
2012-03-24,81
2012-03-25,76
2012-03-26,74
2012-03-27,76
2012-03-28,77
2012-03-29,70
2012-03-30,70
2012-03-31,67
2012-04-01,70
2012-04-02,73
2012-04-03,77
2012-04-04,80
2012-04-05,91
2012-04-06,87
2012-04-07,95
2012-04-08,87
2012-04-09,83
2012-04-10,80
2012-04-11,82
2012-04-12,73
2012-04-13,69
2012-04-14,69
2012-04-15,71
2012-04-16,72
2012-04-17,75
2012-04-18,79
2012-04-19,81
2012-04-20,88
2012-04-21,87
2012-04-22,87
2012-04-23,88
2012-04-24,93
2012-04-25,89
2012-04-26,89
2012-04-27,99
2012-04-28,91
2012-04-29,88
2012-04-30,86
