Date,PTC Therapeutics
2013-05-28,92
2013-05-29,93
2013-05-30,95
2013-05-31,96
2013-06-01,98
2013-06-02,96
2013-06-03,95
2013-06-04,94
2013-06-05,93
2013-06-06,92
2013-06-07,91
2013-06-08,90
2013-06-09,88
2013-06-10,87
2013-06-11,86
2013-06-12,85
2013-06-13,84
2013-06-14,83
2013-06-15,82
2013-06-16,81
2013-06-17,79
2013-06-18,78
2013-06-19,77
2013-06-20,76
2013-06-21,75
2013-06-22,74
2013-06-23,73
2013-06-24,72
2013-06-25,71
2013-06-26,70
2013-06-27,69
2013-06-28,67
2013-06-29,66
2013-06-30,65
2013-07-01,64
2013-07-02,65
2013-07-03,66
2013-07-04,67
2013-07-05,68
2013-07-06,69
2013-07-07,70
2013-07-08,72
2013-07-09,73
2013-07-10,74
2013-07-11,75
2013-07-12,76
2013-07-13,77
2013-07-14,79
2013-07-15,82
2013-07-16,84
2013-07-17,85
2013-07-18,87
2013-07-19,90
2013-07-20,95
2013-07-21,87
2013-07-22,88
2013-07-23,89
2013-07-24,90
2013-07-25,91
2013-07-26,93
2013-07-27,94
2013-07-28,95
2013-08-04,97
2013-08-05,96
2013-08-06,96
2013-08-07,95
2013-08-08,94
2013-08-09,93
2013-08-10,93
2013-08-11,92
2013-08-12,94
2013-08-13,93
2013-08-14,93
2013-08-15,93
2013-08-16,94
2013-08-17,97
2013-08-18,86
2013-08-19,86
2013-08-20,85
2013-08-21,84
2013-08-22,83
2013-08-23,82
2013-08-24,82
2013-08-25,81
2013-08-26,80
2013-08-27,79
2013-08-28,79
2013-08-29,78
2013-08-30,77
2013-08-31,76
2013-09-01,76
2013-09-02,75
2013-09-03,75
2013-09-04,75
2013-09-05,75
2013-09-06,75
2013-09-07,75
2013-09-08,75
2013-09-09,74
2013-09-10,74
2013-09-11,74
2013-09-12,74
2013-09-13,74
2013-09-14,74
2013-09-15,74
2013-09-16,80
2013-09-17,73
2013-09-18,73
2013-09-19,73
2013-09-20,73
2013-09-21,73
2013-09-22,73
2013-09-23,75
2013-09-24,75
2013-09-25,75
2013-09-26,76
2013-09-27,77
2013-09-28,80
2013-09-29,72
2013-09-30,72
2013-10-01,72
2013-10-02,71
2013-10-03,70
2013-10-04,70
2013-10-05,69
2013-10-06,68
2013-10-07,68
2013-10-08,67
2013-10-09,67
2013-10-10,66
2013-10-11,65
2013-10-12,65
2013-10-13,64
2013-10-14,64
2013-10-15,63
2013-10-16,62
2013-10-17,62
2013-10-18,61
2013-10-19,60
2013-10-20,60
2013-10-21,59
2013-10-22,59
2013-10-23,58
2013-10-24,57
2013-10-25,57
2013-10-26,56
2013-10-27,56
2013-11-01,53
2013-11-02,53
2013-11-03,53
2013-11-04,53
2013-11-05,53
2013-11-06,53
2013-11-07,53
2013-11-08,53
2013-11-09,53
2013-11-10,53
2013-11-11,53
2013-11-12,53
2013-11-13,53
2013-11-14,53
2013-11-15,53
2013-11-16,53
2013-11-17,53
2013-11-18,53
2013-11-19,53
2013-11-20,53
2013-11-21,53
2013-11-22,53
2013-11-23,53
2013-11-24,53
2013-11-25,53
2013-11-26,53
2013-11-27,53
2013-11-28,53
2013-11-29,53
2013-11-30,53
2013-12-01,54
2013-12-02,54
2013-12-03,55
2013-12-04,55
2013-12-05,56
2013-12-06,56
2013-12-07,57
2013-12-08,57
2013-12-09,58
2013-12-10,58
2013-12-11,59
2013-12-12,59
2013-12-13,60
2013-12-14,60
2013-12-15,61
2013-12-16,61
2013-12-17,62
2013-12-18,62
2013-12-19,63
2013-12-20,63
2013-12-21,64
2013-12-22,64
2013-12-23,65
2013-12-24,65
2013-12-25,66
2013-12-26,66
2013-12-27,67
2013-12-28,67
2013-12-29,68
2013-12-30,68
2013-12-31,69
2014-01-01,70
2014-01-02,70
2014-01-03,71
2014-01-04,71
2014-01-05,72
2014-01-06,72
2014-01-07,73
2014-01-08,74
2014-01-09,74
2014-01-10,75
2014-01-11,75
2014-01-12,76
2014-01-13,76
2014-01-14,77
2014-01-15,78
2014-01-16,78
2014-01-17,79
2014-01-18,79
2014-01-19,80
2014-01-20,81
2014-01-21,81
2014-01-22,82
2014-01-23,82
2014-01-24,83
2014-01-25,83
2014-01-26,84
2014-01-27,85
2014-01-28,85
2014-01-29,86
2014-01-30,86
2014-01-31,87
2014-02-01,88
