Date,Extended Stay America
2013-08-23,36
2013-08-24,37
2013-08-25,40
2013-08-26,44
2013-08-27,48
2013-08-28,52
2013-08-29,55
2013-08-30,59
2013-08-31,63
2013-09-01,61
2013-09-02,58
2013-09-03,56
2013-09-04,53
2013-09-05,51
2013-09-06,49
2013-09-07,47
2013-09-08,44
2013-09-09,42
2013-09-10,40
2013-09-11,37
2013-09-12,35
2013-09-13,33
2013-09-14,31
2013-09-15,34
2013-09-16,38
2013-09-17,42
2013-09-18,45
2013-09-19,49
2013-09-20,53
2013-09-21,57
2013-09-22,55
2013-09-23,54
2013-09-24,53
2013-09-25,52
2013-09-26,50
2013-09-27,49
2013-09-28,48
2013-09-29,46
2013-10-06,36
2013-10-07,36
2013-10-08,36
2013-10-09,36
2013-10-10,36
2013-10-11,36
2013-10-12,36
2013-10-13,38
2013-10-14,41
2013-10-15,44
2013-10-16,46
2013-10-17,49
2013-10-18,52
2013-10-19,55
2013-10-20,55
2013-10-21,55
2013-10-22,55
2013-10-23,55
2013-10-24,55
2013-10-25,55
2013-10-26,56
2013-10-27,53
2013-10-28,51
2013-10-29,48
2013-10-30,46
2013-10-31,43
2013-11-01,41
2013-11-02,39
2013-11-03,40
2013-11-04,42
2013-11-05,44
2013-11-06,46
2013-11-07,47
2013-11-08,49
2013-11-09,51
2013-11-10,49
2013-11-11,47
2013-11-12,45
2013-11-13,43
2013-11-14,41
2013-11-15,39
2013-11-16,37
2013-11-17,38
2013-11-18,39
2013-11-19,40
2013-11-20,41
2013-11-21,42
2013-11-22,43
2013-11-23,44
2013-11-24,41
2013-11-25,37
2013-11-26,34
2013-11-27,31
2013-11-28,28
2013-11-29,25
2013-11-30,22
2013-12-01,24
2013-12-02,26
2013-12-03,29
2013-12-04,31
2013-12-05,34
2013-12-06,36
2013-12-07,39
2013-12-08,38
2013-12-09,37
2013-12-10,36
2013-12-11,35
2013-12-12,34
2013-12-13,33
2013-12-14,32
2013-12-15,33
2013-12-16,34
2013-12-17,35
2013-12-18,36
2013-12-19,37
2013-12-20,38
2013-12-21,40
2013-12-22,41
2013-12-23,42
2013-12-24,43
2013-12-25,44
2013-12-26,45
2013-12-27,46
2013-12-28,47
2013-12-29,46
2014-01-05,47
2014-01-06,49
2014-01-07,51
2014-01-08,54
2014-01-09,56
2014-01-10,58
2014-01-11,61
2014-01-12,59
2014-01-13,58
2014-01-14,57
2014-01-15,55
2014-01-16,54
2014-01-17,53
2014-01-18,52
2014-01-19,52
2014-01-20,54
2014-01-21,55
2014-01-22,55
2014-01-23,56
2014-01-24,57
2014-01-25,58
2014-01-26,56
2014-01-27,52
2014-01-28,50
2014-01-29,47
2014-01-30,45
2014-01-31,42
2014-02-01,40
2014-02-02,42
2014-02-03,44
2014-02-04,46
2014-02-05,48
2014-02-06,50
2014-02-07,52
2014-02-08,54
2014-02-09,54
2014-02-10,52
2014-02-11,52
2014-02-12,51
2014-02-13,51
2014-02-14,50
2014-02-15,50
2014-02-16,49
2014-02-17,48
2014-02-18,47
2014-02-19,46
2014-02-20,45
2014-02-21,44
2014-02-22,44
2014-02-23,44
