Date,Equallogic
2009-03-16,17
2009-03-17,17
2009-03-18,17
2009-03-19,16
2009-03-20,15
2009-03-21,15
2009-03-22,15
2009-03-23,16
2009-03-24,18
2009-03-25,18
2009-03-26,19
2009-03-27,22
2009-03-28,21
2009-03-29,20
2009-03-30,19
2009-03-31,18
2009-04-01,18
2009-04-02,17
2009-04-03,17
2009-04-04,16
2009-04-05,15
2009-04-06,15
2009-04-07,15
2009-04-08,15
2009-04-09,14
2009-04-10,14
2009-04-11,14
2009-04-12,14
2009-04-13,15
2009-04-14,16
2009-04-15,16
2009-04-16,16
2009-04-17,18
2009-04-18,18
2009-04-19,18
2009-04-20,18
2009-04-21,18
2009-04-22,18
2009-04-23,18
2009-04-24,18
2009-04-25,18
2009-04-26,17
2009-04-27,16
2009-04-28,16
2009-04-29,16
2009-04-30,15
2009-05-01,14
2009-05-02,14
2009-05-03,14
2009-05-04,14
2009-05-05,15
2009-05-06,15
2009-05-07,16
2009-05-08,16
2009-05-09,18
2009-05-10,16
2009-05-11,16
2009-05-12,15
2009-05-13,16
2009-05-14,14
2009-05-15,14
2009-05-16,14
2009-05-17,14
2009-05-18,14
2009-05-19,14
2009-05-20,14
2009-05-21,14
2009-05-22,14
2009-05-23,15
2009-05-24,15
2009-05-25,16
2009-05-26,17
2009-05-27,17
2009-05-28,18
2009-05-29,20
2009-05-30,20
2009-05-31,19
2009-06-01,18
2009-06-02,18
2009-06-03,17
2009-06-04,17
2009-06-05,17
2009-06-06,16
2009-06-07,16
2009-06-08,17
2009-06-09,18
2009-06-10,19
2009-06-11,20
2009-06-12,23
2009-06-13,23
2009-06-14,22
2009-06-15,22
2009-06-16,22
2009-06-17,23
2009-06-18,23
2009-06-19,23
2009-06-20,24
2009-06-21,23
2009-06-22,22
2009-06-23,21
2009-06-24,20
2009-06-25,19
2009-06-26,19
2009-06-27,18
2009-06-28,18
2009-06-29,18
2009-06-30,18
