Date,BGC Partners
2008-01-20,74
2008-01-21,73
2008-01-22,72
2008-01-23,70
2008-01-24,69
2008-01-25,68
2008-01-26,66
2008-01-27,65
2008-01-28,64
2008-01-29,62
2008-01-30,61
2008-01-31,60
2008-02-01,59
2008-02-02,59
2008-02-03,60
2008-02-04,60
2008-02-05,61
2008-02-06,61
2008-02-07,62
2008-02-08,62
2008-02-09,63
2008-02-10,63
2008-02-11,64
2008-02-12,65
2008-02-13,65
2008-02-14,66
2008-02-15,66
2008-02-16,67
2008-02-17,67
2008-02-18,68
2008-02-19,68
2008-02-20,69
2008-02-21,70
2008-02-22,70
2008-02-23,71
2008-02-24,71
2008-02-25,72
2008-02-26,72
2008-02-27,73
2008-02-28,73
2008-02-29,74
2008-03-01,75
2008-03-02,75
2008-03-03,75
2008-03-04,75
2008-03-05,76
2008-03-06,76
2008-03-07,76
2008-03-08,77
2008-03-09,77
2008-03-10,77
2008-03-11,77
2008-03-12,78
2008-03-13,78
2008-03-14,78
2008-03-15,79
2008-03-16,79
2008-03-17,79
2008-03-18,79
2008-03-19,80
2008-03-20,80
2008-03-21,80
2008-03-22,81
2008-03-23,81
2008-03-24,81
2008-03-25,81
2008-03-26,82
2008-03-27,82
2008-03-28,82
2008-03-29,83
2008-03-30,83
2008-03-31,83
2008-04-01,84
2008-04-02,84
2008-04-03,84
2008-04-04,84
2008-04-05,84
2008-04-06,84
2008-04-07,84
2008-04-08,84
2008-04-09,84
2008-04-10,84
2008-04-11,84
2008-04-12,84
2008-04-13,84
2008-04-14,84
2008-04-15,84
2008-04-16,84
2008-04-17,84
2008-04-18,84
2008-04-19,84
2008-04-20,84
2008-04-21,84
2008-04-22,84
2008-04-23,84
2008-04-24,84
2008-04-25,84
2008-04-26,84
2008-04-27,84
2008-04-28,84
2008-04-29,84
2008-04-30,84
2008-05-04,84
2008-05-05,85
2008-05-06,85
2008-05-07,85
2008-05-08,86
2008-05-09,86
2008-05-10,86
2008-05-11,86
2008-05-12,87
2008-05-13,87
2008-05-14,87
2008-05-15,88
