Date,Green Dot
2009-12-12,59
2009-12-13,56
2009-12-14,56
2009-12-15,54
2009-12-16,56
2009-12-17,53
2009-12-18,55
2009-12-19,52
2009-12-20,54
2009-12-21,51
2009-12-22,51
2009-12-23,54
2009-12-24,51
2009-12-25,52
2009-12-26,51
2009-12-27,53
2009-12-28,52
2009-12-29,53
2009-12-30,56
2009-12-31,55
2010-01-01,57
2010-01-02,60
2010-01-03,56
2010-01-04,55
2010-01-05,58
2010-01-06,55
2010-01-07,54
2010-01-08,56
2010-01-09,53
2010-01-10,53
2010-01-11,53
2010-01-12,52
2010-01-13,52
2010-01-14,51
2010-01-15,51
2010-01-16,53
2010-01-17,50
2010-01-18,50
2010-01-19,50
2010-01-20,50
2010-01-21,48
2010-01-22,48
2010-01-23,48
2010-01-24,50
2010-01-25,51
2010-01-26,53
2010-01-27,54
2010-01-28,57
2010-01-29,58
2010-01-30,60
2010-01-31,64
2010-02-01,62
2010-02-02,63
2010-02-03,69
2010-02-04,65
2010-02-05,68
2010-02-06,69
2010-02-07,68
2010-02-08,68
2010-02-09,66
2010-02-10,67
2010-02-11,65
2010-02-12,64
2010-02-13,64
2010-02-14,65
2010-02-15,66
2010-02-16,68
2010-02-17,68
2010-02-18,70
2010-02-19,70
2010-02-20,71
2010-02-21,74
2010-02-22,69
2010-02-23,69
2010-02-24,70
2010-02-25,67
2010-02-26,66
2010-02-27,67
2010-02-28,67
2010-03-01,68
2010-03-02,69
2010-03-03,73
2010-03-04,71
2010-03-05,72
2010-03-06,75
2010-03-07,73
2010-03-08,73
2010-03-09,72
2010-03-10,72
2010-03-11,71
2010-03-12,74
2010-03-13,71
2010-03-14,72
2010-03-15,69
2010-03-16,69
2010-03-17,73
2010-03-18,68
2010-03-19,67
2010-03-20,67
2010-03-21,70
2010-03-22,64
2010-03-23,63
2010-03-24,67
2010-03-25,61
2010-03-26,60
2010-03-27,63
2010-03-28,60
2010-03-29,62
2010-03-30,64
2010-03-31,66
2010-05-01,72
2010-05-02,75
2010-05-03,70
2010-05-04,74
2010-05-05,69
2010-05-06,73
2010-05-07,68
2010-05-08,68
2010-05-09,71
2010-05-10,68
2010-05-11,69
2010-05-12,68
2010-05-13,68
2010-05-14,68
2010-05-15,69
2010-05-16,70
2010-05-17,65
2010-05-18,63
2010-05-19,62
2010-05-20,60
2010-05-21,59
2010-05-22,60
2010-05-23,57
2010-05-24,57
2010-05-25,56
2010-05-26,55
2010-05-27,54
2010-05-28,54
2010-05-29,53
2010-05-30,57
2010-05-31,55
2010-06-01,57
2010-06-02,58
2010-06-03,60
2010-06-04,61
2010-06-05,63
2010-06-06,68
2010-06-07,62
2010-06-08,62
2010-06-09,63
2010-06-10,60
2010-06-11,60
2010-06-12,61
2010-06-13,62
2010-06-14,60
2010-06-15,60
2010-06-16,60
2010-06-17,64
2010-06-18,60
2010-06-19,65
2010-06-20,61
2010-06-21,62
2010-06-22,63
2010-06-23,63
2010-06-24,67
2010-06-25,65
2010-06-26,67
2010-06-27,69
2010-06-28,67
2010-06-29,67
2010-06-30,68
2010-07-01,68
2010-07-02,69
2010-07-03,70
2010-07-04,77
2010-07-05,71
2010-07-06,71
2010-07-07,73
2010-07-08,73
2010-07-09,73
2010-07-10,76
2010-07-11,75
2010-07-12,73
2010-07-13,72
2010-07-14,71
2010-07-15,71
2010-07-16,70
2010-07-17,72
2010-07-18,72
2010-07-19,75
2010-07-20,77
2010-07-21,80
2010-07-22,82
2010-07-23,91
2010-07-24,88
2010-07-25,88
2010-07-26,84
2010-07-27,82
2010-07-28,80
2010-07-29,80
2010-07-30,76
2010-07-31,76
2010-08-01,73
2010-08-02,73
2010-08-03,71
2010-08-04,72
2010-08-05,70
2010-08-06,69
2010-08-07,69
2010-08-08,74
2010-08-09,68
2010-08-10,68
2010-08-11,68
2010-08-12,68
2010-08-13,68
2010-08-14,70
2010-08-15,72
2010-08-16,68
2010-08-17,69
2010-08-18,71
2010-08-19,70
2010-08-20,70
2010-08-21,72
2010-08-22,74
2010-08-23,71
2010-08-24,71
2010-08-25,74
2010-08-26,72
2010-08-27,72
2010-08-28,75
2010-08-29,73
2010-08-30,69
2010-08-31,67
2010-09-01,66
2010-09-02,65
2010-09-03,62
2010-09-04,61
2010-09-05,62
2010-09-06,64
2010-09-07,63
2010-09-08,64
2010-09-09,65
2010-09-10,68
2010-09-11,68
2010-09-12,67
2010-09-13,69
2010-09-14,69
2010-09-15,69
2010-09-16,70
2010-09-17,71
2010-09-18,72
2010-09-19,76
2010-09-20,69
2010-09-21,68
2010-09-22,66
2010-09-23,68
2010-09-24,64
2010-09-25,64
2010-09-26,65
2010-09-27,66
2010-09-28,67
2010-09-29,71
2010-09-30,72
2010-10-01,72
2010-10-02,75
2010-10-03,75
2010-10-04,71
2010-10-05,69
2010-10-06,68
2010-10-07,69
2010-10-08,65
2010-10-09,64
2010-10-10,64
2010-10-11,65
2010-10-12,65
2010-10-13,67
2010-10-14,66
2010-10-15,66
2010-10-16,69
2010-10-17,71
2010-10-18,65
2010-10-19,65
2010-10-20,64
2010-10-21,64
2010-10-22,63
2010-10-23,63
2010-10-24,66
2010-10-25,62
2010-10-26,61
2010-10-27,61
2010-10-28,60
2010-10-29,61
2010-10-30,60
2010-10-31,62
2010-11-01,62
2010-11-02,64
2010-11-03,64
2010-11-04,65
2010-11-05,67
2010-11-06,72
2010-11-07,67
2010-11-08,67
2010-11-09,66
2010-11-10,69
2010-11-11,66
2010-11-12,65
2010-11-13,65
2010-11-14,67
2010-11-15,64
2010-11-16,64
2010-11-17,64
2010-11-18,65
2010-11-19,64
2010-11-20,65
2010-11-21,65
2010-11-22,64
2010-11-23,62
2010-11-24,62
2010-11-25,65
2010-11-26,61
2010-11-27,61
2010-11-28,64
2010-11-29,63
2010-11-30,65
2010-12-01,66
2010-12-02,68
2010-12-03,69
2010-12-04,72
2010-12-05,77
2010-12-06,71
2010-12-07,72
2010-12-08,72
2010-12-09,73
2010-12-10,73
2010-12-11,74
2010-12-12,76
2010-12-13,73
2010-12-14,75
2010-12-15,73
2010-12-16,76
2010-12-17,73
2010-12-18,76
2010-12-19,76
2010-12-20,75
2010-12-21,78
2010-12-22,78
2010-12-23,80
2010-12-24,82
2010-12-25,85
2010-12-26,85
2010-12-27,87
2010-12-28,90
2010-12-29,94
2010-12-30,95
2010-12-31,99
2011-01-01,105
2011-01-02,98
2011-01-03,96
2011-01-04,97
2011-01-05,93
2011-01-06,92
2011-01-07,90
2011-01-08,90
2011-01-09,87
2011-01-10,86
2011-01-11,87
2011-01-12,84
2011-01-13,81
2011-01-14,80
2011-01-15,80
2011-01-16,81
2011-01-17,80
2011-01-18,81
2011-01-19,82
2011-01-20,82
2011-01-21,83
2011-01-22,87
2011-01-23,85
2011-01-24,86
2011-01-25,88
2011-01-26,89
2011-01-27,90
2011-01-28,92
2011-01-29,93
2011-01-30,93
2011-01-31,93
2011-02-01,93
2011-02-02,95
2011-02-03,94
2011-02-04,94
2011-02-05,96
2011-02-06,101
2011-02-07,95
2011-02-08,96
2011-02-09,97
2011-02-10,97
2011-02-11,97
2011-02-12,103
2011-02-13,97
2011-02-14,96
2011-02-15,98
2011-02-16,94
2011-02-17,93
2011-02-18,92
2011-02-19,93
2011-02-20,97
2011-02-21,90
2011-02-22,89
2011-02-23,89
2011-02-24,87
2011-02-25,86
2011-02-26,86
2011-02-27,86
2011-02-28,87
2011-03-01,88
2011-03-02,91
2011-03-03,90
2011-03-04,91
2011-03-05,96
2011-03-06,93
2011-03-07,90
2011-03-08,89
2011-03-09,89
2011-03-10,87
2011-03-11,87
2011-03-12,88
2011-03-13,87
2011-03-14,85
2011-03-15,85
2011-03-16,86
2011-03-17,85
2011-03-18,85
2011-03-19,87
2011-03-20,85
2011-03-21,89
2011-03-22,85
2011-03-23,86
2011-03-24,88
2011-03-25,86
2011-03-26,90
2011-03-27,87
2011-03-28,88
2011-03-29,90
2011-03-30,89
2011-03-31,89
2011-05-01,88
2011-05-02,87
2011-05-03,87
2011-05-04,88
2011-05-05,87
2011-05-06,88
2011-05-07,85
2011-05-08,84
2011-05-09,83
2011-05-10,82
2011-05-11,81
2011-05-12,80
2011-05-13,79
2011-05-14,83
2011-05-15,78
2011-05-16,77
2011-05-17,77
2011-05-18,81
2011-05-19,76
2011-05-20,76
2011-05-21,76
2011-05-22,77
2011-05-23,79
2011-05-24,78
2011-05-25,80
2011-05-26,80
2011-05-27,81
2011-05-28,82
2011-05-29,85
2011-05-30,82
2011-05-31,82
2011-06-01,83
2011-06-02,84
2011-06-03,83
2011-06-04,84
2011-06-05,83
2011-06-06,84
2011-06-07,81
2011-06-08,80
2011-06-09,82
2011-06-10,78
2011-06-11,78
2011-06-12,78
2011-06-13,78
2011-06-14,78
2011-06-15,79
2011-06-16,80
2011-06-17,78
2011-06-18,80
2011-06-19,81
2011-06-20,79
2011-06-21,79
2011-06-22,83
2011-06-23,80
2011-06-24,80
2011-06-25,87
2011-06-26,81
2011-06-27,81
2011-06-28,81
2011-06-29,82
2011-06-30,83
2011-07-01,82
2011-07-02,83
2011-07-03,83
2011-07-04,81
2011-07-05,78
2011-07-06,77
2011-07-07,75
2011-07-08,74
2011-07-09,73
2011-07-10,79
2011-07-11,74
2011-07-12,75
2011-07-13,75
2011-07-14,80
2011-07-15,77
2011-07-16,82
2011-07-17,78
2011-07-18,79
2011-07-19,79
2011-07-20,80
2011-07-21,81
2011-07-22,81
2011-07-23,84
2011-07-24,81
2011-07-25,82
2011-07-26,81
2011-07-27,80
2011-07-28,80
2011-07-29,82
2011-07-30,80
2011-07-31,80
