Date,BE Resources
2008-08-13,56
2008-08-14,55
2008-08-15,54
2008-08-16,53
2008-08-17,51
2008-08-18,49
2008-08-19,47
2008-08-20,45
2008-08-21,43
2008-08-22,41
2008-08-23,39
2008-08-24,40
2008-08-25,41
2008-08-26,42
2008-08-27,43
2008-08-28,44
2008-08-29,45
2008-08-30,46
2008-08-31,46
2008-09-01,46
2008-09-02,46
2008-09-03,47
2008-09-04,47
2008-09-05,47
2008-09-06,48
2008-09-07,47
2008-09-08,46
2008-09-09,45
2008-09-10,45
2008-09-11,44
2008-09-12,43
2008-09-13,43
2008-09-14,44
2008-09-15,46
2008-09-16,48
2008-09-17,49
2008-09-18,51
2008-09-19,53
2008-09-20,55
2008-09-21,56
2008-09-22,58
2008-09-23,59
2008-09-24,61
2008-09-25,62
2008-09-26,64
2008-09-27,65
2008-09-28,64
2008-10-05,58
2008-10-06,59
2008-10-07,60
2008-10-08,61
2008-10-09,62
2008-10-10,63
2008-10-11,64
2008-10-12,62
2008-10-13,60
2008-10-14,58
2008-10-15,56
2008-10-16,54
2008-10-17,52
2008-10-18,51
2008-10-19,56
2008-10-20,61
2008-10-21,66
2008-10-22,71
2008-10-23,76
2008-10-24,81
2008-10-25,86
2008-10-26,83
2008-10-27,81
2008-10-28,78
2008-10-29,75
2008-10-30,73
2008-10-31,70
2008-11-01,68
2008-11-02,68
2008-11-03,68
2008-11-04,68
2008-11-05,68
2008-11-06,68
2008-11-07,68
2008-11-08,69
2008-11-09,68
2008-11-10,67
2008-11-11,66
2008-11-12,65
2008-11-13,64
2008-11-14,63
2008-11-15,63
2008-11-16,65
2008-11-17,68
2008-11-18,71
2008-11-19,74
2008-11-20,76
2008-11-21,79
2008-11-22,82
2008-11-23,78
2008-11-24,74
2008-11-25,70
2008-11-26,66
2008-11-27,63
2008-11-28,59
2008-11-29,56
2008-11-30,55
2008-12-01,54
2008-12-02,53
2008-12-03,53
2008-12-04,52
2008-12-05,51
2008-12-06,51
2008-12-07,52
2008-12-08,54
2008-12-09,56
2008-12-10,57
2008-12-11,59
2008-12-12,60
2008-12-13,62
2008-12-14,60
2008-12-15,59
2008-12-16,57
2008-12-17,56
2008-12-18,54
2008-12-19,52
2008-12-20,51
2008-12-21,47
2008-12-22,43
2008-12-23,39
2008-12-24,36
2008-12-25,32
2008-12-26,29
2008-12-27,26
2008-12-28,26
2009-01-01,27
2009-01-02,27
2009-01-03,28
2009-01-04,30
2009-01-05,33
2009-01-06,36
2009-01-07,38
2009-01-08,41
2009-01-09,44
2009-01-10,47
2009-01-11,49
2009-01-12,51
2009-01-13,53
2009-01-14,56
2009-01-15,61
2009-01-16,60
2009-01-17,63
2009-01-18,63
2009-01-19,63
2009-01-20,63
2009-01-21,63
2009-01-22,63
2009-01-23,67
2009-01-24,63
2009-01-25,63
2009-01-26,63
2009-01-27,63
2009-01-28,63
2009-01-29,63
2009-01-30,63
2009-01-31,63
2009-02-01,63
2009-02-02,64
2009-02-03,65
2009-02-04,65
2009-02-05,70
2009-02-06,70
2009-02-07,68
2009-02-08,67
2009-02-09,66
2009-02-10,66
2009-02-11,69
2009-02-12,65
2009-02-13,67
2009-02-14,64
2009-02-15,61
2009-02-16,59
2009-02-17,56
2009-02-18,54
2009-02-19,51
2009-02-20,49
2009-02-21,47
2009-02-22,50
2009-02-23,54
2009-02-24,59
2009-02-25,61
2009-02-26,68
2009-02-27,68
2009-02-28,77
2009-03-01,72
2009-03-02,72
2009-03-03,73
2009-03-04,74
2009-03-05,74
2009-03-06,77
2009-03-07,75
2009-03-08,75
2009-03-09,75
2009-03-10,76
2009-03-11,76
2009-03-12,81
2009-03-13,77
2009-03-14,81
2009-03-15,76
2009-03-16,74
2009-03-17,72
2009-03-18,73
2009-03-19,69
2009-03-20,67
2009-03-21,69
2009-03-22,67
2009-03-23,69
2009-03-24,71
2009-03-25,73
2009-03-26,75
2009-03-27,82
2009-03-28,79
2009-03-29,76
2009-03-30,74
2009-03-31,72
2009-04-01,70
2009-04-02,68
2009-04-03,66
2009-04-04,64
2009-04-05,61
2009-04-06,58
2009-04-07,56
2009-04-08,53
2009-04-09,51
2009-04-10,48
2009-04-11,46
2009-04-12,48
2009-04-13,50
2009-04-14,52
2009-04-15,56
2009-04-16,56
2009-04-17,58
2009-04-18,60
2009-04-19,61
2009-04-20,62
2009-04-21,65
2009-04-22,65
2009-04-23,67
2009-04-24,69
2009-04-25,70
2009-04-26,68
2009-04-27,66
2009-04-28,64
2009-04-29,62
2009-04-30,60
2009-05-01,58
2009-05-02,56
2009-05-03,60
2009-05-04,65
2009-05-05,72
2009-05-06,74
2009-05-07,85
2009-05-08,84
2009-05-09,89
2009-05-10,89
2009-05-11,90
2009-05-12,97
2009-05-13,92
2009-05-14,93
2009-05-15,101
2009-05-16,95
2009-05-17,89
2009-05-18,84
2009-05-19,79
2009-05-20,78
2009-05-21,68
2009-05-22,63
2009-05-23,58
2009-05-24,61
2009-05-25,64
2009-05-26,67
2009-05-27,72
2009-05-28,73
2009-05-29,76
2009-05-30,82
2009-05-31,79
2009-06-01,78
2009-06-02,78
2009-06-03,76
2009-06-04,75
2009-06-05,77
2009-06-06,74
2009-06-07,73
2009-06-08,72
2009-06-09,72
2009-06-10,71
2009-06-11,70
2009-06-12,69
2009-06-13,69
2009-06-14,70
2009-06-15,71
2009-06-16,72
2009-06-17,73
2009-06-18,74
2009-06-19,82
2009-06-20,77
2009-06-21,77
2009-06-22,77
2009-06-23,79
2009-06-24,77
2009-06-25,77
2009-06-26,77
2009-06-27,77
2009-06-28,72
2009-06-29,68
2009-06-30,63
2009-07-01,59
2009-07-02,54
2009-07-03,50
2009-07-04,46
2009-07-05,48
2009-07-06,50
2009-07-07,52
2009-07-08,55
2009-07-09,58
2009-07-10,63
2009-07-11,62
2009-07-12,61
2009-07-13,61
2009-07-14,60
2009-07-15,60
2009-07-16,59
2009-07-17,59
2009-07-18,59
2009-07-19,58
2009-07-20,58
2009-07-21,58
2009-07-22,57
2009-07-23,60
2009-07-24,57
2009-07-25,57
2009-07-26,54
2009-07-27,51
2009-07-28,48
2009-07-29,46
2009-07-30,43
2009-07-31,40
2009-08-01,38
2009-08-02,39
2009-08-03,41
2009-08-04,43
2009-08-05,44
2009-08-06,46
2009-08-07,48
2009-08-08,50
2009-08-09,50
2009-08-10,51
2009-08-11,52
2009-08-12,54
2009-08-13,53
2009-08-14,54
2009-08-15,55
2009-08-16,54
2009-08-17,53
2009-08-18,52
2009-08-19,51
2009-08-20,50
2009-08-21,49
2009-08-22,48
2009-08-23,52
2009-08-24,57
2009-08-25,62
2009-08-26,69
2009-08-27,74
2009-08-28,76
2009-08-29,81
2009-08-30,77
2009-08-31,73
2009-09-01,70
2009-09-02,66
2009-09-03,63
2009-09-04,60
2009-09-05,56
2009-09-06,59
2009-09-07,62
2009-09-08,68
2009-09-09,68
2009-09-10,71
2009-09-11,77
2009-09-12,77
2009-09-13,77
2009-09-14,77
2009-09-15,77
2009-09-16,77
2009-09-17,84
2009-09-18,78
2009-09-19,78
2009-09-20,79
2009-09-21,80
2009-09-22,81
2009-09-23,93
2009-09-24,84
2009-09-25,85
2009-09-26,87
2009-09-27,86
2009-09-28,85
2009-09-29,89
2009-09-30,84
2009-10-01,83
2009-10-02,85
2009-10-03,82
2009-10-04,82
2009-10-05,83
2009-10-06,84
2009-10-07,85
2009-10-08,86
2009-10-09,87
2009-10-10,91
2009-10-11,85
2009-10-12,82
2009-10-13,83
2009-10-14,76
2009-10-15,78
2009-10-16,70
2009-10-17,69
2009-10-18,68
2009-10-19,69
2009-10-20,70
2009-10-21,71
2009-10-22,72
2009-10-23,75
2009-10-24,74
2009-10-25,73
2009-10-26,73
2009-10-27,76
2009-10-28,72
2009-10-29,73
2009-10-30,76
2009-10-31,72
2009-11-01,74
2009-11-02,76
2009-11-03,78
2009-11-04,86
2009-11-05,82
2009-11-06,84
2009-11-07,86
2009-11-08,88
2009-11-09,90
2009-11-10,93
2009-11-11,94
2009-11-12,96
2009-11-13,107
2009-11-14,100
2009-11-15,98
2009-11-16,96
2009-11-17,95
2009-11-18,98
2009-11-19,92
2009-11-20,90
2009-11-21,91
2009-11-22,87
2009-11-23,81
2009-11-24,77
2009-11-25,77
2009-11-26,70
2009-11-27,66
2009-11-28,63
2009-11-29,65
2009-11-30,67
2009-12-01,74
2009-12-02,73
2009-12-03,75
2009-12-04,81
2009-12-05,80
2009-12-06,78
2009-12-07,77
2009-12-08,76
2009-12-09,74
2009-12-10,77
2009-12-11,72
2009-12-12,71
2009-12-13,69
2009-12-14,68
2009-12-15,69
2009-12-16,66
2009-12-17,68
2009-12-18,64
2009-12-19,63
2009-12-20,57
2009-12-21,52
2009-12-22,47
2009-12-23,41
2009-12-24,36
2009-12-25,31
2009-12-26,26
2009-12-27,27
2009-12-28,28
2009-12-29,29
2009-12-30,30
2009-12-31,31
