Date,Fusion-io
2011-05-12,19
2011-05-13,19
2011-05-14,21
2011-05-15,20
2011-05-16,20
2011-05-17,21
2011-05-18,23
2011-05-19,22
2011-05-20,23
2011-05-21,23
2011-05-22,24
2011-05-23,26
2011-05-24,27
2011-05-25,29
2011-05-26,33
2011-05-27,32
2011-05-28,34
2011-05-29,33
2011-05-30,32
2011-05-31,32
2011-06-01,31
2011-06-02,32
2011-06-03,30
2011-06-04,32
2011-06-05,40
2011-06-06,50
2011-06-07,60
2011-06-08,73
2011-06-09,80
2011-06-10,99
2011-06-11,115
2011-06-12,95
2011-06-13,84
2011-06-14,79
2011-06-15,68
2011-06-16,65
2011-06-17,53
2011-06-18,45
2011-06-19,42
2011-06-20,40
2011-06-21,38
2011-06-22,35
2011-06-23,35
2011-06-24,30
2011-06-25,28
2011-06-26,28
2011-06-27,28
2011-06-28,28
2011-06-29,29
2011-06-30,32
2011-07-01,29
2011-07-02,30
2011-07-03,29
2011-07-04,28
2011-07-05,27
2011-07-06,27
2011-07-07,25
2011-07-08,24
2011-07-09,23
2011-07-10,23
2011-07-11,24
2011-07-12,24
2011-07-13,26
2011-07-14,25
2011-07-15,26
2011-07-16,29
2011-07-17,27
2011-07-18,27
2011-07-19,27
2011-07-20,29
2011-07-21,27
2011-07-22,29
2011-07-23,28
2011-07-24,27
2011-07-25,27
2011-07-26,27
2011-07-27,26
2011-07-28,26
2011-07-29,29
2011-07-30,26
2011-07-31,26
2011-08-01,27
2011-08-02,29
2011-08-03,28
2011-08-04,29
2011-08-05,29
2011-08-06,32
2011-08-07,30
2011-08-08,30
2011-08-09,32
2011-08-10,33
2011-08-11,31
2011-08-12,33
2011-08-13,32
2011-08-14,30
2011-08-15,29
2011-08-16,28
2011-08-17,26
2011-08-18,27
2011-08-19,24
2011-08-20,23
2011-08-21,24
2011-08-22,25
2011-08-23,26
2011-08-24,29
2011-08-25,30
2011-08-26,30
2011-08-27,37
2011-08-28,31
2011-08-29,30
2011-08-30,29
2011-08-31,29
2011-09-01,27
2011-09-02,26
2011-09-03,28
2011-09-04,25
2011-09-05,24
2011-09-06,23
2011-09-07,23
2011-09-08,23
2011-09-09,21
2011-09-10,22
2011-09-11,21
2011-09-12,21
2011-09-13,21
2011-09-14,21
2011-09-15,21
2011-09-16,21
2011-09-17,21
2011-09-18,21
2011-09-19,22
2011-09-20,24
2011-09-21,24
2011-09-22,25
2011-09-23,28
2011-09-24,27
2011-09-25,27
2011-09-26,27
2011-09-27,29
2011-09-28,28
2011-09-29,30
2011-09-30,29
2011-10-01,30
2011-10-02,31
2011-10-03,33
2011-10-04,34
2011-10-05,40
2011-10-06,37
2011-10-07,45
2011-10-08,44
2011-10-09,39
2011-10-10,37
2011-10-11,35
2011-10-12,33
2011-10-13,34
2011-10-14,29
2011-10-15,30
2011-10-16,27
2011-10-17,28
2011-10-18,29
2011-10-19,29
2011-10-20,30
2011-10-21,32
2011-10-22,34
2011-10-23,32
2011-10-24,33
2011-10-25,34
2011-10-26,35
2011-10-27,38
2011-10-28,36
2011-10-29,39
2011-10-30,36
2011-10-31,36
2011-11-01,36
2011-11-02,36
2011-11-03,36
2011-11-04,36
2011-11-05,40
2011-11-06,37
2011-11-07,34
2011-11-08,33
2011-11-09,32
2011-11-10,31
2011-11-11,33
2011-11-12,30
2011-11-13,32
2011-11-14,34
2011-11-15,38
2011-11-16,38
2011-11-17,41
2011-11-18,42
2011-11-19,50
2011-11-20,41
2011-11-21,39
2011-11-22,36
2011-11-23,39
2011-11-24,32
2011-11-25,29
2011-11-26,27
2011-11-27,27
2011-11-28,27
2011-11-29,27
2011-11-30,28
2011-12-01,27
2011-12-02,28
2011-12-03,28
2011-12-04,28
2011-12-05,28
2011-12-06,28
2011-12-07,28
2011-12-08,29
2011-12-09,28
2011-12-10,32
2011-12-11,28
2011-12-12,28
2011-12-13,29
2011-12-14,29
2011-12-15,32
2011-12-16,31
2011-12-17,33
2011-12-18,29
2011-12-19,28
2011-12-20,27
2011-12-21,28
2011-12-22,26
2011-12-23,24
2011-12-24,23
2011-12-25,21
2011-12-26,20
2011-12-27,19
2011-12-28,17
2011-12-29,16
2011-12-30,15
2011-12-31,14
2012-01-01,16
2012-01-02,18
2012-01-03,20
2012-01-04,22
2012-01-05,24
2012-01-06,26
2012-01-07,31
2012-01-08,31
2012-01-09,28
2012-01-10,28
2012-01-11,28
2012-01-12,29
2012-01-13,28
2012-01-14,28
2012-01-15,28
2012-01-16,28
2012-01-17,28
2012-01-18,29
2012-01-19,28
2012-01-20,30
2012-01-21,28
2012-01-22,28
2012-01-23,29
2012-01-24,30
2012-01-25,30
2012-01-26,31
2012-01-27,32
2012-01-28,35
2012-01-29,32
2012-01-30,31
2012-01-31,31
2012-02-01,31
2012-02-02,30
2012-02-03,30
2012-02-04,29
2012-02-05,29
2012-02-06,30
2012-02-07,32
2012-02-08,31
2012-02-09,33
2012-02-10,32
2012-02-11,33
2012-02-12,33
2012-02-13,33
2012-02-14,35
2012-02-15,34
2012-02-16,34
2012-02-17,34
2012-02-18,40
2012-02-19,34
2012-02-20,33
2012-02-21,32
2012-02-22,32
2012-02-23,30
2012-02-24,29
2012-02-25,28
2012-02-26,28
2012-02-27,29
2012-02-28,30
2012-02-29,33
2012-03-01,31
2012-03-02,33
2012-03-03,35
2012-03-04,32
2012-03-05,32
2012-03-06,32
2012-03-07,33
2012-03-08,32
2012-03-09,33
2012-03-10,32
2012-03-11,31
2012-03-12,31
2012-03-13,31
2012-03-14,30
2012-03-15,31
2012-03-16,29
2012-03-17,33
2012-03-18,28
2012-03-19,28
2012-03-20,27
2012-03-21,28
2012-03-22,27
2012-03-23,27
2012-03-24,26
2012-03-25,25
2012-03-26,25
2012-03-27,25
2012-03-28,24
2012-03-29,24
2012-03-30,26
2012-03-31,25
2012-04-01,23
2012-04-02,22
2012-04-03,22
2012-04-04,21
2012-04-05,21
2012-04-06,21
2012-04-07,20
2012-04-08,21
2012-04-09,22
2012-04-10,23
2012-04-11,24
2012-04-12,25
2012-04-13,26
2012-04-14,28
2012-04-15,27
2012-04-16,28
2012-04-17,29
2012-04-18,32
2012-04-19,31
2012-04-20,32
2012-04-21,37
2012-04-22,33
2012-04-23,33
2012-04-24,33
2012-04-25,35
2012-04-26,33
2012-04-27,34
2012-04-28,34
2012-04-29,32
2012-04-30,32
2012-05-01,32
2012-05-02,34
2012-05-03,32
2012-05-04,32
2012-05-05,34
2012-05-06,31
2012-05-07,30
2012-05-08,29
2012-05-09,30
2012-05-10,27
2012-05-11,26
2012-05-12,26
2012-05-13,28
2012-05-14,30
2012-05-15,34
2012-05-16,35
2012-05-17,39
2012-05-18,39
2012-05-19,47
2012-05-20,39
2012-05-21,36
2012-05-22,33
2012-05-23,33
2012-05-24,28
2012-05-25,25
2012-05-26,23
2012-05-27,23
2012-05-28,24
2012-05-29,25
2012-05-30,28
2012-05-31,27
2012-06-01,28
2012-06-02,31
2012-06-03,28
2012-06-04,28
2012-06-05,28
2012-06-06,27
2012-06-07,27
2012-06-08,27
2012-06-09,29
2012-06-10,28
2012-06-11,29
2012-06-12,30
2012-06-13,31
2012-06-14,32
2012-06-15,35
2012-06-16,34
2012-06-17,33
2012-06-18,32
2012-06-19,32
2012-06-20,31
2012-06-21,31
2012-06-22,29
2012-06-23,32
2012-06-24,28
2012-06-25,27
2012-06-26,26
2012-06-27,28
2012-06-28,25
2012-06-29,25
2012-06-30,24
2012-07-01,23
2012-07-02,22
2012-07-03,22
2012-07-04,20
2012-07-05,20
2012-07-06,18
2012-07-07,18
2012-07-08,19
2012-07-09,21
2012-07-10,22
2012-07-11,24
2012-07-12,25
2012-07-13,27
2012-07-14,32
2012-07-15,27
2012-07-16,26
2012-07-17,25
2012-07-18,24
2012-07-19,22
2012-07-20,21
2012-07-21,20
2012-07-22,20
2012-07-23,21
2012-07-24,23
2012-07-25,23
2012-07-26,24
2012-07-27,25
2012-07-28,28
2012-07-29,27
2012-07-30,28
2012-07-31,29
2012-08-01,31
2012-08-02,32
2012-08-03,37
2012-08-04,35
2012-08-05,35
2012-08-06,36
2012-08-07,38
2012-08-08,38
2012-08-09,37
2012-08-10,38
2012-08-11,43
2012-08-12,40
2012-08-13,37
2012-08-14,36
2012-08-15,38
2012-08-16,36
2012-08-17,34
2012-08-18,34
2012-08-19,32
2012-08-20,31
2012-08-21,34
2012-08-22,29
2012-08-23,28
2012-08-24,27
2012-08-25,26
2012-08-26,26
2012-08-27,26
2012-08-28,26
2012-08-29,27
2012-08-30,29
2012-08-31,27
