Date,Millennial Media
2013-05-03,21
2013-05-04,22
2013-05-05,22
2013-05-06,22
2013-05-07,22
2013-05-08,22
2013-05-09,22
2013-05-10,24
2013-05-11,23
2013-05-12,23
2013-05-13,23
2013-05-14,23
2013-05-15,23
2013-05-16,23
2013-05-17,23
2013-05-18,24
2013-05-19,22
2013-05-20,21
2013-05-21,22
2013-05-22,20
2013-05-23,20
2013-05-24,20
2013-05-25,19
2013-05-26,18
2013-05-27,17
2013-05-28,17
2013-05-29,16
2013-05-30,16
2013-05-31,15
2013-06-01,15
2013-06-02,15
2013-06-03,15
2013-06-04,15
2013-06-05,15
2013-06-06,15
2013-06-07,15
2013-06-08,16
2013-06-09,15
2013-06-10,15
2013-06-11,15
2013-06-12,15
2013-06-13,15
2013-06-14,15
2013-06-15,15
2013-06-16,16
2013-06-17,17
2013-06-18,18
2013-06-19,19
2013-06-20,20
2013-06-21,21
2013-06-22,22
2013-06-23,21
2013-06-24,20
2013-06-25,21
2013-06-26,19
2013-06-27,18
2013-06-28,17
2013-06-29,17
2013-06-30,17
