1097503|WR Hambrecht + Co|2005-08
1174746|Morgan Stanley|2005-03
1299688|Goldman Sachs|2004-10
1352302|Bank of America|2006-05
1375557|Morgan Stanley|2006-09
1405073|JPMorgan Chase|2007-07
1452751|Goldman Sachs|2013-10
1511737|UBS Securities|2011-06
1571498|Citigroup|2013-04
1109189|Goldman Sachs|2005-08
1180079|Goldman Sachs|2011-07
1303313|Jefferies|2004-11
1328571|Lehman Brothers|2005-10
1356576|Citigroup|2010-12
1379246|Piper Jaffray|2010-07
1467858|Morgan Stanley|2010-08
1517302|Citigroup|2012-11
1118037|Feltl & Company|2005-08
1212545|Sandler O'Neill & Partners|2005-04
1306830|Morgan Stanley|2004-11
1331745|Credit Suisse First Boston|2005-06
1383701|Stifel|2013-06
1410636|Goldman Sachs|2007-08
1580185|Barclays Capital|2013-10
1090507|JPMorgan Chase|2009-07
1169988|Credit Suisse|2011-01
1295976|Goldman Sachs|2009-10
1325098|Citigroup|2005-05
1374535|Merrill Lynch|2006-09
1444363|Morgan Stanley|2009-08
1509273|Goldman Sachs|2011-03
1564902|Goldman Sachs|2012-12
1092699|Thomas Weisel|2009-12
1171218|SunTrust Robinson Humphrey|2005-01
1296391|Piper Jaffray|2009-12
1325118|GunnAllen Financial|2005-04
1351197|SG Cowen|2006-05
1403431|William Blair & Company|2007-06
1444598|Morgan Stanley|2008-09
1514705|Credit Suisse|2011-03
1573166|JPMorgan Chase|2013-05
1105018|JPMorgan Chase|2006-10
1177609|Goldman Sachs|2012-04
1301081|Bank of America|2006-05
1326801|Morgan Stanley|2012-02
1353283|Morgan Stanley|2012-01
1406666|Goldman Sachs|2009-11
1462633|Morgan Stanley|2011-08
1574532|Citigroup|2013-05
1105184|Credit Suisse|2007-08
1177648|JPMorgan Chase|2012-11
1301106|Merrill Lynch|2004-09
1326973|Citigroup|2005-10
1354217|JPMorgan Chase|2006-03
1377630|Credit Suisse|2006-10
1462694|Stifel|2013-01
1574648|Citigroup|2013-06
1105360|Thomas Weisel|2006-11
1178104|AG Edwards|2005-11
1302028|Anderson & Strudwick|2004-09
1327098|Piper Jaffray|2005-05
1354513|Deutsche Bank|2006-03
1378718|Barclays Capital|2011-04
1407038|Lazard Capital Markets|2010-01
1463101|Morgan Stanley|2011-06
1516479|Wells Fargo Securities|2011-03
1574815|Goldman Sachs|2013-06
1178336|Piper Jaffray|2005-04
1327471|JPMorgan Chase|2010-04
1355795|Merrill Lynch|2006-03
1378950|RBC Capital Markets|2006-11
1463258|UBS Securities|2011-07
1107694|Goldman Sachs|2008-04
1178711|Bear Stearns|2006-02
1302573|Jefferies|2012-05
1327567|Morgan Stanley|2012-04
1356090|JPMorgan Chase|2013-07
1378992|BofA Merrill Lynch|2012-03
1407190|JPMorgan Chase|2013-08
1463729|Credit Suisse|2013-04
1517175|Jefferies|2011-04
1107843|JPMorgan Chase|2012-06
1302707|Goldman Sachs|2005-03
1327811|Morgan Stanley|2012-08
1356104|Credit Suisse|2006-09
1379041|Morgan Stanley|2006-12
1407450|Thomas Weisel|2010-01
1466301|JPMorgan Chase|2011-06
1517228|JPMorgan Chase|2013-08
1575515|Goldman Sachs|2013-05
1117733|JPMorgan Chase|2011-06
1212458|Credit Suisse|2011-12
1331520|Stephens Inc|2006-03
1358356|Sandler O'Neill & Partners|2006-04
1410471|Credit Suisse|2007-08
1474042|Morgan Stanley|2009-10
1579298|JPMorgan Chase|2013-06
1124610|Citibank|2007-04
1232524|Morgan Stanley|2007-03
1311230|Morgan Stanley|2011-03
1334036|Piper Jaffray|2005-08
1361579|Goldman Sachs|2006-08
1385544|FBR Capital Markets|2007-07
1411688|JPMorgan Chase|2013-09
1478085|Citibank|2009-12
1104042|Morgan Stanley|2005-04
1175609|Morgan Stanley|2007-02
1352801|JPMorgan Chase|2006-02
1460198|Rodman & Renshaw|2010-04
1573097|BofA Merrill Lynch|2013-04
1104349|Credit Suisse|2005-04
1175685|Morgan Stanley|2007-04
1301031|Goldman Sachs|2011-07
1326732|Credit Suisse|2013-10
1353209|Credit Suisse|2006-03
1405419|Taglich Brothers|2007-07
1461993|Stifel|2011-10
1518715|FBR Capital Markets|2011-05
1114714|SG Cowen|2005-04
1201792|William Blair & Company|2007-08
1329919|Thomas Weisel|2005-06
1357227|William Blair & Company|2006-12
1380509|Goldman Sachs|2006-11
1408710|Morgan Stanley|2009-11
1469606|Rodman & Renshaw|2009-08
1519401|Jefferies|2011-05
1576169|Goldman Sachs|2013-08
1116435|Morgan Stanley|2007-04
1202273|Merrill Lynch|2006-03
1304623|Credit Suisse|2006-05
1357326|Goldman Sachs|2006-04
1470699|BofA Merrill Lynch|2009-09
1577095|Goldman Sachs|2013-07
1116924|Credit Suisse First Boston|2004-12
1205431|JPMorgan Chase|2004-06
1305168|Goldman Sachs|2004-10
1330421|Morgan Stanley|2011-08
1380846|Sandler O'Neill & Partners|2013-04
1409171|Craig-Hallum|2007-08
1471038|SG Cowen|2009-09
1520006|RBC Capital Markets|2011-08
1578318|Goldman Sachs|2013-06
1117106|Credit Suisse|2007-07
1205727|Deutsche Bank|2005-05
1305294|Morgan Stanley|2010-04
1357525|Morgan Stanley|2006-04
1381325|Morgan Stanley|2006-12
1409375|Thomas Weisel|2007-08
1471261|Credit Suisse|2009-09
1117297|Credit Suisse|2009-11
1207074|JPMorgan Chase|2007-04
1305323|Credit Suisse|2008-12
1330849|Credit Suisse First Boston|2005-07
1358071|JPMorgan Chase|2007-04
1382696|Merriman Curhan Ford|2007-07
1410064|Morgan Stanley|2007-08
1471458|BofA Merrill Lynch|2009-09
1521332|Goldman Sachs|2011-05
1578732|Citigroup|2013-09
1117480|Morgan Stanley|2013-03
1212235|Piper Jaffray|2006-08
1305409|UBS Securities|2005-03
1358164|Goldman Sachs|2006-04
1382911|Merrill Lynch|2006-12
1410172|UBS Securities|2007-09
1472595|Goldman Sachs|2009-09
1124105|Deutsche Bank|2006-01
1230355|Lehman Brothers|2007-07
1310897|Morgan Stanley|2004-12
1333822|BofA Merrill Lynch|2010-08
1361470|Morgan Stanley|2013-10
1385292|Bank of America|2007-01
1477598|BofA Merrill Lynch|2013-03
1526796|Credit Suisse|2011-07
1582966|Goldman Sachs|2013-09
1129260|JPMorgan Chase|2011-08
1262976|Goldman Sachs|2005-06
1313911|Deutsche Bank|2013-03
1336917|Goldman Sachs|2005-08
1362988|JPMorgan Chase|2006-06
1388775|JPMorgan Chase|2007-03
1418091|Goldman Sachs|2013-10
1484504|Goldman Sachs|2012-07
1533526|Goldman Sachs|2011-10
1111928|Merrill Lynch|2006-08
1182325|Deutsche Bank|2010-04
1304069|Raymond James|2004-10
1328650|Johnson Rice & Company|2005-06
1356949|William Blair & Company|2006-03
1408278|BofA Merrill Lynch|2011-11
1468328|William Blair & Company|2009-07
1518222|Goldman Sachs|2011-04
1576018|JPMorgan Chase|2013-07
1113784|Citibank|2007-08
1200375|Credit Suisse|2009-12
1304421|Credit Suisse First Boston|2004-12
1357204|JPMorgan Chase|2011-05
1380393|Goldman Sachs|2006-11
1408356|Goldman Sachs|2012-10
1469433|Morgan Stanley|2009-08
1524223|BofA Merrill Lynch|2011-07
1581091|Morgan Stanley|2013-08
1121439|Wachovia|2004-11
1308547|Morgan Stanley|2004-11
1332602|Merrill Lynch|2005-07
1360537|FBR Capital Markets|2007-01
1383871|Goldman Sachs|2012-08
1410939|Morgan Stanley|2013-08
1524741|Morgan Stanley|2011-07
1581164|Deutsche Bank|2013-07
1121702|Piper Jaffray|2006-07
1223862|Morgan Stanley|2012-01
1309108|JPMorgan Chase|2004-11
1332626|Keefe Bruyette & Woods|2005-07
1360555|Citigroup|2006-05
1411158|Citibank|2010-09
1475922|Citibank|2009-11
1524931|Jefferies|2011-08
1122388|Barclays Capital|2010-04
1227025|BofA Merrill Lynch|2010-04
1310094|Jefferies|2005-02
1333170|Merrill Lynch|2005-07
1360886|Jefferies|2006-05
1384101|Morgan Stanley|2013-09
1411207|BofA Merrill Lynch|2011-03
1476963|Aegis Capital|2013-05
1122897|Morgan Stanley|2013-07
1227930|Credit Suisse|2007-07
1310114|Morgan Stanley|2010-12
1333248|Merrill Lynch|2006-07
1360901|Lehman Brothers|2006-05
1384905|Goldman Sachs|2013-08
1411488|Goldman Sachs|2013-03
1477200|Credit Suisse|2013-08
1525769|BofA Merrill Lynch|2011-07
1123541|JPMorgan Chase|2005-08
1310243|Morgan Stanley|2004-12
1333493|Morgan Stanley|2006-04
1361103|UBS Securities|2010-07
1385228|Credit Suisse|2013-08
1411494|Goldman Sachs|2008-04
1477246|Paulson & Co|2010-01
1582086|Deutsche Bank|2013-10
1230276|Morgan Stanley|2011-02
1333513|Lehman Brothers|2005-07
1361248|Oppenheimer Holdings|2013-10
1385280|Lehman Brothers|2007-02
1411579|Citigroup|2013-08
1477294|Morgan Stanley|2009-11
1526119|UBS Securities|2011-11
1582616|Citigroup|2013-10
1262039|Morgan Stanley|2009-08
1313275|Morgan Stanley|2011-08
1336691|JPMorgan Chase|2010-01
1388686|JPMorgan Chase|2010-04
1416792|Morgan Stanley|2013-09
1533454|Goldman Sachs|2011-12
854709|Robert W Baird|2006-10
1132484|Credit Suisse|2007-03
1271024|Morgan Stanley|2011-01
1316656|Morgan Stanley|2005-05
