Date,First Interstate BancSystem
2009-11-26,47
2009-11-27,46
2009-11-28,45
2009-11-29,47
2009-11-30,50
2009-12-01,50
2009-12-02,56
2009-12-03,57
2009-12-04,59
2009-12-05,62
2009-12-06,61
2009-12-07,60
2009-12-08,60
2009-12-09,58
2009-12-10,57
2009-12-11,56
2009-12-12,55
2009-12-13,58
2009-12-14,61
2009-12-15,62
2009-12-16,67
2009-12-17,70
2009-12-18,73
2009-12-19,76
2009-12-20,71
2009-12-21,67
2009-12-22,62
2009-12-23,57
2009-12-24,53
2009-12-25,48
2009-12-26,44
2009-12-27,45
2009-12-28,46
2009-12-29,45
2009-12-30,55
2009-12-31,53
2010-01-01,55
2010-01-02,57
2010-01-03,57
2010-01-04,51
2010-01-05,55
2010-01-06,56
2010-01-07,57
2010-01-08,57
2010-01-09,58
2010-01-10,57
2010-01-11,56
2010-01-12,55
2010-01-13,55
2010-01-14,56
2010-01-15,53
2010-01-16,53
2010-01-17,53
2010-01-18,53
2010-01-19,53
2010-01-20,53
2010-01-21,51
2010-01-22,51
2010-01-23,58
2010-01-24,54
2010-01-25,55
2010-01-26,54
2010-01-27,56
2010-01-28,56
2010-01-29,57
2010-01-30,58
2010-01-31,57
2010-02-01,57
2010-02-02,58
2010-02-03,55
2010-02-04,55
2010-02-05,58
2010-02-06,56
2010-02-07,56
2010-02-08,56
2010-02-09,57
2010-02-10,55
2010-02-11,55
2010-02-12,55
2010-02-13,55
2010-02-14,53
2010-02-15,52
2010-02-16,51
2010-02-17,49
2010-02-18,49
2010-02-19,47
2010-02-20,46
2010-02-21,48
2010-02-22,50
2010-02-23,53
2010-02-24,55
2010-02-25,57
2010-02-26,53
2010-02-27,66
2010-02-28,62
2010-03-01,62
2010-03-02,59
2010-03-03,63
2010-03-04,64
2010-03-05,64
2010-03-06,65
2010-03-07,63
2010-03-08,61
2010-03-09,63
2010-03-10,57
2010-03-11,55
2010-03-12,53
2010-03-13,51
2010-03-14,52
2010-03-15,53
2010-03-16,56
2010-03-17,56
2010-03-18,57
2010-03-19,58
2010-03-20,60
2010-03-21,62
2010-03-22,64
2010-03-23,62
2010-03-24,64
2010-03-25,78
2010-03-26,72
2010-03-27,75
2010-03-28,74
2010-03-29,73
2010-03-30,70
2010-03-31,70
2010-04-01,70
2010-04-02,64
2010-04-03,71
2010-04-04,68
2010-04-05,67
2010-04-06,69
2010-04-07,66
2010-04-08,66
2010-04-09,66
2010-04-10,66
2010-04-11,64
2010-04-12,63
2010-04-13,62
2010-04-14,60
2010-04-15,62
2010-04-16,57
2010-04-17,57
2010-04-18,58
2010-04-19,59
2010-04-20,64
2010-04-21,64
2010-04-22,61
2010-04-23,62
2010-04-24,63
2010-04-25,62
2010-04-26,60
2010-04-27,60
2010-04-28,58
2010-04-29,56
2010-04-30,55
2010-05-01,53
2010-05-02,54
2010-05-03,54
2010-05-04,56
2010-05-05,60
2010-05-06,58
2010-05-07,59
2010-05-08,60
2010-05-09,58
2010-05-10,57
2010-05-11,55
2010-05-12,54
2010-05-13,52
2010-05-14,51
2010-05-15,50
2010-05-16,51
2010-05-17,52
2010-05-18,54
2010-05-19,51
2010-05-20,57
2010-05-21,55
2010-05-22,55
2010-05-23,57
2010-05-24,60
2010-05-25,69
2010-05-26,65
2010-05-27,67
2010-05-28,67
2010-05-29,69
2010-05-30,70
2010-05-31,71
2010-06-01,72
2010-06-02,79
2010-06-03,75
2010-06-04,75
2010-06-05,74
2010-06-06,73
2010-06-07,72
2010-06-08,80
2010-06-09,70
2010-06-10,67
2010-06-11,65
2010-06-12,66
2010-06-13,68
2010-06-14,71
2010-06-15,73
2010-06-16,78
2010-06-17,78
2010-06-18,82
2010-06-19,87
2010-06-20,81
2010-06-21,77
2010-06-22,73
2010-06-23,69
2010-06-24,63
2010-06-25,64
2010-06-26,58
2010-06-27,59
2010-06-28,60
2010-06-29,62
2010-06-30,61
2010-07-01,65
2010-07-02,69
2010-07-03,68
2010-07-04,67
2010-07-05,66
2010-07-06,65
2010-07-07,65
2010-07-08,64
2010-07-09,63
2010-07-10,62
2010-07-11,63
2010-07-12,64
2010-07-13,68
2010-07-14,70
2010-07-15,68
2010-07-16,69
2010-07-17,70
2010-07-18,70
2010-07-19,69
2010-07-20,67
2010-07-21,71
2010-07-22,70
2010-07-23,66
2010-07-24,68
2010-07-25,69
2010-07-26,70
2010-07-27,69
2010-07-28,72
2010-07-29,78
2010-07-30,74
2010-07-31,75
2010-08-01,73
2010-08-02,71
2010-08-03,67
2010-08-04,69
2010-08-05,62
2010-08-06,69
2010-08-07,63
2010-08-08,63
2010-08-09,63
2010-08-10,64
2010-08-11,61
2010-08-12,61
2010-08-13,65
2010-08-14,61
2010-08-15,64
2010-08-16,66
2010-08-17,73
2010-08-18,74
2010-08-19,73
2010-08-20,73
2010-08-21,75
2010-08-22,83
2010-08-23,74
2010-08-24,69
2010-08-25,65
2010-08-26,69
2010-08-27,67
2010-08-28,66
2010-08-29,66
2010-08-30,69
2010-08-31,69
2010-09-01,72
2010-09-02,77
2010-09-03,79
2010-09-04,86
2010-09-05,81
2010-09-06,78
2010-09-07,73
2010-09-08,72
2010-09-09,70
2010-09-10,75
2010-09-11,61
2010-09-12,68
2010-09-13,67
2010-09-14,68
2010-09-15,68
2010-09-16,69
2010-09-17,68
2010-09-18,70
2010-09-19,70
2010-09-20,71
2010-09-21,72
2010-09-22,71
2010-09-23,76
2010-09-24,74
2010-09-25,75
2010-09-26,73
2010-09-27,71
2010-09-28,69
2010-09-29,72
2010-09-30,60
2010-10-01,64
2010-10-02,65
2010-10-03,64
2010-10-04,67
2010-10-05,68
2010-10-06,75
2010-10-07,73
2010-10-08,76
2010-10-09,91
2010-10-10,78
2010-10-11,74
2010-10-12,71
2010-10-13,68
2010-10-14,64
2010-10-15,53
2010-10-16,59
2010-10-17,58
2010-10-18,61
2010-10-19,70
2010-10-20,66
2010-10-21,71
2010-10-22,76
2010-10-23,77
2010-10-24,75
2010-10-25,73
2010-10-26,71
2010-10-27,71
2010-10-28,60
2010-10-29,73
2010-10-30,65
2010-10-31,63
2010-11-01,62
2010-11-02,59
2010-11-03,58
2010-11-04,58
2010-11-05,55
2010-11-06,55
2010-11-07,55
2010-11-08,55
2010-11-09,59
2010-11-10,54
2010-11-11,54
2010-11-12,54
2010-11-13,56
2010-11-14,56
2010-11-15,57
2010-11-16,56
2010-11-17,57
2010-11-18,63
2010-11-19,64
2010-11-20,61
2010-11-21,59
2010-11-22,57
2010-11-23,57
2010-11-24,55
2010-11-25,55
2010-11-26,51
2010-11-27,48
2010-11-28,51
2010-11-29,55
2010-11-30,63
2010-12-01,58
2010-12-02,64
2010-12-03,69
2010-12-04,73
2010-12-05,76
2010-12-06,73
2010-12-07,66
2010-12-08,71
2010-12-09,75
2010-12-10,67
2010-12-11,78
2010-12-12,71
2010-12-13,71
2010-12-14,71
2010-12-15,73
2010-12-16,68
2010-12-17,67
2010-12-18,69
2010-12-19,69
2010-12-20,69
2010-12-21,69
2010-12-22,71
2010-12-23,66
2010-12-24,74
2010-12-25,69
2010-12-26,69
2010-12-27,74
2010-12-28,70
2010-12-29,69
2010-12-30,55
2010-12-31,76
2011-01-01,69
2011-01-02,70
2011-01-03,71
2011-01-04,72
2011-01-05,72
2011-01-06,79
2011-01-07,76
2011-01-08,78
2011-01-09,75
2011-01-10,73
2011-01-11,72
2011-01-12,72
2011-01-13,67
2011-01-14,66
2011-01-15,62
2011-01-16,62
2011-01-17,63
2011-01-18,60
2011-01-19,67
2011-01-20,64
2011-01-21,64
2011-01-22,65
2011-01-23,66
2011-01-24,67
2011-01-25,64
2011-01-26,76
2011-01-27,71
2011-01-28,67
2011-01-29,77
2011-01-30,72
2011-01-31,73
2011-02-01,72
2011-02-02,78
2011-02-03,82
2011-02-04,76
2011-02-05,77
2011-02-06,77
2011-02-07,77
2011-02-08,76
2011-02-09,74
2011-02-10,78
2011-02-11,76
2011-02-12,80
2011-02-13,79
2011-02-14,78
2011-02-15,73
2011-02-16,82
2011-02-17,76
2011-02-18,85
2011-02-19,76
2011-02-20,86
2011-02-21,80
2011-02-22,78
2011-02-23,77
2011-02-24,76
2011-02-25,78
2011-02-26,72
2011-02-27,76
2011-02-28,74
2011-03-01,71
2011-03-02,76
2011-03-03,74
2011-03-04,75
2011-03-05,78
2011-03-06,73
2011-03-07,72
2011-03-08,68
2011-03-09,74
2011-03-10,71
2011-03-11,62
2011-03-12,70
2011-03-13,68
2011-03-14,69
2011-03-15,65
2011-03-16,71
2011-03-17,68
2011-03-18,79
2011-03-19,67
2011-03-20,79
2011-03-21,69
2011-03-22,65
2011-03-23,63
2011-03-24,60
2011-03-25,61
2011-03-26,54
2011-03-27,60
2011-03-28,59
2011-03-29,56
2011-03-30,69
2011-03-31,57
2011-04-01,65
2011-04-02,67
2011-04-03,67
2011-04-04,68
2011-04-05,71
2011-04-06,62
2011-04-07,73
2011-04-08,63
2011-04-09,76
2011-04-10,71
2011-04-11,73
2011-04-12,73
2011-04-13,84
2011-04-14,72
2011-04-15,80
2011-04-16,88
2011-04-17,82
2011-04-18,80
2011-04-19,81
2011-04-20,72
2011-04-21,77
2011-04-22,64
2011-04-23,70
2011-04-24,71
2011-04-25,73
2011-04-26,79
2011-04-27,75
2011-04-28,78
2011-04-29,76
2011-04-30,84
2011-05-01,81
2011-05-02,77
2011-05-03,71
2011-05-04,74
2011-05-05,70
2011-05-06,71
2011-05-07,65
2011-05-08,64
2011-05-09,63
2011-05-10,62
2011-05-11,61
2011-05-12,64
2011-05-13,58
2011-05-14,61
2011-05-15,63
2011-05-16,64
2011-05-17,67
2011-05-18,75
2011-05-19,78
2011-05-20,82
2011-05-21,77
2011-05-22,84
2011-05-23,77
2011-05-24,69
2011-05-25,73
2011-05-26,72
2011-05-27,62
2011-05-28,68
2011-05-29,67
2011-05-30,70
2011-05-31,62
2011-06-01,77
2011-06-02,81
2011-06-03,85
2011-06-04,91
2011-06-05,85
2011-06-06,84
2011-06-07,76
2011-06-08,87
2011-06-09,80
2011-06-10,74
2011-06-11,79
2011-06-12,75
2011-06-13,75
2011-06-14,70
2011-06-15,82
2011-06-16,80
2011-06-17,77
2011-06-18,79
2011-06-19,75
2011-06-20,73
2011-06-21,69
2011-06-22,77
2011-06-23,65
2011-06-24,66
2011-06-25,64
2011-06-26,69
2011-06-27,68
2011-06-28,79
2011-06-29,91
2011-06-30,90
