Date,Viewsonic
2008-05-11,59
2008-05-12,59
2008-05-13,59
2008-05-14,59
2008-05-15,59
2008-05-16,59
2008-05-17,59
2008-05-18,59
2008-05-19,59
2008-05-20,59
2008-05-21,59
2008-05-22,59
2008-05-23,59
2008-05-24,59
2008-05-25,59
2008-05-26,59
2008-05-27,59
2008-05-28,59
2008-05-29,59
2008-05-30,59
2008-05-31,59
2008-06-01,59
2008-06-02,58
2008-06-03,58
2008-06-04,58
2008-06-05,58
2008-06-06,58
2008-06-07,58
2008-06-08,58
2008-06-09,58
2008-06-10,58
2008-06-11,58
2008-06-12,58
2008-06-13,58
2008-06-14,58
2008-06-15,58
2008-06-16,58
2008-06-17,58
2008-06-18,58
2008-06-19,58
2008-06-20,58
2008-06-21,58
2008-06-22,58
2008-06-23,58
2008-06-24,58
2008-06-25,58
2008-06-26,58
2008-06-27,58
2008-06-28,58
2008-06-29,58
2008-06-30,58
2008-07-01,58
2008-07-02,58
2008-07-03,58
2008-07-04,58
2008-07-05,58
2008-07-06,58
2008-07-07,58
2008-07-08,58
2008-07-09,58
2008-07-10,58
2008-07-11,58
2008-07-12,58
2008-07-13,58
2008-07-14,58
2008-07-15,58
2008-07-16,58
2008-07-17,58
2008-07-18,58
2008-07-19,58
2008-07-20,58
2008-07-21,58
2008-07-22,58
2008-07-23,58
2008-07-24,58
2008-07-25,58
2008-07-26,58
2008-07-27,58
2008-07-28,58
2008-07-29,58
2008-07-30,58
2008-07-31,58
2008-08-01,58
2008-08-02,57
2008-08-03,57
2008-08-04,56
2008-08-05,56
2008-08-06,55
2008-08-07,55
2008-08-08,54
2008-08-09,54
2008-08-10,53
2008-08-11,53
2008-08-12,52
2008-08-13,52
2008-08-14,51
2008-08-15,51
2008-08-16,50
2008-08-17,50
2008-08-18,49
2008-08-19,49
2008-08-20,48
2008-08-21,48
2008-08-22,47
2008-08-23,47
2008-08-24,46
2008-08-25,46
2008-08-26,45
2008-08-27,45
2008-08-28,44
2008-08-29,44
2008-08-30,43
2008-08-31,43
2008-09-01,43
2008-09-02,43
2008-09-03,43
2008-09-04,43
2008-09-05,43
2008-09-06,43
2008-09-07,43
2008-09-08,43
2008-09-09,43
2008-09-10,43
2008-09-11,43
2008-09-12,43
2008-09-13,43
2008-09-14,43
2008-09-15,43
2008-09-16,43
2008-09-17,43
2008-09-18,43
2008-09-19,43
2008-09-20,43
2008-09-21,43
2008-09-22,43
2008-09-23,43
2008-09-24,43
2008-09-25,43
2008-09-26,43
2008-09-27,43
2008-09-28,43
2008-09-29,43
2008-09-30,43
2008-10-01,43
2008-10-02,41
2008-10-03,40
2008-10-04,38
2008-10-05,37
2008-10-06,36
2008-10-07,34
2008-10-08,33
2008-10-09,31
2008-10-10,30
2008-10-11,29
2008-10-12,27
2008-10-13,26
