Date,Green Dot
2010-01-18,44
2010-01-19,56
2010-01-20,58
2010-01-21,52
2010-01-22,47
2010-01-23,56
2010-01-24,59
2010-01-25,53
2010-01-26,59
2010-01-27,56
2010-01-28,65
2010-01-29,53
2010-01-30,68
2010-01-31,64
2010-02-01,66
2010-02-02,65
2010-02-03,74
2010-02-04,62
2010-02-05,75
2010-02-06,75
2010-02-07,74
2010-02-08,67
2010-02-09,71
2010-02-10,71
2010-02-11,73
2010-02-12,65
2010-02-13,71
2010-02-14,70
2010-02-15,67
2010-02-16,70
2010-02-17,74
2010-02-18,76
2010-02-19,65
2010-02-20,80
2010-02-21,75
2010-02-22,68
2010-02-23,68
2010-02-24,72
2010-02-25,63
2010-02-26,61
2010-02-27,63
2010-02-28,65
2010-03-01,67
2010-03-02,67
2010-03-03,75
2010-03-04,69
2010-03-05,77
2010-03-06,79
2010-03-07,73
2010-03-08,79
2010-03-09,76
2010-03-10,79
2010-03-11,73
2010-03-12,77
2010-03-13,73
2010-03-14,76
2010-03-15,73
2010-03-16,77
2010-03-17,70
2010-03-18,77
2010-03-19,73
2010-03-20,65
2010-03-21,78
2010-03-22,73
2010-03-23,66
2010-03-24,74
2010-03-25,67
2010-03-26,64
2010-03-27,71
2010-03-28,64
2010-03-29,71
2010-03-30,66
2010-03-31,72
2010-05-01,72
2010-05-02,76
2010-05-03,65
2010-05-04,72
2010-05-05,76
2010-05-06,66
2010-05-07,71
2010-05-08,69
2010-05-09,69
2010-05-10,69
2010-05-11,68
2010-05-12,68
2010-05-13,61
2010-05-14,67
2010-05-15,71
2010-05-16,70
2010-05-17,59
2010-05-18,63
2010-05-19,67
2010-05-20,59
2010-05-21,64
2010-05-22,60
2010-05-23,58
2010-05-24,57
2010-05-25,59
2010-05-26,56
2010-05-27,50
2010-05-28,51
2010-05-29,52
2010-05-30,54
2010-05-31,52
2010-06-01,54
2010-06-02,55
2010-06-03,54
2010-06-04,60
2010-06-05,61
2010-06-06,65
2010-06-07,54
2010-06-08,60
2010-06-09,61
2010-06-10,58
2010-06-11,54
2010-06-12,61
2010-06-13,58
2010-06-14,60
2010-06-15,60
2010-06-16,61
2010-06-17,64
2010-06-18,65
2010-06-19,64
2010-06-20,70
2010-06-21,58
2010-06-22,68
2010-06-23,64
2010-06-24,63
2010-06-25,60
2010-06-26,66
2010-06-27,65
2010-06-28,68
2010-06-29,65
2010-06-30,76
2010-07-01,71
2010-07-02,70
2010-07-03,76
2010-07-04,85
2010-07-05,70
2010-07-06,74
2010-07-07,74
2010-07-08,76
2010-07-09,71
2010-07-10,77
2010-07-11,75
2010-07-12,76
2010-07-13,74
2010-07-14,74
2010-07-15,76
2010-07-16,73
2010-07-17,82
2010-07-18,78
2010-07-19,84
2010-07-20,82
2010-07-21,87
2010-07-22,85
2010-07-23,102
2010-07-24,95
2010-07-25,95
2010-07-26,90
2010-07-27,84
2010-07-28,84
2010-07-29,82
2010-07-30,74
2010-07-31,77
2010-08-01,75
2010-08-02,75
2010-08-03,72
2010-08-04,76
2010-08-05,71
2010-08-06,74
2010-08-07,76
2010-08-08,77
2010-08-09,75
2010-08-10,63
2010-08-11,77
2010-08-12,69
2010-08-13,66
2010-08-14,71
2010-08-15,74
2010-08-16,68
2010-08-17,69
2010-08-18,74
2010-08-19,69
2010-08-20,71
2010-08-21,75
2010-08-22,75
2010-08-23,73
2010-08-24,68
2010-08-25,73
2010-08-26,73
2010-08-27,70
2010-08-28,74
2010-08-29,75
2010-08-30,67
2010-08-31,66
2010-09-01,67
2010-09-02,62
2010-09-03,58
2010-09-04,59
2010-09-05,63
2010-09-06,63
2010-09-07,63
2010-09-08,65
2010-09-09,64
2010-09-10,69
2010-09-11,72
2010-09-12,68
2010-09-13,72
2010-09-14,73
2010-09-15,70
2010-09-16,73
2010-09-17,71
2010-09-18,76
2010-09-19,76
2010-09-20,64
2010-09-21,69
2010-09-22,67
2010-09-23,74
2010-09-24,64
2010-09-25,67
2010-09-26,68
2010-09-27,62
2010-09-28,63
2010-09-29,71
2010-09-30,70
2010-10-01,67
2010-10-02,69
2010-10-03,72
2010-10-04,69
2010-10-05,69
2010-10-06,64
2010-10-07,71
2010-10-08,64
2010-10-09,71
2010-10-10,70
2010-10-11,67
2010-10-12,68
2010-10-13,73
2010-10-14,66
2010-10-15,72
2010-10-16,74
2010-10-17,75
2010-10-18,66
2010-10-19,73
2010-10-20,74
2010-10-21,68
2010-10-22,76
2010-10-23,72
2010-10-24,76
2010-10-25,70
2010-10-26,67
2010-10-27,67
2010-10-28,61
2010-10-29,58
2010-10-30,64
2010-10-31,60
2010-11-01,62
2010-11-02,65
2010-11-03,61
2010-11-04,66
2010-11-05,62
2010-11-06,69
2010-11-07,66
2010-11-08,66
2010-11-09,66
2010-11-10,65
2010-11-11,68
2010-11-12,61
2010-11-13,64
2010-11-14,69
2010-11-15,61
2010-11-16,68
2010-11-17,67
2010-11-18,63
2010-11-19,67
2010-11-20,70
2010-11-21,70
2010-11-22,66
2010-11-23,65
2010-11-24,66
2010-11-25,64
2010-11-26,58
2010-11-27,59
2010-11-28,66
2010-11-29,63
2010-11-30,65
2010-12-01,68
2010-12-02,73
2010-12-03,69
2010-12-04,79
2010-12-05,80
2010-12-06,69
2010-12-07,69
2010-12-08,72
2010-12-09,68
2010-12-10,68
2010-12-11,66
2010-12-12,72
2010-12-13,64
2010-12-14,77
2010-12-15,64
2010-12-16,76
2010-12-17,70
2010-12-18,79
2010-12-19,85
2010-12-20,65
2010-12-21,79
2010-12-22,83
2010-12-23,71
2010-12-24,84
2010-12-25,88
2010-12-26,72
2010-12-27,82
2010-12-28,78
2010-12-29,87
2010-12-30,85
2010-12-31,83
2011-01-01,95
2011-01-02,80
2011-01-03,84
2011-01-04,90
2011-01-05,82
2011-01-06,87
2011-01-07,83
2011-01-08,89
2011-01-09,87
2011-01-10,73
2011-01-11,86
2011-01-12,76
2011-01-13,75
2011-01-14,75
2011-01-15,76
2011-01-16,80
2011-01-17,72
2011-01-18,79
2011-01-19,76
2011-01-20,80
2011-01-21,75
2011-01-22,82
2011-01-23,85
2011-01-24,75
2011-01-25,89
2011-01-26,83
2011-01-27,91
2011-01-28,88
2011-01-29,93
2011-01-30,99
2011-01-31,88
2011-02-01,96
2011-02-02,97
2011-02-03,98
2011-02-04,94
2011-02-05,102
2011-02-06,102
2011-02-07,97
2011-02-08,89
2011-02-09,98
2011-02-10,95
2011-02-11,90
2011-02-12,95
2011-02-13,91
2011-02-14,89
2011-02-15,91
2011-02-16,86
2011-02-17,89
2011-02-18,80
2011-02-19,84
2011-02-20,91
2011-02-21,77
2011-02-22,86
2011-02-23,84
2011-02-24,85
2011-02-25,77
2011-02-26,85
2011-02-27,83
2011-02-28,81
2011-03-01,90
2011-03-02,94
2011-03-03,86
2011-03-04,91
2011-03-05,103
2011-03-06,90
2011-03-07,88
2011-03-08,91
2011-03-09,86
2011-03-10,85
2011-03-11,88
2011-03-12,81
2011-03-13,82
2011-03-14,80
2011-03-15,78
2011-03-16,85
2011-03-17,78
2011-03-18,82
2011-03-19,81
2011-03-20,83
2011-03-21,86
2011-03-22,79
2011-03-23,83
2011-03-24,85
2011-03-25,80
2011-03-26,86
2011-03-27,84
2011-03-28,82
2011-03-29,85
2011-03-30,82
2011-03-31,88
2011-05-01,89
2011-05-02,85
2011-05-03,89
2011-05-04,92
2011-05-05,84
2011-05-06,87
2011-05-07,86
2011-05-08,90
2011-05-09,82
2011-05-10,84
2011-05-11,84
2011-05-12,82
2011-05-13,79
2011-05-14,87
2011-05-15,77
2011-05-16,77
2011-05-17,81
2011-05-18,81
2011-05-19,79
2011-05-20,78
2011-05-21,80
2011-05-22,83
2011-05-23,81
2011-05-24,82
2011-05-25,89
2011-05-26,82
2011-05-27,88
2011-05-28,89
2011-05-29,94
2011-05-30,91
2011-05-31,81
2011-06-01,91
2011-06-02,89
2011-06-03,86
2011-06-04,93
2011-06-05,92
2011-06-06,87
2011-06-07,83
2011-06-08,78
2011-06-09,86
2011-06-10,79
2011-06-11,72
2011-06-12,82
2011-06-13,80
2011-06-14,79
2011-06-15,85
2011-06-16,87
2011-06-17,81
2011-06-18,89
2011-06-19,91
2011-06-20,81
2011-06-21,87
2011-06-22,85
2011-06-23,84
2011-06-24,82
2011-06-25,87
2011-06-26,82
2011-06-27,89
2011-06-28,80
2011-06-29,81
2011-06-30,83
2011-07-01,86
2011-07-02,84
2011-07-03,86
2011-07-04,84
2011-07-05,77
2011-07-06,81
2011-07-07,80
2011-07-08,76
2011-07-09,72
2011-07-10,82
2011-07-11,73
2011-07-12,80
2011-07-13,79
2011-07-14,77
2011-07-15,74
2011-07-16,81
2011-07-17,82
2011-07-18,79
2011-07-19,73
2011-07-20,80
2011-07-21,77
2011-07-22,77
2011-07-23,85
2011-07-24,79
2011-07-25,79
2011-07-26,79
2011-07-27,82
2011-07-28,79
2011-07-29,88
2011-07-30,85
2011-07-31,90
