Date,Precision
2008-07-21,47
2008-07-22,48
2008-07-23,48
2008-07-24,48
2008-07-25,49
2008-07-26,49
2008-07-27,51
2008-08-03,63
2008-08-04,61
2008-08-05,60
2008-08-06,59
2008-08-07,58
2008-08-08,57
2008-08-09,56
2008-08-10,58
2008-08-11,59
2008-08-12,60
2008-08-13,62
2008-08-14,63
2008-08-15,64
2008-08-16,66
2008-08-17,64
2008-08-18,62
2008-08-19,60
2008-08-20,58
2008-08-21,56
2008-08-22,54
2008-08-23,52
2008-08-24,50
2008-08-25,48
2008-08-26,47
2008-08-27,45
2008-08-28,43
2008-08-29,41
2008-08-30,40
2008-08-31,40
2008-09-01,39
2008-09-02,39
2008-09-03,39
2008-09-04,39
2008-09-05,39
2008-09-06,39
2008-09-07,40
2008-09-08,40
2008-09-09,41
2008-09-10,42
2008-09-11,44
2008-09-12,45
2008-09-13,46
2008-09-14,49
2008-09-15,52
2008-09-16,54
2008-09-17,57
2008-09-18,59
2008-09-19,62
2008-09-20,64
2008-09-21,65
2008-09-22,67
2008-09-23,68
2008-09-24,68
2008-09-25,69
2008-09-26,70
2008-09-27,71
2008-09-28,68
2008-09-29,65
2008-09-30,62
2008-10-01,60
2008-10-02,57
2008-10-03,55
2008-10-04,52
2008-10-05,54
2008-10-06,56
2008-10-07,58
2008-10-08,60
2008-10-09,61
2008-10-10,63
2008-10-11,65
2008-10-12,63
2008-10-13,62
2008-10-14,60
2008-10-15,58
2008-10-16,56
2008-10-17,55
2008-10-18,53
2008-10-19,52
2008-10-20,49
2008-10-21,48
2008-10-22,47
2008-10-23,46
2008-10-24,44
2008-10-25,43
2008-10-26,46
2008-11-02,64
2008-11-03,62
2008-11-04,60
2008-11-05,59
2008-11-06,57
2008-11-07,55
2008-11-08,54
2008-11-09,54
2008-11-10,54
2008-11-11,55
2008-11-12,55
2008-11-13,55
2008-11-14,56
2008-11-15,56
2008-11-16,57
2008-11-17,58
2008-11-18,58
2008-11-19,58
2008-11-20,59
2008-11-21,59
2008-11-22,60
2008-11-23,58
2008-11-24,56
2008-11-25,54
2008-11-26,52
2008-11-27,50
2008-11-28,48
2008-11-29,46
2008-11-30,48
2008-12-01,50
2008-12-02,53
2008-12-03,56
2008-12-04,59
2008-12-05,61
2008-12-06,64
2008-12-07,67
2008-12-08,70
2008-12-09,73
2008-12-10,75
2008-12-11,78
2008-12-12,81
2008-12-13,83
2008-12-14,80
2008-12-15,75
2008-12-16,72
2008-12-17,68
2008-12-18,65
2008-12-19,61
2008-12-20,58
2008-12-21,56
2008-12-22,54
2008-12-23,52
2008-12-24,50
2008-12-25,48
2008-12-26,47
2008-12-27,45
2008-12-28,46
2008-12-29,47
2008-12-30,48
2008-12-31,49
2009-01-01,50
2009-01-02,51
2009-01-03,52
2009-01-04,51
2009-01-05,49
2009-01-06,48
2009-01-07,47
2009-01-08,47
2009-01-09,46
2009-01-10,45
2009-01-11,48
2009-01-12,51
2009-01-13,54
2009-01-14,57
2009-01-15,60
2009-01-16,63
2009-01-17,65
2009-01-18,65
2009-01-19,65
2009-01-20,65
2009-01-21,64
2009-01-22,64
2009-01-23,64
2009-01-24,64
2009-01-25,65
